"Time","2 Trdml","3 Platform","4 GM","5 Ip","6 BF","7 VL","8 St","9 TA","10 Gs","11 Gr","12 Synch","42 Ramp up","43 Ramp down","44 sw onset","45 sw offset"
0.00,0.19551,-1.48038,0.00062,0.00097,0.00094,0.00115,0.00312,0.00078,0.00766,0.00152,0,0,0,0,0
0.01,0.19496,-1.48118,0.00060,0.00117,0.00105,0.00112,0.00201,0.00080,0.00343,0.00144,0,0,0,0,0
0.02,0.19524,-1.47963,0.00056,0.00160,0.00112,0.00119,0.00133,0.00075,0.00276,0.00129,0,0,0,0,0
0.03,0.19579,-1.47965,0.00093,0.00429,0.00119,0.00114,0.00097,0.00076,0.00403,0.00134,0,0,0,0,0
0.04,0.19621,-1.48160,0.00443,0.01148,0.00097,0.00087,0.00137,0.00211,0.00329,0.00186,0,0,0,0,0
0.05,0.19580,-1.48417,0.00564,0.01793,0.00068,0.00067,0.00153,0.00345,0.00170,0.00343,0,0,0,1,0
0.06,0.19514,-1.47917,0.00468,0.01537,0.00068,0.00063,0.00141,0.00289,0.01673,0.00400,0,0,0,0,0
0.07,0.19517,-1.47844,0.00366,0.01167,0.00064,0.00058,0.00119,0.00254,0.00399,0.00353,0,0,0,0,0
0.08,0.19603,-1.47874,0.00224,0.01092,0.00063,0.00055,0.00072,0.00237,0.00287,0.00243,0,0,0,0,0
0.09,0.19655,-1.47970,0.00250,0.00953,0.00071,0.00052,0.00067,0.00173,0.00582,0.00146,0,0,0,0,0
0.10,0.19690,-1.48293,0.00229,0.01060,0.00072,0.00054,0.00057,0.00132,0.00434,0.00161,0,0,0,0,0
0.11,0.19672,-1.48038,0.00234,0.00965,0.00069,0.00056,0.00054,0.00102,0.00311,0.00130,0,0,0,0,0
0.12,0.19641,-1.47501,0.00185,0.00844,0.00070,0.00056,0.00057,0.00094,0.00369,0.00099,0,0,0,0,0
0.13,0.19609,-1.48145,0.00150,0.00793,0.00073,0.00066,0.00056,0.00083,0.00452,0.00126,0,0,0,0,0
0.14,0.19586,-1.47831,0.00137,0.00414,0.00081,0.00088,0.00057,0.00074,0.00401,0.00141,0,0,0,0,0
0.15,0.19624,-1.48187,0.00075,0.00280,0.00089,0.00094,0.00066,0.00074,0.00249,0.00106,0,0,0,0,0
0.16,0.19661,-1.47849,0.00055,0.00234,0.00079,0.00078,0.00072,0.00100,0.00401,0.00131,0,0,0,0,1
0.17,0.19711,-1.48235,0.00055,0.00084,0.00068,0.00064,0.00081,0.00099,0.00399,0.00146,0,0,0,0,0
0.18,0.19730,-1.47879,0.00056,0.00091,0.00070,0.00062,0.00128,0.00099,0.00404,0.00129,0,0,0,0,0
0.19,0.19707,-1.47917,0.00058,0.00104,0.00073,0.00064,0.00176,0.00101,0.00311,0.00157,0,0,0,0,0
0.20,0.19794,-1.47830,0.00053,0.00087,0.00072,0.00068,0.00161,0.00093,0.00233,0.00138,0,0,0,0,0
0.21,0.19847,-1.48046,0.00053,0.00079,0.00071,0.00063,0.00138,0.00089,0.00234,0.00206,0,0,0,0,0
0.22,0.19807,-1.48042,0.00057,0.00083,0.00064,0.00059,0.00146,0.00078,0.00413,0.00333,0,0,0,0,0
0.23,0.19817,-1.47936,0.00057,0.00078,0.00065,0.00058,0.00148,0.00074,0.00404,0.00391,0,0,0,0,0
0.24,0.19734,-1.48003,0.00053,0.00070,0.00071,0.00057,0.00170,0.00076,0.00506,0.00333,0,0,0,0,0
0.25,0.19647,-1.48019,0.00052,0.00101,0.00077,0.00078,0.00167,0.00073,0.00325,0.00177,0,0,0,0,0
0.26,0.19656,-1.47814,0.00053,0.00109,0.00089,0.00099,0.00113,0.00067,0.00356,0.00093,0,0,0,0,0
0.27,0.19652,-1.47922,0.00102,0.00102,0.00110,0.00123,0.00106,0.00112,0.00256,0.00105,0,0,0,0,0
0.28,0.19644,-1.47954,0.00131,0.00371,0.00109,0.00106,0.00106,0.00112,0.00254,0.00112,0,0,0,0,0
0.29,0.19604,-1.47983,0.00578,0.02080,0.00079,0.00078,0.00106,0.00161,0.00302,0.00155,0,0,0,0,0
0.30,0.19559,-1.47961,0.00665,0.02330,0.00067,0.00072,0.00150,0.00371,0.01056,0.00381,0,0,0,1,0
0.31,0.19644,-1.48008,0.00486,0.01084,0.00069,0.00065,0.00139,0.00393,-0.00038,0.00491,0,0,0,0,0
0.32,0.19705,-1.48016,0.00463,0.01009,0.00068,0.00056,0.00091,0.00199,0.00623,0.00355,0,0,0,0,0
0.33,0.19678,-1.47974,0.00305,0.01120,0.00071,0.00050,0.00070,0.00171,0.00339,0.00232,0,0,0,0,0
0.34,0.19742,-1.47696,0.00283,0.01117,0.00072,0.00055,0.00061,0.00156,0.00398,0.00156,0,0,0,0,0
0.35,0.19725,-1.47950,0.00408,0.01293,0.00072,0.00054,0.00053,0.00097,0.00305,0.00132,0,0,0,0,0
0.36,0.19714,-1.48115,0.00616,0.01388,0.00068,0.00061,0.00050,0.00099,0.00398,0.00119,0,0,0,0,0
0.37,0.19731,-1.47985,0.00650,0.01032,0.00077,0.00089,0.00050,0.00086,0.00329,0.00137,0,0,0,0,0
0.38,0.19731,-1.47961,0.00371,0.00577,0.00087,0.00103,0.00052,0.00081,0.00507,0.00126,0,0,0,0,0
0.39,0.19734,-1.48262,0.00054,0.00244,0.00083,0.00097,0.00067,0.00073,0.00359,0.00078,0,0,0,0,0
0.40,0.19730,-1.47954,0.00054,0.00283,0.00076,0.00096,0.00079,0.00093,0.00412,0.00094,0,0,0,0,1
0.41,0.19658,-1.48129,0.00054,0.00219,0.00070,0.00083,0.00094,0.00114,0.00337,0.00188,0,0,0,0,0
0.42,0.19608,-1.47021,0.00054,0.00125,0.00079,0.00095,0.00105,0.00099,0.00396,0.00185,0,0,0,0,0
0.43,0.19595,-1.48095,0.00064,0.00113,0.00088,0.00129,0.00169,0.00117,0.00401,0.00193,0,0,0,0,0
0.44,0.19605,-1.47903,0.00074,0.00117,0.00128,0.00169,0.00259,0.00120,0.00670,0.00205,0,0,0,0,0
