"Time","2 Trdml","3 Platform","4 GM","5 Ip","6 BF","7 VL","8 St","9 TA","10 Gs","11 Gr","12 Synch","42 Ramp up","43 Ramp down","44 sw onset","45 sw offset"
0.00,0.19250,-1.48084,0.00362,0.01030,0.00072,0.00062,0.00206,0.00084,-0.00408,0.00401,0,0,0,1,0
0.01,0.19438,-1.47731,0.00286,0.00795,0.00071,0.00055,0.00206,0.00096,-0.00574,0.00475,0,0,0,0,0
0.02,0.19546,-1.47984,0.00163,0.01031,0.00068,0.00057,0.00209,0.00177,0.00533,0.00508,0,0,0,0,0
0.03,0.19530,-1.47959,0.00208,0.00772,0.00068,0.00055,0.00140,0.00207,0.00487,0.00322,0,0,0,0,0
0.04,0.19623,-1.47982,0.00273,0.00961,0.00069,0.00058,0.00122,0.00252,0.00364,0.00173,0,0,0,0,0
0.05,0.19625,-1.47995,0.00279,0.01381,0.00065,0.00061,0.00121,0.00337,0.00404,0.00154,0,0,0,0,0
0.06,0.19606,-1.48148,0.00297,0.01445,0.00084,0.00063,0.00110,0.00285,0.00383,0.00096,0,0,0,0,0
0.07,0.19550,-1.47983,0.00561,0.01425,0.00096,0.00068,0.00086,0.00179,0.00145,0.00081,0,0,0,0,0
0.08,0.19512,-1.48255,0.00539,0.01270,0.00083,0.00063,0.00062,0.00114,0.00286,0.00091,0,0,0,0,0
0.09,0.19537,-1.47938,0.00294,0.00766,0.00085,0.00060,0.00053,0.00071,0.00418,0.00167,0,0,0,0,0
0.10,0.19478,-1.48150,0.00166,0.00394,0.00089,0.00072,0.00072,0.00076,0.00316,0.00160,0,0,0,0,0
0.11,0.19426,-1.48327,0.00079,0.00298,0.00082,0.00077,0.00089,0.00090,0.00502,0.00088,0,0,0,0,1
0.12,0.19373,-1.47935,0.00077,0.00128,0.00083,0.00080,0.00095,0.00093,0.00544,0.00104,0,0,0,0,0
0.13,0.19198,-1.48179,0.00066,0.00110,0.00096,0.00099,0.00135,0.00093,0.00266,0.00108,0,0,0,0,0
0.14,0.19080,-1.48161,0.00068,0.00113,0.00113,0.00106,0.00167,0.00080,0.00441,0.00091,0,0,0,0,0
0.15,0.19162,-1.48214,0.00063,0.00116,0.00101,0.00096,0.00169,0.00073,0.00139,0.00109,0,0,0,0,0
0.16,0.19236,-1.47990,0.00058,0.00109,0.00088,0.00090,0.00171,0.00071,0.00441,0.00108,0,0,0,0,0
0.17,0.19217,-1.48130,0.00059,0.00103,0.00096,0.00112,0.00193,0.00076,0.00259,0.00128,0,0,0,0,0
0.18,0.19257,-1.47913,0.00060,0.00093,0.00091,0.00098,0.00151,0.00075,0.00286,0.00144,0,0,0,0,0
0.19,0.19282,-1.47946,0.00057,0.00103,0.00092,0.00094,0.00084,0.00075,0.00234,0.00135,0,0,0,0,0
0.20,0.19316,-1.48266,0.00055,0.00106,0.00079,0.00094,0.00071,0.00068,0.00342,0.00123,0,0,0,0,0
0.21,0.19320,-1.48076,0.00059,0.00090,0.00073,0.00095,0.00079,0.00062,0.00386,0.00109,0,0,0,0,0
0.22,0.19331,-1.47914,0.00248,0.00781,0.00081,0.00093,0.00076,0.00065,0.00360,0.00110,0,0,0,0,0
