"Time","2 Trdml","3 Platform","4 GM","5 Ip","6 BF","7 VL","8 St","9 TA","10 Gs","11 Gr","12 Synch","42 Ramp up","43 Ramp down","44 sw onset","45 sw offset"
0.00,0.09694,1.48396,0.00202,0.00218,0.00076,0.00058,0.00077,0.00057,0.00397,0.00123,0,0,0,0,0
0.01,0.09681,1.48299,0.00332,0.00914,0.00069,0.00056,0.00124,0.00054,0.00076,0.00089,0,0,0,0,0
0.02,0.09612,1.48390,0.00244,0.01003,0.00068,0.00057,0.00160,0.00061,0.00351,0.00181,0,0,0,1,0
0.03,0.09554,1.48158,0.00195,0.00592,0.00068,0.00056,0.00171,0.00084,-0.00214,0.00299,0,0,0,0,0
0.04,0.09624,1.48201,0.00190,0.00851,0.00066,0.00055,0.00152,0.00098,0.00580,0.00338,0,0,0,0,0
0.05,0.09682,1.48338,0.00184,0.01142,0.00069,0.00053,0.00105,0.00103,0.00565,0.00266,0,0,0,0,0
0.06,0.09762,1.47710,0.00207,0.00891,0.00066,0.00057,0.00094,0.00108,0.00336,0.00151,0,0,0,0,0
0.07,0.09830,1.48318,0.00201,0.00749,0.00062,0.00059,0.00103,0.00120,0.00305,0.00110,0,0,0,0,0
0.08,0.09839,1.48282,0.00165,0.01123,0.00062,0.00058,0.00084,0.00126,0.00336,0.00098,0,0,0,0,0
0.09,0.09792,1.48331,0.00271,0.01444,0.00065,0.00057,0.00058,0.00133,0.00351,0.00167,0,0,0,0,0
0.10,0.09751,1.48557,0.00382,0.01163,0.00073,0.00060,0.00061,0.00121,0.00351,0.00184,0,0,0,0,0
0.11,0.09800,1.48236,0.00272,0.00641,0.00081,0.00065,0.00056,0.00084,0.00336,0.00159,0,0,0,0,0
0.12,0.09752,1.48343,0.00142,0.00502,0.00082,0.00069,0.00056,0.00074,0.00366,0.00120,0,0,0,0,0
0.13,0.09719,1.48306,0.00079,0.00364,0.00076,0.00074,0.00067,0.00082,0.00381,0.00087,0,0,0,0,0
0.14,0.09676,1.48387,0.00060,0.00198,0.00071,0.00074,0.00066,0.00088,0.00427,0.00088,0,0,0,0,1
0.15,0.09672,1.48386,0.00055,0.00112,0.00070,0.00075,0.00092,0.00102,0.00458,0.00123,0,0,0,0,0
0.16,0.09797,1.48410,0.00057,0.00123,0.00093,0.00103,0.00133,0.00097,0.00351,0.00121,0,0,0,0,0
0.17,0.09813,1.48427,0.00057,0.00122,0.00103,0.00128,0.00146,0.00073,0.00443,0.00113,0,0,0,0,0
0.18,0.09762,1.48172,0.00058,0.00111,0.00081,0.00096,0.00144,0.00072,0.00473,0.00162,0,0,0,0,0
0.19,0.09652,1.48354,0.00056,0.00099,0.00071,0.00055,0.00140,0.00071,0.00458,0.00158,0,0,0,0,0
0.20,0.09604,1.48438,0.00056,0.00078,0.00072,0.00052,0.00152,0.00076,0.00336,0.00162,0,0,0,0,0
