"Time","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.00,0,0,0,0,0,0,0,0,,0,0.00145,0.00492,0.00076,0.00114,0.00064,0.00070,0.00942,0.00397,0.50833,0.19431,3.27662
0.01,0,0,0,0,0,1,0,0,146.059219,0,0.00154,0.00288,0.00253,0.00112,0.00091,0.00074,0.02069,0.01052,0.20898,0.19453,3.27727
0.02,0,0,0,0,0,0,0,0,170.564667,0,0.00194,0.00015,0.00605,0.00089,0.00096,0.00079,0.02513,0.01154,-0.04745,0.19438,3.27698
0.03,0,0,0,0,0,0,0,0,177.348877,0,0.00155,0.00374,0.00493,0.00073,0.00075,0.00078,0.02079,0.00729,-0.35927,0.19437,3.27761
0.04,0,0,0,0,0,0,0,0,168.752045,0,0.00165,0.00259,0.00182,0.00057,0.00065,0.00076,0.01552,0.00493,-0.63199,0.19423,3.27679
0.05,0,0,0,0,0,0,0,0,176.336182,0,0.00194,0.00338,0.00202,0.00054,0.00085,0.00083,0.01563,0.00435,-0.89139,0.19425,3.27726
0.06,0,0,0,0,0,0,0,0,177.758545,0,0.00146,0.00405,0.00200,0.00059,0.00086,0.00076,0.01303,0.00339,-1.11937,0.19444,3.27688
0.07,0,0,0,0,0,0,0,0,165.081421,0,0.00132,0.00257,0.00145,0.00061,0.00055,0.00062,0.01095,0.00304,-1.28704,0.19483,3.27736
0.08,0,0,0,0,0,0,0,0,167.838562,0,0.00131,0.00291,0.00139,0.00058,0.00057,0.00067,0.01116,0.00443,-1.40757,0.19511,3.27707
0.09,0,0,0,0,0,0,0,0,167.939514,0,0.00128,0.00351,0.00138,0.00053,0.00064,0.00080,0.01243,0.00550,-1.47515,0.19463,3.27729
0.10,0,0,0,0,0,0,0,0,163.049637,0,0.00160,0.00356,0.00111,0.00051,0.00086,0.00085,0.01243,0.00780,-1.47191,0.19411,3.27655
0.11,0,0,0,0,0,0,0,0,173.280518,0,0.00166,0.00406,0.00091,0.00055,0.00113,0.00087,0.01399,0.00697,-1.40889,0.19321,3.27652
0.12,0,0,0,0,0,0,0,0,175.381561,0,0.00110,0.00261,0.00078,0.00069,0.00120,0.00094,0.01108,0.00248,-1.29291,0.19289,3.27692
0.13,0,0,0,0,1,0,0,0,171.279755,0,0.00202,0.00219,0.00124,0.00098,0.00104,0.00088,0.00406,0.00058,-1.11755,0.19331,3.27736
0.14,0,0,0,0,0,0,0,0,150.774033,0,0.00301,0.00201,0.00133,0.00190,0.00097,0.00244,0.00278,0.00083,-0.90665,0.19274,3.27751
0.15,0,0,0,0,0,0,0,0,135.490341,0,0.00228,0.00274,0.00089,0.00216,0.00127,0.00427,0.00232,0.00096,-0.65057,0.19187,3.27608
0.16,0,0,0,0,0,0,0,0,129.627121,0,0.00228,0.00397,0.00092,0.00213,0.00153,0.00435,0.00190,0.00073,-0.38043,0.19055,3.27748
0.17,0,0,0,0,0,0,0,0,123.623497,0,0.00317,0.00353,0.00141,0.00215,0.00170,0.00485,0.00221,0.00070,-0.07571,0.19200,3.27760
0.18,0,0,0,0,0,0,0,0,116.049728,0,0.00259,0.00462,0.00155,0.00128,0.00141,0.00751,0.00187,0.00081,0.20774,0.19267,3.27757
0.19,0,0,0,0,0,0,0,0,120.629341,0,0.00242,0.00377,0.00107,0.00109,0.00156,0.00822,0.00170,0.00084,0.51114,0.19151,3.27774
0.20,0,0,0,0,0,0,0,0,121.393486,0,0.00312,0.00365,0.00111,0.00103,0.00227,0.00815,0.00207,0.00106,0.76448,0.19145,3.27666
0.21,0,0,0,0,0,0,0,0,129.598511,0,0.00213,0.00426,0.00093,0.00078,0.00178,0.00638,0.00215,0.00297,0.99401,0.19220,3.27698
0.22,0,0,0,0,0,1,0,0,152.679367,0,0.00268,0.00359,0.00071,0.00274,0.00088,0.00197,0.00392,0.00528,1.20341,0.19268,3.27740
0.23,0,0,0,0,0,0,0,0,168.879318,0,0.00646,0.00372,0.00122,0.00337,0.00067,0.00074,0.00783,0.00415,1.34685,0.19281,3.27777
0.24,0,0,0,0,0,0,0,0,173.722992,0,0.00834,-0.00101,0.00319,0.00192,0.00071,0.00064,0.01450,0.00325,1.44252,0.19236,3.27669
0.25,0,0,0,0,0,0,0,0,170.036621,0,0.00541,0.00043,0.00483,0.00131,0.00067,0.00065,0.02120,0.00698,1.48441,0.19271,3.27709
0.26,0,0,0,0,0,0,0,0,78.680054,0,0.00197,0.00416,0.00335,0.00074,0.00068,0.00067,0.02238,0.00782,1.46685,0.19398,3.27715
0.27,0,0,0,0,0,0,0,0,173.714630,0,0.00127,0.00214,0.00158,0.00053,0.00066,0.00069,0.01966,0.00656,1.39790,0.19432,3.27760
0.28,0,0,0,0,0,0,0,0,172.446579,0,0.00132,0.00500,0.00106,0.00051,0.00060,0.00072,0.01407,0.00486,1.27268,0.19410,3.27695
0.29,0,0,0,0,0,0,0,0,175.972580,0,0.00147,0.00286,0.00076,0.00056,0.00062,0.00072,0.00775,0.00151,1.08676,0.19418,3.27760
0.30,0,0,0,0,0,0,0,0,171.771576,0,0.00189,0.00348,0.00096,0.00078,0.00060,0.00066,0.00400,0.00051,0.87339,0.19431,3.27692
0.31,0,0,0,0,1,0,0,0,160.943146,0,0.00262,0.00371,0.00120,0.00087,0.00061,0.00067,0.00163,0.00057,0.60540,0.19563,3.27800
0.32,0,0,0,0,0,0,0,0,144.527603,0,0.00226,0.00334,0.00146,0.00097,0.00095,0.00081,0.00128,0.00071,0.33608,0.19627,3.27702
0.33,0,0,0,0,0,0,0,0,136.094040,0,0.00211,0.00438,0.00165,0.00089,0.00110,0.00086,0.00149,0.00068,0.02692,0.19479,3.27700
0.34,0,0,0,0,0,0,0,0,126.763474,0,0.00216,0.00556,0.00147,0.00069,0.00081,0.00081,0.00126,0.00058,-0.25612,0.19419,3.27626
0.35,0,0,0,0,0,0,0,0,119.941254,0,0.00173,0.00386,0.00101,0.00118,0.00065,0.00076,0.00094,0.00063,-0.55563,0.19307,3.27704
0.36,0,0,0,0,0,0,0,0,128.359070,0,0.00150,0.00417,0.00071,0.00162,0.00061,0.00069,0.00078,0.00063,-0.82625,0.19287,3.27690
0.37,0,0,0,0,0,0,0,0,121.962440,0,0.00134,0.00080,0.00068,0.00122,0.00056,0.00064,0.00290,0.00129,-1.04952,0.19282,3.27745
0.38,0,0,0,0,0,0,0,0,126.800972,0,0.00181,0.00525,0.00066,0.00128,0.00060,0.00069,0.01103,0.00836,-1.24329,0.19367,3.27813
0.39,0,0,0,0,0,1,0,0,144.079605,0,0.00197,0.00705,0.00201,0.00159,0.00061,0.00074,0.01741,0.00870,-1.37597,0.19490,3.27703
0.40,0,0,0,0,0,0,0,0,172.961273,0,0.00242,0.01017,0.00384,0.00169,0.00065,0.00078,0.01853,0.00371,-1.45769,0.19455,3.27738
0.41,0,0,0,0,0,0,0,0,162.023117,0,0.00383,0.00920,0.00497,0.00158,0.00071,0.00080,0.01519,0.00629,-1.48112,0.19472,3.27668
0.42,0,0,0,0,0,0,0,0,165.011047,0,0.00333,0.00826,0.00474,0.00134,0.00062,0.00075,0.01389,0.00554,-1.44522,0.19492,3.27756
0.43,0,0,0,0,0,0,0,0,177.750381,0,0.00218,0.00360,0.00472,0.00146,0.00062,0.00076,0.02156,0.00793,-1.34343,0.19402,3.27732
0.44,0,0,0,0,0,0,0,0,176.724487,0,0.00202,0.00369,0.00449,0.00125,0.00080,0.00098,0.02748,0.01557,-1.19372,0.19402,3.27735
