"Time","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM"
 .00,0.00144,0.00117,0.00080,0.00086,0.00108,0.00127,0.00675,0.00134
0.01,0.00228,0.00312,0.00341,0.00186,0.00066,0.00067,0.01617,0.00750
0.02,0.00457,0.00377,0.00353,0.00119,0.00068,0.00069,0.01959,0.00383
0.03,0.00348,0.00267,0.00227,0.00164,0.00059,0.00067,0.01149,0.00549
0.04,0.00358,0.00169,0.00288,0.00072,0.00057,0.00060,0.01174,0.00180
0.05,0.00126,0.00104,0.00185,0.00072,0.00052,0.00066,0.01003,0.00266
0.06,0.00165,0.00081,0.00161,0.00062,0.00051,0.00076,0.00910,0.00234
0.07,0.00158,0.00080,0.00102,0.00052,0.00057,0.00068,0.01203,0.00225
0.08,0.00101,0.00059,0.00103,0.00057,0.00056,0.00070,0.00763,0.00248
0.09,0.00095,0.00058,0.00084,0.00057,0.00056,0.00071,0.00945,0.00125
0.10,0.00156,0.00058,0.00082,0.00054,0.00076,0.00074,0.00644,0.00176
0.11,0.00124,0.00054,0.00068,0.00060,0.00100,0.00088,0.00178,0.00097
0.12,0.00088,0.00062,0.00080,0.00073,0.00088,0.00090,0.00379,0.00053
0.13,0.00174,0.00065,0.00120,0.00072,0.00067,0.00068,0.00088,0.00057
0.14,0.00117,0.00062,0.00079,0.00090,0.00061,0.00068,0.00080,0.00053
0.15,0.00141,0.00078,0.00118,0.00166,0.00063,0.00073,0.00103,0.00060
0.16,0.00171,0.00084,0.00084,0.00187,0.00066,0.00073,0.00105,0.00055
0.17,0.00105,0.00101,0.00101,0.00133,0.00070,0.00071,0.00071,0.00051
0.18,0.00308,0.00121,0.00079,0.00144,0.00057,0.00071,0.00086,0.00056
0.19,0.00355,0.00139,0.00078,0.00148,0.00062,0.00058,0.00080,0.00059
0.20,0.00426,0.00102,0.00070,0.00147,0.00054,0.00072,0.00075,0.00055
0.21,0.00250,0.00134,0.00082,0.00192,0.00060,0.00069,0.00065,0.00052
0.22,0.00101,0.00110,0.00065,0.00142,0.00096,0.00083,0.00137,0.00052
0.23,0.00086,0.00089,0.00070,0.00085,0.00104,0.00094,0.00082,0.00054
0.24,0.00124,0.00250,0.00153,0.00129,0.00142,0.00126,0.00122,0.00150
0.25,0.00100,0.00113,0.00071,0.00086,0.00072,0.00093,0.00622,0.00113
0.26,0.00210,0.00370,0.00252,0.00125,0.00083,0.00065,0.03538,0.01042
0.27,0.00553,0.00660,0.00505,0.00175,0.00062,0.00069,0.01104,0.00283
0.28,0.00428,0.00334,0.00287,0.00104,0.00068,0.00068,0.01061,0.00685
0.29,0.00282,0.00147,0.00109,0.00078,0.00045,0.00068,0.00950,0.00242
0.30,0.00180,0.00091,0.00231,0.00063,0.00055,0.00075,0.01286,0.00364
0.31,0.00132,0.00070,0.00080,0.00058,0.00054,0.00068,0.00941,0.00200
0.32,0.00131,0.00072,0.00114,0.00049,0.00053,0.00075,0.01674,0.00616
0.33,0.00107,0.00065,0.00086,0.00052,0.00068,0.00062,0.01112,0.00611
0.34,0.00167,0.00060,0.00086,0.00049,0.00109,0.00091,0.00941,0.00684
0.35,0.00083,0.00080,0.00076,0.00055,0.00097,0.00082,0.00208,0.00055
0.36,0.00072,0.00081,0.00072,0.00078,0.00098,0.00083,0.00280,0.00052
0.37,0.00115,0.00064,0.00114,0.00079,0.00093,0.00069,0.00299,0.00055
0.38,0.00260,0.00075,0.00112,0.00108,0.00073,0.00071,0.00139,0.00052
0.39,0.00109,0.00077,0.00085,0.00102,0.00119,0.00088,0.00109,0.00057
0.40,0.00276,0.00142,0.00147,0.00234,0.00138,0.00089,0.00117,0.00072
0.41,0.00133,0.00207,0.00095,0.00284,0.00200,0.00167,0.00119,0.00076
0.42,0.00128,0.00093,0.00077,0.00121,0.00113,0.00110,0.00141,0.00059
0.43,0.00162,0.00091,0.00076,0.00108,0.00114,0.00114,0.00176,0.00060
0.44,0.00111,0.00063,0.00074,0.00058,0.00132,0.00270,0.00184,0.00054
0.45,0.00086,0.00071,0.00061,0.00062,0.00112,0.00142,0.00201,0.00053
0.46,0.00069,0.00179,0.00069,0.00061,0.00079,0.00093,0.00146,0.00080
0.47,0.00176,0.00455,0.00324,0.00231,0.00069,0.00073,0.01375,0.00292
0.48,0.00492,0.00410,0.00273,0.00175,0.00056,0.00069,0.01475,0.00733
0.49,0.00460,0.00424,0.00279,0.00208,0.00056,0.00074,0.00843,0.00577
0.50,0.00392,0.00293,0.00403,0.00147,0.00060,0.00066,0.01402,0.00651
0.51,0.00198,0.00104,0.00276,0.00113,0.00058,0.00067,0.01789,0.00578
0.52,0.00125,0.00068,0.00164,0.00076,0.00051,0.00068,0.01268,0.00414
0.53,0.00081,0.00074,0.00230,0.00074,0.00057,0.00064,0.00992,0.00595
0.54,0.00119,0.00063,0.00169,0.00075,0.00056,0.00071,0.01196,0.00323
0.55,0.00136,0.00063,0.00188,0.00050,0.00056,0.00066,0.01230,0.00716
0.56,0.00096,0.00141,0.00106,0.00059,0.00059,0.00068,0.01414,0.00794
0.57,0.00108,0.00092,0.00073,0.00053,0.00077,0.00067,0.01140,0.00602
0.58,0.00110,0.00094,0.00092,0.00058,0.00097,0.00094,0.00534,0.00087
0.59,0.00080,0.00081,0.00066,0.00088,0.00077,0.00072,0.00147,0.00055
0.60,0.00097,0.00633,0.00109,0.00174,0.00139,0.00104,0.00492,0.00091
0.61,0.00131,0.00138,0.00074,0.00110,0.00095,0.00076,0.00133,0.00065
0.62,0.00118,0.00182,0.00100,0.00183,0.00128,0.00138,0.00178,0.00067
0.63,0.00119,0.00136,0.00090,0.00175,0.00104,0.00158,0.00109,0.00073
0.64,0.00184,0.00136,0.00079,0.00290,0.00075,0.00082,0.00110,0.00054
0.65,0.00104,0.00170,0.00070,0.00333,0.00129,0.00122,0.00100,0.00055
0.66,0.00147,0.00141,0.00078,0.00261,0.00128,0.00105,0.00151,0.00057
0.67,0.00126,0.00075,0.00079,0.00082,0.00134,0.00587,0.00149,0.00065
0.68,0.00112,0.00087,0.00078,0.00097,0.00401,0.00437,0.00231,0.00069
0.69,0.00088,0.00068,0.00074,0.00065,0.00459,0.00406,0.00185,0.00061
0.70,0.00104,0.00069,0.00056,0.00062,0.00067,0.00085,0.00156,0.00234
0.71,0.00271,0.00323,0.00215,0.00259,0.00064,0.00071,0.01618,0.00359
0.72,0.00477,0.00374,0.00341,0.00233,0.00061,0.00072,0.01038,0.00741
