"Time","46 sw offset","45 sw onset","34 FRx (cm)","29 HRx (cm)","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.00,0,0,18.591060,12.686034,0.00157,0.00202,0.00056,0.00067,0.00062,0.00067,0.00069,0.00052,1.48240,0.09643,3.27691
0.01,0,0,18.429054,12.584819,0.00182,0.00364,0.00057,0.00056,0.00053,0.00059,0.00078,0.00060,1.48409,0.09735,3.27696
0.02,0,0,18.326495,12.502886,0.00279,0.00381,0.00061,0.00060,0.00058,0.00065,0.00096,0.00099,1.48751,0.09740,3.27691
0.03,0,1,18.256899,12.441360,0.00421,0.00719,0.00216,0.00082,0.00100,0.00083,0.00366,0.00185,1.47436,0.09709,3.27781
0.04,0,0,18.157587,12.417859,0.00482,0.00976,0.00435,0.00108,0.00122,0.00100,0.00489,0.00197,1.48133,0.09670,3.27717
0.05,0,0,18.082587,12.610305,0.00524,0.00861,0.00530,0.00118,0.00122,0.00100,0.00343,0.00233,1.48421,0.09656,3.27748
0.06,0,0,17.921231,13.264963,0.00330,0.00497,0.00438,0.00087,0.00123,0.00086,0.00461,0.00251,1.48393,0.09674,3.27689
0.07,0,0,17.813236,13.560961,0.00105,0.00279,0.00383,0.00067,0.00116,0.00074,0.00702,0.00211,1.48553,0.09758,3.27724
0.08,0,0,17.656914,13.841179,0.00097,0.00256,0.00346,0.00068,0.00143,0.00074,0.01016,0.00265,1.48456,0.09726,3.27718
0.09,0,0,17.597607,14.146349,0.00062,0.00067,0.00194,0.00056,0.00140,0.00089,0.01373,0.00239,1.48392,0.09691,3.27737
0.10,0,0,17.462866,14.391383,0.00067,0.00076,0.00123,0.00064,0.00125,0.00087,0.01435,0.00237,1.48362,0.09690,3.27702
0.11,0,0,17.340345,14.504642,0.00071,0.00076,0.00089,0.00065,0.00102,0.00068,0.01157,0.00220,1.48578,0.09666,3.27678
0.12,1,0,17.236191,14.651440,0.00078,0.00088,0.00072,0.00062,0.00078,0.00076,0.00786,0.00127,1.48491,0.09677,3.27689
0.13,0,0,17.167222,14.666630,0.00123,0.00093,0.00068,0.00082,0.00070,0.00094,0.00454,0.00098,1.48473,0.09742,3.27702
0.14,0,0,17.023146,14.506333,0.00173,0.00077,0.00062,0.00088,0.00058,0.00097,0.00304,0.00087,1.48459,0.09665,3.27750
0.15,0,0,16.882058,14.377420,0.00231,0.00135,0.00067,0.00073,0.00058,0.00087,0.00232,0.00077,1.48341,0.09590,3.27693
0.16,0,0,16.758690,14.275354,0.00249,0.00134,0.00067,0.00077,0.00054,0.00075,0.00117,0.00066,1.48448,0.09582,3.27763
0.17,0,0,16.635257,14.161377,0.00261,0.00105,0.00068,0.00078,0.00057,0.00081,0.00107,0.00060,1.48304,0.09540,3.27632
0.18,0,0,16.545244,14.033114,0.00244,0.00097,0.00074,0.00078,0.00060,0.00085,0.00170,0.00069,1.48428,0.09602,3.27713
0.19,0,0,16.433943,13.928630,0.00171,0.00055,0.00079,0.00081,0.00060,0.00086,0.00163,0.00082,1.48148,0.09655,3.27702
0.20,0,0,16.334795,13.840202,0.00286,0.00145,0.00076,0.00076,0.00060,0.00085,0.00082,0.00070,1.48525,0.09663,3.27665
0.21,0,0,16.229926,13.737961,0.00254,0.00165,0.00064,0.00079,0.00054,0.00082,0.00060,0.00055,1.48574,0.09591,3.27744
0.22,0,0,16.147557,13.648163,0.00149,0.00082,0.00060,0.00094,0.00056,0.00086,0.00073,0.00059,1.48369,0.09541,3.27754
0.23,0,0,16.012093,13.517665,0.00238,0.00105,0.00089,0.00093,0.00058,0.00081,0.00074,0.00057,1.48359,0.09519,3.27685
0.24,0,0,15.941389,13.394062,0.00235,0.00103,0.00109,0.00083,0.00063,0.00087,0.00071,0.00047,1.48336,0.09603,3.27700
