"Time"	"44 miry (cm)"	"43 mirx (cm)"	"42 CoMy (cm)"	"41 CoMx (cm)"	"40 FRy (cm)"	"39 FRx (cm)"	"38 FLy (cm)"	"37 FLx (cm)"	"36 HRy (cm)"	"35 HRx (cm)"	"34 HLy (cm)"	"33 HLx (cm)"	"32 MTP ang"	"31 Keyboard"	"30 ankle ang"	"29 knee ang"	"28 hip ang"	"27 FLty (cm)"	"26 FLtx (cm)"	"25 toey (cm)"	"801 toex (cm)"	"24 toex (cm)"	"23 MTPy (cm)"	"22 MTPx (cm)"	"21 anky (cm)"	"20 ankx (cm)"	"19 kny (cm)"	"18 knx (cm)"	"17 Hipy (cm)"	"16 Hipx (cm)"	"15 Cry (cm)"	"14 Crx (cm)"	"12 Sync"	"11 Gr"	"10 St"	"9 TA"	"8 Gs"	"7 VL"	"6 BF"	"5 Ip"	"4 GM"	"46 sw offset"	"45 sw onset"	"3 Platform"	"2 Trdml"	"1 Synch"
0.00	7.304363	1.093847	4.969913	14.761905	4.135141	16.847771	5.971373	15.394988	4.595071	10.844009	6.329168	13.340173	114.744377	0	69.627419	89.490982	101.823792	8.022021	17.454264	8.136521	-4.526443	11.122893	8.347525	10.568397	9.527195	10.487878	9.016948	12.214015	10.458409	12.626221	10.384934	13.642336	0	-0.01766	0.00427	-0.02949	-0.01271	0.00864	-0.01642	-0.00232	0.01403	0	0	-1.48541	0.36923	3.27744
0.01	7.327665	1.143723	4.964550	15.042087	4.155748	16.750496	5.971473	16.273624	4.606197	10.827679	6.289441	13.212690	112.370277	0	83.146278	98.156517	109.531792	8.035781	17.381933	8.182358	-2.735417	11.073076	8.499885	10.538311	9.635800	10.704313	9.164689	12.441561	10.541978	13.035548	10.474617	14.050424	0	-0.01879	-0.01247	-0.01957	-0.03715	0.00723	-0.00973	0.00434	0.00083	0	1	-1.48602	0.35815	3.27804
0.02	7.339991	1.173126	5.060399	15.341353	4.173997	16.688854	6.040916	17.095873	4.535817	11.050356	6.311975	13.168093	149.885193	0	88.865929	91.945480	106.373833	8.049756	17.301601	8.284494	25.940571	11.071402	8.814880	10.854627	9.822135	11.189248	9.226624	12.887199	10.624206	13.431320	10.539011	14.425356	0	-0.02592	0.00246	-0.01844	-0.01194	0.00796	-0.01073	0.00645	0.00134	0	0	-1.48523	0.35572	3.27743
0.03	7.363549	1.185975	5.211277	15.659590	4.215188	16.643692	6.126700	17.887039	4.212924	11.926608	6.361468	13.134409	141.336288	0	64.779785	83.901604	96.362068	8.063030	17.233589	8.452496	123.842407	11.648868	8.890497	11.918029	9.788958	11.806389	9.230335	13.517294	10.697357	13.828682	10.601310	14.804419	0	-0.02309	-0.00843	-0.01059	-0.01552	0.00161	-0.01384	0.02007	-0.02525	0	0	-1.48729	0.35122	3.27865
0.04	7.364011	1.217165	5.338861	15.967330	4.249804	16.581322	6.314248	18.443403	4.165151	13.120823	6.384887	13.088490	167.046127	0	36.065636	79.979881	83.054695	8.079939	17.176891	8.271796	129.749268	13.470416	8.978941	13.053191	9.648219	12.433562	9.300597	14.197884	10.799302	14.227339	10.666720	15.162565	0	-0.01824	0.00168	-0.02438	-0.01275	0.01097	0.00705	0.00018	-0.05292	0	0	-1.48411	0.34865	3.27683
0.05	7.367903	1.222893	5.470225	16.260002	4.277188	16.530787	6.516872	19.049322	4.190421	14.133911	6.372349	12.929805	162.333099	0	29.417437	85.990509	72.638229	8.083674	17.098909	8.405384	122.757248	14.504903	8.777026	14.091917	9.263961	13.029474	9.412294	14.822538	10.894870	14.594675	10.755933	15.510706	0	-0.01467	-0.00834	-0.02114	-0.01883	0.00797	-0.01486	0.00856	0.00256	0	0	-1.48495	0.33993	3.27759
0.06	7.369621	1.234553	5.596127	16.559921	4.260656	16.491924	6.773976	19.493256	4.140564	15.151064	6.402305	12.858327	174.432861	0	41.155548	91.346611	58.771599	8.076139	17.009794	8.414172	75.093735	15.694432	8.527540	15.089836	8.834591	13.944976	9.628739	15.559201	10.989553	14.928999	10.887827	15.839066	0	0.00537	0.00250	-0.02592	-0.01433	0.00121	-0.01548	0.00247	0.00943	0	0	-1.48501	0.33232	3.27713
0.07	7.367612	1.242674	5.751064	16.857180	4.272257	16.585857	6.844537	19.366865	4.178088	15.513551	6.477183	12.857219	154.877975	0	57.041912	93.359154	60.004059	8.106333	16.926575	8.193056	8.926888	15.928334	8.230832	15.383417	8.792348	14.337344	9.659535	15.914601	11.013990	15.270207	10.940206	16.196922	0	-0.01841	-0.00655	-0.02860	-0.01815	0.01359	0.01301	0.01154	0.02094	1	0	-1.48602	0.32690	3.27758
0.08	7.369095	1.244104	5.920829	17.107662	4.834959	17.326721	6.855518	19.274935	4.193346	15.359174	6.523251	12.985823	146.659256	0	57.512600	95.203590	68.881943	8.296114	17.526714	8.167734	-6.739402	15.905790	8.210907	15.219785	8.874590	14.336422	9.506831	16.021132	10.952926	15.623717	10.859799	16.547447	0	-0.01683	-0.00440	-0.02887	-0.01449	0.00569	0.00439	0.02166	-0.00770	0	0	-1.48400	0.32473	3.27713
0.09	7.373876	1.219256	6.114826	17.321226	5.324145	18.528189	6.868821	19.194441	4.194301	15.246172	6.599568	13.309198	139.936783	0	58.937382	94.692253	70.918747	8.372047	18.663507	8.166200	-11.572827	15.801049	8.219730	15.170712	8.956501	14.431853	9.392472	16.178095	10.872587	15.935031	10.715961	16.845993	0	-0.01838	0.00434	-0.01355	0.03117	-0.00054	-0.00110	0.00436	0.02015	0	0	-1.48649	0.32551	3.27668
