"Time","3 Chan 3","2 Chan 2","1 Chan 1"
0.000,0.028984,0.004268,0.001668
0.001,0.028580,0.005419,0.001580
0.002,0.028059,0.006379,0.001540
0.003,0.027151,0.006649,0.001597
0.004,0.025948,0.006734,0.001676
0.005,0.024755,0.006822,0.001717
0.006,0.023454,0.006933,0.001742
0.007,0.022148,0.007105,0.001784
0.008,0.021567,0.007262,0.001763
0.009,0.021422,0.007482,0.001722
0.010,0.021215,0.007778,0.001746
0.011,0.021411,0.007915,0.001734
0.012,0.021459,0.007909,0.001727
0.013,0.021579,0.007846,0.001681
0.014,0.022121,0.007378,0.001655
0.015,0.022472,0.006368,0.001707
0.016,0.023122,0.005225,0.001756
0.017,0.024486,0.004236,0.001719
0.018,0.026508,0.003903,0.001576
0.019,0.028124,0.003904,0.001376
0.020,0.029986,0.003705,0.001187
0.021,0.030877,0.003618,0.001083
0.022,0.031651,0.003477,0.001008
0.023,0.031497,0.003381,0.001064
0.024,0.031260,0.003283,0.001091
0.025,0.030605,0.003202,0.001159
0.026,0.029590,0.003218,0.001224
0.027,0.028899,0.003250,0.001290
0.028,0.028195,0.003274,0.001399
0.029,0.027491,0.003275,0.001509
0.030,0.026573,0.003307,0.001649
0.031,0.025239,0.003370,0.001810
0.032,0.023436,0.003407,0.002014
0.033,0.021423,0.003540,0.002169
0.034,0.020015,0.003618,0.002327
0.035,0.018464,0.004043,0.002428
0.036,0.017857,0.004409,0.002458
0.037,0.017295,0.004695,0.002480
0.038,0.017050,0.004895,0.002451
0.039,0.016725,0.004989,0.002488
0.040,0.016798,0.005075,0.002524
0.041,0.017082,0.005188,0.002508
0.042,0.017191,0.005339,0.002470
0.043,0.017258,0.005477,0.002414
0.044,0.017020,0.005638,0.002425
0.045,0.016990,0.005737,0.002442
0.046,0.017008,0.005828,0.002459
0.047,0.016894,0.006008,0.002462
0.048,0.016640,0.006153,0.002466
0.049,0.016374,0.006294,0.002473
0.050,0.016010,0.006258,0.002524
0.051,0.015762,0.006134,0.002590
0.052,0.015619,0.006152,0.002625
0.053,0.015451,0.006200,0.002652
0.054,0.015443,0.006242,0.002653
0.055,0.015344,0.006230,0.002608
0.056,0.015166,0.006234,0.002581
0.057,0.015067,0.006318,0.002524
0.058,0.014965,0.006439,0.002502
0.059,0.015059,0.006523,0.002467
0.060,0.014991,0.006556,0.002471
0.061,0.014964,0.006508,0.002447
0.062,0.015213,0.006567,0.002373
0.063,0.015857,0.006525,0.002320
0.064,0.016521,0.006385,0.002251
0.065,0.017160,0.006114,0.002228
0.066,0.017507,0.005864,0.002243
0.067,0.017726,0.005641,0.002266
0.068,0.018197,0.005450,0.002240
0.069,0.018804,0.005287,0.002158
0.070,0.019701,0.005113,0.002062
0.071,0.020657,0.004782,0.002029
0.072,0.021698,0.004349,0.002014
0.073,0.022814,0.003907,0.001970
0.074,0.023480,0.003622,0.002074
0.075,0.023534,0.003599,0.002342
0.076,0.023532,0.003626,0.002629
0.077,0.023359,0.003467,0.002980
0.078,0.022881,0.003363,0.003061
0.079,0.022630,0.003325,0.003088
0.080,0.022531,0.003604,0.003017
0.081,0.023030,0.003801,0.002857
0.082,0.023486,0.003956,0.002731
0.083,0.023661,0.004093,0.002660
0.084,0.023316,0.004337,0.002689
0.085,0.022494,0.004636,0.002874
0.086,0.021453,0.005013,0.003249
0.087,0.020082,0.005568,0.004109
0.088,0.018221,0.007013,0.005610
0.089,0.016999,0.008859,0.007597
0.090,0.016145,0.011885,0.010720
0.091,0.015291,0.014919,0.014963
0.092,0.014707,0.017742,0.018359
0.093,0.013925,0.020290,0.022789
0.094,0.013072,0.022175,0.027353
0.095,0.011903,0.023852,0.032642
0.096,0.010140,0.025861,0.038182
0.097,0.008422,0.027723,0.043361
0.098,0.006663,0.029771,0.048480
0.099,0.005353,0.032385,0.053464
0.100,0.004299,0.035058,0.057603
0.101,0.003315,0.037769,0.061083
0.102,0.002625,0.041130,0.063246
0.103,0.002455,0.043705,0.065102
0.104,0.002527,0.045318,0.065626
0.105,0.003112,0.045375,0.064932
0.106,0.003876,0.045231,0.063254
0.107,0.004417,0.044510,0.062705
0.108,0.004985,0.043815,0.062112
0.109,0.005237,0.043561,0.062274
0.110,0.005655,0.042891,0.062207
0.111,0.006624,0.040899,0.061696
0.112,0.007691,0.038882,0.061644
0.113,0.008845,0.036591,0.060973
0.114,0.009885,0.033764,0.060276
0.115,0.010774,0.030866,0.061065
0.116,0.011776,0.028024,0.062209
0.117,0.012801,0.024462,0.063615
0.118,0.013744,0.020852,0.064125
0.119,0.014321,0.017714,0.065097
0.120,0.014850,0.014846,0.065191
0.121,0.015260,0.012267,0.064797
0.122,0.015695,0.010357,0.064023
0.123,0.016459,0.008597,0.062162
0.124,0.017333,0.007015,0.059007
0.125,0.018073,0.005868,0.055911
0.126,0.018571,0.005731,0.053372
0.127,0.019013,0.005771,0.050954
0.128,0.019619,0.005970,0.049251
0.129,0.020266,0.005999,0.047899
0.130,0.021014,0.005941,0.045879
0.131,0.021694,0.005791,0.043948
0.132,0.022285,0.005542,0.042744
0.133,0.023136,0.005274,0.041358
0.134,0.023800,0.005009,0.040608
0.135,0.024323,0.004613,0.040927
0.136,0.024761,0.004032,0.041403
0.137,0.025084,0.003483,0.041907
0.138,0.025174,0.003057,0.042709
0.139,0.025146,0.002641,0.044000
0.140,0.025136,0.002296,0.044897
0.141,0.024970,0.002023,0.045485
0.142,0.024881,0.001748,0.045559
0.143,0.024796,0.001457,0.044298
0.144,0.024915,0.001346,0.042899
0.145,0.025074,0.001373,0.042066
0.146,0.025639,0.001366,0.041325
0.147,0.026400,0.001384,0.040374
0.148,0.027050,0.001328,0.040301
0.149,0.027875,0.001247,0.039628
0.150,0.028650,0.001215,0.038749
0.151,0.029469,0.001236,0.038087
0.152,0.030397,0.001236,0.037274
0.153,0.031258,0.001236,0.035964
0.154,0.032150,0.001236,0.034167
0.155,0.032761,0.001236,0.032251
0.156,0.033552,0.001235,0.030328
0.157,0.034533,0.001226,0.028176
0.158,0.035533,0.001150,0.027193
0.159,0.036523,0.000961,0.026453
0.160,0.037439,0.000712,0.025168
0.161,0.037999,0.000546,0.023679
0.162,0.038349,0.000396,0.022269
0.163,0.038374,0.000308,0.020707
0.164,0.038540,0.000204,0.019262
0.165,0.038675,0.000083,0.017698
0.166,0.038891,0.000000,0.016120
0.167,0.039174,0.000000,0.014324
0.168,0.039796,0.000000,0.012823
0.169,0.040465,0.000000,0.011736
0.170,0.041421,0.000000,0.010627
0.171,0.042562,0.000000,0.009480
0.172,0.043638,0.000000,0.008808
0.173,0.044407,0.000000,0.008251
0.174,0.044969,0.000000,0.007323
0.175,0.045666,0.000000,0.006268
0.176,0.045742,0.000000,0.005391
0.177,0.045792,0.000000,0.004509
0.178,0.046170,0.000000,0.003621
0.179,0.046263,0.000018,0.002784
0.180,0.046006,0.000181,0.001995
0.181,0.046019,0.000291,0.001166
0.182,0.045852,0.000393,0.000769
0.183,0.044906,0.000571,0.000706
0.184,0.043781,0.000761,0.000712
0.185,0.042702,0.000958,0.000752
0.186,0.041206,0.001174,0.000873
0.187,0.039273,0.001442,0.001053
0.188,0.037471,0.001691,0.001246
0.189,0.035380,0.001963,0.001486
0.190,0.033242,0.002212,0.001742
0.191,0.031653,0.002471,0.001951
0.192,0.030187,0.002744,0.002133
0.193,0.028546,0.003058,0.002336
0.194,0.027066,0.003469,0.002462
0.195,0.026160,0.003902,0.002463
0.196,0.024999,0.004837,0.002415
0.197,0.024154,0.006384,0.002361
0.198,0.023796,0.007864,0.002267
0.199,0.023532,0.009146,0.002162
0.200,0.023184,0.010231,0.002066
0.201,0.022517,0.010762,0.002039
0.202,0.022206,0.011422,0.001929
0.203,0.022050,0.012278,0.001747
0.204,0.021983,0.012881,0.001590
0.205,0.021868,0.013441,0.001404
0.206,0.021392,0.013822,0.001301
0.207,0.020813,0.014102,0.001253
0.208,0.020340,0.014291,0.001212
0.209,0.019963,0.014312,0.001221
0.210,0.019816,0.013992,0.001258
0.211,0.019588,0.013235,0.001360
0.212,0.019197,0.011837,0.001449
0.213,0.018829,0.010422,0.001543
0.214,0.018566,0.009179,0.001651
0.215,0.018583,0.008066,0.001754
0.216,0.018763,0.007561,0.001768
0.217,0.019180,0.006831,0.001781
0.218,0.019475,0.005926,0.001845
0.219,0.019960,0.005292,0.001848
0.220,0.020347,0.004671,0.001907
0.221,0.020691,0.004344,0.001912
0.222,0.020930,0.004120,0.001894
0.223,0.021080,0.003935,0.001869
0.224,0.021186,0.003858,0.001832
0.225,0.021121,0.003851,0.001819
0.226,0.020970,0.003816,0.001866
0.227,0.020592,0.003827,0.001957
0.228,0.020198,0.003998,0.002031
0.229,0.019815,0.004404,0.002080
0.230,0.019325,0.004915,0.002093
0.231,0.019115,0.005385,0.002077
0.232,0.018479,0.005726,0.002123
0.233,0.017863,0.006072,0.002162
0.234,0.017262,0.006335,0.002203
0.235,0.016830,0.006615,0.002196
0.236,0.016750,0.006709,0.002188
0.237,0.016797,0.006790,0.002209
0.238,0.016917,0.006807,0.002217
0.239,0.017115,0.006766,0.002237
0.240,0.017197,0.006761,0.002282
0.241,0.017283,0.006676,0.002272
0.242,0.017237,0.006625,0.002305
0.243,0.017200,0.006439,0.002351
0.244,0.017111,0.006066,0.002419
0.245,0.016865,0.005769,0.002512
0.246,0.016630,0.005455,0.002625
0.247,0.016355,0.005363,0.002710
0.248,0.016169,0.005256,0.002776
0.249,0.016023,0.005188,0.002870
0.250,0.015816,0.005151,0.002943
0.251,0.015766,0.005213,0.002940
0.252,0.015687,0.005273,0.002914
0.253,0.015610,0.005388,0.002841
0.254,0.015480,0.005507,0.002801
0.255,0.015319,0.005646,0.002792
0.256,0.015212,0.005849,0.002809
0.257,0.015279,0.006002,0.002788
0.258,0.015728,0.006256,0.002685
0.259,0.016496,0.006365,0.002524
0.260,0.017383,0.006315,0.002393
0.261,0.018197,0.006154,0.002280
0.262,0.018804,0.005867,0.002202
0.263,0.018849,0.005699,0.002194
0.264,0.019051,0.005543,0.002100
0.265,0.019182,0.005427,0.002048
0.266,0.019167,0.005265,0.002058
0.267,0.019308,0.005128,0.002057
0.268,0.019432,0.005131,0.002100
0.269,0.019495,0.005176,0.002117
0.270,0.019632,0.005261,0.002073
0.271,0.019802,0.005430,0.001999
0.272,0.019787,0.005538,0.001944
0.273,0.019360,0.005585,0.001983
0.274,0.018651,0.005769,0.002099
0.275,0.017851,0.005942,0.002237
0.276,0.017135,0.006146,0.002350
0.277,0.016815,0.006337,0.002415
0.278,0.016855,0.006342,0.002431
0.279,0.016741,0.006322,0.002478
0.280,0.016676,0.006350,0.002547
0.281,0.016558,0.006444,0.002609
0.282,0.016299,0.006526,0.002684
0.283,0.016429,0.006393,0.002712
0.284,0.016687,0.006108,0.002708
0.285,0.016956,0.005784,0.002726
0.286,0.017536,0.005314,0.003429
0.287,0.017945,0.005238,0.004441
0.288,0.018479,0.005190,0.005466
0.289,0.018940,0.005484,0.007220
0.290,0.019084,0.006254,0.009224
0.291,0.018833,0.007625,0.014631
0.292,0.018275,0.009704,0.020881
0.293,0.017484,0.012355,0.028761
0.294,0.016713,0.015735,0.037145
0.295,0.015823,0.019322,0.044563
0.296,0.015241,0.022788,0.050244
0.297,0.014917,0.026375,0.055959
0.298,0.014185,0.030529,0.062173
0.299,0.013472,0.034587,0.069578
0.300,0.012632,0.038488,0.077919
0.301,0.011628,0.041728,0.084147
0.302,0.011030,0.043974,0.089809
0.303,0.010535,0.045655,0.094748
0.304,0.010060,0.046690,0.098791
0.305,0.009830,0.046960,0.102181
0.306,0.009724,0.046901,0.101622
0.307,0.009641,0.046485,0.099620
0.308,0.010274,0.045611,0.094540
0.309,0.010966,0.044115,0.088648
0.310,0.011765,0.042158,0.084260
0.311,0.012485,0.040187,0.081956
0.312,0.012942,0.038106,0.079558
0.313,0.013378,0.035525,0.076739
0.314,0.014036,0.032153,0.072406
0.315,0.014928,0.028758,0.066711
0.316,0.015621,0.026069,0.062465
0.317,0.016313,0.023974,0.058314
0.318,0.016891,0.022307,0.055316
0.319,0.017425,0.020864,0.053117
0.320,0.018051,0.019774,0.051140
0.321,0.018917,0.018444,0.049567
0.322,0.020043,0.016759,0.048205
0.323,0.020966,0.014859,0.048408
0.324,0.021817,0.012780,0.049343
0.325,0.022706,0.010836,0.049765
0.326,0.023373,0.008942,0.050446
0.327,0.024199,0.007019,0.050938
0.328,0.024813,0.005129,0.052117
0.329,0.024906,0.004231,0.053822
0.330,0.024846,0.003561,0.055941
0.331,0.024641,0.002940,0.057860
0.332,0.024297,0.002393,0.059577
0.333,0.023779,0.001899,0.061055
0.334,0.023397,0.001455,0.060858
0.335,0.023069,0.001001,0.060126
0.336,0.022777,0.000584,0.059003
0.337,0.022724,0.000254,0.058344
0.338,0.022581,0.000100,0.057648
0.339,0.022468,0.000047,0.057261
0.340,0.022550,0.000049,0.057203
0.341,0.022964,0.000104,0.055900
0.342,0.023266,0.000198,0.054507
0.343,0.023644,0.000265,0.053443
0.344,0.024165,0.000320,0.052491
0.345,0.024465,0.000460,0.051103
0.346,0.024819,0.000524,0.050629
0.347,0.025434,0.000524,0.049837
0.348,0.025992,0.000524,0.048554
0.349,0.026358,0.000524,0.048230
0.350,0.026864,0.000524,0.048461
0.351,0.027708,0.000520,0.048028
0.352,0.028380,0.000520,0.048031
0.353,0.028894,0.000520,0.048564
0.354,0.029637,0.000508,0.047535
0.355,0.030137,0.000475,0.046024
0.356,0.030310,0.000419,0.045040
0.357,0.030627,0.000326,0.044086
0.358,0.031028,0.000258,0.042078
0.359,0.031293,0.000204,0.039811
0.360,0.031759,0.000063,0.037773
0.361,0.032174,0.000000,0.035434
0.362,0.032158,0.000000,0.034581
0.363,0.032093,0.000000,0.034238
0.364,0.032205,0.000000,0.034079
0.365,0.031981,0.000000,0.034065
0.366,0.031613,0.000000,0.035190
0.367,0.031279,0.000000,0.035755
0.368,0.031203,0.000000,0.034919
