"1 Chan 1","2 Chan 2","3 Chan 3"
"0.004390","0.0171316","0.010265"
"0.004275","0.0166056","0.011449"
"0.004098","0.0162315","0.012728"
"0.003778","0.0163356","0.014529"
"0.003541","0.0166627","0.015996"
"0.003416","0.0170357","0.016889"
"0.003258","0.0172216","0.017513"
"0.002985","0.0170896","0.017939"
"0.002514","0.0169867","0.018862"
"0.002084","0.0168031","0.019872"
"0.001883","0.0167653","0.021268"
"0.001664","0.0168667","0.022742"
"0.001676","0.0167403","0.023667"
"0.001634","0.0166228","0.024763"
"0.001586","0.0165283","0.025367"
"0.001619","0.0162854","0.025597"
"0.001672","0.0162052","0.025276"
"0.001742","0.0159462","0.024446"
"0.001755","0.0153742","0.023574"
"0.001591","0.0148315","0.023097"
"0.001320","0.0143546","0.023001"
"0.001043","0.0144113","0.023157"
"0.000822","0.0148392","0.023007"
"0.000762","0.0152484","0.022439"
"0.000731","0.0156956","0.021579"
"0.000703","0.0158647","0.020378"
"0.000651","0.0159414","0.019866"
"0.000536","0.0162387","0.020626"
"0.000475","0.0162717","0.021628"
"0.000421","0.0163651","0.023196"
"0.000382","0.0163959","0.024313"
"0.000397","0.0161607","0.024927"
"0.000360","0.0161272","0.025654"
"0.000376","0.0160173","0.025708"
"0.000384","0.0159635","0.025497"
"0.000418","0.0158891","0.024985"
"0.000473","0.0154718","0.024343"
"0.000486","0.0151290","0.024403"
"0.000523","0.0146891","0.024439"
"0.000603","0.0141719","0.024459"
"0.000673","0.0139051","0.024573"
"0.000824","0.0135681","0.023996"
"0.000973","0.0130905","0.022664"
"0.001121","0.0127889","0.020855"
"0.001257","0.0124815","0.018907"
"0.001341","0.0123065","0.017621"
"0.001403","0.0123214","0.016834"
"0.001438","0.0122974","0.016644"
"0.001453","0.0122499","0.016676"
"0.001488","0.0121371","0.016852"
"0.001495","0.0119269","0.017539"
"0.001520","0.0117305","0.018130"
"0.001569","0.0114371","0.018596"
"0.001607","0.0111555","0.019367"
"0.001620","0.0109684","0.020400"
"0.001640","0.0107204","0.021175"
"0.001648","0.0104475","0.022329"
"0.001643","0.0102929","0.023294"
"0.001636","0.0101092","0.024506"
"0.001627","0.0099335","0.025803"
"0.001672","0.0098534","0.026439"
"0.001723","0.0097201","0.026984"
"0.001838","0.0096118","0.026703"
"0.001976","0.0095527","0.026241"
"0.002153","0.0094227","0.025603"
"0.002323","0.0093906","0.024865"
"0.002462","0.0093550","0.024295"
"0.002568","0.0093237","0.023904"
"0.002538","0.0097724","0.023020"
"0.002498","0.0102736","0.021700"
"0.002606","0.0107936","0.020510"
"0.002798","0.0113540","0.018880"
"0.003107","0.0113372","0.017690"
"0.003408","0.0113456","0.016418"
"0.003506","0.0113197","0.015024"
"0.003520","0.0113205","0.014224"
"0.003408","0.0117931","0.013498"
"0.003323","0.0121701","0.013208"
"0.003225","0.0124690","0.013120"
"0.003115","0.0129393","0.012961"
"0.003066","0.0130720","0.012728"
"0.003010","0.0132692","0.012522"
"0.003145","0.0136071","0.012006"
"0.003460","0.0131922","0.012186"
"0.003770","0.0128083","0.012349"
"0.003893","0.0124938","0.012491"
"0.003726","0.0121245","0.012914"
"0.003585","0.0121482","0.013178"
"0.003809","0.0122672","0.013983"
"0.004933","0.0124267","0.015317"
"0.006888","0.0126640","0.016636"
"0.009653","0.0123423","0.018481"
"0.012522","0.0116916","0.020984"
"0.015070","0.0111591","0.023648"
"0.017537","0.0103624","0.028772"
"0.019236","0.0098868","0.034844"
"0.021180","0.0094738","0.040693"
"0.022951","0.0090481","0.045988"
"0.024488","0.0089854","0.051420"
"0.026083","0.0089255","0.058474"
"0.027849","0.0087471","0.065837"
"0.029761","0.0085534","0.072855"
"0.031427","0.0085823","0.078528"
"0.033144","0.0084846","0.082567"
"0.033885","0.0083868","0.086149"
"0.033594","0.0081426","0.090748"
"0.033463","0.0080133","0.094504"
"0.033194","0.0081293","0.097243"
"0.032953","0.0083402","0.099086"
"0.033184","0.0087580","0.098532"
"0.034551","0.0092091","0.096426"
"0.035682","0.0095500","0.094217"
"0.039153","0.0097223","0.092570"
"0.043005","0.0099180","0.089696"
"0.046253","0.0102935","0.084669"
"0.049139","0.0109332","0.077979"
"0.052620","0.0114693","0.070686"
"0.056312","0.0117747","0.064505"
"0.059150","0.0122013","0.059433"
"0.063669","0.0125127","0.054563"
"0.066950","0.0128655","0.049006"
"0.068781","0.0133458","0.043758"
"0.070314","0.0137489","0.038987"
"0.072856","0.0137570","0.034812"
"0.075149","0.0137554","0.030644"
"0.076597","0.0138219","0.027201"
"0.078504","0.0138526","0.023840"
"0.077554","0.0139980","0.020337"
"0.075045","0.0143113","0.017103"
"0.074038","0.0140970","0.014344"
"0.073547","0.0137811","0.012855"
"0.073037","0.0137552","0.012063"
"0.072248","0.0138644","0.011453"
"0.071697","0.0138656","0.010772"
"0.069760","0.0139673","0.009835"
"0.069266","0.0140025","0.008593"
"0.069688","0.0138575","0.007298"
"0.069408","0.0139875","0.006019"
"0.068271","0.0141992","0.004860"
"0.065748","0.0142754","0.003914"
"0.063312","0.0142086","0.002967"
"0.060548","0.0141353","0.002253"
"0.058078","0.0140086","0.001893"
"0.057214","0.0136653","0.001845"
"0.055265","0.0135737","0.002054"
"0.053412","0.0135103","0.002212"
"0.051159","0.0134812","0.002321"
"0.048787","0.0134818","0.002423"
"0.046495","0.0136174","0.002456"
"0.044064","0.0137896","0.002502"
"0.041332","0.0140682","0.002561"
"0.037981","0.0145648","0.002613"
"0.035973","0.0150520","0.002484"
"0.034295","0.0155167","0.002353"
"0.034169","0.0158037","0.002201"
"0.034476","0.0161792","0.002042"
"0.034716","0.0166840","0.001877"
"0.035231","0.0172507","0.001641"
"0.035469","0.0180019","0.001413"
"0.035788","0.0186206","0.001139"
"0.034974","0.0192089","0.001008"
"0.033768","0.0198139","0.000936"
"0.032738","0.0204674","0.000807"
"0.032122","0.0209153","0.000714"
"0.031699","0.0213846","0.000609"
"0.031957","0.0217571","0.000473"
"0.032688","0.0217245","0.000366"
"0.033079","0.0217104","0.000354"
"0.033242","0.0219876","0.000311"
"0.033177","0.0223965","0.000204"
"0.032854","0.0226995","0.000120"
"0.031773","0.0230012","0.000079"
"0.030427","0.0232417","0.000076"
"0.028678","0.0232993","0.000111"
"0.026663","0.0237743","0.000111"
"0.025362","0.0242340","0.000083"
"0.024382","0.0243774","0.000138"
"0.023479","0.0242781","0.000298"
"0.021946","0.0242799","0.000601"
"0.020273","0.0243134","0.001016"
"0.018228","0.0243112","0.001583"
"0.015963","0.0245117","0.002296"
"0.013742","0.0245867","0.003025"
"0.011587","0.0245013","0.003742"
"0.009308","0.0243488","0.004491"
"0.007179","0.0242308","0.005244"
"0.005723","0.0240895","0.006010"
"0.004451","0.0239310","0.006846"
"0.003610","0.0237962","0.007568"
"0.003116","0.0232705","0.008282"
"0.002629","0.0225944","0.009051"
"0.002056","0.0219398","0.009755"
"0.001527","0.0215652","0.010328"
"0.001348","0.0212212","0.010757"
"0.001321","0.0207131","0.011016"
"0.001364","0.0201529","0.010997"
"0.001421","0.0195262","0.011014"
"0.001389","0.0191420","0.010949"
"0.001295","0.0189512","0.010840"
"0.001190","0.0194580","0.010418"
"0.001093","0.0200760","0.009777"
"0.001038","0.0204211","0.009147"
"0.001007","0.0209889","0.008312"
"0.001063","0.0209871","0.007740"
"0.001083","0.0211264","0.007191"
"0.001040","0.0215917","0.006489"
"0.001042","0.0219677","0.005825"
"0.001031","0.0221978","0.005260"
"0.001032","0.0223073","0.004805"
"0.001014","0.0221356","0.004511"
"0.000897","0.0224315","0.004268"
"0.000768","0.0232798","0.003666"
"0.000682","0.0237804","0.003116"
"0.000669","0.0239264","0.002744"
"0.000739","0.0231893","0.002712"
"0.000862","0.0219609","0.003078"
"0.000932","0.0210482","0.003544"
"0.000929","0.0202914","0.004240"
"0.000842","0.0201565","0.004758"
"0.000790","0.0198701","0.005270"
"0.000837","0.0192401","0.005710"
"0.000938","0.0184518","0.006028"
"0.001059","0.0175868","0.006398"
"0.001158","0.0169247","0.006835"
"0.001173","0.0167139","0.007266"
"0.001269","0.0160656","0.007805"
"0.001394","0.0149636","0.008610"
"0.001543","0.0139078","0.009290"
"0.001678","0.0129812","0.009778"
"0.001756","0.0124801","0.010251"
"0.001795","0.0123367","0.010388"
"0.001845","0.0121343","0.010391"
"0.001999","0.0115310","0.010279"
"0.002160","0.0108268","0.010147"
"0.002272","0.0102332","0.010208"
"0.002336","0.0097233","0.010687"
"0.002271","0.0096788","0.011666"
"0.002219","0.0096704","0.012952"
"0.002203","0.0095487","0.014111"
"0.002181","0.0093762","0.015794"
"0.002147","0.0093237","0.017331"
"0.002028","0.0094386","0.018816"
"0.001879","0.0096859","0.020421"
"0.001770","0.0099369","0.021148"
"0.001748","0.0099990","0.021633"
"0.001818","0.0098650","0.022261"
"0.001887","0.0097523","0.023255"
"0.001862","0.0097322","0.024920"
"0.001722","0.0099559","0.026681"
"0.001599","0.0103008","0.027850"
"0.001559","0.0106026","0.028275"
"0.001625","0.0108750","0.027665"
"0.001688","0.0110114","0.026628"
"0.001680","0.0113910","0.025538"
"0.001670","0.0118303","0.023719"
"0.001670","0.0121783","0.022084"
"0.001828","0.0123117","0.020370"
"0.002212","0.0120885","0.018748"
"0.002664","0.0118232","0.018173"
"0.002978","0.0117930","0.018174"
"0.003130","0.0121802","0.018049"
"0.003075","0.0126091","0.017530"
"0.003003","0.0129006","0.016568"
"0.003066","0.0128169","0.015219"
"0.003164","0.0124324","0.014383"
"0.003181","0.0121858","0.014047"
"0.003153","0.0121578","0.014034"
"0.003134","0.0122778","0.013987"
"0.003287","0.0121790","0.013974"
"0.003552","0.0118625","0.014575"
"0.003827","0.0113279","0.015058"
"0.004019","0.0109456","0.015544"
"0.003910","0.0110607","0.015890"
"0.004334","0.0113568","0.015649"
"0.004908","0.0114849","0.015211"
"0.005579","0.0112817","0.015208"
"0.006585","0.0109830","0.015652"
"0.007805","0.0105635","0.016510"
"0.009280","0.0105614","0.017685"
"0.011180","0.0107816","0.018628"
"0.012617","0.0108459","0.019262"
"0.013854","0.0106289","0.020003"
"0.015585","0.0102024","0.020988"
"0.017348","0.0097685","0.021948"
"0.019041","0.0094282","0.022524"
"0.021318","0.0093395","0.023011"
"0.023268","0.0090248","0.024228"
"0.025665","0.0084513","0.025352"
"0.028463","0.0075500","0.028075"
"0.030191","0.0067699","0.030634"
"0.031883","0.0064442","0.032438"
"0.033504","0.0062548","0.034600"
"0.035884","0.0065884","0.034889"
"0.039175","0.0065335","0.035652"
"0.043068","0.0062140","0.036804"
"0.047657","0.0059796","0.038417"
"0.052503","0.0059300","0.039888"
"0.056432","0.0061733","0.041166"
"0.059855","0.0064620","0.043260"
"0.063086","0.0067084","0.045282"
"0.065680","0.0069067","0.047368"
"0.067606","0.0073028","0.048771"
"0.068662","0.0077820","0.050332"
"0.068593","0.0084560","0.051216"
"0.069884","0.0091212","0.051747"
"0.071172","0.0094325","0.052483"
"0.071482","0.0097296","0.052232"
"0.070747","0.0097411","0.052948"
"0.068697","0.0098794","0.053100"
"0.065609","0.0101211","0.052119"
"0.062504","0.0103384","0.050722"
"0.059419","0.0105938","0.049603"
"0.056895","0.0108287","0.048456"
"0.054988","0.0110548","0.046390"
"0.053085","0.0113463","0.044182"
"0.051286","0.0117261","0.041528"
"0.050138","0.0120646","0.038744"
"0.049453","0.0124890","0.035896"
"0.049122","0.0129837","0.032503"
"0.048365","0.0134561","0.029377"
"0.047648","0.0139842","0.026449"
"0.047835","0.0144765","0.023625"
"0.048059","0.0149208","0.020951"
"0.048773","0.0152840","0.018380"
"0.049449","0.0157131","0.016701"
"0.049679","0.0161698","0.015224"
"0.049218","0.0166185","0.013653"
"0.048359","0.0172259","0.012303"
"0.047319","0.0178081","0.011101"
"0.046127","0.0184132","0.010115"
"0.044655","0.0189010","0.009747"
"0.043838","0.0193420","0.009543"
"0.043189","0.0196812","0.009360"
"0.042495","0.0199121","0.009265"
"0.041549","0.0201922","0.009177"
"0.040337","0.0205455","0.009079"
"0.039833","0.0208344","0.009021"
"0.039824","0.0210924","0.009073"
"0.039578","0.0213866","0.009014"
"0.039377","0.0216476","0.008782"
"0.039475","0.0218939","0.008444"
"0.040259","0.0218972","0.008173"
"0.041151","0.0216697","0.007668"
"0.041930","0.0213524","0.007115"
"0.042972","0.0210664","0.006435"
"0.043986","0.0208515","0.005656"
"0.044898","0.0206042","0.004823"
"0.045189","0.0204309","0.004046"
"0.044332","0.0203732","0.003349"
"0.043720","0.0202019","0.002745"
"0.043219","0.0199167","0.002218"
"0.042204","0.0197267","0.001706"
"0.040930","0.0196708","0.001208"
"0.039658","0.0197482","0.000765"
"0.038133","0.0200582","0.000490"
"0.036416","0.0204682","0.000383"
"0.034645","0.0208586","0.000324"
"0.032918","0.0213955","0.000324"
"0.030899","0.0223432","0.000320"
"0.028806","0.0234173","0.000320"
"0.026935","0.0244761","0.000320"
"0.024698","0.0257111","0.000320"
"0.022872","0.0270852","0.000320"
"0.021468","0.0283266","0.000263"
"0.019897","0.0295206","0.000175"
"0.018297","0.0308008","0.000074"
"0.016528","0.0318812","0.000031"
"0.014627","0.0328979","0.000000"
"0.012584","0.0339775","0.000000"
"0.010778","0.0346392","0.000000"
"0.009118","0.0348330","0.000000"
"0.007461","0.0350423","0.000000"
"0.005888","0.0351573","0.000000"
"0.004694","0.0345216","0.000158"
"0.003631","0.0337216","0.000309"
"0.002552","0.0330423","0.000437"
"0.001649","0.0322368","0.000583"
"0.000845","0.0310805","0.000783"
