"td"	"to"
"1"	0.119318	0.278982
"2"	0.365418	0.50163
"3"	0.594986	0.769402
"4"	0.831712	0.98631
"5"	1.062734	1.196386
"6"	1.275614	1.421228
"7"	1.498726	1.60417
"8"	1.677732	1.769174
"9"	1.838314	1.963796
"10"	2.049966	2.236174
"11"	2.325156	2.435936
"12"	2.52106	2.706994
"13"	2.800586	2.942356
"14"	3.019632	3.134788
"15"	3.231726	3.39167
"16"	3.483268	3.596334
"17"	3.70592	3.883288
"18"	3.97119	4.116362
"19"	4.205486	4.346122
"20"	4.433094	4.566792
"21"	4.65474	4.783448
"22"	4.8758	5.065856
"23"	5.185668	5.402562
"24"	5.482926	5.6428
"25"	5.70595	5.817604
"26"	5.897276	5.997714
"27"	6.07667	6.19616
"28"	6.290478	6.441816
"29"	6.528282	6.724736
