"Time"	"45 sw offset"	"44 sw onset"	"11 Gr"	"10 Gs"	"9 TA"	"8 St"	"7 VL"	"6 BF"	"5 Ip"	"4 GM"
0.00	0	0	0.00697	0.00188	0.00803	0.00062	0.00057	0.00050	0.02234	0.00281
0.01	0	0	0.00231	0.00179	0.00372	0.00090	0.00045	0.00052	0.00769	0.00455
0.02	0	0	0.00547	0.00249	0.00321	0.00076	0.00076	0.00078	0.01836	0.00476
0.03	0	0	0.00123	0.00111	0.00160	0.00120	0.00037	0.00068	0.01492	0.00080
0.04	0	0	0.00085	0.00059	0.00135	0.00046	0.00051	0.00071	0.00662	0.00226
0.05	0	0	0.00161	0.00055	0.00108	0.00050	0.00051	0.00062	0.00824	0.00080
0.06	0	0	0.00193	0.00055	0.00092	0.00053	0.00062	0.00064	0.00171	0.00338
0.07	0	0	0.00078	0.00065	0.00078	0.00068	0.00064	0.00062	0.00581	0.00049
0.08	0	0	0.00063	0.00055	0.00111	0.00046	0.00087	0.00089	0.00175	0.00063
0.09	0	0	0.00099	0.00052	0.00061	0.00058	0.00097	0.00105	0.00117	0.00069
0.10	1	0	0.00078	0.00052	0.00070	0.00061	0.00119	0.00097	0.00064	0.00064
0.11	0	0	0.00143	0.00067	0.00126	0.00070	0.00063	0.00073	0.00090	0.00051
0.12	0	0	0.00114	0.00080	0.00084	0.00096	0.00063	0.00059	0.00089	0.00059
0.13	0	0	0.00107	0.00080	0.00079	0.00227	0.00049	0.00093	0.00086	0.00052
0.14	0	0	0.00205	0.00116	0.00085	0.00196	0.00075	0.00084	0.00155	0.00058
0.15	0	0	0.00105	0.00138	0.00104	0.00226	0.00055	0.00082	0.00042	0.00053
0.16	0	0	0.00090	0.00093	0.00094	0.00148	0.00068	0.00078	0.00102	0.00044
0.17	0	0	0.00093	0.00101	0.00088	0.00128	0.00063	0.00055	0.00078	0.00054
0.18	0	0	0.00280	0.00147	0.00046	0.00117	0.00054	0.00068	0.00064	0.00049
0.19	0	0	0.00253	0.00224	0.00054	0.00197	0.00064	0.00076	0.00063	0.00039
0.20	0	0	0.00061	0.00151	0.00083	0.00211	0.00081	0.00067	0.00140	0.00040
0.21	0	0	0.00058	0.00088	0.00039	0.00068	0.00063	0.00103	0.00090	0.00054
0.22	0	0	0.00090	0.00143	0.00084	0.00064	0.00078	0.00136	0.00078	0.00104
0.23	0	0	0.00123	0.00059	0.00054	0.00078	0.00054	0.00071	0.00064	0.00053
0.24	0	1	0.00191	0.00858	0.00232	0.00152	0.00091	0.00062	0.04314	0.00983
0.25	0	0	0.00930	0.00819	0.00181	0.00257	0.00082	0.00078	0.00734	0.00076
0.26	0	0	0.00228	0.00136	0.00134	0.00105	0.00104	0.00087	0.02889	0.00059
0.27	0	0	0.00349	0.00073	0.00041	0.00067	0.00042	0.00070	0.00066	0.00199
0.28	0	0	0.00282	0.00111	0.00068	0.00090	0.00050	0.00064	0.01053	0.00370
0.29	0	0	0.00117	0.00060	0.00079	0.00060	0.00064	0.00087	0.01194	0.00164
0.30	0	0	0.00187	0.00063	0.00180	0.00053	0.00055	0.00074	0.01316	0.00699
0.31	0	0	0.00091	0.00061	0.00060	0.00051	0.00069	0.00053	0.02361	0.00479
0.32	0	0	0.00146	0.00074	0.00072	0.00050	0.00137	0.00098	0.01093	0.00520
0.33	0	0	0.00088	0.00073	0.00088	0.00046	0.00090	0.00095	0.00171	0.00055
0.34	0	0	0.00067	0.00075	0.00053	0.00083	0.00099	0.00078	0.00124	0.00055
0.35	1	0	0.00216	0.00059	0.00113	0.00049	0.00093	0.00068	0.00521	0.00057
0.36	0	0	0.00479	0.00071	0.00052	0.00124	0.00100	0.00066	0.00137	0.00051
0.37	0	0	0.00107	0.00061	0.00106	0.00067	0.00076	0.00087	0.00095	0.00063
0.38	0	0	0.00261	0.00089	0.00169	0.00318	0.00183	0.00126	0.00106	0.00040
0.39	0	0	0.00125	0.00264	0.00059	0.00422	0.00195	0.00176	0.00104	0.00062
0.40	0	0	0.00077	0.00068	0.00063	0.00088	0.00143	0.00087	0.00099	0.00060
0.41	0	0	0.00123	0.00136	0.00065	0.00154	0.00193	0.00182	0.00284	0.00072
0.42	0	0	0.00070	0.00051	0.00062	0.00050	0.00095	0.00092	0.00098	0.00061
0.43	0	0	0.00075	0.00069	0.00041	0.00062	0.00078	0.00106	0.00238	0.00049
0.44	0	0	0.00059	0.00300	0.00069	0.00058	0.00084	0.00104	0.00181	0.00075
0.45	0	1	0.00349	0.00406	0.00362	0.00298	0.00078	0.00063	0.02553	0.00193
0.46	0	0	0.00626	0.00501	0.00100	0.00099	0.00060	0.00063	0.02244	0.00108
0.47	0	0	0.00613	0.00249	0.00186	0.00190	0.00054	0.00061	0.00781	0.00296
0.48	0	0	0.00468	0.00565	0.00709	0.00195	0.00060	0.00055	0.00483	0.01713
0.49	0	0	0.00224	0.00082	0.00289	0.00133	0.00052	0.00063	0.01049	0.00084
0.50	0	0	0.00104	0.00053	0.00195	0.00063	0.00057	0.00059	0.00970	0.00947
0.51	0	0	0.00079	0.00052	0.00077	0.00064	0.00054	0.00056	0.01391	0.00233
0.52	0	0	0.00074	0.00064	0.00177	0.00054	0.00057	0.00065	0.02121	0.00594
0.53	0	0	0.00201	0.00070	0.00204	0.00047	0.00059	0.00055	0.01003	0.00378
0.54	0	0	0.00075	0.00094	0.00088	0.00058	0.00048	0.00089	0.00697	0.00230
0.55	0	0	0.00111	0.00069	0.00078	0.00047	0.00101	0.00094	0.00696	0.00130
0.56	0	0	0.00148	0.00113	0.00079	0.00080	0.00081	0.00081	0.00236	0.00061
0.57	1	0	0.00132	0.00075	0.00085	0.00122	0.00060	0.00084	0.00101	0.00059
0.58	0	0	0.00112	0.00849	0.00135	0.00224	0.00151	0.00103	0.00333	0.00158
0.59	0	0	0.00131	0.00081	0.00087	0.00115	0.00118	0.00082	0.00117	0.00079
0.60	0	0	0.00136	0.00175	0.00146	0.00239	0.00083	0.00107	0.00193	0.00062
0.61	0	0	0.00157	0.00151	0.00081	0.00092	0.00061	0.00115	0.00074	0.00068
0.62	0	0	0.00115	0.00086	0.00065	0.00076	0.00054	0.00082	0.00085	0.00060
0.63	0	0	0.00142	0.00253	0.00078	0.00484	0.00104	0.00101	0.00051	0.00054
0.64	0	0	0.00255	0.00355	0.00058	0.00661	0.00303	0.00153	0.00263	0.00073
0.65	0	0	0.00113	0.00060	0.00086	0.00057	0.00343	0.00963	0.00245	0.00059
0.66	0	0	0.00068	0.00065	0.00079	0.00054	0.00139	0.00115	0.00110	0.00072
0.67	0	0	0.00073	0.00078	0.00064	0.00060	0.00242	0.00182	0.00282	0.00049
0.68	0	1	0.00108	0.00078	0.00062	0.00059	0.00059	0.00090	0.00105	0.00489
0.69	0	0	0.00250	0.00272	0.00218	0.00199	0.00068	0.00061	0.01847	0.00170
0.70	0	0	0.00707	0.00194	0.00295	0.00216	0.00067	0.00066	0.00443	0.00092
0.71	0	0	0.00123	0.00235	0.00375	0.00094	0.00054	0.00063	0.01042	0.00179
0.72	0	0	0.00299	0.00288	0.00268	0.00083	0.00050	0.00063	0.01850	0.00298
0.73	0	0	0.00220	0.00063	0.00198	0.00070	0.00054	0.00070	0.01630	0.02332
0.74	0	0	0.00129	0.00076	0.00327	0.00049	0.00046	0.00050	0.02346	0.00885
0.75	0	0	0.00106	0.00053	0.00149	0.00062	0.00052	0.00065	0.00814	0.00161
0.76	0	0	0.00248	0.00047	0.00053	0.00062	0.00053	0.00057	0.00494	0.00886
