"Time","60 Right DS","59 Left DS","58 FLr Sw of","57 FLr Sw on","56 FLl Sw of","54 HLr Sw of","55 FLl Sw on","53 HLr Sw on","52 HLl Sw of","51 HLl Sw on","v6 L Mos","v4 R Mos","67 xCoM","37 CoMy (cm)","v5 L COP","v3 R COP","35 FRy (cm)","33 FLy (cm)","30 HRy (cm)","28 HLy (cm)"
0.000,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.001,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.002,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.003,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.004,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.005,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.006,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.007,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.008,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.009,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.010,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.011,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.012,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.013,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.014,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.015,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.016,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.017,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.018,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.019,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.020,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.021,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.022,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.023,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.024,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.025,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.026,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.027,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.028,1,1,0,0,0,0,0,0,0,0,,,5.046707,0.841637,,,4.258418,5.897546,3.846567,6.814212
0.029,1,1,0,0,0,0,0,0,0,0,,,5.053241,0.885315,,,4.278456,5.899010,3.858680,6.811376
0.030,1,1,0,0,0,0,0,0,0,0,5.061563,5.061563,5.061230,0.932254,-0.000000,0.000000,4.296498,5.900440,3.868784,6.808165
0.031,1,1,0,0,0,0,0,0,0,0,5.071880,5.071880,5.071705,0.984767,-0.000000,0.000000,4.311128,5.901812,3.875453,6.804312
0.032,1,1,0,0,0,0,0,0,0,0,5.085591,5.085591,5.085663,1.045117,0.000000,-0.000000,4.320959,5.903102,3.877311,6.799555
0.033,1,1,0,0,0,0,0,0,0,0,5.102833,5.102833,5.102877,1.113707,0.000000,-0.000000,4.325700,5.904356,3.874743,6.793790
0.034,1,1,0,0,0,0,0,0,0,0,5.121595,5.121595,5.121566,1.188593,-0.000000,0.000000,4.326441,5.905702,3.870362,6.787108
0.035,1,1,0,0,0,0,0,0,0,0,5.139879,5.139879,5.139850,1.267678,-0.000000,0.000000,4.324361,5.907272,3.866926,6.779617
0.036,1,1,0,0,0,0,0,0,0,0,5.155857,5.155857,5.155882,1.348864,0.000000,-0.000000,4.320652,5.909196,3.867132,6.771428
0.037,1,1,0,0,0,0,0,0,0,0,5.169052,5.169052,5.169063,1.429930,0.000000,-0.000000,4.316934,5.911416,3.871478,6.762913
0.038,1,1,0,0,0,0,0,0,0,0,5.180369,5.180369,5.180372,1.508507,-0.000000,0.000000,4.315377,5.913641,3.877680,6.754766
0.039,1,1,0,0,0,0,0,0,0,0,5.190875,5.190875,5.190890,1.582216,-0.000000,0.000000,4.318181,5.915564,3.883275,6.747705
0.040,1,1,0,0,0,0,0,0,0,0,5.201678,5.201678,5.201661,1.648696,0.000000,-0.000000,4.327481,5.916884,3.885846,6.742429
0.041,1,1,0,0,0,0,0,0,0,0,5.212439,5.212439,5.212434,1.706273,0.000000,-0.000000,4.342903,5.917533,3.884660,6.739023
0.042,1,1,0,0,0,0,0,0,0,0,5.221329,5.221329,5.221321,1.754143,-0.000000,0.000000,4.360904,5.917736,3.881110,6.736795
0.043,1,1,0,0,0,0,0,0,0,0,5.226349,5.226349,5.226326,1.791556,-0.000000,0.000000,4.377733,5.917737,3.876727,6.735001
0.044,1,1,0,0,0,0,0,0,0,0,5.225472,5.225472,5.225500,1.817823,0.000000,-0.000000,4.389714,5.917784,3.873022,6.732918
0.045,1,1,0,0,0,0,0,0,0,0,5.218567,5.218567,5.218581,1.834427,0.000000,-0.000000,4.395790,5.918191,3.870689,6.730482
0.046,1,1,0,0,0,0,0,0,0,0,5.207445,5.207445,5.207443,1.845601,-0.000000,0.000000,4.398220,5.919364,3.869397,6.728471
0.047,1,1,0,0,0,0,0,0,0,0,5.194089,5.194089,5.194095,1.855752,-0.000000,0.000000,4.399477,5.921715,3.868747,6.727714
0.048,1,1,0,0,0,0,0,0,0,0,5.180541,5.180541,5.180530,1.869220,0.000000,-0.000000,4.401991,5.925633,3.868341,6.729009
0.049,1,1,0,0,0,0,0,0,0,0,5.168132,5.168132,5.168125,1.887745,0.000000,-0.000000,4.406677,5.930820,3.867853,6.731920
0.050,1,1,0,0,0,0,0,0,0,0,5.157463,5.157463,5.157470,1.909784,-0.000000,0.000000,4.412529,5.936099,3.867044,6.734456
