"Time","46 sw offset","45 sw onset","34 FRx (cm)","29 HRx (cm)","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.00,0,0,17.172053,11.732640,0.00116,0.00318,0.00059,0.00058,0.00114,0.00100,0.00092,0.00097,0.00000,0.09446,3.27762
0.01,0,1,17.144467,11.675542,0.00233,0.00710,0.00075,0.00075,0.00076,0.00121,0.00153,0.00084,0.00013,0.09463,3.27706
0.02,0,0,17.096302,11.698905,0.00378,0.00867,0.00193,0.00089,0.00084,0.00122,0.00200,0.00092,0.00000,0.09483,3.27654
0.03,0,0,17.019497,11.941783,0.00397,0.00682,0.00420,0.00085,0.00087,0.00113,0.00188,0.00121,0.00002,0.09479,3.27767
0.04,0,0,16.817196,12.379914,0.00385,0.00484,0.00503,0.00077,0.00083,0.00091,0.00261,0.00124,0.00000,0.09406,3.27726
0.05,0,0,16.742596,12.723656,0.00293,0.00348,0.00456,0.00063,0.00085,0.00073,0.00377,0.00126,-0.00013,0.09426,3.27689
0.06,0,0,16.629018,13.032574,0.00155,0.00183,0.00397,0.00060,0.00090,0.00076,0.00585,0.00125,0.00002,0.09458,3.27721
0.07,0,0,16.536248,13.297992,0.00087,0.00065,0.00314,0.00061,0.00101,0.00076,0.00949,0.00107,0.00028,0.09459,3.27752
0.08,0,0,16.497584,13.622470,0.00064,0.00055,0.00230,0.00054,0.00127,0.00070,0.01173,0.00116,0.00015,0.09393,3.27723
0.09,0,0,16.400814,14.012464,0.00068,0.00057,0.00157,0.00047,0.00147,0.00069,0.01278,0.00144,0.00026,0.09324,3.27754
0.10,0,0,16.336548,14.470418,0.00070,0.00057,0.00123,0.00054,0.00160,0.00068,0.01162,0.00151,0.00015,0.09299,3.27767
0.11,0,0,16.235020,14.923145,0.00072,0.00058,0.00118,0.00067,0.00183,0.00070,0.00951,0.00108,0.00013,0.09315,3.27815
0.12,0,0,16.145616,15.179007,0.00074,0.00064,0.00122,0.00080,0.00169,0.00083,0.00655,0.00091,0.00028,0.09418,3.27769
0.13,1,0,16.134943,15.341218,0.00109,0.00114,0.00166,0.00102,0.00120,0.00115,0.00320,0.00079,0.00002,0.09472,3.27772
0.14,0,0,16.042907,15.267150,0.00174,0.00142,0.00140,0.00104,0.00079,0.00121,0.00275,0.00053,0.00013,0.09481,3.27748
0.15,0,0,16.253200,15.129259,0.00272,0.00103,0.00076,0.00094,0.00059,0.00116,0.00186,0.00048,0.00004,0.09472,3.27722
0.16,0,0,16.754096,15.019471,0.00260,0.00112,0.00071,0.00080,0.00055,0.00112,0.00100,0.00052,0.00028,0.09545,3.27710
0.17,0,0,17.176629,14.946969,0.00187,0.00107,0.00061,0.00086,0.00058,0.00104,0.00100,0.00051,0.00004,0.09557,3.27750
0.18,0,0,17.670583,14.826326,0.00287,0.00071,0.00064,0.00087,0.00059,0.00099,0.00099,0.00053,0.00000,0.09530,3.27696
0.19,0,0,18.168727,14.738074,0.00377,0.00068,0.00072,0.00065,0.00056,0.00094,0.00092,0.00057,0.00002,0.09468,3.27750
0.20,0,0,18.630023,14.610015,0.00455,0.00069,0.00065,0.00065,0.00058,0.00091,0.00073,0.00053,0.00004,0.09404,3.27688
0.21,0,0,18.801531,14.539235,0.00423,0.00068,0.00061,0.00067,0.00062,0.00093,0.00075,0.00055,0.00015,0.09415,3.27725
0.22,0,0,18.868194,14.416050,0.00265,0.00064,0.00069,0.00082,0.00088,0.00099,0.00076,0.00054,0.00013,0.09497,3.27718
0.23,0,0,18.925251,14.284485,0.00299,0.00071,0.00068,0.00089,0.00096,0.00101,0.00072,0.00050,0.00028,0.09545,3.27733
0.24,0,0,18.978706,14.134665,0.00305,0.00081,0.00063,0.00084,0.00087,0.00112,0.00065,0.00055,0.00028,0.09565,3.27696
0.25,0,0,18.994581,14.007782,0.00334,0.00092,0.00066,0.00079,0.00099,0.00108,0.00066,0.00057,0.00015,0.09542,3.27711
0.26,0,0,19.006053,13.875831,0.00396,0.00091,0.00067,0.00078,0.00083,0.00106,0.00071,0.00055,0.00011,0.09542,3.27718
0.27,0,0,19.006243,13.764537,0.00311,0.00075,0.00073,0.00067,0.00064,0.00104,0.00065,0.00055,0.00013,0.09557,3.27767
0.28,0,0,18.969994,13.650857,0.00253,0.00111,0.00067,0.00073,0.00081,0.00101,0.00061,0.00057,0.00004,0.09603,3.27676
0.29,0,0,18.890286,13.563010,0.00263,0.00151,0.00082,0.00090,0.00078,0.00110,0.00063,0.00066,-0.00002,0.09617,3.27684
0.30,0,0,18.781916,13.461781,0.00282,0.00136,0.00084,0.00078,0.00061,0.00099,0.00062,0.00067,0.00024,0.09545,3.27746
0.31,0,0,18.667515,13.363086,0.00249,0.00108,0.00063,0.00082,0.00069,0.00093,0.00059,0.00071,0.00000,0.09457,3.27669
0.32,0,0,18.531036,13.222438,0.00188,0.00087,0.00064,0.00091,0.00097,0.00097,0.00059,0.00092,0.00015,0.09462,3.27748
0.33,0,0,18.390165,13.121701,0.00171,0.00106,0.00061,0.00084,0.00131,0.00098,0.00065,0.00084,-0.00004,0.09552,3.27671
0.34,0,0,18.264586,12.987126,0.00139,0.00106,0.00062,0.00079,0.00167,0.00107,0.00070,0.00081,0.00013,0.09636,3.27706
0.35,0,0,18.157615,12.861270,0.00187,0.00107,0.00061,0.00083,0.00162,0.00111,0.00073,0.00100,0.00015,0.09635,3.27713
0.36,0,0,18.101369,12.764632,0.00288,0.00152,0.00060,0.00149,0.00123,0.00097,0.00067,0.00089,0.00015,0.09585,3.27759
0.37,0,0,18.028627,12.674226,0.00273,0.00182,0.00064,0.00134,0.00093,0.00084,0.00060,0.00064,-0.00011,0.09515,3.27694
0.38,0,0,17.830470,12.569213,0.00168,0.00126,0.00064,0.00068,0.00100,0.00093,0.00059,0.00082,0.00002,0.09504,3.27808
0.39,0,0,17.730585,12.467950,0.00153,0.00184,0.00066,0.00065,0.00097,0.00097,0.00057,0.00079,0.00002,0.09573,3.27734
0.40,0,0,17.612209,12.381341,0.00189,0.00223,0.00067,0.00070,0.00066,0.00095,0.00060,0.00067,0.00002,0.09599,3.27686
0.41,0,0,17.504748,12.287177,0.00154,0.00173,0.00064,0.00073,0.00092,0.00092,0.00062,0.00082,-0.00011,0.09583,3.27786
0.42,0,0,17.351597,12.208602,0.00148,0.00160,0.00060,0.00068,0.00113,0.00081,0.00065,0.00077,0.00000,0.09533,3.27708
0.43,0,0,17.263945,12.093901,0.00120,0.00179,0.00058,0.00065,0.00093,0.00078,0.00069,0.00064,0.00000,0.09440,3.27654
0.44,0,0,17.170305,12.018416,0.00159,0.00370,0.00057,0.00058,0.00073,0.00084,0.00083,0.00057,0.00015,0.09438,3.27752
0.45,0,1,17.083765,11.950216,0.00245,0.00615,0.00081,0.00071,0.00074,0.00118,0.00226,0.00086,0.00004,0.09530,3.27718
0.46,0,0,16.960078,11.919755,0.00399,0.00680,0.00183,0.00070,0.00121,0.00108,0.00355,0.00163,0.00000,0.09547,3.27745
0.47,0,0,16.812169,12.169294,0.00423,0.00600,0.00364,0.00067,0.00134,0.00084,0.00367,0.00177,0.00015,0.09547,3.27694
0.48,0,0,16.656107,12.633759,0.00318,0.00327,0.00461,0.00064,0.00101,0.00084,0.00442,0.00122,0.00042,0.09545,3.27703
0.49,0,0,16.576904,13.043037,0.00199,0.00148,0.00382,0.00054,0.00088,0.00076,0.00494,0.00118,0.00011,0.09549,3.27745
