"Time","46 sw offset","45 sw onset","44 miry (cm)","43 mirx (cm)","42 CoMy (cm)","41 CoMx (cm)","40 FRy (cm)","39 FRx (cm)","38 FLy (cm)","37 FLx (cm)","36 HRy (cm)","35 HRx (cm)","34 HLy (cm)","33 HLx (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","801 toex (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 St","9 TA","8 Gs","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.00,0,1,7.111111,0.965322,4.746822,16.974646,3.761613,17.934158,5.456636,19.042982,4.140687,13.679189,6.230490,15.449456,131.327744,0,70.847702,85.280106,98.133873,7.814872,18.762045,7.961369,-4.988236,14.057416,8.211993,13.624643,9.092462,13.449663,8.844669,15.232507,10.342340,15.316051,10.428756,16.315638,0,-0.01517,-0.00140,-0.01887,-0.01195,0.00873,-0.01401,0.00276,0.00315,-1.48588,0.11408,3.27687
0.01,0,0,7.131838,0.973810,4.765270,16.954937,3.764093,17.835566,5.509435,19.293575,4.066644,13.763689,6.233769,15.342956,171.527496,0,58.429028,83.975327,98.612541,7.812673,18.626930,7.944904,1.459815,14.036503,8.347039,13.759830,9.173936,13.433749,8.861874,15.206491,10.358262,15.310055,10.439383,16.306650,0,-0.01656,0.00345,-0.01878,-0.01240,0.00730,-0.00800,0.00606,0.00196,-1.48641,0.10799,3.27702
0.02,0,0,7.139984,0.966879,4.771200,16.914288,3.762397,17.751942,5.558567,19.422075,4.045181,13.969189,6.238656,15.274384,165.656418,0,47.670692,81.642731,97.413712,7.800519,18.496233,8.006797,16.821997,14.043932,8.513225,13.886997,9.218758,13.455295,8.879421,15.223020,10.377983,15.288689,10.463505,16.285345,0,-0.01804,0.00408,-0.01976,-0.01254,0.00735,-0.01270,0.00653,0.00204,-1.48267,0.10883,3.27696
0.03,0,0,7.127127,0.988532,4.791197,16.893785,3.762197,17.650101,5.571369,19.446159,4.017973,14.104883,6.243142,15.152921,162.757477,0,35.406387,81.339180,97.223152,7.793352,18.373072,8.024403,16.535402,14.329909,8.584381,14.042564,9.190357,13.448281,8.872762,15.220018,10.372160,15.259331,10.470994,16.245773,0,-0.01888,-0.00208,-0.01994,-0.01418,0.00795,-0.01370,0.00520,0.00330,-1.48636,0.10773,3.27748
0.04,0,0,7.127215,1.000790,4.815958,16.893620,3.772090,17.547710,5.570864,19.444427,3.999948,14.233578,6.243846,15.070279,164.840958,0,34.074665,79.573814,95.040733,7.805769,18.260826,8.047865,9.563202,14.431726,8.536508,14.133273,9.147909,13.486991,8.855897,15.263138,10.355618,15.234608,10.461900,16.224121,0,-0.01742,0.00379,-0.02006,-0.01282,0.00837,-0.01205,0.00630,0.00210,-1.48491,0.11309,3.27730
0.05,0,0,7.124988,0.975598,4.845167,16.902819,3.785273,17.446501,5.525346,19.504953,3.994779,14.328352,6.248628,14.972039,177.536041,0,38.627460,83.831581,93.544914,7.789542,18.156485,8.029426,12.193680,14.521963,8.324369,14.165635,8.936811,13.488084,8.828658,15.284408,10.326962,15.213149,10.435318,16.199724,0,-0.01804,0.00464,-0.02048,-0.01435,0.00817,-0.01395,0.00621,0.00258,-1.48710,0.11290,3.27785
0.06,0,0,7.115187,0.965202,4.868872,16.909811,3.781330,17.366228,5.491633,19.581860,3.988930,14.482798,6.250265,14.852919,176.048309,0,31.714075,86.271317,92.146835,7.781521,18.017305,8.039232,21.416943,14.696692,8.309450,14.307005,8.778258,13.520295,8.807198,15.320048,10.302245,15.198450,10.420274,16.188744,0,-0.01733,0.00331,-0.02194,-0.01314,0.00838,-0.01287,0.00539,0.00214,-1.48534,0.10908,3.27666
0.07,0,0,7.117537,0.969577,4.896184,16.921766,3.789697,17.263136,5.442035,19.696484,3.939400,14.606122,6.247203,14.774812,178.154007,0,31.821001,86.427338,86.369362,7.781988,17.935156,8.005858,35.625938,14.932595,8.242527,14.473548,8.627264,13.665224,8.827664,15.453313,10.304577,15.193760,10.414389,16.182653,0,-0.01674,0.00447,-0.02136,-0.01405,0.00782,-0.01277,0.00601,0.00101,-1.48622,0.10743,3.27707
0.08,0,0,7.114068,0.956096,4.906519,16.938540,3.803285,17.149305,5.440479,19.700777,3.845912,14.814012,6.263338,14.675453,170.846832,0,28.987381,92.839638,77.864174,7.782015,17.823719,7.959626,24.142071,15.394582,8.138434,14.816186,8.256725,13.977152,8.900653,15.658001,10.326244,15.191438,10.429364,16.174814,0,-0.01673,0.00505,-0.01982,-0.01359,0.00776,-0.01160,0.00607,0.00140,-1.48484,0.10704,3.27823
0.09,0,0,7.130805,0.961963,4.895845,16.937807,3.794751,17.076263,5.385676,19.728819,3.784001,15.003131,6.279752,14.585508,171.077393,0,32.338963,90.291451,73.662498,7.794556,17.736580,7.952830,7.351262,15.486312,8.145658,14.959805,8.319345,14.069906,8.972617,15.747174,10.372663,15.210062,10.451111,16.174250,0,-0.01768,0.00437,-0.02081,-0.01342,0.00833,-0.01395,0.00697,0.00309,-1.48578,0.10805,3.27681
