"Time","60 Right DS","59 Left DS","58 FLr Sw of","57 FLr Sw on","56 FLl Sw of","54 HLr Sw of","55 FLl Sw on","53 HLr Sw on","52 HLl Sw of","51 HLl Sw on","v6 L Mos","v4 R Mos","67 xCoM","37 CoMy (cm)","v5 L COP","v3 R COP","35 FRy (cm)","33 FLy (cm)","30 HRy (cm)","28 HLy (cm)"
0.000,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.001,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.002,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.003,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.004,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.005,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.006,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.007,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.008,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.009,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.010,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.011,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.012,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.013,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.014,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.015,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.016,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.017,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.018,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.019,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.020,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.021,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.022,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.023,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.024,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.025,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.026,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.027,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,
0.028,1,1,0,0,0,0,0,0,0,0,,,5.047823,0.844139,,,4.256887,5.897520,3.845026,6.813924
0.029,1,1,0,0,0,0,0,0,0,0,,,5.056638,0.892931,,,4.273795,5.898930,3.853988,6.810500
0.030,1,1,0,0,0,0,0,0,0,0,-5.062282,-5.062282,5.065453,0.941722,0.000000,0.000000,4.290702,5.900341,3.862950,6.807075
0.031,1,1,0,0,0,0,0,0,0,0,-5.072909,-5.072909,5.074267,0.990514,0.000000,0.000000,4.307610,5.901752,3.871912,6.803650
0.032,1,1,0,0,0,0,0,0,0,0,-5.086671,-5.086671,5.086666,1.049657,0.000000,0.000000,4.318068,5.903175,3.876099,6.798886
0.033,1,1,0,0,0,0,0,0,0,0,-5.103670,-5.103670,5.104220,1.123697,0.000000,0.000000,4.319243,5.904619,3.873414,6.792193
0.034,1,1,0,0,0,0,0,0,0,0,-5.121179,-5.121179,5.121774,1.197737,0.000000,0.000000,4.320419,5.906063,3.870728,6.785501
0.035,1,1,0,0,0,0,0,0,0,0,-5.139217,-5.139217,5.139328,1.271776,0.000000,0.000000,4.321595,5.907506,3.868043,6.778809
0.036,1,1,0,0,0,0,0,0,0,0,-5.154922,-5.154922,5.154552,1.346927,0.000000,0.000000,4.322338,5.909186,3.868389,6.771731
0.037,1,1,0,0,0,0,0,0,0,0,-5.168219,-5.168219,5.166420,1.423676,0.000000,0.000000,4.322459,5.911204,3.873098,6.764101
0.038,1,1,0,0,0,0,0,0,0,0,-5.180214,-5.180214,5.178289,1.500426,0.000000,0.000000,4.322580,5.913223,3.877807,6.756471
0.039,1,1,0,0,0,0,0,0,0,0,-5.190865,-5.190865,5.190158,1.577175,0.000000,0.000000,4.322701,5.915241,3.882516,6.748840
0.040,1,1,0,0,0,0,0,0,0,0,-5.201450,-5.201450,5.200184,1.641519,0.000000,0.000000,4.329212,5.916567,3.884175,6.743263
0.041,1,1,0,0,0,0,0,0,0,0,-5.211967,-5.211967,5.207556,1.688010,0.000000,0.000000,4.344918,5.916894,3.881444,6.740640
0.042,1,1,0,0,0,0,0,0,0,0,-5.219630,-5.219630,5.214928,1.734501,0.000000,0.000000,4.360623,5.917222,3.878713,6.738017
0.043,1,1,0,0,0,0,0,0,0,0,-5.224346,-5.224346,5.222300,1.780992,0.000000,0.000000,4.376328,5.917550,3.875983,6.735394
0.044,1,1,0,0,0,0,0,0,0,0,-5.223441,-5.223441,5.222483,1.814021,0.000000,0.000000,4.387140,5.918365,3.873770,6.733267
0.045,1,1,0,0,0,0,0,0,0,0,-5.216732,-5.216732,5.212320,1.827677,0.000000,0.000000,4.390909,5.919885,3.872303,6.731853
0.046,1,1,0,0,0,0,0,0,0,0,-5.206875,-5.206875,5.202157,1.841334,0.000000,0.000000,4.394677,5.921404,3.870835,6.730440
0.047,1,1,0,0,0,0,0,0,0,0,-5.193769,-5.193769,5.191993,1.854990,0.000000,0.000000,4.398446,5.922923,3.869368,6.729026
0.048,1,1,0,0,0,0,0,0,0,0,-5.181047,-5.181047,5.181843,1.871729,0.000000,0.000000,4.402800,5.925646,3.868094,6.728640
0.049,1,1,0,0,0,0,0,0,0,0,-5.168721,-5.168721,5.171712,1.892902,0.000000,0.000000,4.407996,5.930102,3.867099,6.729731
