"Time","59 Left DS","60 Memory","v5 L COP","67 xCoM","v3 R COP","3 Platform"
0.000,0,0,0.000000,6.569948,0.000000,1.48361
0.001,0,0,0.000000,6.568896,0.000000,1.48589
0.002,0,0,0.000000,6.567843,0.000000,1.48383
0.003,0,0,0.000000,6.566791,0.000000,1.48315
0.004,0,0,0.000000,6.565742,0.000000,1.48516
0.005,0,0,0.000000,6.564695,0.000000,1.48456
0.006,0,0,0.000000,6.563650,0.000000,1.48255
0.007,0,0,0.000000,6.562603,0.000000,1.48345
0.008,0,0,0.000000,6.560972,0.000000,1.48115
0.009,0,0,0.000000,6.558691,0.000000,1.48374
0.010,0,0,0.000000,6.556409,0.000000,1.48343
0.011,0,0,0.000000,6.554128,0.000000,1.48267
0.012,0,0,0.000000,6.551444,0.000000,1.48413
0.013,0,0,0.000000,6.548315,0.000000,1.48010
0.014,0,0,0.000000,6.545185,0.000000,1.48333
0.015,0,0,0.000000,6.542056,0.000000,1.48466
0.016,0,0,0.000000,6.538731,0.000000,1.48318
0.017,0,0,0.000000,6.535189,0.000000,1.48411
0.018,0,0,0.000000,6.531648,0.000000,1.48235
0.019,0,0,0.000000,6.528106,0.000000,1.48441
0.020,0,0,0.000000,6.524354,0.000000,1.48338
0.021,0,0,0.000000,6.520368,0.000000,1.48303
0.022,0,0,0.000000,6.516382,0.000000,1.48287
0.023,0,0,0.000000,6.512395,0.000000,1.48386
0.024,0,0,0.000000,6.508142,0.000000,1.48442
0.025,0,0,0.000000,6.503593,0.000000,1.48425
0.026,0,0,0.000000,6.499044,0.000000,1.48452
0.027,0,0,0.000000,6.494495,0.000000,1.48107
0.028,0,0,0.000000,6.490487,0.000000,1.48437
0.029,0,0,0.000000,6.487079,0.000000,1.48502
0.030,0,0,0.000000,6.483670,0.000000,1.48340
0.031,0,0,0.000000,6.480262,0.000000,1.48552
0.032,0,0,0.000000,6.476875,0.000000,1.48475
0.033,0,0,0.000000,6.473513,0.000000,1.48350
0.034,0,0,0.000000,6.470150,0.000000,1.48870
0.035,0,0,0.000000,6.466787,0.000000,1.48414
0.036,0,0,0.000000,6.463154,0.000000,1.48549
0.037,0,0,0.000000,6.459223,0.000000,1.48315
0.038,0,0,0.000000,6.455292,0.000000,1.48434
0.039,0,0,0.000000,6.451361,0.000000,1.48373
0.040,0,0,0.000000,6.447227,0.000000,1.48367
0.041,0,0,0.000000,6.442866,0.000000,1.48297
0.042,0,0,0.000000,6.438505,0.000000,1.48458
0.043,0,0,0.000000,6.434144,0.000000,1.48531
0.044,0,0,0.000000,6.429844,0.000000,1.48337
0.045,0,0,0.000000,6.425612,0.000000,1.48453
0.046,0,0,0.000000,6.421380,0.000000,1.48416
0.047,0,0,0.000000,6.417148,0.000000,1.48358
0.048,0,0,0.000000,6.413027,0.000000,1.48710
0.049,0,0,0.000000,6.409030,0.000000,1.48425
0.050,0,0,0.000000,6.405033,0.000000,1.48063
0.051,0,0,0.000000,6.401036,0.000000,1.48427
0.052,0,0,0.000000,6.397282,0.000000,1.48403
0.053,0,0,0.000000,6.393798,0.000000,1.48355
0.054,0,0,0.000000,6.390314,0.000000,1.48321
0.055,0,0,0.000000,6.386830,0.000000,1.48558
0.056,0,0,0.000000,6.383401,0.000000,1.48266
0.057,0,0,0.000000,6.380033,0.000000,1.48447
0.058,0,0,0.000000,6.376666,0.000000,1.48500
0.059,0,0,0.000000,6.373297,0.000000,1.48504
0.060,0,0,0.000000,6.370835,0.000000,1.48334
0.061,0,0,0.000000,6.369379,0.000000,1.48348
0.062,0,0,0.000000,6.367922,0.000000,1.48464
0.063,0,0,0.000000,6.366465,0.000000,1.48359
0.064,0,0,0.000000,6.364566,0.000000,1.48509
0.065,0,0,0.000000,6.362177,0.000000,1.48419
0.066,0,0,0.000000,6.359787,0.000000,1.48436
0.067,0,0,0.000000,6.357399,0.000000,1.48470
0.068,0,0,0.000000,6.355434,0.000000,1.48390
0.069,0,0,0.000000,6.353942,0.000000,1.48217
0.070,0,0,0.000000,6.352450,0.000000,1.48234
0.071,0,0,0.000000,6.350957,0.000000,1.48392
0.072,0,0,0.000000,6.349911,0.000000,1.48444
0.073,0,0,0.000000,6.349359,0.000000,1.48282
0.074,0,0,0.000000,6.348807,0.000000,1.48343
0.075,0,0,0.000000,6.348256,0.000000,1.48550
0.076,0,0,1.953971,6.347703,0.000000,1.48443
0.077,0,0,5.468308,6.347151,0.000000,1.48295
0.078,1,0,7.028674,6.346598,0.000000,1.48353
0.079,1,0,7.028674,6.346046,0.000000,1.48303
0.080,1,0,7.028674,6.345997,0.000000,1.48370
0.081,1,0,7.028674,6.346509,0.000000,1.48158
0.082,1,0,7.028674,6.347020,0.000000,1.48436
0.083,1,0,7.028674,6.347531,0.000000,1.48319
0.084,1,0,7.028930,6.347602,0.000000,1.48211
0.085,1,0,7.029391,6.347185,0.000000,1.48267
0.086,1,0,7.029595,6.346767,0.000000,1.48411
0.087,1,0,7.029595,6.346350,0.000000,1.48496
0.088,1,0,7.029595,6.346374,0.000000,1.48098
0.089,1,0,7.029595,6.346887,0.000000,1.48253
0.090,1,0,7.029595,6.347401,0.000000,1.48353
0.091,1,0,7.029595,6.347915,0.000000,1.48412
0.092,1,0,7.029595,6.349026,0.000000,1.48342
0.093,1,0,7.029595,6.350800,0.000000,1.48339
0.094,1,0,7.030485,6.352574,0.000000,1.48391
0.095,1,0,7.032086,6.354348,0.000000,1.48237
0.096,1,0,7.033648,6.355158,0.000000,1.48627
0.097,1,0,7.035181,6.354897,0.000000,1.48288
0.098,1,0,7.036599,6.354636,0.000000,1.48455
0.099,1,0,7.037927,6.354375,0.000000,1.48322
0.100,1,0,7.039151,6.354387,0.000000,1.48250
0.101,1,0,7.040294,6.354700,0.000000,1.48430
0.102,1,0,7.041521,6.355013,0.000000,1.48362
0.103,1,0,7.042816,6.355327,0.000000,1.48295
0.104,1,0,7.044342,6.354843,0.000000,1.48456
0.105,1,0,7.046053,6.353475,0.000000,1.48293
0.106,1,0,7.047731,6.352107,0.000000,1.48317
0.107,1,0,7.049383,6.350739,0.000000,1.48400
0.108,1,0,7.050715,6.349738,0.000000,1.48325
0.109,1,0,7.051793,6.349144,0.000000,1.48287
0.110,1,0,7.052690,6.348550,0.000000,1.48260
0.111,1,0,7.053442,6.347957,0.000000,1.48376
0.112,1,0,7.054213,6.348175,0.000000,1.48441
0.113,1,0,7.054999,6.349294,0.000000,1.48397
0.114,1,0,7.055725,6.350412,0.000000,1.48309
0.115,1,0,7.056404,6.351532,0.000000,1.48344
0.116,1,0,7.056946,6.352419,0.000000,1.48638
0.117,1,0,7.057380,6.353050,0.000000,1.48333
0.118,1,0,7.057955,6.353681,0.000000,1.48179
0.119,1,0,7.058644,6.354312,0.000000,1.48460
0.120,1,0,7.059742,6.355859,0.000000,1.48307
0.121,1,0,7.061169,6.358423,0.000000,1.47943
0.122,1,0,7.062779,6.360987,0.000000,1.48506
0.123,1,0,7.064537,6.363552,0.000000,1.48424
0.124,1,0,7.066190,6.366028,0.000000,1.48427
0.125,1,0,7.067760,6.368408,0.000000,1.48304
0.126,1,0,7.069291,6.370789,0.000000,1.48412
0.127,1,0,7.070791,6.373168,0.000000,1.48455
0.128,1,0,7.072380,6.375284,0.000000,1.48389
0.129,1,0,7.074039,6.377106,0.000000,1.48335
0.130,1,0,7.075737,6.378928,0.000000,1.48365
0.131,1,0,7.077466,6.380750,0.000000,1.48260
0.132,1,0,7.079103,6.383368,0.000000,1.48407
0.133,1,0,7.080667,6.386871,0.000000,1.48400
0.134,1,0,7.081866,6.390373,0.000000,1.48245
0.135,1,0,7.082774,6.393876,0.000000,1.48458
0.136,1,0,7.083177,6.397296,0.000000,1.48388
0.137,1,0,7.083177,6.400625,0.000000,1.48334
0.138,1,0,7.083177,6.403955,0.000000,1.48473
0.139,1,0,7.083177,6.407284,0.000000,1.48437
0.140,1,0,7.083177,6.411472,1.373266,1.48273
0.141,1,1,7.083177,6.416614,3.843170,1.48354
0.142,1,1,7.083177,6.421754,4.939853,1.48373
0.143,1,1,7.083177,6.426896,4.939935,1.48425
0.144,1,1,7.076389,6.431348,4.940001,1.48570
0.145,1,1,7.064182,6.435037,4.940053,1.48364
0.146,1,1,7.041666,6.438726,4.940104,1.48444
0.147,1,1,7.010918,6.442415,4.940153,1.48456
0.148,1,1,6.982560,6.445495,4.940183,1.48366
0.149,1,1,6.956110,6.447898,4.940198,1.48233
0.150,1,1,6.929451,6.450302,4.940393,1.48411
0.151,1,1,6.902625,6.452706,4.940733,1.48472
0.152,1,1,6.872716,6.454929,4.941101,1.48312
0.153,1,1,6.840346,6.456952,4.941489,1.48435
0.154,1,1,6.814327,6.458974,4.941943,1.48406
0.155,1,1,6.793378,6.460996,4.942450,1.48428
0.156,1,1,6.783830,6.462794,4.943074,1.48375
0.157,1,1,6.783387,6.464343,4.943792,1.48512
0.158,1,1,6.782757,6.465892,4.944541,1.48257
0.159,1,1,6.781977,6.467441,4.945316,1.48292
0.160,1,1,6.767154,6.468472,4.946023,1.48503
0.161,1,1,6.741118,6.468929,4.946677,1.48371
0.162,1,1,6.715955,6.469386,4.947291,1.48290
0.163,1,1,6.691490,6.469843,4.947875,1.48356
0.164,1,1,6.679175,6.470699,4.948454,1.48361
0.165,1,1,6.676562,6.471999,4.949030,1.48573
0.166,1,1,6.675235,6.473298,4.949434,1.48105
0.167,1,1,6.674935,6.474597,4.949702,1.48392
0.168,1,1,6.662931,6.475591,4.949865,1.48336
0.169,1,1,6.641582,6.476246,4.949943,1.48321
0.170,1,1,6.617773,6.476902,4.949979,1.48523
0.171,1,1,6.592000,6.477558,4.949982,1.48262
0.172,1,1,6.579545,6.478426,4.950012,1.48371
0.173,1,1,6.577727,6.479530,4.950064,1.48430
0.174,1,1,6.576721,6.480634,4.950122,1.48434
0.175,1,1,6.576363,6.481738,4.950186,1.48466
0.176,1,1,6.575853,6.482242,4.950304,1.48622
0.177,1,1,6.575221,6.482080,4.950465,1.48384
0.178,1,1,6.574886,6.481919,4.950693,1.48322
0.179,1,1,6.574788,6.481757,4.950974,1.48359
0.180,1,1,6.574745,6.482045,4.951156,1.48306
0.181,1,1,6.574745,6.482832,4.951258,1.48368
0.182,1,1,6.574745,6.483618,4.951336,1.48428
0.183,1,1,6.574745,6.484405,4.951396,1.48255
0.184,1,1,6.574576,6.484445,4.951422,1.48260
0.185,1,1,6.574274,6.483655,4.951422,1.48380
0.186,1,1,6.573712,6.482865,4.951422,1.48306
0.187,1,1,6.572944,6.482075,4.951422,1.48351
0.188,0,1,4.745420,6.481693,4.951422,1.48555
0.189,0,1,1.459118,6.481764,4.951422,1.47534
0.190,0,1,0.000000,6.481834,4.951422,1.48346
0.191,0,1,0.000000,6.481905,4.951422,1.48430
0.192,0,1,0.000000,6.481581,4.951253,1.48740
0.193,0,1,0.000000,6.480818,4.950950,1.48430
0.194,0,1,0.000000,6.480056,4.950629,1.48455
0.195,0,1,0.000000,6.479293,4.950293,1.48376
0.196,0,1,0.000000,6.479053,4.949885,1.48296
0.197,0,1,0.000000,6.479390,4.949420,1.48383
0.198,0,1,0.000000,6.479728,4.948877,1.48334
0.199,0,1,0.000000,6.480065,4.948271,1.48275
0.200,0,1,0.000000,6.479497,4.947608,1.48218
0.201,0,1,0.000000,6.477924,4.946900,1.48715
0.202,0,1,0.000000,6.476351,4.946219,1.48313
0.203,0,1,0.000000,6.474778,4.945561,1.48271
0.204,0,1,0.000000,6.472470,4.945004,1.48346
0.205,0,1,0.000000,6.469347,4.944527,1.48351
0.206,0,1,0.000000,6.466224,4.944083,1.48161
0.207,0,1,0.000000,6.463100,4.943666,1.48180
0.208,0,1,0.000000,6.459805,4.943209,1.48461
0.209,0,1,0.000000,6.456319,4.942722,1.48381
0.210,0,1,0.000000,6.452832,4.942279,1.48134
0.211,0,1,0.000000,6.449346,4.941873,1.48178
0.212,0,1,0.000000,6.446031,4.941599,1.48338
0.213,0,1,0.000000,6.442905,4.941431,1.48273
0.214,0,1,0.000000,6.439780,4.941308,1.48469
0.215,0,1,0.000000,6.436655,4.941219,1.48407
0.216,0,1,0.000000,6.433414,4.941180,1.48386
0.217,0,1,0.000000,6.430047,4.941180,1.48029
0.218,0,1,0.000000,6.426679,4.941180,1.48394
0.219,0,1,0.000000,6.423312,4.941180,1.48293
0.220,0,1,0.000000,6.420455,4.941083,1.48284
0.221,0,1,0.000000,6.418166,4.940909,1.48469
0.222,0,1,0.000000,6.415877,4.940823,1.48331
0.223,0,1,0.000000,6.413588,4.940806,1.48270
0.224,0,1,0.000000,6.411179,4.940771,1.48485
0.225,0,1,0.000000,6.408638,4.940719,1.48351
0.226,0,1,0.000000,6.406096,4.940643,1.48512
0.227,0,1,0.000000,6.403555,4.940549,1.48351
0.228,0,1,0.000000,6.401391,4.940508,1.48509
0.229,0,1,0.000000,6.399643,4.940508,1.48452
0.230,0,1,0.000000,6.397896,4.940366,1.48571
0.231,0,1,0.000000,6.396149,4.940112,1.48405
0.232,0,1,0.000000,6.394190,4.939883,1.48351
0.233,0,1,0.000000,6.391998,4.939674,1.48420
0.234,0,1,0.000000,6.389806,4.939486,1.48666
0.235,0,1,0.000000,6.387614,4.939314,1.48561
0.236,0,1,0.000000,6.386043,4.939081,1.48400
0.237,0,1,0.000000,6.385160,4.938798,1.48433
0.238,0,1,0.000000,6.384278,4.938502,1.48330
0.239,0,1,0.000000,6.383396,4.938194,1.48376
0.240,0,1,0.000000,6.383465,4.937941,1.48444
0.241,0,1,0.000000,6.384589,4.937730,1.48431
0.242,0,1,0.000000,6.385714,4.937571,1.48682
0.243,0,1,0.000000,6.386838,4.937452,1.48530
0.244,0,1,0.000000,6.387998,4.937357,1.48369
0.245,0,1,0.000000,6.389197,4.937281,1.48352
0.246,0,1,0.000000,6.390397,4.937170,1.48467
0.247,0,1,0.000000,6.391596,4.937031,1.48394
0.248,0,1,0.000000,6.393178,4.936822,1.48328
0.249,0,1,0.000000,6.395186,4.936556,1.48239
0.250,0,1,0.000000,6.397194,4.936317,1.48482
0.251,0,1,0.000000,6.399202,4.936101,1.48392
0.252,0,1,0.000000,6.401192,4.935994,1.48337
0.253,0,1,0.000000,6.403162,4.935974,1.48429
0.254,0,1,0.000000,6.405131,4.935891,1.48458
0.255,0,1,0.000000,6.407100,4.935758,1.48350
0.256,0,1,0.000000,6.409012,4.935390,1.48509
0.257,0,1,0.000000,6.410861,4.934836,1.48293
0.258,0,1,0.000000,6.412710,4.934300,1.48777
0.259,0,1,0.000000,6.414559,4.933779,1.48483
0.260,0,1,0.000000,6.415876,4.933548,1.48468
0.261,0,1,0.000000,6.416603,4.933548,1.48328
0.262,0,1,0.000000,6.417329,4.933445,1.48243
0.263,0,1,0.000000,6.418056,4.933261,1.48257
0.264,0,1,0.000000,6.419057,4.933124,1.48394
0.265,0,1,0.000000,6.420364,4.933023,1.48422
0.266,0,1,0.000000,6.421671,4.932911,1.48278
0.267,0,1,0.000000,6.422979,4.932789,1.48488
0.268,0,1,0.000000,6.424378,4.932596,1.48411
0.269,0,1,0.000000,6.425879,4.932345,1.48345
0.270,0,1,0.000000,6.427379,4.932190,1.48262
0.271,0,1,0.000000,6.428880,4.932110,1.48397
0.272,0,1,0.000000,6.430340,4.931801,1.48450
0.273,0,1,0.000000,6.431757,4.931308,1.48392
0.274,0,1,0.000000,6.433174,4.930257,1.48309
0.275,0,1,0.000000,6.434591,4.928759,1.48391
0.276,0,1,0.000000,6.435378,4.926975,1.48316
0.277,0,1,0.000000,6.435467,4.924963,1.48533
0.278,0,1,0.000000,6.435555,4.922684,1.48449
0.279,0,1,0.000000,6.435644,4.920190,1.48311
0.280,0,1,0.000000,6.435599,4.917428,1.48516
0.281,0,1,0.000000,6.435408,4.914452,1.48243
0.282,0,1,0.000000,6.435216,4.911124,1.48301
