"Time","59 Left DS","60 Right DS","37a CoMy (cm)","v5 L COP","28 HLy (cm)","33 FLy (cm)","67 xCoM","v3 R COP","35 FRy (cm)","30 HRy (cm)"
0.000,0,0,5.432780,0.000000,6.828129,5.724426,5.444472,0.000000,4.108985,3.974041
0.001,0,0,5.430887,0.000000,6.828958,5.722549,5.439712,0.000000,4.109463,3.971253
0.002,0,0,5.432815,0.000000,6.829822,5.720248,5.438555,0.000000,4.109833,3.968294
0.003,0,0,5.434743,0.000000,6.830686,5.717946,5.437398,0.000000,4.110203,3.965335
0.004,0,0,5.436671,0.000000,6.831551,5.715644,5.436242,0.000000,4.110573,3.962375
0.005,0,0,5.438644,0.000000,6.832407,5.713214,5.435106,0.000000,4.110939,3.959492
0.006,0,0,5.440900,0.000000,6.833210,5.709970,5.434099,0.000000,4.111280,3.957092
0.007,0,0,5.443157,0.000000,6.834014,5.706726,5.433092,0.000000,4.111622,3.954692
0.008,0,0,5.445413,0.000000,6.834818,5.703481,5.432085,0.000000,4.111964,3.952292
0.009,0,0,5.446882,0.000000,6.835585,5.700334,5.430248,0.000000,4.112330,3.949710
0.010,0,0,5.443346,0.000000,6.836114,5.697799,5.423139,0.000000,4.112852,3.945973
0.011,0,0,5.439810,0.000000,6.836643,5.695263,5.416030,0.000000,4.113375,3.942237
0.012,0,0,5.436275,0.000000,6.837172,5.692729,5.408921,0.000000,4.113897,3.938500
0.013,0,0,5.433791,0.000000,6.837744,5.690149,5.402850,0.000000,4.114425,3.934784
0.014,0,0,5.437997,0.000000,6.838592,5.687283,5.403372,0.000000,4.114988,3.931195
0.015,0,0,5.442203,0.000000,6.839439,5.684418,5.403893,0.000000,4.115552,3.927607
0.016,0,0,5.446408,0.000000,6.840286,5.681552,5.404416,0.000000,4.116115,3.924018
0.017,0,0,5.449891,0.000000,6.841119,5.678632,5.404187,0.000000,4.116680,3.920743
0.018,0,0,5.448784,0.000000,6.841857,5.675365,5.399189,0.000000,4.117255,3.919464
0.019,0,0,5.447676,0.000000,6.842595,5.672098,5.394191,0.000000,4.117830,3.918184
0.020,0,0,5.446569,0.000000,6.843333,5.668831,5.389193,0.000000,4.118405,3.916904
0.021,0,0,5.445899,0.000000,6.844033,5.665282,5.384651,0.000000,4.119001,3.916529
0.022,0,0,5.448010,0.000000,6.844496,5.659933,5.383010,0.000000,4.119729,3.921907
0.023,0,0,5.450121,0.000000,6.844958,5.654584,5.381369,0.000000,4.120456,3.927286
0.024,0,0,5.452232,0.000000,6.845420,5.649236,5.379727,0.000000,4.121184,3.932664
0.025,0,0,5.453254,0.000000,6.845864,5.643849,5.377038,0.000000,4.121937,3.937977
0.026,0,0,5.447359,0.000000,6.846192,5.638219,5.367696,0.000000,4.122854,3.942875
0.027,0,0,5.441464,0.000000,6.846520,5.632589,5.358354,0.000000,4.123771,3.947773
0.028,0,0,5.435569,0.000000,6.846848,5.626959,5.349012,0.000000,4.124688,3.952671
0.029,0,0,5.430403,0.000000,6.847160,5.621206,5.340455,0.000000,4.125614,3.957524
0.030,0,0,5.429869,0.000000,6.847372,5.614666,5.336886,0.000000,4.126598,3.962089
0.031,0,0,5.429336,0.000000,6.847584,5.608126,5.333318,0.000000,4.127583,3.966654
0.032,0,0,5.428802,0.000000,6.847796,5.601585,5.329749,0.000000,4.128567,3.971218
0.033,0,0,5.427583,0.000000,6.848026,5.595110,5.325555,0.000000,4.129533,3.975633
0.034,0,0,5.422013,0.000000,6.848365,5.589043,5.317385,0.000000,4.130385,3.979096
0.035,0,0,5.416443,0.000000,6.848705,5.582976,5.309216,0.000000,4.131238,3.982558
0.036,0,0,5.410873,0.000000,6.849045,5.576909,5.301046,0.000000,4.132091,3.986021
0.037,0,0,5.406035,0.000000,6.849384,5.570599,5.293650,0.000000,4.132965,3.989378
0.038,0,0,5.405853,0.000000,6.849723,5.562749,5.291164,0.000000,4.133973,3.992070
0.039,0,0,5.405671,0.000000,6.850063,5.554899,5.288679,0.000000,4.134982,3.994763
0.040,0,0,5.405488,0.000000,6.850402,5.547049,5.286194,0.000000,4.135991,3.997455
0.041,0,0,5.404747,0.000000,6.850672,5.539334,5.283195,0.000000,4.136953,4.000021
0.042,0,0,5.400455,0.000000,6.850500,5.532480,5.276930,0.000000,4.137621,4.001785
0.043,0,0,5.396163,0.000000,6.850328,5.525626,5.270665,0.000000,4.138288,4.003550
0.044,0,0,5.391870,0.000000,6.850156,5.518772,5.264400,0.000000,4.138957,4.005314
0.045,0,0,5.387985,0.000000,6.849949,5.511694,5.258563,0.000000,4.139569,4.006874
0.046,0,0,5.386679,0.000000,6.849521,5.503194,5.255444,0.000000,4.139830,4.007133
0.047,0,0,5.385373,0.000000,6.849093,5.494695,5.252324,0.000000,4.140090,4.007393
0.048,0,0,5.384067,0.000000,6.848665,5.486195,5.249205,0.000000,4.140351,4.007652
0.049,0,0,5.382082,0.000000,6.848270,5.477831,5.245451,0.000000,4.140588,4.007832
0.050,0,0,5.375776,0.000000,6.848087,5.470332,5.237672,0.000000,4.140675,4.007504
0.051,0,0,5.369472,0.000000,6.847905,5.462832,5.229894,0.000000,4.140762,4.007177
0.052,0,0,5.363166,0.000000,6.847723,5.455332,5.222115,0.000000,4.140849,4.006850
0.053,0,0,5.356994,0.000000,6.847545,5.447582,5.214505,0.000000,4.140963,4.006552
0.054,0,0,5.351664,0.000000,6.847399,5.438239,5.207970,0.000000,4.141245,4.006443
0.055,0,0,5.346334,0.000000,6.847252,5.428896,5.201435,0.000000,4.141527,4.006334
0.056,0,0,5.341003,0.000000,6.847106,5.419553,5.194900,0.000000,4.141809,4.006225
0.057,0,0,5.335878,0.000000,6.846951,5.410621,5.188628,0.000000,4.142082,4.006028
0.058,0,0,5.332061,0.000000,6.846743,5.404294,5.184034,0.000000,4.142298,4.005269
0.059,0,0,5.328244,0.000000,6.846534,5.397969,5.179440,0.000000,4.142515,4.004509
0.060,0,0,5.324427,0.000000,6.846325,5.391643,5.174845,0.000000,4.142731,4.003749
0.061,0,0,5.319787,0.665897,6.846086,5.385322,5.169495,0.000000,4.142968,4.002913
0.062,0,0,5.309914,3.720470,6.845649,5.379031,5.159341,0.000000,4.143336,4.001583
0.063,1,0,5.300042,6.108465,6.845213,5.372740,5.149188,0.000000,4.143705,4.000254
0.064,1,0,5.290169,6.105338,6.844777,5.366449,5.139034,0.000000,4.144073,3.998924
0.065,1,0,5.281425,6.102573,6.844348,5.360741,5.130080,0.000000,4.144464,3.996980
0.066,1,0,5.279852,6.101107,6.843970,5.358740,5.128744,0.000000,4.144996,3.991132
0.067,1,0,5.278279,6.099753,6.843591,5.356740,5.127408,0.000000,4.145529,3.985285
0.068,1,0,5.276706,6.098801,6.843213,5.354739,5.126071,0.000000,4.146061,3.979437
0.069,1,0,5.274875,6.097676,6.842868,5.352571,5.124527,0.000000,4.146599,3.973620
0.070,1,0,5.271399,6.095933,6.842737,5.349340,5.121661,0.000000,4.147176,3.967999
0.071,1,0,5.267922,6.094214,6.842606,5.346110,5.118795,0.000000,4.147753,3.962377
0.072,1,0,5.264446,6.092584,6.842474,5.342879,5.115929,0.000000,4.148329,3.956756
0.073,1,0,5.261172,6.091205,6.842375,5.339941,5.113299,0.000000,4.148901,3.950462
