"Time","61 right DS","60 left DS","37a CoMy (cm)","37 CoMy (cm)","v5 L COP","v4 R COP","v3 xCoM","35 FRy (cm)","30 HRy (cm)","3 Platform"
0.000,0,0,0.243011,5.378497,0.000000,0.000000,5.404281,4.709264,3.548304,-1.47951
0.001,0,0,0.140809,5.380476,0.000000,0.000000,5.401764,4.708337,3.568012,-1.47921
0.002,0,0,0.038607,5.382455,0.000000,0.000000,5.399516,4.707410,3.587720,-1.47855
0.003,0,0,-0.063595,5.384433,0.000000,0.000000,5.397830,4.706483,3.607428,-1.47915
0.004,0,0,-0.152416,5.386397,0.000000,0.000000,5.396424,4.705143,3.624276,-1.48013
0.005,0,0,-0.199325,5.388311,0.000000,0.000000,5.395601,4.702510,3.632167,-1.47803
0.006,0,0,-0.246234,5.390225,0.000000,0.000000,5.395052,4.699878,3.640058,-1.48043
0.007,0,0,-0.293143,5.392139,0.000000,0.000000,5.395077,4.697246,3.647949,-1.48018
0.008,0,0,-0.323695,5.393952,0.000000,0.000000,5.395370,4.695913,3.654644,-1.47432
0.009,0,0,-0.303015,5.395447,0.000000,0.000000,5.396223,4.698650,3.657596,-1.47476
0.010,0,0,-0.282334,5.396942,0.000000,0.000000,5.397330,4.701388,3.660547,-1.47965
0.011,0,0,-0.261654,5.398437,0.000000,0.000000,5.398969,4.704126,3.663499,-1.47746
0.012,0,0,-0.228896,5.399878,0.000000,0.000000,5.400831,4.707176,3.666732,-1.47841
0.013,0,0,-0.158307,5.401150,0.000000,0.000000,5.403159,4.711203,3.670847,-1.47840
0.014,0,0,-0.087717,5.402422,0.000000,0.000000,5.405665,4.715230,3.674962,-1.48019
0.015,0,0,-0.017128,5.403695,0.000000,0.000000,5.408544,4.719256,3.679077,-1.47879
0.016,0,0,0.055627,5.404934,0.000000,0.000000,5.411565,4.722803,3.681547,-1.47819
0.017,0,0,0.135164,5.406070,0.000000,0.000000,5.414880,4.724843,3.678863,-1.47908
0.018,0,0,0.214702,5.407207,0.000000,0.000000,5.418309,4.726884,3.676180,-1.47845
0.019,0,0,0.294239,5.408343,0.000000,0.000000,5.421974,4.728924,3.673496,-1.47725
0.020,0,0,0.373852,5.409385,0.000000,0.000000,5.425724,4.729923,3.673014,-1.47849
0.021,0,0,0.453699,5.410127,0.000000,0.000000,5.429653,4.727660,3.679430,-1.47884
0.022,0,0,0.533547,5.410870,0.000000,0.000000,5.433633,4.725396,3.685847,-1.48013
0.023,0,0,0.613395,5.411612,0.000000,0.000000,5.437719,4.723132,3.692263,-1.47909
