"Time","64 sinus3","63 Ramp down","62 Ramp up","61 right DS","60 left DS","59 rHL swoff","58 rHL swon","57 lHL swoff","56 lHL swon","55 rFL swoff","54 rFL swon","53 lFL swoff","52 lFL swon","51 sinus2","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","32 FLx (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch","v2 Virtual","v1 Virtual"
0.000,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00170,0.00120,0.00066,0.00212,0.00060,0.00076,0.00085,0.00054,-1.47874,0.10025,3.27797,,
0.001,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00171,0.00124,0.00066,0.00212,0.00059,0.00076,0.00085,0.00054,-1.47841,0.10032,3.27784,,
0.002,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00169,0.00125,0.00066,0.00215,0.00058,0.00075,0.00085,0.00055,-1.47994,0.10006,3.27700,,
0.003,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00161,0.00123,0.00065,0.00215,0.00058,0.00077,0.00086,0.00055,-1.47885,0.10006,3.27658,,
0.004,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00150,0.00126,0.00067,0.00220,0.00056,0.00077,0.00084,0.00055,-1.47897,0.10025,3.27643,,
0.005,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00137,0.00127,0.00068,0.00222,0.00057,0.00074,0.00083,0.00057,-1.47931,0.10022,3.27641,,
0.006,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00144,0.00125,0.00068,0.00216,0.00059,0.00073,0.00082,0.00057,-1.48204,0.10008,3.27649,,
0.007,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00156,0.00125,0.00073,0.00220,0.00059,0.00073,0.00083,0.00059,-1.48054,0.10012,3.27680,,
0.008,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00160,0.00125,0.00074,0.00221,0.00059,0.00070,0.00083,0.00057,-1.47762,0.10027,3.27726,,
0.009,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00164,0.00127,0.00073,0.00242,0.00059,0.00071,0.00084,0.00057,-1.47907,0.10012,3.27739,,
0.010,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00170,0.00131,0.00075,0.00279,0.00056,0.00071,0.00079,0.00056,-1.47831,0.09990,3.27731,,
0.011,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00173,0.00130,0.00074,0.00278,0.00055,0.00071,0.00078,0.00055,-1.47499,0.10003,3.27747,,
0.012,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00172,0.00131,0.00075,0.00276,0.00055,0.00070,0.00081,0.00056,-1.48083,0.10020,3.27778,,
0.013,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00170,0.00121,0.00075,0.00276,0.00054,0.00070,0.00082,0.00056,-1.47844,0.10002,3.27757,,
0.014,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00171,0.00117,0.00074,0.00274,0.00055,0.00071,0.00113,0.00056,-1.47875,0.09996,3.27703,,
0.015,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00174,0.00117,0.00075,0.00235,0.00054,0.00069,0.00191,0.00062,-1.47833,0.10022,3.27687,,
0.016,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00167,0.00117,0.00073,0.00204,0.00055,0.00068,0.00295,0.00090,-1.47963,0.10025,3.27695,,
0.017,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00140,0.00115,0.00071,0.00193,0.00055,0.00067,0.00359,0.00116,-1.47980,0.10006,3.27702,,
0.018,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00138,0.00124,0.00068,0.00191,0.00053,0.00067,0.00444,0.00139,-1.47659,0.10021,3.27710,,
0.019,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00133,0.00132,0.00068,0.00191,0.00054,0.00065,0.00536,0.00167,-1.47927,0.10045,3.27694,,
0.020,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00133,0.00137,0.00067,0.00191,0.00054,0.00064,0.00606,0.00179,-1.48019,0.10018,3.27664,,
0.021,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00136,0.00135,0.00067,0.00185,0.00055,0.00066,0.00720,0.00185,-1.48050,0.10006,3.27685,,
0.022,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00139,0.00139,0.00068,0.00192,0.00056,0.00066,0.00929,0.00189,-1.47891,0.10035,3.27738,,
0.023,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00140,0.00161,0.00071,0.00193,0.00055,0.00067,0.00989,0.00257,-1.48076,0.10035,3.27721,,
0.024,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00143,0.00177,0.00072,0.00191,0.00057,0.00068,0.01105,0.00347,-1.47988,0.10014,3.27660,,
0.025,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00150,0.00177,0.00072,0.00189,0.00058,0.00066,0.01289,0.00374,-1.47766,0.10030,3.27674,,
0.026,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00145,0.00177,0.00071,0.00185,0.00056,0.00065,0.01417,0.00399,-1.48077,0.10049,3.27735,,
0.027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00130,0.00195,0.00077,0.00181,0.00057,0.00067,0.01495,0.00399,-1.47855,0.10039,3.27754,,
0.028,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00154,0.00240,0.00094,0.00188,0.00056,0.00066,0.01556,0.00402,-1.47936,0.10048,3.27746,,
0.029,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00209,0.00253,0.00098,0.00193,0.00057,0.00066,0.01612,0.00402,-1.47933,0.10076,3.27739,,
0.030,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00230,0.00256,0.00113,0.00151,0.00058,0.00065,0.01644,0.00414,-1.47820,0.10078,3.27731,,
0.031,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00229,0.00276,0.00156,0.00155,0.00057,0.00065,0.01748,0.00443,-1.47774,0.10066,3.27733,,
0.032,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00240,0.00299,0.00184,0.00161,0.00058,0.00067,0.01831,0.00448,-1.47950,0.10074,3.27741,,
0.033,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00271,0.00302,0.00188,0.00160,0.00057,0.00067,0.01843,0.00568,-1.48007,0.10091,3.27758,,
0.034,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00280,0.00320,0.00193,0.00161,0.00057,0.00067,0.01855,0.00687,-1.48078,0.10081,3.27780,,
0.035,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00321,0.00330,0.00225,0.00161,0.00056,0.00067,0.01794,0.00696,-1.47932,0.10069,3.27761,,
0.036,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00339,0.00339,0.00250,0.00160,0.00056,0.00067,0.01697,0.00670,-1.47940,0.10086,3.27715,,
0.037,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00361,0.00337,0.00269,0.00161,0.00058,0.00067,0.01667,0.00651,-1.47843,0.10095,3.27735,,
0.038,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00404,0.00349,0.00303,0.00167,0.00057,0.00066,0.01805,0.00654,-1.47820,0.10080,3.27796,,
0.039,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.00433,0.00370,0.00353,0.00170,0.00057,0.00067,0.01813,0.00641,-1.48235,0.10090,3.27773,,
