"Time","60 right DS","59 left DS","37a CoMy (cm)","37 CoMy (cm)","v1 xCoM","v3 L COP","v2 R COP","3 Platform"
0.000,0,0,6.486542,5.084823,5.356771,0.000000,0.000000,0.00002
0.001,0,0,6.464265,5.091223,5.362229,0.000000,0.000000,0.00015
0.002,0,0,6.441988,5.097622,5.367688,0.000000,0.000000,0.00000
0.003,0,0,6.391550,5.104310,5.372674,0.000000,0.000000,-0.00014
0.004,0,0,6.324289,5.111169,5.377375,0.000000,0.000000,0.00014
0.005,0,0,6.257028,5.118029,5.382077,0.000000,0.000000,0.00016
0.006,0,0,6.189766,5.124888,5.386778,0.000000,0.000000,0.00000
0.007,0,0,6.097409,5.131453,5.390833,0.000000,0.000000,0.00027
0.008,0,0,5.990058,5.137842,5.394501,0.000000,0.000000,0.00000
0.009,0,0,5.882708,5.144231,5.398169,0.000000,0.000000,0.00015
0.010,0,0,5.775358,5.150621,5.401836,0.000000,0.000000,0.00013
0.011,0,0,5.676735,5.156081,5.404874,0.000000,0.000000,0.00015
0.012,0,0,5.583327,5.160986,5.407535,0.000000,0.000000,0.00000
0.013,0,0,5.489920,5.165892,5.410196,0.000000,0.000000,0.00029
0.014,0,0,5.396512,5.170797,5.412858,0.000000,0.000000,0.00000
0.015,0,0,5.308998,5.175710,5.414900,0.000000,0.000000,-0.00029
0.016,0,0,5.225005,5.180629,5.416574,0.000000,0.000000,-0.00001
0.017,0,0,5.141012,5.185548,5.418247,0.000000,0.000000,0.00000
0.018,0,0,5.057019,5.190466,5.419920,0.000000,0.000000,-0.00001
0.019,0,0,4.984400,5.195426,5.421084,0.000000,0.000000,-0.00014
0.020,0,0,4.918577,5.200409,5.421945,0.000000,0.000000,-0.00014
0.021,0,0,4.852753,5.205392,5.422805,0.000000,0.000000,-0.00013
0.022,0,0,4.786930,5.210375,5.423666,0.000000,0.000000,0.00001
0.023,0,0,4.711772,5.215533,5.424200,0.000000,0.000000,0.00015
0.024,0,0,4.631038,5.220796,5.424538,0.000000,0.000000,0.00015
0.025,0,0,4.550303,5.226059,5.424876,0.000000,0.000000,0.00015
0.026,0,0,4.469569,5.231322,5.425215,0.000000,0.000000,0.00000
0.027,0,0,4.369278,5.235717,5.425326,0.000000,0.000000,0.00016
0.028,0,0,4.257303,5.239593,5.425302,0.000000,0.000000,0.00014
0.029,0,0,4.145328,5.243469,5.425278,0.000000,0.000000,0.00029
0.030,0,0,4.033353,5.247345,5.425254,0.000000,0.000000,0.00015
0.031,0,0,3.916867,5.251245,5.425065,0.000000,0.000000,0.00014
0.032,0,0,3.797685,5.255160,5.424777,0.000000,0.000000,-0.00001
0.033,0,0,3.678503,5.259075,5.424489,0.000000,0.000000,0.00015
0.034,0,0,3.559321,5.262990,5.424201,0.000000,0.000000,0.00042
0.035,0,0,3.446973,5.266420,5.423729,0.000000,0.000000,-0.00013
0.036,0,0,3.338709,5.269561,5.423146,0.000000,0.000000,0.00015
0.037,0,0,3.230445,5.272702,5.422563,0.000000,0.000000,-0.00013
0.038,0,0,3.122180,5.275843,5.421980,0.000000,0.000000,0.00016
0.039,0,0,3.031583,5.278729,5.421137,0.000000,0.000000,0.00014
0.040,0,0,2.951542,5.281464,5.420138,0.000000,0.000000,0.00015
0.041,0,0,2.871500,5.284198,5.419139,0.000000,0.000000,0.00014
0.042,0,0,2.791459,5.286932,5.418140,0.000000,0.000000,0.00014
0.043,0,0,2.722491,5.289536,5.416877,0.000000,0.000000,-0.00014
0.044,0,0,2.660140,5.292062,5.415455,0.000000,0.000000,-0.00013
0.045,0,0,2.597788,5.294589,5.414033,0.000000,0.000000,0.00001
0.046,0,0,2.535437,5.297115,5.412611,0.000000,0.000000,-0.00029
0.047,0,0,2.473740,5.299685,5.411038,0.000000,0.000000,0.00000
0.048,0,0,2.412434,5.302281,5.409374,0.000000,0.000000,0.00015
0.049,0,0,2.351128,5.304878,5.407710,0.000000,0.000000,0.00002
0.050,0,0,2.289822,5.307474,5.406045,0.000000,0.000000,0.00031
0.051,0,0,2.220053,5.309677,5.404608,0.000000,0.000000,0.00001
0.052,0,0,2.145226,5.311644,5.403307,0.000000,0.000000,0.00001
0.053,0,0,2.070400,5.313612,5.402006,0.000000,0.000000,0.00001
0.054,0,0,1.995574,5.315578,5.400705,0.000000,0.000000,-0.00001
0.055,0,0,1.901453,5.317712,5.399674,0.000000,0.000000,0.00001
0.056,0,0,1.795803,5.319946,5.398805,0.000000,0.000000,0.00000
0.057,0,1,1.690154,5.322179,5.397935,2.146319,0.000000,-0.00015
0.058,0,1,1.584505,5.324412,5.397066,5.177843,0.000000,0.00001
0.059,0,1,1.480099,5.326035,5.396468,6.058735,0.000000,0.00000
0.060,0,1,1.376437,5.327294,5.396032,6.052644,0.000000,0.00000
0.061,0,1,1.272775,5.328552,5.395597,6.047672,0.000000,0.00000
0.062,0,1,1.169112,5.329810,5.395161,6.043162,0.000000,0.00001
0.063,0,1,1.083245,5.330765,5.394843,6.039117,0.000000,-0.00014
