"Time","57 rm dwn st","56 rm dwn sw","55 rmp up st","54 rmp up sw","53 Ramp down","52 Ramp up","51 right DS","50 left DS","49 lHL swoff","48 lHL swon","47 rHL swoff","46 rHL swon","45 lFL swoff","44 lFL swon","43 rFL swoff","42 rFL swon","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37a CoMy (cm)","36 CoMx (cm)","37 CoMy (cm)","34 FRx (cm)","33 FLy (cm)","32 FLx (cm)","31 Keyboard","35 FRy (cm)","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.236389,37.891277,91.208611,67.153778,-0.570647,15.101437,4.928293,15.881797,6.036435,17.795708,0,3.831217,3.631525,13.882448,6.440523,12.210507,7.706275,16.226252,8.017616,14.135851,8.136421,13.525915,8.272284,12.817981,9.065001,14.388824,10.517982,13.707107,10.600924,14.824975,0,0.00132,0.00055,0.00194,0.00053,0.00091,0.00069,0.00465,0.00180,0.00015,0.10073,3.27675
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.887115,38.356503,91.159027,66.234245,-0.563109,15.107013,4.928005,15.869051,6.039605,17.806997,0,3.831602,3.628125,13.906196,6.440597,12.195603,7.703710,16.218224,8.028665,14.172016,8.135018,13.559615,8.261267,12.854993,9.076663,14.417812,10.518361,13.713675,10.600432,14.825489,0,0.00131,0.00055,0.00177,0.00052,0.00090,0.00068,0.00431,0.00170,0.00000,0.10031,3.27744
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.378250,38.948002,91.077522,65.284286,-0.559130,15.113289,4.927810,15.855169,6.043406,17.818989,0,3.831937,3.624369,13.926652,6.440686,12.178370,7.700378,16.211580,8.038607,14.206484,8.134987,13.593287,8.252929,12.893841,9.089304,14.448353,10.518450,13.719894,10.599704,14.825836,0,0.00131,0.00055,0.00117,0.00054,0.00091,0.00068,0.00413,0.00152,0.00003,0.10033,3.27820
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.869400,39.539505,90.996025,64.334335,-0.555152,15.119566,4.927615,15.841287,6.047208,17.830978,0,3.832272,3.620614,13.947108,6.440775,12.161135,7.697047,16.204935,8.048549,14.240952,8.134955,13.626958,8.244591,12.932688,9.101944,14.478893,10.518538,13.726112,10.598975,14.826184,0,0.00131,0.00055,0.00078,0.00056,0.00091,0.00068,0.00424,0.00138,0.00002,0.10045,3.27737
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.360535,40.131004,90.914520,63.384380,-0.551173,15.125842,4.927420,15.827405,6.051009,17.842968,0,3.832607,3.616858,13.967566,6.440865,12.143901,7.693716,16.198292,8.058491,14.275419,8.134924,13.660629,8.236254,12.971536,9.114584,14.509434,10.518626,13.732331,10.598248,14.826531,0,0.00130,0.00054,0.00078,0.00067,0.00091,0.00070,0.00375,0.00147,-0.00003,0.10027,3.27615
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.306046,40.835373,91.036087,62.574932,-0.566513,15.133575,4.926950,15.818715,6.053865,17.853725,0,3.832720,3.611377,13.998218,6.443269,12.134748,7.692400,16.186897,8.057680,14.323864,8.127216,13.699764,8.226366,13.017730,9.128915,14.537636,10.518846,13.737987,10.598867,14.830014,0,0.00127,0.00053,0.00078,0.00072,0.00092,0.00070,0.00353,0.00135,-0.00002,0.10000,3.27615
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.359528,41.566563,91.205917,61.798874,-0.586443,15.141654,4.926415,15.811259,6.056497,17.864191,0,3.832780,3.605486,14.031293,6.446224,12.127518,7.691564,16.174376,8.054313,14.375629,8.117684,13.740198,8.216109,13.065669,9.143647,14.565282,10.519096,13.743507,10.599808,14.834243,0,0.00127,0.00053,0.00077,0.00078,0.00092,0.00069,0.00328,0.00120,0.00043,0.10015,3.27646
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.413025,42.297756,91.375740,61.022816,-0.606373,15.149734,4.925881,15.803803,6.059128,17.874657,0,3.832839,3.599594,14.064368,6.449179,12.120286,7.690728,16.161852,8.050946,14.427396,8.108153,13.780631,8.205853,13.113608,9.158380,14.592927,10.519347,13.749029,10.600748,14.838470,0,0.00132,0.00053,0.00074,0.00082,0.00091,0.00071,0.00293,0.00110,-0.00002,0.10016,3.27695
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.466507,43.028946,91.545563,60.246754,-0.626304,15.157812,4.925346,15.796348,6.061759,17.885122,0,3.832899,3.593703,14.097444,6.452133,12.113055,7.689892,16.149330,8.047580,14.479161,8.098621,13.821065,8.195598,13.161548,9.173112,14.620573,10.519598,13.754550,10.601689,14.842699,0,0.00148,0.00056,0.00066,0.00088,0.00088,0.00072,0.00274,0.00103,0.00014,0.09989,3.27748
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.779816,43.616718,91.711189,59.636681,-0.638388,15.168632,4.924422,15.786933,6.061674,17.897518,0,3.833125,3.587976,14.142062,6.459857,12.103252,7.687415,16.135122,8.041946,14.529420,8.093203,13.874068,8.186226,13.203403,9.186414,14.642686,10.521284,13.758836,10.604598,14.846834,0,0.00156,0.00057,0.00065,0.00090,0.00086,0.00071,0.00259,0.00101,0.00017,0.09979,3.27716
