"Time","1 Synch","2 Trdml","3 Platform","4 GM","5 Ip","6 BF","7 VL","8 St","9 TA","10 Gs","11 Gr","13 Crx (cm)","14 Cry (cm)","15 Hipx (cm)","16 Hipy (cm)","17 Knee x","18 Knee y","19 ankx (cm)","20 anky (cm)","21 MTPx (cm)","22 MTPy (cm)","23 toex (cm)","24 toey (cm)","25 FLtx (cm)","26 FLty (cm)","27 HLx (cm)","28 HLy (cm)","29 HRx (cm)","30 HRy (cm)","31 Keyboard","32 FLx (cm)","33 FLy (cm)","34 FRx (cm)","35 FRy (cm)","36 CoMx (cm)","37 CoMy (cm)","38 Hip (deg)","39 Knee (deg","40 Ankle (de","41 MTP (deg)","42 Rump up","43 Ramp down","44 sw onset","45 sw offset","12 Synch","46 Sw rmp up","47 St rmp up","48 Sw rmp dw","49 St rmp dw","50 Sinus rmp","51 HLl Sw on","52 HLl Sw of","53 HLr Sw on","54 HLr Sw of","55 FLl Sw on","56 FLl Sw of","57 FLr Sw on","58 FLr Sw of","59 Left DS","60 Right DS","61 Ramp up","62 Ramp down","63 rmp up sw","64 rmp up st","65 rm dwn sw","66 rm dwn st"
0.000,3.27718,0.10030,-1.47919,0.00183,0.00234,0.00069,0.00054,0.00055,0.00099,0.00064,0.00128,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,3.27675,0.10015,-1.48071,0.00230,0.00246,0.00068,0.00054,0.00054,0.00100,0.00066,0.00126,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,3.27691,0.10045,-1.48087,0.00252,0.00223,0.00071,0.00058,0.00054,0.00100,0.00069,0.00142,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,3.27724,0.10059,-1.47522,0.00260,0.00222,0.00071,0.00060,0.00057,0.00099,0.00068,0.00167,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,3.27734,0.10043,-1.48003,0.00262,0.00189,0.00072,0.00061,0.00059,0.00103,0.00068,0.00212,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,3.27689,0.10045,-1.47820,0.00260,0.00190,0.00072,0.00063,0.00059,0.00105,0.00070,0.00238,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,3.27607,0.10081,-1.47888,0.00266,0.00176,0.00073,0.00065,0.00059,0.00110,0.00068,0.00274,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,3.27575,0.10053,-1.48010,0.00267,0.00172,0.00071,0.00066,0.00057,0.00103,0.00068,0.00273,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,3.27617,0.10035,-1.47919,0.00261,0.00166,0.00070,0.00065,0.00060,0.00081,0.00069,0.00276,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,3.27666,0.10072,-1.47629,0.00206,0.00183,0.00075,0.00064,0.00064,0.00077,0.00074,0.00273,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010,3.27687,0.10069,-1.47835,0.00170,0.00189,0.00077,0.00062,0.00066,0.00074,0.00080,0.00280,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,3.27707,0.10039,-1.47919,0.00133,0.00180,0.00076,0.00064,0.00069,0.00073,0.00079,0.00283,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,3.27734,0.10042,-1.47758,0.00132,0.00177,0.00074,0.00061,0.00070,0.00071,0.00079,0.00268,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,3.27743,0.10075,-1.48018,0.00137,0.00149,0.00074,0.00062,0.00070,0.00073,0.00082,0.00241,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,3.27721,0.10048,-1.47873,0.00214,0.00158,0.00074,0.00059,0.00073,0.00091,0.00083,0.00210,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,3.27683,0.10019,-1.47926,0.00231,0.00144,0.00075,0.00059,0.00074,0.00093,0.00081,0.00215,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,3.27651,0.10062,-1.47934,0.00236,0.00141,0.00071,0.00058,0.00076,0.00092,0.00078,0.00202,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,3.27663,0.10057,-1.47873,0.00231,0.00148,0.00072,0.00058,0.00079,0.00093,0.00086,0.00197,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,3.27721,0.10023,-1.47972,0.00233,0.00150,0.00067,0.00057,0.00081,0.00090,0.00095,0.00190,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,3.27774,0.10035,-1.47995,0.00271,0.00151,0.00063,0.00055,0.00080,0.00089,0.00105,0.00220,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020,3.27784,0.10054,-1.48087,0.00300,0.00140,0.00064,0.00055,0.00081,0.00087,0.00107,0.00278,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.021,3.27733,0.10025,-1.47835,0.00295,0.00143,0.00064,0.00055,0.00077,0.00087,0.00113,0.00345,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.022,3.27645,0.10000,-1.48094,0.00276,0.00141,0.00066,0.00052,0.00073,0.00084,0.00114,0.00375,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.023,3.27599,0.10031,-1.47949,0.00280,0.00151,0.00070,0.00053,0.00075,0.00083,0.00110,0.00392,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.024,3.27623,0.10032,-1.48010,0.00206,0.00141,0.00069,0.00057,0.00071,0.00067,0.00113,0.00430,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,3.27667,0.10012,-1.47957,0.00188,0.00140,0.00067,0.00055,0.00068,0.00074,0.00116,0.00419,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.026,3.27703,0.09998,-1.48048,0.00190,0.00148,0.00064,0.00052,0.00070,0.00089,0.00118,0.00424,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.027,3.27745,0.10014,-1.47835,0.00197,0.00153,0.00063,0.00053,0.00071,0.00100,0.00115,0.00419,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.028,3.27785,0.10010,-1.48308,0.00196,0.00158,0.00067,0.00053,0.00075,0.00106,0.00102,0.00425,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.029,3.27780,0.09985,-1.47858,0.00153,0.00136,0.00068,0.00055,0.00078,0.00111,0.00090,0.00410,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.030,3.27728,0.09993,-1.47842,0.00119,0.00129,0.00065,0.00056,0.00071,0.00116,0.00083,0.00385,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.031,3.27689,0.10009,-1.47934,0.00113,0.00122,0.00064,0.00056,0.00077,0.00121,0.00081,0.00313,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
