"Time"	"1 Synch"	"2 Trdml"	"3 Platform"
0.000	3.27662	0.10178	1.48361
0.001	3.27671	0.10181	1.48402
0.002	3.27702	0.10143	1.48241
0.003	3.27733	0.10162	1.48631
0.004	3.27751	0.10178	1.48135
0.005	3.27761	0.10159	1.48076
0.006	3.27767	0.10139	1.48344
0.007	3.27754	0.10174	1.48518
0.008	3.27724	0.10157	1.48109
0.009	3.27715	0.10113	1.48340
0.010	3.27742	0.10148	1.48500
0.011	3.27759	0.10150	1.48152
0.012	3.27732	0.10098	1.48639
0.013	3.27667	0.10097	1.48422
0.014	3.27598	0.10117	1.48453
0.015	3.27601	0.10084	1.48247
0.016	3.27700	0.10046	1.48367
0.017	3.27784	0.10073	1.48311
0.018	3.27780	0.10065	1.48438
0.019	3.27734	0.10031	1.48308
0.020	3.27699	0.10009	1.48366
0.021	3.27703	0.10020	1.48387
0.022	3.27748	0.10017	1.48302
0.023	3.27775	0.09984	1.48360
0.024	3.27754	0.09958	1.48216
0.025	3.27724	0.09985	1.48405
0.026	3.27709	0.09983	1.48610
0.027	3.27671	0.09949	1.48424
0.028	3.27600	0.09952	1.48445
0.029	3.27558	0.09990	1.48506
0.030	3.27584	0.09968	1.48128
0.031	3.27652	0.09920	1.48355
0.032	3.27727	0.09950	1.48386
0.033	3.27783	0.09969	1.48456
0.034	3.27802	0.09929	1.48001
0.035	3.27782	0.09911	1.48418
0.036	3.27738	0.09942	1.48399
0.037	3.27711	0.09934	1.48364
0.038	3.27726	0.09911	1.48358
0.039	3.27746	0.09927	1.48676
0.040	3.27741	0.09953	1.48666
0.041	3.27703	0.09950	1.48347
0.042	3.27649	0.09930	1.48398
0.043	3.27642	0.09952	1.48206
0.044	3.27699	0.09970	1.48792
0.045	3.27727	0.09948	1.48274
0.046	3.27677	0.09932	1.48471
0.047	3.27633	0.09968	1.48479
0.048	3.27652	0.09973	1.48325
0.049	3.27688	0.09938	1.48378
0.050	3.27705	0.09955	1.48262
0.051	3.27715	0.09978	1.48280
0.052	3.27727	0.09973	1.48367
0.053	3.27726	0.09950	1.48738
0.054	3.27714	0.09999	1.48592
0.055	3.27739	0.10006	1.48384
0.056	3.27806	0.09959	1.48372
0.057	3.27810	0.09983	1.48232
0.058	3.27709	0.10007	1.48344
0.059	3.27629	0.09981	1.48318
0.060	3.27645	0.09949	1.48451
0.061	3.27667	0.09982	1.48300
0.062	3.27641	0.09986	1.48343
0.063	3.27644	0.09955	1.48364
0.064	3.27714	0.09953	1.48444
