"1 Chan 1","2 Chan 2","3 Chan 3"
"0.001668","0.004268","0.028984"
"0.001580","0.005419","0.028580"
"0.001540","0.006379","0.028059"
"0.001597","0.006649","0.027151"
"0.001676","0.006734","0.025948"
"0.001717","0.006822","0.024755"
"0.001742","0.006933","0.023454"
"0.001784","0.007105","0.022148"
"0.001763","0.007262","0.021567"
"0.001722","0.007482","0.021422"
"0.001746","0.007778","0.021215"
"0.001734","0.007915","0.021411"
"0.001727","0.007909","0.021459"
"0.001681","0.007846","0.021579"
"0.001655","0.007378","0.022121"
"0.001707","0.006368","0.022472"
"0.001756","0.005225","0.023122"
"0.001719","0.004236","0.024486"
"0.001576","0.003903","0.026508"
"0.001376","0.003904","0.028124"
"0.001187","0.003705","0.029986"
"0.001083","0.003618","0.030877"
"0.001008","0.003477","0.031651"
"0.001064","0.003381","0.031497"
"0.001091","0.003283","0.031260"
"0.001159","0.003202","0.030605"
"0.001224","0.003218","0.029590"
"0.001290","0.003250","0.028899"
"0.001399","0.003274","0.028195"
"0.001509","0.003275","0.027491"
"0.001649","0.003307","0.026573"
"0.001810","0.003370","0.025239"
"0.002014","0.003407","0.023436"
"0.002169","0.003540","0.021423"
"0.002327","0.003618","0.020015"
"0.002428","0.004043","0.018464"
"0.002458","0.004409","0.017857"
"0.002480","0.004695","0.017295"
"0.002451","0.004895","0.017050"
"0.002488","0.004989","0.016725"
"0.002524","0.005075","0.016798"
"0.002508","0.005188","0.017082"
"0.002470","0.005339","0.017191"
"0.002414","0.005477","0.017258"
"0.002425","0.005638","0.017020"
"0.002442","0.005737","0.016990"
"0.002459","0.005828","0.017008"
"0.002462","0.006008","0.016894"
"0.002466","0.006153","0.016640"
"0.002473","0.006294","0.016374"
"0.002524","0.006258","0.016010"
"0.002590","0.006134","0.015762"
"0.002625","0.006152","0.015619"
"0.002652","0.006200","0.015451"
"0.002653","0.006242","0.015443"
"0.002608","0.006230","0.015344"
"0.002581","0.006234","0.015166"
"0.002524","0.006318","0.015067"
"0.002502","0.006439","0.014965"
"0.002467","0.006523","0.015059"
"0.002471","0.006556","0.014991"
"0.002447","0.006508","0.014964"
"0.002373","0.006567","0.015213"
"0.002320","0.006525","0.015857"
"0.002251","0.006385","0.016521"
"0.002228","0.006114","0.017160"
"0.002243","0.005864","0.017507"
"0.002266","0.005641","0.017726"
"0.002240","0.005450","0.018197"
"0.002158","0.005287","0.018804"
"0.002062","0.005113","0.019701"
"0.002029","0.004782","0.020657"
"0.002014","0.004349","0.021698"
"0.001970","0.003907","0.022814"
"0.002074","0.003622","0.023480"
"0.002342","0.003599","0.023534"
"0.002629","0.003626","0.023532"
"0.002980","0.003467","0.023359"
"0.003061","0.003363","0.022881"
"0.003088","0.003325","0.022630"
"0.003017","0.003604","0.022531"
"0.002857","0.003801","0.023030"
"0.002731","0.003956","0.023486"
"0.002660","0.004093","0.023661"
"0.002689","0.004337","0.023316"
"0.002874","0.004636","0.022494"
"0.003249","0.005013","0.021453"
"0.004109","0.005568","0.020082"
"0.005610","0.007013","0.018221"
"0.007597","0.008859","0.016999"
"0.010720","0.011885","0.016145"
"0.014963","0.014919","0.015291"
"0.018359","0.017742","0.014707"
"0.022789","0.020290","0.013925"
"0.027353","0.022175","0.013072"
"0.032642","0.023852","0.011903"
"0.038182","0.025861","0.010140"
"0.043361","0.027723","0.008422"
"0.048480","0.029771","0.006663"
"0.053464","0.032385","0.005353"
"0.057603","0.035058","0.004299"
"0.061083","0.037769","0.003315"
"0.063246","0.041130","0.002625"
"0.065102","0.043705","0.002455"
"0.065626","0.045318","0.002527"
"0.064932","0.045375","0.003112"
"0.063254","0.045231","0.003876"
"0.062705","0.044510","0.004417"
"0.062112","0.043815","0.004985"
"0.062274","0.043561","0.005237"
"0.062207","0.042891","0.005655"
"0.061696","0.040899","0.006624"
"0.061644","0.038882","0.007691"
"0.060973","0.036591","0.008845"
"0.060276","0.033764","0.009885"
"0.061065","0.030866","0.010774"
"0.062209","0.028024","0.011776"
"0.063615","0.024462","0.012801"
"0.064125","0.020852","0.013744"
"0.065097","0.017714","0.014321"
"0.065191","0.014846","0.014850"
"0.064797","0.012267","0.015260"
"0.064023","0.010357","0.015695"
"0.062162","0.008597","0.016459"
"0.059007","0.007015","0.017333"
"0.055911","0.005868","0.018073"
"0.053372","0.005731","0.018571"
"0.050954","0.005771","0.019013"
"0.049251","0.005970","0.019619"
"0.047899","0.005999","0.020266"
"0.045879","0.005941","0.021014"
"0.043948","0.005791","0.021694"
"0.042744","0.005542","0.022285"
"0.041358","0.005274","0.023136"
"0.040608","0.005009","0.023800"
"0.040927","0.004613","0.024323"
"0.041403","0.004032","0.024761"
"0.041907","0.003483","0.025084"
"0.042709","0.003057","0.025174"
"0.044000","0.002641","0.025146"
"0.044897","0.002296","0.025136"
"0.045485","0.002023","0.024970"
"0.045559","0.001748","0.024881"
"0.044298","0.001457","0.024796"
"0.042899","0.001346","0.024915"
"0.042066","0.001373","0.025074"
"0.041325","0.001366","0.025639"
"0.040374","0.001384","0.026400"
"0.040301","0.001328","0.027050"
"0.039628","0.001247","0.027875"
"0.038749","0.001215","0.028650"
"0.038087","0.001236","0.029469"
"0.037274","0.001236","0.030397"
"0.035964","0.001236","0.031258"
"0.034167","0.001236","0.032150"
"0.032251","0.001236","0.032761"
"0.030328","0.001235","0.033552"
"0.028176","0.001226","0.034533"
"0.027193","0.001150","0.035533"
"0.026453","0.000961","0.036523"
"0.025168","0.000712","0.037439"
"0.023679","0.000546","0.037999"
"0.022269","0.000396","0.038349"
"0.020707","0.000308","0.038374"
"0.019262","0.000204","0.038540"
"0.017698","0.000083","0.038675"
"0.016120","0.000000","0.038891"
"0.014324","0.000000","0.039174"
"0.012823","0.000000","0.039796"
"0.011736","0.000000","0.040465"
"0.010627","0.000000","0.041421"
"0.009480","0.000000","0.042562"
"0.008808","0.000000","0.043638"
"0.008251","0.000000","0.044407"
"0.007323","0.000000","0.044969"
"0.006268","0.000000","0.045666"
"0.005391","0.000000","0.045742"
"0.004509","0.000000","0.045792"
"0.003621","0.000000","0.046170"
"0.002784","0.000018","0.046263"
"0.001995","0.000181","0.046006"
"0.001166","0.000291","0.046019"
"0.000769","0.000393","0.045852"
"0.000706","0.000571","0.044906"
"0.000712","0.000761","0.043781"
"0.000752","0.000958","0.042702"
"0.000873","0.001174","0.041206"
"0.001053","0.001442","0.039273"
"0.001246","0.001691","0.037471"
"0.001486","0.001963","0.035380"
"0.001742","0.002212","0.033242"
"0.001951","0.002471","0.031653"
"0.002133","0.002744","0.030187"
"0.002336","0.003058","0.028546"
"0.002462","0.003469","0.027066"
"0.002463","0.003902","0.026160"
"0.002415","0.004837","0.024999"
"0.002361","0.006384","0.024154"
"0.002267","0.007864","0.023796"
"0.002162","0.009146","0.023532"
"0.002066","0.010231","0.023184"
"0.002039","0.010762","0.022517"
"0.001929","0.011422","0.022206"
"0.001747","0.012278","0.022050"
"0.001590","0.012881","0.021983"
"0.001404","0.013441","0.021868"
"0.001301","0.013822","0.021392"
"0.001253","0.014102","0.020813"
"0.001212","0.014291","0.020340"
"0.001221","0.014312","0.019963"
"0.001258","0.013992","0.019816"
"0.001360","0.013235","0.019588"
"0.001449","0.011837","0.019197"
"0.001543","0.010422","0.018829"
"0.001651","0.009179","0.018566"
"0.001754","0.008066","0.018583"
"0.001768","0.007561","0.018763"
"0.001781","0.006831","0.019180"
"0.001845","0.005926","0.019475"
"0.001848","0.005292","0.019960"
"0.001907","0.004671","0.020347"
"0.001912","0.004344","0.020691"
"0.001894","0.004120","0.020930"
"0.001869","0.003935","0.021080"
"0.001832","0.003858","0.021186"
"0.001819","0.003851","0.021121"
"0.001866","0.003816","0.020970"
"0.001957","0.003827","0.020592"
"0.002031","0.003998","0.020198"
"0.002080","0.004404","0.019815"
"0.002093","0.004915","0.019325"
"0.002077","0.005385","0.019115"
"0.002123","0.005726","0.018479"
"0.002162","0.006072","0.017863"
"0.002203","0.006335","0.017262"
"0.002196","0.006615","0.016830"
"0.002188","0.006709","0.016750"
"0.002209","0.006790","0.016797"
"0.002217","0.006807","0.016917"
"0.002237","0.006766","0.017115"
"0.002282","0.006761","0.017197"
"0.002272","0.006676","0.017283"
"0.002305","0.006625","0.017237"
"0.002351","0.006439","0.017200"
"0.002419","0.006066","0.017111"
"0.002512","0.005769","0.016865"
"0.002625","0.005455","0.016630"
"0.002710","0.005363","0.016355"
"0.002776","0.005256","0.016169"
"0.002870","0.005188","0.016023"
"0.002943","0.005151","0.015816"
"0.002940","0.005213","0.015766"
"0.002914","0.005273","0.015687"
"0.002841","0.005388","0.015610"
"0.002801","0.005507","0.015480"
"0.002792","0.005646","0.015319"
"0.002809","0.005849","0.015212"
"0.002788","0.006002","0.015279"
"0.002685","0.006256","0.015728"
"0.002524","0.006365","0.016496"
"0.002393","0.006315","0.017383"
"0.002280","0.006154","0.018197"
"0.002202","0.005867","0.018804"
"0.002194","0.005699","0.018849"
"0.002100","0.005543","0.019051"
"0.002048","0.005427","0.019182"
"0.002058","0.005265","0.019167"
"0.002057","0.005128","0.019308"
"0.002100","0.005131","0.019432"
"0.002117","0.005176","0.019495"
"0.002073","0.005261","0.019632"
"0.001999","0.005430","0.019802"
"0.001944","0.005538","0.019787"
"0.001983","0.005585","0.019360"
"0.002099","0.005769","0.018651"
"0.002237","0.005942","0.017851"
"0.002350","0.006146","0.017135"
"0.002415","0.006337","0.016815"
"0.002431","0.006342","0.016855"
"0.002478","0.006322","0.016741"
"0.002547","0.006350","0.016676"
"0.002609","0.006444","0.016558"
"0.002684","0.006526","0.016299"
"0.002712","0.006393","0.016429"
"0.002708","0.006108","0.016687"
"0.002726","0.005784","0.016956"
"0.003429","0.005314","0.017536"
"0.004441","0.005238","0.017945"
"0.005466","0.005190","0.018479"
"0.007220","0.005484","0.018940"
"0.009224","0.006254","0.019084"
"0.014631","0.007625","0.018833"
"0.020881","0.009704","0.018275"
"0.028761","0.012355","0.017484"
"0.037145","0.015735","0.016713"
"0.044563","0.019322","0.015823"
"0.050244","0.022788","0.015241"
"0.055959","0.026375","0.014917"
"0.062173","0.030529","0.014185"
"0.069578","0.034587","0.013472"
"0.077919","0.038488","0.012632"
"0.084147","0.041728","0.011628"
"0.089809","0.043974","0.011030"
"0.094748","0.045655","0.010535"
"0.098791","0.046690","0.010060"
"0.102181","0.046960","0.009830"
"0.101622","0.046901","0.009724"
"0.099620","0.046485","0.009641"
"0.094540","0.045611","0.010274"
"0.088648","0.044115","0.010966"
"0.084260","0.042158","0.011765"
"0.081956","0.040187","0.012485"
"0.079558","0.038106","0.012942"
"0.076739","0.035525","0.013378"
"0.072406","0.032153","0.014036"
"0.066711","0.028758","0.014928"
"0.062465","0.026069","0.015621"
"0.058314","0.023974","0.016313"
"0.055316","0.022307","0.016891"
"0.053117","0.020864","0.017425"
"0.051140","0.019774","0.018051"
"0.049567","0.018444","0.018917"
"0.048205","0.016759","0.020043"
"0.048408","0.014859","0.020966"
"0.049343","0.012780","0.021817"
"0.049765","0.010836","0.022706"
"0.050446","0.008942","0.023373"
"0.050938","0.007019","0.024199"
"0.052117","0.005129","0.024813"
"0.053822","0.004231","0.024906"
"0.055941","0.003561","0.024846"
"0.057860","0.002940","0.024641"
"0.059577","0.002393","0.024297"
"0.061055","0.001899","0.023779"
"0.060858","0.001455","0.023397"
"0.060126","0.001001","0.023069"
"0.059003","0.000584","0.022777"
"0.058344","0.000254","0.022724"
"0.057648","0.000100","0.022581"
"0.057261","0.000047","0.022468"
"0.057203","0.000049","0.022550"
"0.055900","0.000104","0.022964"
"0.054507","0.000198","0.023266"
"0.053443","0.000265","0.023644"
"0.052491","0.000320","0.024165"
"0.051103","0.000460","0.024465"
"0.050629","0.000524","0.024819"
"0.049837","0.000524","0.025434"
"0.048554","0.000524","0.025992"
"0.048230","0.000524","0.026358"
"0.048461","0.000524","0.026864"
"0.048028","0.000520","0.027708"
"0.048031","0.000520","0.028380"
"0.048564","0.000520","0.028894"
"0.047535","0.000508","0.029637"
"0.046024","0.000475","0.030137"
"0.045040","0.000419","0.030310"
"0.044086","0.000326","0.030627"
"0.042078","0.000258","0.031028"
"0.039811","0.000204","0.031293"
"0.037773","0.000063","0.031759"
"0.035434","0.000000","0.032174"
"0.034581","0.000000","0.032158"
"0.034238","0.000000","0.032093"
"0.034079","0.000000","0.032205"
"0.034065","0.000000","0.031981"
"0.035190","0.000000","0.031613"
"0.035755","0.000000","0.031279"
"0.034919","0.000000","0.031203"
"0.034301","0.000000","0.031215"
"0.033192","0.000000","0.031428"
"0.032042","0.000000","0.031728"
"0.031119","0.000000","0.031709"
"0.030214","0.000000","0.031779"
"0.029317","0.000000","0.031913"
"0.028649","0.000008","0.031866"
"0.027581","0.000057","0.031717"
"0.025295","0.000174","0.031661"
"0.022557","0.000379","0.031697"
"0.019603","0.000567","0.031716"
"0.016585","0.000775","0.031927"
"0.013641","0.001010","0.031745"
"0.010770","0.001333","0.031110"
"0.008683","0.001673","0.030302"
"0.007216","0.002032","0.029210"
"0.006333","0.002425","0.028032"
"0.005608","0.002801","0.026754"
"0.004945","0.003234","0.025618"
"0.004293","0.003690","0.024389"
"0.003620","0.004145","0.023252"
"0.002947","0.004655","0.022332"
"0.002273","0.005113","0.021672"
"0.001997","0.005492","0.021162"
"0.001910","0.005803","0.020734"
"0.001874","0.006202","0.020361"
"0.001774","0.007052","0.020496"
"0.001659","0.008088","0.020797"
"0.001534","0.008968","0.021293"
"0.001429","0.009717","0.021502"
"0.001379","0.010190","0.021511"
"0.001306","0.010685","0.021514"
"0.001220","0.011159","0.021555"
"0.001167","0.011421","0.021456"
"0.001121","0.011645","0.021421"
"0.001126","0.011661","0.021256"
"0.001038","0.011841","0.021259"
"0.000887","0.012302","0.021473"
"0.000718","0.013046","0.021864"
"0.000581","0.013599","0.022103"
"0.000499","0.013952","0.022290"
"0.000558","0.013705","0.021803"
"0.000592","0.013152","0.021349"
"0.000711","0.012549","0.021265"
"0.000953","0.011704","0.021250"
"0.001123","0.011035","0.021902"
"0.001241","0.010372","0.022436"
"0.001303","0.009767","0.022810"
"0.001367","0.009360","0.022794"
"0.001429","0.008892","0.022684"
"0.001430","0.008669","0.022771"
"0.001481","0.008439","0.022761"
"0.001564","0.008084","0.022516"
"0.001657","0.007426","0.022012"
"0.001715","0.006820","0.021856"
"0.001763","0.006237","0.021723"
"0.001767","0.005865","0.021838"
"0.001783","0.005772","0.022028"
"0.001702","0.005885","0.021983"
"0.001479","0.006541","0.022164"
"0.001263","0.007287","0.021800"
"0.001138","0.007989","0.021487"
"0.001041","0.008944","0.021450"
"0.000948","0.009589","0.021745"
"0.000870","0.010185","0.022014"
"0.000843","0.010566","0.022227"
"0.000984","0.010463","0.021925"
"0.001131","0.010309","0.021592"
"0.001269","0.010174","0.021275"
"0.001439","0.010103","0.020938"
"0.001589","0.010021","0.020680"
"0.001775","0.009841","0.020284"
"0.001955","0.009538","0.019702"
"0.002148","0.009098","0.019160"
"0.002328","0.008593","0.018523"
"0.002521","0.008262","0.017983"
"0.002653","0.008072","0.017467"
"0.002773","0.007570","0.017071"
"0.003058","0.007043","0.017124"
"0.003340","0.006415","0.017193"
"0.003598","0.005979","0.017268"
"0.003535","0.005959","0.017441"
"0.003489","0.005863","0.017647"
"0.003443","0.005820","0.017798"
"0.003393","0.005907","0.017664"
"0.003320","0.006204","0.017476"
"0.003213","0.006544","0.017312"
"0.003112","0.006830","0.017285"
"0.003035","0.007101","0.017225"
"0.002989","0.007209","0.017213"
"0.002984","0.007070","0.017103"
"0.002993","0.006738","0.017087"
"0.003075","0.006372","0.016811"
"0.002930","0.006247","0.016535"
"0.002764","0.006329","0.016296"
"0.002557","0.006362","0.015988"
"0.002556","0.006260","0.015989"
"0.002577","0.006210","0.015750"
"0.002595","0.006091","0.015666"
"0.002569","0.005867","0.016028"
"0.002516","0.005659","0.016676"
"0.002424","0.005524","0.017499"
"0.002407","0.005431","0.017988"
"0.002431","0.005318","0.018202"
"0.002484","0.005123","0.018302"
"0.002478","0.004890","0.018954"
"0.002454","0.004613","0.019915"
"0.002330","0.004316","0.021394"
"0.002225","0.004137","0.022204"
"0.002187","0.003915","0.023219"
"0.002228","0.003744","0.023862"
"0.002247","0.003576","0.024457"
"0.002172","0.003444","0.025205"
"0.002102","0.003424","0.025628"
"0.002123","0.003575","0.025518"
"0.002223","0.003753","0.025075"
"0.002394","0.003884","0.024525"
"0.002477","0.004019","0.024323"
"0.002736","0.004146","0.024379"
"0.003828","0.004296","0.024358"
"0.005636","0.004477","0.023963"
"0.009293","0.004852","0.022692"
"0.014957","0.005600","0.020565"
"0.019748","0.006817","0.018882"
"0.023470","0.008376","0.017435"
"0.027939","0.010178","0.016229"
"0.031931","0.012002","0.015366"
"0.036922","0.014317","0.014149"
"0.042151","0.016780","0.012982"
"0.048828","0.019625","0.011808"
"0.056195","0.022514","0.010619"
"0.063350","0.025376","0.009376"
"0.068777","0.028080","0.008146"
"0.074030","0.031208","0.006841"
"0.078985","0.033904","0.005780"
"0.083514","0.036223","0.004810"
"0.085488","0.038830","0.004771"
"0.084626","0.040921","0.005524"
