"1 Chan 1","2 Chan 2","3 Chan 3"
"0.00896","0.004197","0.005664"
"0.00879","0.004144","0.005748"
"0.00858","0.004093","0.005804"
"0.00836","0.004055","0.005861"
"0.00815","0.004027","0.005922"
"0.00796","0.003988","0.005973"
"0.00779","0.003942","0.006022"
"0.00762","0.003901","0.006077"
"0.00747","0.003854","0.006119"
"0.00732","0.003800","0.006134"
"0.00719","0.003720","0.006133"
"0.00705","0.003636","0.006108"
"0.00692","0.003513","0.006051"
"0.00681","0.003380","0.005963"
"0.00674","0.003231","0.005852"
"0.00668","0.003086","0.005715"
"0.00668","0.002955","0.005599"
"0.00668","0.002875","0.005476"
"0.00670","0.002827","0.005366"
"0.00672","0.002810","0.005275"
"0.00673","0.002808","0.005182"
"0.00673","0.002839","0.005088"
"0.00674","0.002872","0.005015"
"0.00677","0.002896","0.004972"
"0.00681","0.002919","0.004928"
"0.00686","0.002938","0.004875"
"0.00689","0.002953","0.004831"
"0.00691","0.002977","0.004794"
"0.00692","0.002995","0.004760"
"0.00691","0.003015","0.004733"
"0.00690","0.003028","0.004708"
"0.00689","0.003041","0.004686"
"0.00688","0.003063","0.004668"
"0.00688","0.003094","0.004649"
"0.00685","0.003128","0.004617"
"0.00684","0.003171","0.004583"
"0.00683","0.003207","0.004555"
"0.00682","0.003247","0.004525"
"0.00679","0.003290","0.004500"
"0.00677","0.003322","0.004477"
"0.00673","0.003330","0.004463"
"0.00671","0.003339","0.004444"
"0.00669","0.003382","0.004423"
"0.00666","0.003434","0.004410"
"0.00664","0.003489","0.004401"
"0.00662","0.003541","0.004393"
"0.00659","0.003600","0.004390"
"0.00657","0.003653","0.004393"
"0.00655","0.003649","0.004391"
"0.00652","0.003645","0.004371"
"0.00649","0.003636","0.004352"
"0.00647","0.003632","0.004330"
"0.00646","0.003626","0.004310"
"0.00645","0.003611","0.004284"
"0.00644","0.003583","0.004279"
"0.00644","0.003556","0.004278"
"0.00645","0.003524","0.004275"
"0.00647","0.003498","0.004272"
"0.00650","0.003478","0.004262"
"0.00656","0.003448","0.004269"
"0.00663","0.003427","0.004265"
"0.00673","0.003418","0.004259"
"0.00697","0.003411","0.004255"
"0.00725","0.003356","0.004253"
"0.00757","0.003293","0.004234"
"0.00789","0.003244","0.004197"
"0.00820","0.003191","0.004163"
"0.00840","0.003139","0.004135"
"0.00853","0.003101","0.004105"
"0.00861","0.003109","0.004080"
"0.00865","0.003108","0.004080"
"0.00870","0.003109","0.004083"
"0.00875","0.003130","0.004079"
"0.00878","0.003162","0.004090"
"0.00881","0.003214","0.004124"
"0.00884","0.003290","0.004163"
"0.00886","0.003381","0.004231"
"0.00885","0.003481","0.004336"
"0.00885","0.003557","0.004447"
"0.00883","0.003621","0.004554"
"0.00883","0.003669","0.004639"
"0.00880","0.003710","0.004719"
"0.00879","0.003723","0.004796"
"0.00864","0.003720","0.004866"
"0.00841","0.003716","0.004941"
"0.00813","0.003709","0.005033"
"0.00782","0.003695","0.005130"
"0.00752","0.003683","0.005221"
"0.00735","0.003682","0.005295"
"0.00729","0.003677","0.005367"
"0.00729","0.003683","0.005426"
"0.00733","0.003694","0.005480"
"0.00740","0.003707","0.005527"
"0.00747","0.003701","0.005577"
"0.00760","0.003685","0.005612"
"0.00773","0.003652","0.005634"
"0.00788","0.003600","0.005638"
"0.00801","0.003528","0.005613"
"0.00817","0.003449","0.005557"
"0.00833","0.003391","0.005492"
"0.00847","0.003336","0.005430"
"0.00859","0.003292","0.005401"
"0.00871","0.003255","0.005400"
"0.00882","0.003234","0.005418"
"0.00892","0.003220","0.005459"
"0.00907","0.003218","0.005506"
"0.00924","0.003222","0.005550"
"0.00942","0.003229","0.005599"
"0.00959","0.003233","0.005651"
"0.00975","0.003227","0.005710"
"0.00987","0.003222","0.005771"
"0.00999","0.003207","0.005843"
"0.01009","0.003191","0.005912"
"0.01020","0.003172","0.005988"
"0.01028","0.003154","0.006065"
"0.01033","0.003138","0.006136"
"0.01036","0.003121","0.006211"
"0.01035","0.003107","0.006283"
"0.01033","0.003093","0.006349"
"0.01031","0.003081","0.006421"
"0.01028","0.003065","0.006507"
"0.01025","0.003045","0.006623"
"0.01021","0.003022","0.006744"
"0.01014","0.003010","0.006853"
"0.01006","0.003006","0.006931"
"0.00994","0.003005","0.006983"
"0.00980","0.003019","0.007009"
"0.00967","0.003040","0.007028"
"0.00953","0.003067","0.007041"
"0.00939","0.003094","0.007050"
"0.00926","0.003120","0.007058"
"0.00913","0.003162","0.007057"
"0.00903","0.003227","0.007057"
"0.00896","0.003299","0.007063"
"0.00890","0.003380","0.007065"
"0.00885","0.003479","0.007074"
"0.00882","0.003591","0.007090"
"0.00880","0.003709","0.007103"
"0.00882","0.003823","0.007126"
"0.00886","0.003948","0.007198"
"0.00891","0.004069","0.007349"
"0.00895","0.004200","0.007703"
"0.00899","0.004340","0.008134"
"0.00907","0.004490","0.008572"
"0.00917","0.004642","0.009073"
"0.00947","0.004831","0.009848"
"0.01012","0.005042","0.010841"
"0.01106","0.005231","0.012052"
"0.01230","0.005411","0.013948"
"0.01436","0.005552","0.016659"
"0.01694","0.005610","0.022214"
"0.01966","0.005686","0.032012"
"0.02250","0.005741","0.043828"
"0.02544","0.005862","0.056495"
"0.02841","0.006018","0.069355"
"0.03199","0.006124","0.082746"
"0.03663","0.006146","0.096670"
"0.04190","0.006104","0.110964"
"0.04734","0.006062","0.125617"
"0.05286","0.006016","0.140338"
"0.05877","0.005963","0.155012"
"0.06489","0.005994","0.169581"
"0.07112","0.006162","0.184581"
"0.07740","0.006427","0.200022"
"0.08399","0.006668","0.215620"
"0.09095","0.006919","0.231115"
"0.09805","0.007123","0.246698"
"0.10524","0.007295","0.262801"
"0.11227","0.007447","0.279001"
"0.11873","0.007600","0.294406"
"0.12423","0.007876","0.308811"
"0.12912","0.008258","0.319714"
"0.13313","0.008652","0.325759"
"0.13657","0.009130","0.327231"
"0.13981","0.009510","0.323753"
"0.14309","0.009862","0.317937"
"0.14582","0.010210","0.310738"
"0.14768","0.010558","0.302874"
"0.14866","0.010994","0.294622"
"0.14849","0.011515","0.285705"
"0.14778","0.012085","0.276405"
"0.14645","0.012649","0.266771"
"0.14493","0.013121","0.257058"
"0.14327","0.013448","0.246773"
"0.14153","0.013625","0.236006"
"0.13944","0.013710","0.224534"
"0.13695","0.013685","0.212430"
"0.13388","0.013679","0.199570"
"0.12990","0.013666","0.186026"
"0.12554","0.013706","0.172170"
"0.12100","0.013773","0.157817"
"0.11645","0.013743","0.144325"
"0.11147","0.013725","0.131143"
"0.10709","0.013660","0.117639"
"0.10284","0.013575","0.107215"
"0.09929","0.013425","0.100573"
"0.09559","0.013279","0.094600"
"0.09249","0.013205","0.089319"
"0.08910","0.013257","0.084212"
"0.08570","0.013152","0.078612"
"0.08308","0.012964","0.073005"
"0.08087","0.012703","0.067709"
"0.07876","0.012325","0.062583"
"0.07624","0.011829","0.057505"
"0.07354","0.011315","0.052317"
"0.07031","0.010871","0.047097"
"0.06667","0.010471","0.042409"
"0.06248","0.010155","0.038407"
"0.05843","0.009828","0.034828"
"0.05479","0.009523","0.031228"
"0.05130","0.009169","0.027672"
"0.04824","0.008783","0.024724"
"0.04535","0.008411","0.021096"
"0.04293","0.007986","0.017863"
"0.04061","0.007608","0.015574"
"0.03860","0.007204","0.012758"
"0.03596","0.006902","0.010233"
"0.03337","0.006604","0.009163"
"0.03009","0.006281","0.008218"
"0.02690","0.005883","0.007144"
"0.02396","0.005590","0.006542"
"0.02120","0.005269","0.006264"
"0.01846","0.004995","0.005979"
"0.01585","0.004824","0.005876"
"0.01360","0.004772","0.005824"
"0.01156","0.004725","0.005817"
"0.01009","0.004653","0.005771"
"0.00905","0.004638","0.005711"
"0.00856","0.004640","0.005638"
"0.00821","0.004646","0.005581"
"0.00791","0.004637","0.005551"
"0.00775","0.004648","0.005525"
"0.00758","0.004658","0.005509"
"0.00743","0.004622","0.005491"
"0.00735","0.004576","0.005433"
"0.00743","0.004589","0.005449"
"0.00766","0.004612","0.005479"
"0.00794","0.004639","0.005575"
"0.00826","0.004653","0.005692"
"0.00858","0.004692","0.005849"
"0.00878","0.004707","0.006026"
"0.00884","0.004664","0.006132"
"0.00886","0.004612","0.006187"
"0.00884","0.004534","0.006231"
"0.00881","0.004488","0.006244"
"0.00880","0.004437","0.006265"
"0.00878","0.004394","0.006297"
"0.00876","0.004354","0.006335"
"0.00873","0.004332","0.006362"
"0.00871","0.004293","0.006394"
"0.00869","0.004246","0.006409"
"0.00869","0.004208","0.006354"
"0.00870","0.004176","0.006255"
"0.00873","0.004150","0.006153"
"0.00875","0.004151","0.006061"
"0.00875","0.004196","0.005966"
"0.00862","0.004160","0.005786"
"0.00837","0.004083","0.005610"
"0.00808","0.003976","0.005390"
"0.00815","0.004128","0.005533"
"0.00838","0.004374","0.006152"
"0.00877","0.004713","0.006940"
"0.00935","0.005260","0.007824"
"0.01000","0.005880","0.008748"
"0.01059","0.006498","0.009618"
"0.01092","0.006781","0.009781"
"0.01117","0.007019","0.009803"
"0.01159","0.007452","0.010343"
"0.01239","0.008081","0.011240"
"0.01322","0.008737","0.012350"
"0.01402","0.009556","0.013461"
"0.01479","0.010421","0.014603"
"0.01543","0.011165","0.015511"
"0.01571","0.011594","0.015915"
"0.01588","0.011906","0.016093"
"0.01607","0.012132","0.016245"
"0.01628","0.012267","0.016380"
"0.01649","0.012393","0.016521"
"0.01665","0.012530","0.016717"
"0.01675","0.012682","0.016934"
"0.01643","0.012595","0.016756"
"0.01593","0.012370","0.016111"
"0.01535","0.012093","0.015341"
"0.01473","0.011629","0.014462"
"0.01411","0.011084","0.013611"
"0.01361","0.010521","0.012855"
"0.01333","0.010234","0.013455"
"0.01323","0.010005","0.014816"
"0.01330","0.009654","0.015980"
"0.01374","0.009159","0.017238"
"0.01461","0.008661","0.018265"
"0.01587","0.008001","0.019263"
"0.01737","0.007297","0.020209"
"0.01924","0.006706","0.021361"
"0.02166","0.006428","0.022896"
"0.02432","0.006276","0.024393"
"0.02700","0.006255","0.025680"
"0.02967","0.006317","0.026892"
"0.03235","0.006377","0.028017"
"0.03504","0.006431","0.028902"
"0.03779","0.006474","0.029495"
"0.04066","0.006474","0.030029"
"0.04365","0.006467","0.030502"
"0.04677","0.006430","0.030963"
"0.04992","0.006437","0.031509"
"0.05312","0.006471","0.031716"
"0.05625","0.006536","0.031615"
"0.05936","0.006638","0.030764"
"0.06225","0.006739","0.029247"
"0.06490","0.006736","0.027393"
"0.06737","0.006647","0.025059"
"0.06965","0.006537","0.022737"
"0.07163","0.006467","0.020416"
"0.07334","0.006425","0.018102"
"0.07456","0.006393","0.015843"
"0.07534","0.006363","0.013723"
"0.07611","0.006342","0.011853"
"0.07668","0.006312","0.010241"
"0.07713","0.006267","0.008753"
"0.07753","0.006208","0.007366"
"0.07800","0.006127","0.006154"
"0.07860","0.006070","0.005197"
"0.07921","0.006064","0.004307"
"0.07986","0.006086","0.003464"
"0.08031","0.006140","0.002646"
"0.08062","0.006197","0.001868"
"0.08077","0.006270","0.001413"
"0.08077","0.006345","0.001254"
"0.08072","0.006422","0.001222"
"0.08067","0.006489","0.001244"
"0.08042","0.006579","0.001276"
"0.07958","0.006710","0.001336"
"0.07840","0.006834","0.001414"
"0.07665","0.006934","0.001533"
"0.07431","0.006999","0.001707"
"0.07192","0.007031","0.001900"
"0.06973","0.007038","0.002086"
"0.06742","0.007031","0.002279"
"0.06528","0.006992","0.002451"
"0.06305","0.006951","0.002594"
"0.06064","0.006918","0.002726"
"0.05814","0.006894","0.002845"
"0.05542","0.006849","0.002974"
"0.05254","0.006762","0.003121"
"0.04952","0.006663","0.003287"
"0.04637","0.006535","0.003475"
"0.04326","0.006391","0.003664"
"0.04020","0.006247","0.003837"
"0.03733","0.006099","0.003991"
"0.03456","0.005967","0.004130"
"0.03190","0.005851","0.004250"
"0.02935","0.005746","0.004353"
"0.02681","0.005646","0.004449"
"0.02433","0.005545","0.004544"
"0.02237","0.005438","0.004604"
"0.02106","0.005333","0.004620"
"0.02002","0.005269","0.004600"
"0.01901","0.005243","0.004578"
"0.01797","0.005234","0.004557"
"0.01690","0.005235","0.004537"
"0.01599","0.005219","0.004521"
"0.01529","0.005206","0.004508"
"0.01463","0.005215","0.004506"
"0.01404","0.005226","0.004507"
"0.01347","0.005242","0.004508"
"0.01297","0.005266","0.004488"
"0.01264","0.005312","0.004442"
"0.01236","0.005372","0.004389"
"0.01213","0.005428","0.004328"
"0.01189","0.005475","0.004273"
"0.01166","0.005512","0.004233"
"0.01145","0.005543","0.004214"
"0.01126","0.005571","0.004205"
"0.01108","0.005582","0.004215"
"0.01088","0.005594","0.004253"
"0.01068","0.005593","0.004322"
"0.01048","0.005594","0.004419"
"0.01029","0.005586","0.004536"
"0.01010","0.005560","0.004660"
"0.00994","0.005515","0.004792"
"0.00982","0.005450","0.004933"
"0.00970","0.005392","0.005074"
"0.00959","0.005321","0.005212"
"0.00950","0.005229","0.005351"
"0.00940","0.005138","0.005496"
"0.00930","0.005057","0.005638"
"0.00920","0.004968","0.005786"
"0.00913","0.004871","0.005940"
"0.00909","0.004775","0.006099"
"0.00906","0.004678","0.006268"
"0.00904","0.004593","0.006435"
"0.00898","0.004496","0.006589"
"0.00889","0.004387","0.006704"
"0.00878","0.004270","0.006810"
"0.00865","0.004155","0.006958"
"0.00853","0.004040","0.007044"
"0.00840","0.003932","0.007068"
"0.00828","0.003835","0.007091"
"0.00815","0.003732","0.007039"
"0.00800","0.003626","0.006989"
"0.00784","0.003514","0.006925"
"0.00765","0.003411","0.006829"
"0.00748","0.003325","0.006730"
"0.00734","0.003261","0.006641"
"0.00722","0.003209","0.006514"
"0.00717","0.003158","0.006376"
"0.00713","0.003104","0.006243"
"0.00712","0.003075","0.006095"
"0.00718","0.003135","0.006000"
"0.00743","0.003402","0.006187"
"0.00774","0.003723","0.006474"
"0.00812","0.004064","0.006835"
"0.00855","0.004256","0.007154"
"0.00887","0.004352","0.007384"
"0.00924","0.004451","0.007539"
"0.00948","0.004549","0.007604"
"0.00970","0.004646","0.007617"
"0.00987","0.004738","0.007673"
"0.01001","0.004792","0.007716"
"0.01015","0.004840","0.007868"
"0.01026","0.004896","0.008047"
"0.01037","0.004923","0.008226"
"0.01050","0.004965","0.008581"
"0.01063","0.004998","0.008916"
"0.01074","0.005034","0.009188"
"0.01079","0.005077","0.009366"
"0.01076","0.005102","0.009406"
"0.01074","0.005114","0.009437"
"0.01066","0.005106","0.009464"
"0.01052","0.005017","0.009438"
"0.01024","0.004828","0.009220"
"0.00994","0.004651","0.008945"
"0.00957","0.004486","0.008657"
"0.00919","0.004472","0.008450"
"0.00888","0.004486","0.008405"
"0.00855","0.004490","0.008423"
"0.00841","0.004497","0.008453"
"0.00831","0.004535","0.008594"
"0.00830","0.004542","0.008630"
"0.00827","0.004560","0.008664"
"0.00826","0.004562","0.008636"
"0.00826","0.004537","0.008511"
"0.00829","0.004540","0.008409"
"0.00835","0.004493","0.008188"
"0.00834","0.004444","0.007989"
"0.00831","0.004376","0.007846"
"0.00829","0.004310","0.007788"
"0.00826","0.004258","0.007822"
"0.00824","0.004211","0.007890"
"0.00821","0.004181","0.008042"
"0.00817","0.004153","0.008165"
"0.00808","0.004019","0.008257"
"0.00796","0.003816","0.008261"
"0.00785","0.003577","0.008212"
"0.00771","0.003351","0.008098"
"0.00762","0.003203","0.007952"
"0.00750","0.003086","0.007800"
"0.00733","0.002973","0.007655"
"0.00716","0.002833","0.007512"
"0.00695","0.002734","0.007422"
"0.00680","0.002648","0.007331"
"0.00662","0.002592","0.007230"
"0.00651","0.002553","0.007183"
"0.00638","0.002515","0.007128"
"0.00623","0.002514","0.007031"
"0.00613","0.002528","0.006914"
"0.00604","0.002553","0.006778"
"0.00596","0.002575","0.006672"
"0.00591","0.002594","0.006625"
"0.00586","0.002608","0.006598"
"0.00581","0.002613","0.006506"
"0.00579","0.002615","0.006448"
"0.00576","0.002623","0.006315"
"0.00574","0.002631","0.006201"
"0.00570","0.002644","0.006087"
"0.00568","0.002654","0.006002"
"0.00570","0.002672","0.005894"
"0.00575","0.002676","0.005785"
"0.00579","0.002682","0.005693"
"0.00582","0.002685","0.005576"
"0.00583","0.002673","0.005499"
"0.00583","0.002667","0.005423"
"0.00587","0.002668","0.005364"
"0.00596","0.002706","0.005404"
"0.00608","0.002780","0.005480"
"0.00625","0.002886","0.005654"
"0.00642","0.002990","0.005890"
"0.00660","0.003066","0.006109"
"0.00682","0.003098","0.006353"
"0.00758","0.003229","0.008005"
"0.00997","0.003393","0.013123"
"0.01270","0.003636","0.019309"
"0.01550","0.004005","0.026240"
"0.01859","0.004389","0.033302"
"0.02207","0.004755","0.040467"
"0.02622","0.005102","0.047932"
"0.03102","0.005445","0.055587"
"0.03642","0.005812","0.063695"
"0.04215","0.006184","0.072723"
"0.04821","0.006564","0.082692"
"0.05438","0.006933","0.093247"
"0.06061","0.007310","0.104233"
"0.06687","0.007685","0.115022"
"0.07309","0.008070","0.125738"
"0.07899","0.008409","0.136657"
"0.08446","0.008712","0.148941"
"0.08953","0.008969","0.161772"
"0.09473","0.009243","0.174556"
"0.10019","0.009549","0.186313"
"0.10590","0.009890","0.196863"
"0.11097","0.010118","0.205424"
"0.11408","0.010311","0.210156"
"0.11670","0.010320","0.212533"
"0.11927","0.010110","0.213750"
"0.12166","0.009888","0.214771"
"0.12317","0.009757","0.215580"
"0.12347","0.009684","0.215894"
"0.12261","0.009622","0.215770"
"0.12092","0.009482","0.214435"
"0.11866","0.009304","0.211288"
"0.11578","0.009128","0.206610"
"0.11288","0.008963","0.200676"
"0.11019","0.008807","0.193977"
"0.10752","0.008662","0.187406"
"0.10491","0.008488","0.180717"
"0.10268","0.008294","0.172408"
"0.10093","0.008072","0.160997"
"0.09957","0.007858","0.148519"
"0.09779","0.007598","0.136040"
"0.09533","0.007349","0.124656"
"0.09226","0.007102","0.114493"
"0.08900","0.006877","0.104910"
"0.08598","0.006708","0.095625"
"0.08340","0.006661","0.087609"
"0.08033","0.006716","0.080051"
"0.07718","0.006727","0.072543"
"0.07463","0.006631","0.065084"
"0.07261","0.006484","0.057777"
"0.07087","0.006338","0.050728"
"0.06932","0.006249","0.044391"
"0.06799","0.006217","0.038913"
"0.06694","0.006181","0.033959"
"0.06548","0.006148","0.029680"
"0.06363","0.006079","0.025738"
"0.06170","0.005982","0.021821"
"0.05969","0.005874","0.018088"
"0.05744","0.005805","0.015557"
"0.05508","0.005777","0.014623"
"0.05258","0.005793","0.014081"
"0.05030","0.005840","0.013485"
"0.04835","0.005879","0.012850"
"0.04674","0.005906","0.012182"
"0.04538","0.005882","0.011512"
"0.04398","0.005800","0.010865"
"0.04207","0.005685","0.010227"
"0.04049","0.005553","0.009531"
"0.03871","0.005453","0.008874"
"0.03657","0.005399","0.008313"
"0.03437","0.005357","0.007789"
"0.03236","0.005305","0.007256"
"0.03034","0.005232","0.006770"
"0.02832","0.005122","0.006342"
"0.02630","0.005001","0.005977"
"0.02462","0.004875","0.005616"
"0.02310","0.004775","0.005256"
"0.02160","0.004696","0.004928"
"0.02013","0.004641","0.004617"
"0.01875","0.004581","0.004429"
"0.01739","0.004483","0.004342"
"0.01612","0.004340","0.004297"
"0.01489","0.004194","0.004297"
"0.01373","0.004049","0.004301"
"0.01259","0.003918","0.004315"
"0.01146","0.003828","0.004322"
"0.01048","0.003749","0.004333"
"0.00973","0.003689","0.004353"
"0.00912","0.003638","0.004383"
"0.00866","0.003587","0.004398"
"0.00848","0.003529","0.004403"
"0.00837","0.003476","0.004403"
"0.00831","0.003431","0.004400"
"0.00828","0.003399","0.004403"
"0.00827","0.003384","0.004407"
"0.00824","0.003372","0.004413"
"0.00822","0.003358","0.004416"
"0.00819","0.003357","0.004419"
"0.00812","0.003347","0.004427"
"0.00806","0.003337","0.004436"
"0.00800","0.003326","0.004442"
"0.00796","0.003341","0.004448"
"0.00794","0.003367","0.004453"
"0.00794","0.003380","0.004490"
"0.00795","0.003405","0.004527"
"0.00796","0.003422","0.004567"
"0.00797","0.003438","0.004605"
"0.00800","0.003450","0.004664"
"0.00805","0.003467","0.004785"
"0.00811","0.003493","0.004892"
"0.00816","0.003512","0.005074"
"0.00818","0.003506","0.005280"
"0.00820","0.003492","0.005503"
"0.00821","0.003471","0.005724"
"0.00819","0.003460","0.005882"
"0.00816","0.003446","0.006016"
"0.00811","0.003436","0.006106"
"0.00804","0.003433","0.006140"
"0.00796","0.003423","0.006165"
"0.00787","0.003419","0.006183"
"0.00778","0.003403","0.006203"
"0.00770","0.003370","0.006228"
"0.00764","0.003335","0.006245"
"0.00756","0.003297","0.006258"
"0.00748","0.003271","0.006243"
"0.00740","0.003229","0.006225"
"0.00733","0.003186","0.006206"
"0.00726","0.003147","0.006188"
"0.00717","0.003115","0.006146"
"0.00708","0.003080","0.006042"
"0.00701","0.003029","0.005957"
"0.00695","0.002996","0.005803"
"0.00693","0.002994","0.005630"
"0.00691","0.003001","0.005437"
"0.00691","0.003014","0.005280"
"0.00691","0.003011","0.005189"
"0.00693","0.003022","0.005138"
"0.00695","0.003032","0.005132"
"0.00701","0.003034","0.005175"
"0.00708","0.003018","0.005221"
"0.00717","0.002995","0.005250"
"0.00727","0.003005","0.005279"
"0.00736","0.003024","0.005296"
"0.00748","0.003048","0.005320"
"0.00760","0.003086","0.005361"
"0.00777","0.003160","0.005416"
"0.00796","0.003288","0.005505"
"0.00825","0.003465","0.005610"
"0.00858","0.003648","0.005715"
"0.00897","0.003830","0.005905"
"0.00935","0.004010","0.006100"
"0.00972","0.004216","0.006268"
"0.01016","0.004466","0.006401"
"0.01057","0.004667","0.006551"
"0.01138","0.004849","0.006670"
"0.01236","0.005004","0.006700"
"0.01349","0.005131","0.006694"
"0.01503","0.005221","0.006662"
"0.01648","0.005201","0.006643"
"0.01801","0.005221","0.006624"
"0.01948","0.005236","0.006596"
"0.02035","0.005309","0.006623"
"0.02120","0.005381","0.006632"
"0.02152","0.005473","0.006683"
"0.02185","0.005608","0.006707"
"0.02213","0.005753","0.006701"
"0.02227","0.005799","0.006698"
"0.02240","0.005771","0.006702"
"0.02240","0.005679","0.006688"
"0.02232","0.005578","0.006654"
"0.02213","0.005441","0.006547"
"0.02197","0.005263","0.006439"
"0.02176","0.005065","0.006334"
"0.02142","0.004824","0.006226"
"0.02104","0.004630","0.006063"
"0.02024","0.004464","0.005945"
"0.01924","0.004325","0.005894"
"0.01803","0.004212","0.005897"
"0.01640","0.004127","0.005909"
"0.01489","0.004148","0.005912"
"0.01332","0.004132","0.005926"
"0.01180","0.004132","0.005952"
"0.01088","0.004073","0.005955"
"0.00998","0.003998","0.005959"
"0.00958","0.003900","0.005928"
"0.00918","0.003759","0.005901"
"0.00884","0.003597","0.005900"
"0.00860","0.003509","0.005870"
"0.00834","0.003429","0.005792"
"0.00813","0.003377","0.005711"
"0.00795","0.003339","0.005657"
"0.00777","0.003347","0.005588"
"0.00755","0.003418","0.005499"
"0.00733","0.003471","0.005433"
"0.00717","0.003521","0.005387"
"0.00705","0.003561","0.005381"
"0.00694","0.003584","0.005363"
"0.00685","0.003598","0.005322"
"0.00683","0.003619","0.005258"
"0.00682","0.003633","0.005214"
"0.00682","0.003699","0.005210"
"0.00681","0.003784","0.005355"
"0.00698","0.003912","0.006044"
"0.00718","0.004035","0.007061"
"0.00749","0.004156","0.008320"
"0.00804","0.004284","0.009759"
"0.00862","0.004412","0.011352"
"0.00929","0.004544","0.013223"
"0.01036","0.004635","0.016182"
"0.01177","0.004718","0.019561"
"0.01338","0.004779","0.023101"
"0.01508","0.004824","0.026687"
"0.01688","0.004860","0.030289"
"0.01879","0.004884","0.033896"
"0.02088","0.004944","0.037489"
"0.02309","0.005027","0.041077"
"0.02584","0.005116","0.044616"
"0.02898","0.005201","0.048133"
"0.03240","0.005283","0.051673"
"0.03585","0.005349","0.055206"
"0.03935","0.005403","0.058719"
"0.04297","0.005387","0.062170"
"0.04683","0.005330","0.065458"
"0.05057","0.005234","0.068196"
"0.05433","0.005158","0.070516"
"0.05814","0.005085","0.072527"
"0.06203","0.004999","0.074176"
"0.06598","0.004900","0.075577"
"0.06974","0.004792","0.076599"
"0.07314","0.004689","0.076433"
"0.07621","0.004630","0.075541"
"0.07900","0.004593","0.074247"
"0.08148","0.004556","0.072728"
"0.08391","0.004508","0.071060"
"0.08651","0.004439","0.069192"
"0.08883","0.004368","0.066223"
"0.09074","0.004296","0.062842"
"0.09195","0.004236","0.059331"
"0.09274","0.004184","0.055804"
"0.09321","0.004145","0.052254"
"0.09357","0.004111","0.048721"
"0.09374","0.004075","0.045200"
"0.09364","0.004048","0.041707"
"0.09282","0.004048","0.038251"
"0.09150","0.004048","0.034828"
"0.08990","0.004043","0.031472"
"0.08819","0.004039","0.028189"
"0.08614","0.004058","0.025079"
"0.08392","0.004097","0.022088"
"0.08150","0.004157","0.019202"
"0.07901","0.004239","0.016424"
"0.07643","0.004290","0.013967"
"0.07377","0.004332","0.011759"
"0.07100","0.004383","0.009737"
"0.06808","0.004443","0.007851"
"0.06486","0.004521","0.006161"
"0.06172","0.004581","0.005586"
"0.05882","0.004605","0.005438"
"0.05608","0.004606","0.005459"
"0.05335","0.004599","0.005514"
"0.05060","0.004603","0.005578"
"0.04762","0.004645","0.005622"
"0.04451","0.004717","0.005652"
"0.04142","0.004797","0.005666"
"0.03876","0.004872","0.005643"
"0.03647","0.004956","0.005586"
"0.03440","0.005032","0.005540"
"0.03230","0.005108","0.005496"
"0.03020","0.005180","0.005463"
"0.02821","0.005231","0.005423"
"0.02645","0.005250","0.005375"
"0.02473","0.005270","0.005330"
"0.02302","0.005298","0.005288"
"0.02137","0.005325","0.005240"
"0.02001","0.005338","0.005178"
"0.01880","0.005346","0.005123"
"0.01760","0.005341","0.005083"
"0.01643","0.005339","0.005041"
"0.01530","0.005346","0.005011"
"0.01418","0.005360","0.004982"
"0.01308","0.005380","0.004961"
"0.01205","0.005390","0.004946"
"0.01133","0.005365","0.004946"
"0.01087","0.005330","0.004946"
"0.01053","0.005295","0.004950"
"0.01024","0.005261","0.004971"
"0.01002","0.005219","0.004996"
"0.00982","0.005170","0.005031"
"0.00960","0.005103","0.005075"
"0.00938","0.005030","0.005128"
"0.00916","0.004967","0.005187"
"0.00895","0.004919","0.005244"
"0.00874","0.004863","0.005305"
"0.00859","0.004799","0.005365"
"0.00851","0.004731","0.005436"
"0.00846","0.004669","0.005510"
"0.00842","0.004618","0.005576"
"0.00839","0.004572","0.005639"
"0.00839","0.004516","0.005695"
"0.00839","0.004463","0.005744"
"0.00839","0.004413","0.005793"
"0.00838","0.004362","0.005843"
"0.00836","0.004309","0.005883"
"0.00836","0.004258","0.005901"
"0.00832","0.004196","0.005906"
"0.00828","0.004131","0.005909"
"0.00825","0.004059","0.005892"
"0.00822","0.004024","0.005866"
"0.00817","0.004023","0.005825"
"0.00813","0.004059","0.005786"
"0.00811","0.004097","0.005745"
"0.00809","0.004120","0.005710"
"0.00806","0.004124","0.005675"
"0.00806","0.004142","0.005643"
"0.00811","0.004158","0.005614"
