"1 Chan 1","2 Chan 2","3 Chan 3","4 Chan 4"
"0.00548","0.007642","0.032855","0.003911"
"0.00540","0.007119","0.031526","0.003766"
"0.00528","0.006645","0.030094","0.003620"
"0.00519","0.006183","0.028821","0.003515"
"0.00513","0.005810","0.027741","0.003412"
"0.00514","0.005407","0.026795","0.003314"
"0.00520","0.005040","0.025892","0.003221"
"0.00523","0.004768","0.024868","0.003112"
"0.00526","0.004533","0.023828","0.002999"
"0.00529","0.004345","0.022915","0.002876"
"0.00527","0.004299","0.022326","0.002703"
"0.00519","0.004268","0.022094","0.002531"
"0.00511","0.004250","0.021973","0.002448"
"0.00511","0.004260","0.021883","0.002402"
"0.00511","0.004286","0.021790","0.002356"
"0.00508","0.004326","0.021706","0.002315"
"0.00502","0.004448","0.021816","0.002261"
"0.00492","0.004559","0.022218","0.002223"
"0.00481","0.004673","0.022736","0.002209"
"0.00466","0.004813","0.023316","0.002165"
"0.00449","0.004968","0.023967","0.002130"
"0.00429","0.005120","0.024685","0.002118"
"0.00410","0.005239","0.025368","0.002131"
"0.00390","0.005375","0.026006","0.002146"
"0.00368","0.005529","0.026670","0.002147"
"0.00348","0.005651","0.027445","0.002132"
"0.00330","0.005731","0.028315","0.002121"
"0.00315","0.005785","0.029039","0.002134"
"0.00302","0.005817","0.029709","0.002155"
"0.00289","0.005836","0.030254","0.002222"
"0.00281","0.005837","0.030685","0.002316"
"0.00278","0.005794","0.030876","0.002432"
"0.00277","0.005746","0.031079","0.002563"
"0.00278","0.005686","0.031296","0.002688"
"0.00287","0.005574","0.031348","0.002846"
"0.00300","0.005449","0.030970","0.003035"
"0.00316","0.005327","0.030361","0.003210"
"0.00332","0.005222","0.029813","0.003383"
"0.00350","0.005103","0.029303","0.003547"
"0.00370","0.004954","0.028784","0.003703"
"0.00390","0.004822","0.028416","0.003821"
"0.00408","0.004719","0.027935","0.003937"
"0.00425","0.004622","0.027592","0.004046"
"0.00461","0.004589","0.027433","0.004152"
"0.00518","0.004999","0.028276","0.004142"
"0.00575","0.005573","0.030072","0.004139"
"0.00628","0.006240","0.032170","0.004123"
"0.00682","0.006957","0.034240","0.004072"
"0.00735","0.007703","0.036350","0.004033"
"0.00784","0.008477","0.038572","0.004045"
"0.00826","0.009278","0.040952","0.004018"
"0.00869","0.010086","0.043518","0.003931"
"0.00915","0.010901","0.046030","0.003871"
"0.00916","0.011535","0.048025","0.003850"
"0.00920","0.011858","0.049114","0.003846"
"0.00919","0.012046","0.049353","0.003882"
"0.00919","0.012155","0.049333","0.003950"
"0.00916","0.012228","0.049188","0.004059"
"0.00892","0.012235","0.048879","0.004158"
"0.00849","0.011812","0.047699","0.004267"
"0.00812","0.011218","0.045865","0.004341"
"0.00779","0.010523","0.043729","0.004385"
"0.00749","0.009770","0.041670","0.004417"
"0.00718","0.008988","0.039582","0.004432"
"0.00686","0.008175","0.037475","0.004376"
"0.00661","0.007333","0.035480","0.004293"
"0.00640","0.006490","0.033606","0.004216"
"0.00618","0.005646","0.031834","0.004039"
"0.00641","0.004974","0.030470","0.003838"
"0.00661","0.004632","0.029665","0.003659"
"0.00677","0.004437","0.029244","0.003486"
"0.00713","0.004336","0.028939","0.003268"
"0.00783","0.004271","0.028713","0.002931"
"0.00854","0.004286","0.028518","0.002595"
"0.00925","0.004329","0.028317","0.002321"
"0.01058","0.004370","0.027835","0.002028"
"0.01212","0.004423","0.027418","0.001754"
"0.01361","0.004531","0.026867","0.001501"
"0.01513","0.004651","0.026344","0.001243"
"0.01667","0.004797","0.025790","0.000997"
"0.01813","0.004982","0.025469","0.000773"
"0.01927","0.005213","0.025190","0.000599"
"0.02019","0.005446","0.024739","0.000516"
"0.02111","0.005642","0.024526","0.000633"
"0.02202","0.005831","0.024678","0.000785"
"0.02219","0.005999","0.025037","0.001061"
"0.02199","0.006126","0.025323","0.001458"
"0.02148","0.006256","0.025666","0.001967"
"0.02094","0.006335","0.026017","0.002519"
"0.02037","0.006381","0.026420","0.003080"
"0.01915","0.006412","0.026779","0.003677"
"0.01776","0.006397","0.027160","0.004306"
"0.01634","0.006328","0.027434","0.004871"
"0.01505","0.006262","0.027622","0.005276"
"0.01377","0.006165","0.027795","0.005658"
"0.01254","0.006038","0.027762","0.006036"
"0.01161","0.005856","0.027515","0.006408"
"0.01083","0.005663","0.027350","0.006749"
"0.01049","0.005517","0.027078","0.006798"
"0.01084","0.005361","0.026841","0.006664"
"0.01235","0.005210","0.026782","0.006343"
"0.01435","0.005088","0.027210","0.005878"
"0.01678","0.005011","0.027764","0.005339"
"0.01926","0.005021","0.028408","0.004762"
"0.02194","0.005078","0.029420","0.004181"
"0.02495","0.005186","0.030736","0.003584"
"0.02851","0.005361","0.032008","0.003266"
"0.03228","0.005581","0.033654","0.003337"
"0.03655","0.005820","0.035260","0.003904"
"0.04199","0.006085","0.036763","0.004785"
"0.04818","0.006303","0.038054","0.006159"
"0.05453","0.006518","0.039445","0.007960"
"0.06093","0.006735","0.041244","0.009878"
"0.06681","0.006972","0.043069","0.012121"
"0.07210","0.007193","0.044440","0.015508"
"0.07716","0.007422","0.045626","0.019537"
"0.08192","0.007654","0.046440","0.023983"
"0.08619","0.007874","0.047215","0.028663"
"0.09042","0.008104","0.047880","0.033617"
"0.09395","0.008307","0.048038","0.038919"
"0.09680","0.008479","0.047764","0.044515"
"0.09894","0.008610","0.047308","0.049878"
"0.10028","0.008712","0.046426","0.055169"
"0.10078","0.008736","0.045661","0.060220"
"0.10002","0.008694","0.044957","0.065020"
"0.09819","0.008733","0.044543","0.069470"
"0.09531","0.009016","0.044890","0.073640"
"0.09195","0.009330","0.045357","0.077478"
"0.08822","0.009600","0.045617","0.080849"
"0.08381","0.009888","0.046121","0.082753"
"0.07790","0.010173","0.046785","0.083946"
"0.07150","0.010506","0.047693","0.084199"
"0.06501","0.010802","0.048207","0.083999"
"0.05845","0.010987","0.048505","0.083334"
"0.05237","0.011133","0.048954","0.081984"
"0.04641","0.011332","0.050044","0.079227"
"0.04042","0.011553","0.051369","0.076114"
"0.03504","0.011776","0.052874","0.072458"
"0.02989","0.012029","0.054293","0.068505"
"0.02476","0.012338","0.055890","0.064149"
"0.01982","0.012644","0.057568","0.059387"
"0.01562","0.012727","0.058424","0.054346"
"0.01188","0.012764","0.058668","0.049471"
"0.00859","0.012801","0.059058","0.044661"
"0.00587","0.012819","0.059452","0.040251"
"0.00456","0.012821","0.059619","0.035958"
"0.00370","0.012670","0.059143","0.032082"
"0.00303","0.012273","0.058012","0.028249"
"0.00253","0.011906","0.056631","0.024499"
"0.00206","0.011597","0.055249","0.020944"
"0.00175","0.011287","0.053511","0.018440"
"0.00156","0.010980","0.051754","0.016204"
"0.00138","0.010670","0.050029","0.014255"
"0.00119","0.010409","0.048322","0.012501"
"0.00106","0.010200","0.046461","0.011086"
"0.00108","0.010008","0.044353","0.009926"
"0.00127","0.009799","0.042131","0.008887"
"0.00148","0.009588","0.039952","0.007870"
"0.00170","0.009380","0.037732","0.006985"
"0.00195","0.009155","0.035477","0.006155"
"0.00222","0.008849","0.033196","0.005364"
"0.00250","0.008648","0.031325","0.004716"
"0.00273","0.008688","0.030321","0.004274"
"0.00289","0.008697","0.029695","0.003946"
"0.00309","0.008670","0.028861","0.003744"
"0.00331","0.008614","0.027940","0.003602"
"0.00353","0.008555","0.026987","0.003474"
"0.00375","0.008503","0.025976","0.003346"
"0.00404","0.008425","0.025017","0.003202"
"0.00477","0.008283","0.024075","0.003027"
"0.00570","0.008061","0.023259","0.002846"
"0.00667","0.007818","0.022566","0.002682"
"0.00763","0.007578","0.021907","0.002554"
"0.00861","0.007348","0.021230","0.002447"
"0.00953","0.007129","0.020676","0.002343"
"0.01045","0.006963","0.020198","0.002222"
"0.01135","0.006774","0.019743","0.002110"
"0.01223","0.006591","0.019346","0.002001"
"0.01309","0.006426","0.019031","0.001888"
"0.01393","0.006267","0.018896","0.001786"
"0.01477","0.006103","0.018824","0.001672"
"0.01561","0.005917","0.018796","0.001555"
"0.01644","0.005726","0.018824","0.001453"
"0.01721","0.005532","0.018836","0.001371"
"0.01752","0.005364","0.018901","0.001339"
"0.01761","0.005234","0.018964","0.001331"
"0.01762","0.005121","0.019013","0.001323"
"0.01761","0.004999","0.019029","0.001309"
"0.01759","0.004885","0.019087","0.001313"
"0.01742","0.004810","0.019150","0.001324"
"0.01685","0.004788","0.019282","0.001379"
"0.01607","0.004805","0.019413","0.001451"
"0.01525","0.004829","0.019531","0.001510"
"0.01444","0.004837","0.019653","0.001571"
"0.01363","0.004840","0.019749","0.001648"
"0.01281","0.004837","0.019860","0.001741"
"0.01199","0.004840","0.020019","0.001821"
"0.01117","0.004840","0.020139","0.001895"
"0.01034","0.004848","0.020285","0.001964"
"0.00953","0.004852","0.020420","0.002025"
"0.00871","0.004861","0.020577","0.002070"
"0.00789","0.004872","0.020748","0.002113"
"0.00709","0.004895","0.020938","0.002159"
"0.00632","0.004894","0.021069","0.002210"
"0.00571","0.004871","0.021161","0.002245"
"0.00550","0.004830","0.021155","0.002238"
"0.00550","0.004768","0.021124","0.002226"
"0.00553","0.004712","0.021100","0.002210"
"0.00555","0.004686","0.021111","0.002164"
"0.00559","0.004663","0.021095","0.002123"
"0.00560","0.004639","0.021043","0.002071"
"0.00562","0.004625","0.020954","0.002057"
"0.00562","0.004629","0.020922","0.002031"
"0.00561","0.004635","0.020908","0.002015"
"0.00558","0.004650","0.020944","0.002021"
"0.00554","0.004688","0.021091","0.002031"
"0.00549","0.004756","0.021353","0.002046"
"0.00541","0.004835","0.021662","0.002079"
"0.00527","0.005015","0.022136","0.002094"
"0.00512","0.005223","0.022683","0.002107"
"0.00487","0.005501","0.023740","0.002075"
"0.00455","0.005848","0.025054","0.002012"
"0.00423","0.006202","0.026418","0.001953"
"0.00391","0.006536","0.027739","0.001931"
"0.00359","0.006868","0.029059","0.001880"
"0.00329","0.007199","0.030295","0.001855"
"0.00298","0.007522","0.031532","0.001802"
"0.00272","0.007822","0.032701","0.001738"
"0.00246","0.008079","0.033802","0.001684"
"0.00218","0.008339","0.034920","0.001607"
"0.00192","0.008563","0.035879","0.001520"
"0.00173","0.008675","0.036630","0.001459"
"0.00153","0.008773","0.037355","0.001383"
"0.00147","0.008731","0.037529","0.001353"
"0.00148","0.008610","0.037407","0.001356"
"0.00162","0.008439","0.036854","0.001393"
"0.00185","0.008217","0.036487","0.001430"
"0.00211","0.007992","0.036254","0.001474"
"0.00236","0.007772","0.036117","0.001513"
"0.00261","0.007586","0.036074","0.001572"
"0.00285","0.007411","0.036076","0.001629"
"0.00311","0.007232","0.035977","0.001691"
"0.00337","0.007023","0.035770","0.001774"
"0.00364","0.006854","0.035592","0.001848"
"0.00389","0.006672","0.035413","0.001928"
"0.00415","0.006490","0.035298","0.002046"
"0.00436","0.006394","0.035323","0.002141"
"0.00459","0.006289","0.035330","0.002233"
"0.00469","0.006241","0.035681","0.002299"
"0.00473","0.006306","0.036028","0.002347"
"0.00476","0.006473","0.036530","0.002381"
"0.00477","0.006680","0.036802","0.002447"
"0.00476","0.006841","0.037003","0.002714"
"0.00476","0.006991","0.037175","0.003160"
"0.00479","0.007153","0.037314","0.003767"
"0.00479","0.007309","0.037635","0.004525"
"0.00478","0.007535","0.038333","0.005465"
"0.00474","0.007811","0.039279","0.006571"
"0.00473","0.008063","0.040262","0.007833"
"0.00483","0.008238","0.040889","0.010245"
"0.00491","0.008403","0.041636","0.013165"
"0.00500","0.008564","0.042411","0.016219"
"0.00503","0.008657","0.043510","0.019327"
"0.00503","0.008638","0.044769","0.022716"
"0.00498","0.008532","0.046348","0.026126"
"0.00489","0.008322","0.047689","0.029424"
"0.00480","0.008138","0.049519","0.032520"
"0.00466","0.008041","0.052079","0.035444"
"0.00460","0.008030","0.054711","0.038110"
"0.00447","0.008047","0.057581","0.040475"
"0.00436","0.008074","0.060447","0.042647"
"0.00425","0.008096","0.062984","0.044496"
"0.00409","0.008273","0.065652","0.045092"
"0.00393","0.008551","0.068661","0.045068"
"0.00372","0.008933","0.072110","0.043775"
"0.00374","0.009436","0.075239","0.041908"
"0.00396","0.010184","0.078807","0.039627"
"0.00436","0.011055","0.082539","0.037211"
"0.00498","0.012215","0.086507","0.034446"
"0.00578","0.013379","0.089802","0.031585"
"0.00659","0.014621","0.092841","0.028762"
"0.00737","0.015803","0.095152","0.026050"
"0.00827","0.016917","0.096437","0.023216"
"0.00922","0.018073","0.097594","0.020320"
"0.01021","0.019143","0.098803","0.017482"
"0.01121","0.020117","0.099927","0.014633"
"0.01223","0.020987","0.100678","0.011936"
"0.01330","0.021666","0.101133","0.010286"
"0.01422","0.022146","0.100761","0.009082"
"0.01489","0.022388","0.099483","0.008058"
"0.01536","0.022440","0.097786","0.007125"
"0.01551","0.022103","0.095396","0.006490"
"0.01548","0.021677","0.092390","0.005924"
"0.01555","0.020923","0.088459","0.005343"
"0.01580","0.020144","0.085039","0.004775"
