"1 Chan 1","2 Chan 2","3 Chan 3","4 Chan 4","5 Chan 5","6 Chan 6","7 Chan 7"
0.005958,0.014430,0.0077133,0.0103641,0.001066,0.052642,0.031953
0.005892,0.014402,0.0077387,0.0101409,0.001138,0.053158,0.031307
0.005786,0.014472,0.0078104,0.0099631,0.001208,0.053450,0.030518
0.005597,0.014517,0.0078524,0.0098223,0.001249,0.053584,0.030184
0.005402,0.014406,0.0078472,0.0097202,0.001281,0.053961,0.030360
0.005218,0.014292,0.0078067,0.0096545,0.001300,0.054284,0.030560
0.005057,0.014281,0.0077394,0.0095557,0.001318,0.054816,0.030579
0.004925,0.014178,0.0076595,0.0094381,0.001331,0.055549,0.031035
0.004756,0.014048,0.0075373,0.0093608,0.001348,0.056259,0.031617
0.004631,0.013923,0.0073816,0.0092712,0.001358,0.056782,0.032130
0.004499,0.013789,0.0072530,0.0091770,0.001377,0.057137,0.032491
0.004401,0.013646,0.0071868,0.0090274,0.001389,0.057446,0.032726
0.004332,0.013547,0.0071924,0.0088275,0.001414,0.057930,0.032584
0.004262,0.013287,0.0071544,0.0086620,0.001436,0.058666,0.032764
0.004180,0.013006,0.0070641,0.0085100,0.001437,0.059403,0.033150
0.004121,0.012762,0.0069495,0.0083261,0.001433,0.060137,0.033586
0.004078,0.012619,0.0068667,0.0081059,0.001405,0.061019,0.033795
0.004136,0.012452,0.0068746,0.0077605,0.001364,0.062782,0.033876
0.004295,0.012213,0.0069399,0.0073957,0.001326,0.064888,0.034035
0.004463,0.012081,0.0070313,0.0070256,0.001281,0.066581,0.033885
0.004635,0.012029,0.0072111,0.0066742,0.001245,0.068106,0.033166
0.004842,0.012130,0.0075295,0.0063071,0.001210,0.069479,0.031943
0.005094,0.012322,0.0079530,0.0058473,0.001163,0.070831,0.030537
0.005341,0.012484,0.0083447,0.0053631,0.001118,0.072238,0.029335
0.005582,0.012597,0.0086282,0.0049346,0.001057,0.073703,0.028554
0.005786,0.012824,0.0089054,0.0045254,0.001023,0.074848,0.027344
0.006001,0.013108,0.0092186,0.0040993,0.001025,0.075965,0.025865
0.006196,0.013394,0.0096057,0.0036718,0.001027,0.077157,0.024212
0.006370,0.013785,0.0099707,0.0032846,0.001038,0.078237,0.022168
0.006498,0.014009,0.0101698,0.0030497,0.001063,0.078682,0.020794
0.006579,0.014256,0.0102960,0.0028981,0.001095,0.078692,0.019522
0.006658,0.014520,0.0103944,0.0027734,0.001149,0.078672,0.018351
0.006690,0.014703,0.0104227,0.0027108,0.001222,0.078768,0.017542
0.006636,0.014733,0.0102791,0.0028008,0.001302,0.078590,0.017459
0.006554,0.014734,0.0101164,0.0029331,0.001385,0.078438,0.017448
