"1 Chan 1","2 Chan 2","3 Chan 3","4 Chan 4"
0.018257,"0.071341","0.004605","0.038041"
0.018497,"0.071314","0.004358","0.038639"
0.018724,"0.071005","0.004124","0.039214"
0.018965,"0.070717","0.003899","0.039665"
0.019146,"0.070725","0.003692","0.039913"
0.019251,"0.070971","0.003495","0.039951"
0.019304,"0.071498","0.003321","0.039735"
0.019249,"0.072328","0.003187","0.039362"
0.019110,"0.073246","0.003062","0.038919"
0.018891,"0.074480","0.002962","0.038444"
0.018495,"0.075776","0.002934","0.037941"
0.018006,"0.076895","0.002946","0.037321"
0.017354,"0.077894","0.002990","0.036574"
0.016663,"0.078655","0.003064","0.035680"
0.015915,"0.079297","0.003138","0.034789"
0.015202,"0.079802","0.003221","0.033893"
0.014513,"0.080193","0.003305","0.032946"
0.013835,"0.080504","0.003372","0.032016"
0.013172,"0.080624","0.003440","0.031018"
0.012562,"0.080621","0.003495","0.030011"
0.012011,"0.080478","0.003548","0.029059"
0.011510,"0.080397","0.003592","0.027976"
0.011002,"0.080208","0.003645","0.026931"
0.010523,"0.079625","0.003689","0.025876"
0.010066,"0.078808","0.003733","0.024956"
0.009632,"0.077989","0.003788","0.024193"
0.009281,"0.076774","0.003822","0.023602"
0.009023,"0.075494","0.003855","0.023029"
0.008832,"0.073565","0.003884","0.022453"
0.009000,"0.071311","0.003894","0.021834"
0.009413,"0.068904","0.003882","0.021259"
0.010041,"0.066271","0.003860","0.020741"
0.010740,"0.063926","0.003838","0.020308"
0.011518,"0.061742","0.003812","0.019903"
0.012317,"0.059653","0.003779","0.019509"
0.013121,"0.057643","0.003741","0.019123"
0.013936,"0.055733","0.003708","0.018756"
0.014743,"0.053971","0.003673","0.018452"
0.015529,"0.052515","0.003643","0.018141"
0.016308,"0.051372","0.003619","0.017777"
0.017052,"0.050332","0.003588","0.017459"
0.017812,"0.049220","0.003550","0.017144"
0.018552,"0.048197","0.003501","0.016909"
0.019264,"0.047541","0.003452","0.016684"
0.019964,"0.046762","0.003396","0.016503"
0.020656,"0.046252","0.003342","0.016280"
0.021306,"0.045524","0.003302","0.016095"
0.022118,"0.044708","0.003238","0.015919"
0.022658,"0.043839","0.003185","0.015789"
0.022921,"0.043034","0.003148","0.015707"
0.023095,"0.042644","0.003111","0.015637"
0.022838,"0.042239","0.003100","0.015659"
0.022468,"0.041835","0.003098","0.015663"
0.022058,"0.041361","0.003094","0.015695"
0.021664,"0.040818","0.003092","0.015716"
0.021257,"0.040188","0.003109","0.015740"
0.020840,"0.039614","0.003140","0.015773"
0.020461,"0.039027","0.003175","0.015818"
0.020100,"0.038482","0.003225","0.015855"
0.019754,"0.037924","0.003283","0.015889"
0.019390,"0.037477","0.003337","0.015905"
0.019030,"0.037053","0.003408","0.015883"
0.018675,"0.036510","0.003493","0.015843"
0.018503,"0.035889","0.003564","0.015726"
0.018357,"0.035067","0.003645","0.015604"
0.018236,"0.034318","0.003716","0.015445"
0.017925,"0.033781","0.003811","0.015288"
0.017630,"0.033427","0.003901","0.015156"
0.017259,"0.033073","0.004000","0.015040"
0.016797,"0.032741","0.004103","0.014978"
0.016902,"0.032407","0.004161","0.014841"
0.017420,"0.032063","0.004200","0.014672"
0.018198,"0.031738","0.004233","0.014465"
0.019169,"0.031450","0.004255","0.014289"
0.020291,"0.031189","0.004252","0.014117"
0.021680,"0.030830","0.004236","0.013932"
0.023421,"0.030403","0.004171","0.013829"
0.025648,"0.029869","0.004068","0.013828"
0.028619,"0.029213","0.003966","0.013864"
0.032149,"0.028519","0.003927","0.013828"
0.035918,"0.027924","0.003972","0.013937"
0.039919,"0.027463","0.004095","0.014176"
0.043757,"0.027071","0.004354","0.014567"
0.048125,"0.026832","0.004777","0.014931"
0.052618,"0.026691","0.005286","0.015407"
0.057079,"0.026687","0.005807","0.016092"
0.061649,"0.026676","0.006324","0.016925"
0.066547,"0.026701","0.006893","0.017768"
0.071734,"0.026661","0.007832","0.018528"
0.076875,"0.026561","0.009060","0.019243"
0.082039,"0.026470","0.010402","0.019926"
0.087266,"0.026433","0.011800","0.020575"
0.091987,"0.026362","0.013314","0.021269"
0.096337,"0.026253","0.014877","0.022004"
0.100252,"0.026135","0.016527","0.022710"
0.103650,"0.025969","0.018264","0.023359"
0.106318,"0.025827","0.020082","0.023946"
0.107846,"0.025798","0.021941","0.024490"
0.108597,"0.025811","0.023816","0.025004"
0.108446,"0.025587","0.025672","0.025307"
0.107447,"0.025097","0.027448","0.025564"
0.106137,"0.024376","0.029046","0.025644"
0.104021,"0.023333","0.030390","0.025676"
0.101741,"0.022206","0.031571","0.025536"
0.099207,"0.021044","0.032559","0.025172"
0.096356,"0.019895","0.033489","0.024529"
0.093130,"0.018843","0.034438","0.023626"
0.089529,"0.017832","0.035038","0.022631"
0.085633,"0.016888","0.035233","0.021697"
0.081162,"0.015997","0.034938","0.020887"
0.076189,"0.015075","0.034373","0.020216"
0.071162,"0.014159","0.033607","0.019557"
0.066120,"0.013189","0.032827","0.018866"
0.061219,"0.012233","0.031865","0.018223"
0.056422,"0.011313","0.030820","0.017564"
0.051864,"0.010440","0.029660","0.016892"
0.047582,"0.009584","0.028423","0.016261"
0.043478,"0.008720","0.027098","0.015738"
0.039930,"0.008013","0.025687","0.015278"
0.036862,"0.007420","0.024249","0.014773"
0.034014,"0.006999","0.022763","0.014394"
0.031403,"0.006874","0.021344","0.014092"
0.028837,"0.006848","0.020022","0.013885"
0.026567,"0.006912","0.018878","0.013737"
0.024332,"0.006999","0.017772","0.013755"
0.022039,"0.007075","0.016597","0.014064"
0.019954,"0.007171","0.015345","0.014564"
0.018103,"0.007229","0.014169","0.015167"
0.016525,"0.007227","0.013367","0.015780"
0.015172,"0.007208","0.012783","0.016333"
0.014188,"0.007231","0.012291","0.016831"
0.013469,"0.007297","0.011775","0.017354"
0.012829,"0.007380","0.011335","0.017883"
0.012229,"0.007454","0.010904","0.018428"
0.011644,"0.007531","0.010532","0.018948"
0.011195,"0.007603","0.010216","0.019478"
0.010787,"0.007690","0.009913","0.020015"
0.010473,"0.007804","0.009613","0.020543"
0.010301,"0.007915","0.009326","0.021063"
0.010207,"0.008034","0.009102","0.021564"
0.010123,"0.008140","0.008880","0.022106"
0.010035,"0.008255","0.008609","0.022677"
0.009943,"0.008364","0.008288","0.023232"
0.009965,"0.008447","0.007960","0.023725"
0.010161,"0.008516","0.007610","0.024098"
0.010360,"0.008580","0.007305","0.024400"
0.010490,"0.008677","0.007059","0.024602"
0.010611,"0.008839","0.006816","0.024664"
0.010693,"0.009053","0.006576","0.024630"
0.010741,"0.009272","0.006340","0.024546"
0.010735,"0.009505","0.006100","0.024423"
0.010661,"0.009712","0.005886","0.024256"
0.010547,"0.009922","0.005695","0.024018"
0.010420,"0.010158","0.005498","0.023786"
0.010277,"0.010459","0.005259","0.023520"
0.010113,"0.010829","0.005010","0.023187"
0.009958,"0.011292","0.004759","0.022802"
0.009804,"0.011790","0.004512","0.022384"
0.009646,"0.012323","0.004306","0.021927"
0.009491,"0.012852","0.004115","0.021439"
0.009322,"0.013529","0.003949","0.020897"
0.009136,"0.014294","0.003845","0.020286"
0.008961,"0.015153","0.003784","0.019614"
0.008810,"0.016082","0.003741","0.018973"
0.008678,"0.017059","0.003708","0.018305"
0.008580,"0.018045","0.003680","0.017619"
0.008467,"0.018993","0.003677","0.017004"
0.008371,"0.019878","0.003674","0.016456"
0.008276,"0.020719","0.003674","0.015926"
0.008186,"0.021549","0.003696","0.015383"
0.008103,"0.022373","0.003738","0.014852"
0.008059,"0.023187","0.003781","0.014368"
0.008004,"0.023975","0.003832","0.013882"
0.007947,"0.024826","0.003896","0.013347"
0.007918,"0.025872","0.003978","0.012802"
0.007868,"0.027019","0.004085","0.012303"
0.007811,"0.028217","0.004193","0.011833"
0.007751,"0.029509","0.004289","0.011378"
0.007701,"0.031480","0.004378","0.010858"
0.007666,"0.033669","0.004466","0.010305"
0.007629,"0.035748","0.004545","0.009804"
0.007585,"0.037653","0.004619","0.009354"
0.007533,"0.039515","0.004681","0.008926"
0.007459,"0.041248","0.004739","0.008560"
0.007377,"0.042954","0.004786","0.008213"
0.007293,"0.044655","0.004818","0.007881"
0.007222,"0.046543","0.004832","0.007526"
0.007151,"0.048639","0.004847","0.007159"
0.007090,"0.050765","0.004840","0.006797"
0.007053,"0.053009","0.004801","0.006432"
0.007024,"0.055451","0.004745","0.006038"
0.007010,"0.058247","0.004680","0.005609"
0.006999,"0.061044","0.004609","0.005194"
0.007003,"0.063463","0.004529","0.004843"
0.007010,"0.065683","0.004455","0.004514"
0.007049,"0.068372","0.004376","0.004122"
0.007099,"0.071106","0.004311","0.003736"
0.007142,"0.073343","0.004250","0.003432"
0.007171,"0.075435","0.004186","0.003168"
0.007206,"0.077682","0.004119","0.002898"
0.007247,"0.080247","0.004059","0.002633"
0.007319,"0.082969","0.004002","0.002371"
0.007396,"0.085895","0.003950","0.002087"
0.007466,"0.089264","0.003909","0.001799"
0.007567,"0.092412","0.003874","0.001507"
0.007652,"0.094993","0.003859","0.001348"
0.007750,"0.097330","0.003844","0.001258"
0.007860,"0.099485","0.003821","0.001248"
0.007952,"0.101015","0.003813","0.001366"
0.008001,"0.101413","0.003818","0.001662"
0.008056,"0.100868","0.003815","0.002114"
0.008128,"0.099792","0.003826","0.002694"
0.008193,"0.098707","0.003839","0.003302"
0.008260,"0.097333","0.003842","0.003944"
0.008348,"0.095330","0.003840","0.004672"
0.008427,"0.093056","0.003827","0.005417"
0.008514,"0.090054","0.003810","0.006291"
0.008601,"0.086712","0.003789","0.007185"
0.008687,"0.083379","0.003767","0.008045"
0.008772,"0.079848","0.003766","0.009035"
0.008828,"0.076098","0.003824","0.009993"
0.008879,"0.072168","0.003909","0.010928"
0.008948,"0.067694","0.003982","0.011866"
0.009012,"0.063368","0.004044","0.012770"
0.009088,"0.059390","0.004098","0.013568"
0.009133,"0.055504","0.004155","0.014252"
