"1 Chan 1","2 Chan 2","3 Chan 3","4 Chan 4","5 Chan 5","6 Chan 6","7 Chan 7"
"0.006345","0.013363","0.002343","0.002293","0.018809","0.0132896","0.017385"
"0.006302","0.015026","0.002333","0.001242","0.017191","0.0135688","0.018280"
"0.006337","0.016877","0.002237","0.000668","0.015789","0.0140677","0.018374"
"0.006604","0.020032","0.002131","0.000245","0.014959","0.0146128","0.017709"
"0.007074","0.022622","0.002054","0.000002","0.014734","0.0151281","0.016880"
"0.007548","0.024207","0.001945","0.000002","0.014905","0.0155886","0.016026"
"0.007896","0.025296","0.001987","0.000002","0.015031","0.0157575","0.015024"
"0.007887","0.025951","0.002029","0.000002","0.014733","0.0158529","0.013940"
"0.007571","0.027641","0.002116","0.000002","0.014144","0.0159419","0.012863"
"0.007295","0.029371","0.002243","0.000002","0.013388","0.0160564","0.011842"
"0.006888","0.031662","0.002702","0.000750","0.012595","0.0161538","0.011385"
"0.006491","0.034160","0.003181","0.001557","0.011982","0.0162677","0.010890"
"0.006365","0.035505","0.003489","0.002372","0.011307","0.0164194","0.010457"
"0.006337","0.037285","0.003707","0.003293","0.010576","0.0165814","0.009580"
"0.006413","0.038320","0.003678","0.003646","0.010103","0.0167363","0.009000"
"0.006584","0.038547","0.003656","0.003757","0.009648","0.0168113","0.008580"
"0.006750","0.037866","0.003645","0.003863","0.009791","0.0167884","0.008181"
"0.006596","0.036244","0.003850","0.003863","0.009975","0.0163994","0.008224"
"0.005966","0.034287","0.004279","0.004387","0.009673","0.0159447","0.008150"
"0.005115","0.033195","0.004702","0.004686","0.009163","0.0154907","0.008093"
"0.004277","0.032864","0.005106","0.004920","0.008537","0.0150952","0.007883"
"0.003816","0.033338","0.005323","0.004920","0.008600","0.0148600","0.007637"
"0.003595","0.033505","0.005368","0.004920","0.009388","0.0146932","0.007401"
"0.003582","0.032742","0.005423","0.004920","0.010433","0.0145471","0.007218"
"0.003565","0.031507","0.005407","0.004920","0.011678","0.0143953","0.007088"
"0.003757","0.029649","0.005010","0.004453","0.012620","0.0143623","0.006821"
"0.003919","0.029084","0.004646","0.004073","0.013007","0.0143283","0.006566"
"0.003919","0.030982","0.004453","0.003613","0.012947","0.0143532","0.006885"
"0.004039","0.032523","0.004843","0.002861","0.012588","0.0143143","0.007401"
"0.003881","0.034910","0.005655","0.002684","0.012059","0.0142181","0.007972"
"0.003668","0.036320","0.006452","0.002797","0.011660","0.0141865","0.008398"
"0.003881","0.036780","0.006941","0.002691","0.011219","0.0141836","0.008104"
"0.004082","0.037969","0.007068","0.002691","0.010855","0.0142356","0.007799"
"0.004449","0.038020","0.006859","0.002166","0.010673","0.0143422","0.007729"
"0.004672","0.037644","0.006612","0.001868","0.010678","0.0144695","0.007623"
"0.004803","0.036724","0.006331","0.001634","0.010795","0.0145938","0.007562"
"0.004404","0.035399","0.006115","0.002180","0.010316","0.0147304","0.007482"
"0.003972","0.035375","0.006138","0.002814","0.009626","0.0147630","0.007429"
"0.003652","0.035291","0.006131","0.003266","0.008822","0.0147393","0.007404"
"0.003196","0.034988","0.006188","0.003985","0.007870","0.0148255","0.007424"
"0.002934","0.034974","0.006257","0.004573","0.007312","0.0149051","0.007392"
"0.002773","0.033555","0.006208","0.005135","0.007035","0.0150689","0.007269"
"0.002773","0.030689","0.006075","0.005746","0.007055","0.0151410","0.006603"
"0.002672","0.027691","0.005465","0.006447","0.007421","0.0150994","0.005993"
"0.002822","0.024538","0.004709","0.006623","0.007878","0.0150046","0.005471"
"0.002835","0.022749","0.004108","0.006902","0.008195","0.0148385","0.004978"
"0.002729","0.021849","0.003630","0.007152","0.008457","0.0147712","0.004983"
"0.002770","0.021615","0.003436","0.007152","0.008453","0.0148210","0.004993"
"0.002780","0.021750","0.003301","0.007201","0.008293","0.0148738","0.004993"
"0.002684","0.022074","0.003194","0.007487","0.007909","0.0149848","0.005014"
"0.002664","0.023070","0.003322","0.007487","0.007182","0.0150687","0.005185"
"0.003038","0.023742","0.003503","0.006941","0.006694","0.0151156","0.005232"
"0.003479","0.023791","0.003799","0.006307","0.006207","0.0153136","0.005155"
"0.003856","0.023840","0.004766","0.005855","0.005849","0.0153905","0.004908"
"0.004446","0.024283","0.005941","0.005136","0.005651","0.0153594","0.004576"
"0.005011","0.024358","0.006949","0.004267","0.005432","0.0153252","0.004387"
"0.005563","0.024464","0.008685","0.003277","0.005261","0.0151647","0.004262"
"0.006148","0.024667","0.009869","0.002310","0.005141","0.0152286","0.004124"
"0.006696","0.024782","0.011385","0.001439","0.004951","0.0154808","0.003887"
"0.006985","0.024822","0.013046","0.001088","0.004697","0.0159073","0.003531"
"0.007515","0.024469","0.013702","0.000585","0.004611","0.0165460","0.003143"
"0.007831","0.023865","0.014434","0.000335","0.004461","0.0171975","0.002809"
"0.008037","0.022449","0.014550","0.000335","0.004548","0.0177783","0.002528"
"0.008356","0.020774","0.014547","0.000286","0.004807","0.0183934","0.002167"
"0.008771","0.018962","0.014511","0.000000","0.005081","0.0187545","0.001976"
"0.009069","0.017519","0.014238","0.000000","0.005417","0.0189637","0.001787"
"0.009290","0.016400","0.013931","0.000000","0.005602","0.0192249","0.001701"
"0.009439","0.015769","0.013624","0.000000","0.005674","0.0193631","0.001725"
"0.009398","0.015163","0.012784","0.000000","0.006522","0.0194688","0.001849"
"0.009253","0.014071","0.011730","0.000000","0.007600","0.0194949","0.002068"
"0.009351","0.013329","0.010800","0.000197","0.008727","0.0192675","0.002283"
"0.008941","0.012589","0.009287","0.001607","0.009745","0.0190438","0.002480"
"0.009078","0.011501","0.008291","0.002072","0.009972","0.0188830","0.002769"
"0.009228","0.010637","0.007074","0.002579","0.010208","0.0186072","0.003025"
"0.009011","0.009657","0.005864","0.002959","0.010425","0.0182625","0.003227"
"0.008794","0.008999","0.005622","0.002969","0.010771","0.0176708","0.003536"
"0.008561","0.009117","0.005231","0.002969","0.011761","0.0169464","0.003811"
"0.008342","0.009466","0.005359","0.002969","0.012553","0.0161969","0.004138"
"0.008026","0.009938","0.005735","0.002969","0.013174","0.0154161","0.004562"
"0.007862","0.010363","0.006141","0.002969","0.014189","0.0145925","0.004721"
"0.007149","0.010105","0.006760","0.003887","0.014646","0.0139840","0.004797"
"0.006457","0.009917","0.007387","0.004736","0.015185","0.0133913","0.004934"
"0.005785","0.009634","0.007709","0.006325","0.015936","0.0127747","0.005052"
"0.005275","0.009325","0.008521","0.007938","0.015305","0.0124598","0.005135"
"0.005101","0.009042","0.009223","0.009053","0.014798","0.0121275","0.005147"
"0.004646","0.008622","0.010013","0.010098","0.014426","0.0118966","0.005005"
"0.004850","0.008138","0.010981","0.008849","0.014164","0.0117546","0.004975"
"0.004567","0.007834","0.011985","0.008805","0.014457","0.0115248","0.004864"
"0.005093","0.007932","0.013556","0.008845","0.014955","0.0112000","0.004740"
"0.007636","0.008538","0.015259","0.008921","0.015610","0.0108134","0.004596"
"0.011721","0.009609","0.016248","0.009688","0.016311","0.0104763","0.004354"
"0.017662","0.010117","0.017915","0.009889","0.016484","0.0101229","0.004098"
"0.023825","0.010398","0.020332","0.009889","0.016094","0.0101463","0.003826"
"0.029053","0.010294","0.023602","0.009889","0.015933","0.0101815","0.003962"
"0.033928","0.011590","0.029721","0.009889","0.014954","0.0103389","0.004476"
"0.037757","0.013749","0.037121","0.008971","0.014325","0.0104584","0.005157"
"0.042089","0.016136","0.043947","0.008122","0.013761","0.0104888","0.005933"
"0.046384","0.018232","0.049971","0.006532","0.013197","0.0105811","0.006883"
"0.050366","0.020728","0.056372","0.004920","0.013258","0.0104375","0.007752"
"0.054236","0.025087","0.064097","0.003804","0.012810","0.0101995","0.008861"
"0.058138","0.029469","0.072209","0.002562","0.012057","0.0099941","0.010708"
"0.061715","0.033939","0.079756","0.002401","0.011097","0.0097887","0.012593"
"0.065145","0.038410","0.085120","0.001980","0.010391","0.0095908","0.014263"
"0.068655","0.041807","0.088362","0.001478","0.009593","0.0095330","0.015871"
"0.069909","0.044832","0.091509","0.001122","0.008613","0.0095927","0.017491"
"0.068946","0.047735","0.096932","0.000488","0.007392","0.0096092","0.019143"
"0.067565","0.050593","0.101099","0.000824","0.006095","0.0096444","0.021293"
