"Time","46 sw offset","45 sw onset","23 toex (cm)","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml"
0.00,0,0,13.983490,0.00345,0.00430,0.00068,0.00067,0.00070,0.00076,0.00171,0.00266,-1.47742,0.09764
0.01,0,1,13.900621,0.00324,0.00527,0.00065,0.00100,0.00049,0.00068,0.00184,0.00331,-1.48083,0.09770
0.02,0,0,13.864912,0.00658,0.00886,0.00255,0.00128,0.00057,0.00086,0.00217,0.00938,-1.47949,0.09813
0.03,0,0,13.983938,0.00500,0.00688,0.00511,0.00152,0.00059,0.00077,0.00155,0.00836,-1.47900,0.09772
0.04,0,0,14.235664,0.00323,0.00299,0.00531,0.00102,0.00057,0.00073,0.00154,0.00423,-1.47849,0.09819
0.05,0,0,14.764497,0.00194,0.00154,0.00298,0.00074,0.00055,0.00081,0.00179,0.00618,-1.47769,0.09876
0.06,0,0,15.230997,0.00116,0.00058,0.00199,0.00070,0.00063,0.00077,0.00237,0.00418,-1.48132,0.09937
0.07,0,0,15.811215,0.00100,0.00059,0.00154,0.00073,0.00060,0.00074,0.00263,0.00313,-1.47754,0.10020
0.08,0,0,16.260096,0.00106,0.00065,0.00111,0.00078,0.00067,0.00065,0.00329,0.00076,-1.47775,0.10042
0.09,0,0,16.580175,0.00128,0.00059,0.00093,0.00064,0.00075,0.00068,0.00300,0.00110,-1.47928,0.10076
0.10,1,0,16.830840,0.00159,0.00061,0.00129,0.00096,0.00060,0.00065,0.00323,0.00059,-1.47729,0.10106
0.11,0,0,16.899399,0.00221,0.00059,0.00057,0.00071,0.00062,0.00080,0.00197,0.00059,-1.47931,0.10080
0.12,0,0,16.789060,0.00284,0.00053,0.00097,0.00063,0.00087,0.00065,0.00361,0.00060,-1.47815,0.10051
0.13,0,0,16.608270,0.00141,0.00052,0.00070,0.00062,0.00061,0.00067,0.00530,0.00068,-1.47940,0.10105
0.14,0,0,16.469037,0.00078,0.00063,0.00061,0.00060,0.00069,0.00064,0.00171,0.00059,-1.47879,0.10108
0.15,0,0,16.339849,0.00091,0.00057,0.00063,0.00055,0.00071,0.00064,0.00284,0.00068,-1.47839,0.10067
0.16,0,0,16.214415,0.00105,0.00059,0.00110,0.00058,0.00068,0.00066,0.00393,0.00057,-1.47925,0.09993
0.17,0,0,16.089630,0.00096,0.00058,0.00094,0.00063,0.00070,0.00066,0.00167,0.00065,-1.47751,0.09988
0.18,0,0,15.984540,0.00124,0.00052,0.00059,0.00055,0.00060,0.00058,0.00239,0.00064,-1.47711,0.10034
0.19,0,0,15.849114,0.00200,0.00058,0.00058,0.00063,0.00061,0.00064,0.00107,0.00062,-1.47940,0.10087
0.20,0,0,15.718553,0.00233,0.00060,0.00059,0.00062,0.00077,0.00065,0.00112,0.00055,-1.48526,0.10080
0.21,0,0,15.588731,0.00122,0.00070,0.00056,0.00069,0.00081,0.00060,0.00135,0.00059,-1.47897,0.10104
0.22,0,0,15.472891,0.00142,0.00064,0.00060,0.00064,0.00053,0.00073,0.00062,0.00062,-1.47964,0.10082
0.23,0,0,15.327412,0.00135,0.00064,0.00060,0.00074,0.00071,0.00063,0.00063,0.00055,-1.47952,0.10019
0.24,0,0,15.232390,0.00129,0.00055,0.00057,0.00067,0.00066,0.00062,0.00071,0.00060,-1.47836,0.10005
0.25,0,0,15.127246,0.00169,0.00102,0.00066,0.00066,0.00057,0.00073,0.00056,0.00050,-1.48019,0.10021
0.26,0,0,15.017872,0.00304,0.00288,0.00053,0.00065,0.00058,0.00063,0.00058,0.00064,-1.47928,0.09988
0.27,0,0,14.853212,0.00258,0.00117,0.00062,0.00095,0.00054,0.00072,0.00084,0.00143,-1.47806,0.09933
0.28,0,0,14.766438,0.00230,0.00149,0.00057,0.00080,0.00055,0.00065,0.00126,0.00076,-1.47803,0.09958
0.29,0,0,14.545126,0.00140,0.00089,0.00079,0.00073,0.00056,0.00064,0.00083,0.00141,-1.47720,0.10005
0.30,0,0,14.482289,0.00108,0.00083,0.00057,0.00078,0.00057,0.00073,0.00078,0.00056,-1.47690,0.10007
0.31,0,0,14.321004,0.00093,0.00111,0.00060,0.00100,0.00061,0.00069,0.00128,0.00058,-1.47849,0.10032
0.32,0,0,14.208363,0.00196,0.00216,0.00091,0.00068,0.00053,0.00071,0.00102,0.00122,-1.47952,0.10023
0.33,0,0,14.026251,0.00184,0.00135,0.00065,0.00066,0.00061,0.00066,0.00118,0.00106,-1.47629,0.10029
0.34,0,0,13.934443,0.00094,0.00111,0.00058,0.00082,0.00060,0.00064,0.00136,0.00051,-1.43555,0.10058
0.35,0,0,13.825146,0.00195,0.00099,0.00052,0.00080,0.00070,0.00076,0.00133,0.00063,-1.33899,0.10064
0.36,0,0,13.727808,0.00203,0.00096,0.00074,0.00083,0.00076,0.00137,0.00098,0.00074,-1.18106,0.10135
0.37,0,0,13.557779,0.00204,0.00163,0.00058,0.00074,0.00088,0.00148,0.00078,0.00060,-0.98773,0.10246
0.38,0,0,13.552468,0.00165,0.00195,0.00062,0.00060,0.00049,0.00063,0.00119,0.00179,-0.74420,0.10102
0.39,0,0,13.492531,0.00209,0.00195,0.00052,0.00063,0.00057,0.00069,0.00141,0.00305,-0.50638,0.09953
0.40,0,0,13.413926,0.00259,0.00393,0.00068,0.00058,0.00052,0.00064,0.00160,0.00656,-0.20529,0.09917
0.41,0,1,13.302231,0.00460,0.00689,0.00120,0.00063,0.00061,0.00081,0.00143,0.01152,0.07898,0.09904
0.42,0,0,13.362707,0.00474,0.00594,0.00227,0.00087,0.00063,0.00075,0.00175,0.01514,0.38470,0.09785
