"Time","46 sw offset","45 sw onset","23 toex (cm)","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml"
0.00,0,0,13.067202,0.00108,0.00051,0.00053,0.00068,0.00060,0.00062,0.00065,0.00054,0.00014,0.09627
0.01,0,0,13.027946,0.00322,0.00235,0.00057,0.00059,0.00057,0.00059,0.00163,0.00567,0.00015,0.09545
0.02,0,1,12.988272,0.00580,0.00967,0.00258,0.00075,0.00059,0.00078,0.00133,0.00991,0.00045,0.09671
0.03,0,0,13.022050,0.00590,0.00644,0.00249,0.00065,0.00058,0.00065,0.00175,0.00545,0.00001,0.09634
0.04,0,0,13.428134,0.00210,0.00354,0.00458,0.00067,0.00062,0.00063,0.00147,0.01212,-0.00014,0.09568
0.05,0,0,13.838996,0.00176,0.00090,0.00429,0.00065,0.00060,0.00072,0.00225,0.00577,-0.00013,0.09570
0.06,0,0,14.293451,0.00123,0.00059,0.00223,0.00061,0.00060,0.00077,0.00178,0.00966,0.00000,0.09673
0.07,0,0,14.731201,0.00189,0.00060,0.00155,0.00053,0.00072,0.00071,0.00253,0.01067,-0.00014,0.09680
0.08,0,0,15.082933,0.00103,0.00057,0.00178,0.00054,0.00070,0.00063,0.00294,0.00541,0.00016,0.09712
0.09,0,0,15.329729,0.00115,0.00067,0.00149,0.00054,0.00057,0.00065,0.00273,0.00412,0.00030,0.09711
0.10,0,0,15.464777,0.00205,0.00059,0.00100,0.00060,0.00062,0.00063,0.00250,0.00724,0.00015,0.09625
0.11,0,0,15.545596,0.00147,0.00057,0.00220,0.00054,0.00077,0.00073,0.00246,0.00643,0.00013,0.09617
0.12,0,0,15.585464,0.00092,0.00061,0.00087,0.00053,0.00055,0.00070,0.00315,0.01003,0.00002,0.09708
0.13,0,0,15.686901,0.00115,0.00060,0.00090,0.00049,0.00075,0.00068,0.00299,0.00480,0.00001,0.09750
0.14,0,0,15.866165,0.00222,0.00054,0.00086,0.00052,0.00077,0.00065,0.00338,0.00360,-0.00014,0.09756
0.15,0,0,16.148617,0.00152,0.00053,0.00053,0.00052,0.00085,0.00066,0.00450,0.00195,-0.00015,0.09665
0.16,0,0,16.327208,0.00126,0.00054,0.00064,0.00055,0.00087,0.00068,0.00288,0.00062,0.00014,0.09602
0.17,1,0,16.645766,0.00159,0.00060,0.00074,0.00069,0.00055,0.00069,0.00122,0.00056,-0.00001,0.09659
0.18,0,0,16.765931,0.00301,0.00079,0.00097,0.00072,0.00055,0.00071,0.00094,0.00065,-0.00014,0.09702
0.19,0,0,16.628486,0.00321,0.00068,0.00052,0.00055,0.00054,0.00071,0.00119,0.00067,0.00031,0.09670
0.20,0,0,16.411948,0.00134,0.00055,0.00090,0.00056,0.00061,0.00066,0.00096,0.00051,0.00001,0.09669
0.21,0,0,16.284423,0.00109,0.00048,0.00086,0.00062,0.00057,0.00072,0.00070,0.00061,-0.00015,0.09653
0.22,0,0,16.136817,0.00310,0.00068,0.00054,0.00060,0.00056,0.00062,0.00096,0.00054,0.00030,0.09576
0.23,0,0,16.041262,0.00313,0.00066,0.00059,0.00059,0.00059,0.00073,0.00071,0.00055,-0.00013,0.09584
0.24,0,0,15.928356,0.00121,0.00064,0.00057,0.00061,0.00063,0.00075,0.00084,0.00064,-0.00001,0.09669
0.25,0,0,15.807720,0.00223,0.00073,0.00063,0.00068,0.00061,0.00065,0.00110,0.00058,-0.00001,0.09702
0.26,0,0,15.674607,0.00075,0.00064,0.00056,0.00065,0.00066,0.00067,0.00200,0.00053,0.00014,0.09727
