"Time","46 sw offset","45 sw onset","23 toex (cm)","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.00,0,1,10.708548,-0.01768,-0.00082,-0.01993,-0.01553,0.00819,-0.01305,0.02870,0.00704,1.48451,0.09671,3.27674
0.01,0,0,10.614973,-0.01849,0.00400,-0.02015,-0.01367,0.00856,-0.01266,0.00785,0.00173,1.48193,0.09614,3.27709
0.02,0,0,10.709478,-0.01862,0.00141,-0.02064,-0.01227,0.00906,-0.01242,0.00588,0.00067,1.48255,0.09563,3.27623
0.03,0,0,11.046053,-0.02103,0.00651,-0.02090,-0.01159,0.00922,-0.01164,0.00422,0.00290,1.48121,0.09633,3.27731
0.04,0,0,11.464901,-0.01745,0.00461,-0.02117,-0.01393,0.00858,-0.01251,0.00128,-0.00382,1.48255,0.09673,3.27658
0.05,0,0,11.913769,-0.01833,0.00370,-0.02160,-0.01389,0.00903,-0.01347,0.00624,0.00075,1.48285,0.09768,3.27727
0.06,0,0,12.307230,-0.01547,0.00423,-0.02039,-0.01693,0.00833,-0.01153,-0.00266,0.00162,1.48317,0.09816,3.27759
0.07,0,0,12.722803,-0.01765,0.00419,-0.02026,-0.01319,0.00770,-0.01241,0.00600,0.00009,1.48300,0.09846,3.27759
0.08,0,0,13.193299,-0.01933,0.00380,-0.02075,-0.01252,0.00904,-0.01098,0.02584,0.00319,1.48372,0.09780,3.27679
0.09,0,0,13.645381,-0.01609,0.00250,-0.01692,-0.01324,0.00828,-0.01284,-0.00343,0.00314,1.48242,0.09766,3.27656
0.10,0,0,14.130435,-0.01746,0.00384,-0.02096,-0.01414,0.00887,-0.01271,0.00427,0.00154,1.48239,0.09797,3.27744
0.11,0,0,14.606254,-0.01815,0.00285,-0.01949,-0.01410,0.00791,-0.01109,0.00707,0.00118,1.48513,0.09761,3.27726
0.12,0,0,15.107990,-0.01698,0.00424,-0.02106,-0.01459,0.00920,-0.01362,-0.00215,0.00025,1.48676,0.09722,3.27739
