"Time","m1 Lmark cle","70 Lmark cle","69 Rmark cle","68 LDS clean","m2 LDS clean","67 RDS clean","66 LDS mark","65 RDS mark","v3 L COP","v2 R COP","v1 xCoM","37 CoMy (cm)","34 FRx (cm)","29 HRx (cm)","32 FLx (cm)","27 HLx (cm)","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,0,0,0,0,0,0.000000,0.000000,7.426435,7.201420,11.707298,5.879026,14.083503,6.587202,1.48256,0.11385,3.27724
0.001,0,0,0,0,0,0,0,0,0.000000,0.000000,7.426920,7.206194,11.697470,5.891414,14.109192,6.579026,1.48567,0.07714,3.27777
0.002,0,0,0,0,0,0,0,0,0.000000,0.000000,7.426978,7.210968,11.687641,5.903800,14.134881,6.570849,1.48412,0.08474,3.27804
0.003,0,0,0,0,0,0,0,0,0.000000,0.000000,7.426003,7.215743,11.677812,5.916188,14.160570,6.562674,1.48366,0.11326,3.27728
0.004,0,0,0,0,0,0,0,0,0.000000,0.000000,7.424650,7.220448,11.668017,5.932393,14.184953,6.554559,1.48418,0.09862,3.27661
0.005,0,0,0,0,0,0,0,0,0.000000,0.000000,7.422385,7.224900,11.658348,5.962790,14.204474,6.546669,1.48431,0.09276,3.27630
0.006,0,0,0,0,0,0,0,0,0.000000,0.000000,7.419806,7.229351,11.648680,5.993187,14.223996,6.538780,1.48400,0.10402,3.27611
0.007,0,0,0,0,0,0,0,0,0.000000,0.000000,7.416473,7.233803,11.639010,6.023584,14.243518,6.530891,1.48304,0.11990,3.27634
0.008,0,0,0,0,0,0,0,0,0.000000,0.000000,7.412889,7.238086,11.628081,6.061005,14.261827,6.523114,1.48418,0.09362,3.27663
0.009,0,0,0,0,0,0,0,0,0.000000,0.000000,7.408699,7.241745,11.612469,6.124534,14.275630,6.515753,1.48376,0.09011,3.27716
0.010,0,0,0,0,0,0,0,0,0.000000,0.000000,7.404278,7.245403,11.596856,6.188062,14.289432,6.508391,1.48429,0.11569,3.27754
0.011,0,0,0,0,0,0,0,0,0.000000,0.000000,7.399303,7.249062,11.581244,6.251590,14.303234,6.501030,1.48557,0.10058,3.27731
0.012,0,0,0,0,0,0,0,0,0.000000,0.000000,7.394123,7.252446,11.566949,6.321162,14.315439,6.508605,1.48427,0.07835,3.27713
0.013,0,0,0,0,0,0,0,0,0.000000,0.000000,7.388448,7.254812,11.557552,6.413202,14.321711,6.571699,1.48299,0.07826,3.27713
0.014,0,0,0,0,0,0,0,0,0.000000,0.000000,7.382655,7.257177,11.548156,6.505241,14.327982,6.634793,1.48396,0.12421,3.27711
0.015,0,0,0,0,0,0,0,0,0.000000,0.000000,7.376576,7.259543,11.538759,6.597280,14.334252,6.697886,1.48262,0.10522,3.27704
0.016,1,1,0,0,0,0,1,0,1.130627,0.000000,7.370479,7.261781,11.528563,6.694592,14.339134,6.760976,1.48336,0.09157,3.27695
0.017,0,0,0,1,1,0,0,0,4.976297,0.000000,7.364334,7.263542,11.515388,6.811503,14.338852,6.824049,1.48344,0.11742,3.27679
0.018,0,0,0,1,1,0,0,0,7.691230,0.000000,7.358240,7.265304,11.502215,6.928413,14.338570,6.887121,1.48225,0.11693,3.27677
0.019,0,0,0,1,1,0,0,0,7.690855,0.000000,7.352268,7.267066,11.489041,7.045324,14.338287,6.950193,1.48514,0.09696,3.27722
0.020,0,0,0,1,1,0,0,0,7.690581,0.000000,7.346372,7.268818,11.477414,7.163025,14.336706,7.013259,1.48563,0.07472,3.27751
0.021,0,0,0,1,1,0,0,0,7.690550,0.000000,7.340661,7.270537,11.471534,7.283666,14.330297,7.076300,1.48607,0.10777,3.27713
0.022,0,0,0,1,1,0,0,0,7.690596,0.000000,7.334891,7.272256,11.465653,7.404307,14.323887,7.139341,1.48576,0.09204,3.27684
0.023,0,0,0,1,1,0,0,0,7.690825,0.000000,7.328979,7.273976,11.459773,7.524948,14.317477,7.202382,1.48337,0.08848,3.27692
0.024,0,0,0,1,1,0,0,0,7.691099,0.000000,7.322865,7.275517,11.453051,7.638429,14.310281,7.265462,1.48353,0.12137,3.27704
0.025,0,0,0,1,1,0,0,0,7.691477,0.000000,7.316266,7.276400,11.443200,7.725296,14.300160,7.328689,1.48317,0.10146,3.27734
