"Time","v3 L COP","v1 xCoM","37a CoMy (cm)","v2 R COP","66 RDS cle","64 Rmark cle","34 FRx (cm)","29 HRx (cm)","67 LDS cle","33 FLy (cm)","65 Lmark cle","32 FLx (cm)","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","3 Platform","2 Trdml","1 Synch"
0.000,0.000000,5.628666,0.772412,0.000000,0,0,12.293289,8.074216,0,6.190699,0,14.622283,3.824539,6.432360,8.825450,-1.47883,0.08860,3.27732
0.001,0.000000,5.627736,0.737216,0.000000,0,0,12.282503,8.098309,0,6.189827,0,14.634698,3.818944,6.433416,8.814924,-1.48004,0.11843,3.27787
0.002,0.000000,5.626676,0.700276,0.000000,0,0,12.271605,8.125972,0,6.188268,0,14.647373,3.814546,6.434403,8.804351,-1.47914,0.10751,3.27779
0.003,0.000000,5.625567,0.663337,0.000000,0,0,12.260709,8.153635,0,6.186710,0,14.660049,3.810148,6.435391,8.793778,-1.47938,0.09017,3.27757
0.004,0.000000,5.624387,0.626397,0.000000,0,0,12.249812,8.181298,0,6.185151,0,14.672725,3.805750,6.436378,8.783205,-1.48008,0.11830,3.27704
0.005,0.000000,5.623185,0.588278,0.000000,0,0,12.238937,8.210375,0,6.183382,0,14.685385,3.802156,6.437266,8.772676,-1.47775,0.11512,3.27658
0.006,0.000000,5.621953,0.547677,0.000000,0,0,12.228110,8.242428,0,6.181167,0,14.698009,3.800256,6.437943,8.762243,-1.47910,0.09649,3.27627
0.007,0.000000,5.620674,0.507076,0.000000,0,0,12.217283,8.274481,0,6.178953,0,14.710634,3.798355,6.438620,8.751809,-1.47948,0.11076,3.27609
0.008,0.000000,5.619325,0.466476,0.000000,0,0,12.206456,8.306534,0,6.176739,0,14.723259,3.796454,6.439297,8.741376,-1.47897,0.12076,3.27616
0.009,0.000000,5.617916,0.427830,0.000000,0,0,12.195509,8.340144,0,6.174364,0,14.735629,3.795213,6.439957,8.730964,-1.47987,0.10068,3.27626
0.010,0.000000,5.616419,0.393302,0.000000,0,0,12.184307,8.377033,0,6.171650,0,14.747465,3.795364,6.440584,8.720599,-1.48027,0.10658,3.27642
0.011,0.000000,5.614984,0.358773,0.000000,0,0,12.173106,8.413922,0,6.168937,0,14.759301,3.795515,6.441211,8.710234,-1.47995,0.12010,3.27645
0.012,0.000000,5.613640,0.324245,0.000000,0,0,12.161904,8.450810,0,6.166223,0,14.771137,3.795666,6.441838,8.699868,-1.47995,0.09652,3.27622
0.013,0.000000,5.612464,0.291456,0.000000,0,0,12.150656,8.489285,0,6.163423,0,14.782645,3.796474,6.442436,8.689674,-1.47954,0.09588,3.27628
0.014,0.000000,5.611534,0.262329,0.000000,0,0,12.139305,8.531096,0,6.160440,0,14.793460,3.798668,6.442973,8.679843,-1.47894,0.12474,3.27696
0.015,0.000000,5.610623,0.233202,0.000000,0,0,12.127954,8.572906,0,6.157457,0,14.804275,3.800861,6.443510,8.670012,-1.47813,0.10434,3.27729
0.016,0.000000,5.609740,0.204075,0.000000,0,0,12.116604,8.614717,0,6.154475,0,14.815089,3.803055,6.444046,8.660180,-1.48051,0.09845,3.27683
0.017,0.000000,5.608729,0.176908,0.000000,0,0,12.105342,8.658006,0,6.151458,0,14.825161,3.806059,6.444467,8.650462,-1.47892,0.11863,3.27650
0.018,0.000000,5.607529,0.153866,0.000000,0,0,12.094270,8.704405,0,6.148371,0,14.833667,3.810772,6.444643,8.640984,-1.47921,0.10502,3.27642
0.019,0.000000,5.606373,0.130823,0.000000,0,0,12.083198,8.750804,0,6.145284,0,14.842173,3.815485,6.444820,8.631505,-1.47952,0.09972,3.27653
