"Time","v3 L COP","v1 xCoM","37a CoMy (cm)","v2 R COP","66 RDS cle","64 Rmark cle","34 FRx (cm)","29 HRx (cm)","67 LDS cle","33 FLy (cm)","65 Lmark cle","32 FLx (cm)","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","3 Platform","2 Trdml","1 Synch"
0.000,0.000000,6.656476,-1.202231,0.000000,0,0,14.438527,9.278295,0,7.041855,0,16.394386,5.448784,7.478545,10.531754,1.48530,0.09061,3.27698
0.001,0.000000,6.648493,-1.345500,0.000000,0,0,14.428088,9.304769,0,7.033813,0,16.402126,5.441868,7.478847,10.521962,1.48501,0.11502,3.27689
0.002,0.000000,6.640686,-1.467541,0.000000,0,0,14.417596,9.334133,0,7.026373,0,16.409821,5.435906,7.479065,10.512154,1.48348,0.10469,3.27658
0.003,0.000000,6.633097,-1.589581,0.000000,0,0,14.407104,9.363497,0,7.018933,0,16.417519,5.429945,7.479284,10.502346,1.48671,0.09273,3.27646
0.004,0.000000,6.625863,-1.711622,0.000000,0,0,14.396613,9.392861,0,7.011494,0,16.425213,5.423982,7.479502,10.492537,1.48547,0.10875,3.27676
0.005,0.000000,6.618954,-1.822136,0.000000,0,0,14.386152,9.423524,0,7.004317,0,16.432760,5.418354,7.479512,10.482826,1.48518,0.10068,3.27700
0.006,0.000000,6.612570,-1.905753,0.000000,0,0,14.375762,9.457215,0,6.997756,0,16.439953,5.413503,7.479035,10.473339,1.48364,0.08549,3.27708
0.007,0.000000,6.606494,-1.989371,0.000000,0,0,14.365373,9.490908,0,6.991194,0,16.447147,5.408653,7.478558,10.463852,1.48446,0.09637,3.27702
0.008,0.000000,6.600917,-2.072989,0.000000,0,0,14.354982,9.524600,0,6.984633,0,16.454342,5.403802,7.478081,10.454365,1.48355,0.12703,3.27664
0.009,0.000000,6.595608,-2.145342,0.000000,0,0,14.344591,9.559306,0,6.978390,0,16.461302,5.399013,7.477600,10.445054,1.48432,0.10697,3.27632
0.010,0.000000,6.590733,-2.191409,0.000000,0,0,14.334196,9.596379,0,6.972888,0,16.467716,5.394367,7.477111,10.436154,1.48446,0.07620,3.27617
0.011,0.000000,6.586136,-2.237476,0.000000,0,0,14.323802,9.633451,0,6.967387,0,16.474131,5.389721,7.476623,10.427256,1.48371,0.10700,3.27617
0.012,0.000000,6.581989,-2.283543,0.000000,0,0,14.313407,9.670525,0,6.961886,0,16.480547,5.385075,7.476135,10.418357,1.48466,0.10366,3.27655
0.013,0.000000,6.578149,-2.316716,0.000000,0,0,14.302954,9.708430,0,6.956500,0,16.486368,5.380389,7.475509,10.409482,1.48314,0.09865,3.27680
0.014,0.000000,6.574806,-2.319806,0.000000,0,0,14.292366,9.748281,0,6.951384,0,16.490805,5.375608,7.474563,10.400665,1.48406,0.09455,3.27673
0.015,0.000000,6.571822,-2.322895,0.000000,0,0,14.281777,9.788134,0,6.946268,0,16.495241,5.370827,7.473616,10.391848,1.48415,0.12255,3.27674
0.016,0.000000,6.569421,-2.325985,0.000000,0,0,14.271190,9.827985,0,6.941152,0,16.499680,5.366046,7.472670,10.383030,1.48588,0.09931,3.27697
0.017,0.000000,6.567427,-2.318344,0.000000,0,0,14.260570,9.868267,0,6.936334,0,16.503366,5.361281,7.471767,10.374159,1.48388,0.07598,3.27704
0.018,0.000000,6.566093,-2.285666,0.000000,0,0,14.249876,9.909554,0,6.932212,0,16.505304,5.356553,7.470970,10.365163,1.48483,0.08589,3.27674
0.019,0.000000,6.565162,-2.252987,0.000000,0,0,14.239183,9.950841,0,6.928090,0,16.507242,5.351824,7.470172,10.356167,1.48368,0.11086,3.27661
0.020,0.000000,6.564882,-2.220309,0.000000,0,0,14.228490,9.992127,0,6.923967,0,16.509182,5.347095,7.469374,10.347171,1.48431,0.10482,3.27691
0.021,0.000000,6.564995,-2.174567,0.000000,0,0,14.217759,10.034241,0,6.920312,0,16.510454,5.342970,7.468640,10.338162,1.48529,0.08748,3.27709
0.022,0.000000,6.565741,-2.098343,0.000000,0,0,14.206942,10.078279,0,6.917745,0,16.510174,5.340250,7.468052,10.329125,1.48489,0.11058,3.27693
0.023,0.000000,6.566909,-2.022118,0.000000,0,0,14.196124,10.122319,0,6.915179,0,16.509892,5.337531,7.467465,10.320087,1.48475,0.10543,3.27696
0.024,0.000000,6.568758,-1.945894,0.000000,0,0,14.185306,10.166359,0,6.912612,0,16.509611,5.334811,7.466878,10.311050,1.48677,0.09362,3.27742
0.025,0.000000,6.571068,-1.856271,0.000000,0,0,14.174395,10.210543,0,6.910483,0,16.509029,5.333078,7.466350,10.302004,1.48196,0.08785,3.27765
0.026,0.000000,6.574122,-1.735386,0.000000,0,0,14.163264,10.255064,0,6.909378,0,16.507746,5.333647,7.465961,10.292940,1.48423,0.11919,3.27735
0.027,1.372466,6.577665,-1.614500,0.000000,0,0,14.152135,10.299584,0,6.908272,0,16.506462,5.334216,7.465573,10.283875,1.48507,0.10497,3.27720
0.028,4.965308,6.581998,-1.493614,0.000000,0,0,14.141005,10.344106,0,6.907166,1,16.505177,5.334785,7.465184,10.274811,1.47944,0.08439,3.27743
