"Time","v3 L COP","66 RDS cle","64 R marks","67 LDS cle","v2 R COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","29 HRx (cm)","65 L marks","32 FLx (cm)","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","3 Platform","2 Trdml","1 Synch"
0.000,0.000000,0,0,0,0.000000,5.403403,-8.197707,5.725753,4.949937,17.548071,6.255561,11.716063,0,16.415852,4.840721,6.542107,12.255609,-1.47766,0.11371,3.27723
0.001,0.000000,0,0,0,0.000000,5.399732,-8.202229,5.716609,4.949004,17.555325,6.254779,11.704236,0,16.405163,4.841613,6.541092,12.269685,-1.47873,0.09853,3.27747
0.002,0.000000,0,0,0,0.000000,5.396627,-8.149643,5.706752,4.947802,17.562780,6.253948,11.692464,0,16.394442,4.842464,6.540665,12.283968,-1.47772,0.10699,3.27755
0.003,0.000000,0,0,0,0.000000,5.394219,-8.097056,5.696895,4.946599,17.570238,6.253117,11.680693,0,16.383720,4.843315,6.540238,12.298251,-1.47559,0.11993,3.27735
0.004,0.000000,0,0,0,0.000000,5.392398,-8.044471,5.687038,4.945396,17.577694,6.252286,11.668921,0,16.372999,4.844166,6.539812,12.312534,-1.47987,0.10142,3.27681
0.005,0.000000,0,0,0,0.000000,5.391272,-7.951818,5.678451,4.943934,17.585596,6.251339,11.657528,0,16.362417,4.844919,6.539752,12.327356,-1.47800,0.10250,3.27666
0.006,0.000000,0,0,0,0.000000,5.390733,-7.812510,5.671341,4.942171,17.594021,6.250258,11.646577,0,16.351995,4.845558,6.540122,12.342809,-1.47852,0.12420,3.27696
0.007,0.000000,0,0,0,0.000000,5.390909,-7.673202,5.664231,4.940407,17.602444,6.249177,11.635626,0,16.341574,4.846198,6.540491,12.358260,-1.47835,0.10281,3.27720
0.008,0.000000,0,0,0,0.000000,5.391690,-7.533893,5.657122,4.938643,17.610867,6.248096,11.624675,0,16.331152,4.846837,6.540860,12.373712,-1.47783,0.09540,3.27735
0.009,0.000000,0,0,0,0.000000,5.393166,-7.361049,5.649969,4.936695,17.619461,6.247067,11.614223,0,16.320728,4.847358,6.541263,12.389675,-1.47752,0.12145,3.27744
0.010,0.000000,0,0,0,0.000000,5.395230,-7.149152,5.642766,4.934532,17.628254,6.246100,11.604353,0,16.310297,4.847742,6.541706,12.406235,-1.47818,0.10188,3.27744
0.011,0.000000,0,0,0,0.000000,5.397904,-6.937255,5.635564,4.932368,17.637047,6.245134,11.594482,0,16.299868,4.848126,6.542149,12.422794,-1.47948,0.08740,3.27754
0.012,0.000000,0,0,0,0.000000,5.401095,-6.725358,5.628362,4.930204,17.645840,6.244167,11.584612,0,16.289438,4.848510,6.542592,12.439354,-1.47797,0.11239,3.27777
0.013,0.000000,0,0,0,0.000000,5.404808,-6.463634,5.621724,4.928004,17.655075,6.243143,11.574702,0,16.278938,4.848978,6.543119,12.455955,-1.47848,0.10256,3.27762
0.014,0.000000,0,0,0,0.000000,5.408963,-6.143888,5.615743,4.925761,17.664824,6.242051,11.564746,0,16.268356,4.849543,6.543745,12.472603,-1.47848,0.08857,3.27701
0.015,0.000000,0,0,0,0.000000,5.413602,-5.824141,5.609762,4.923518,17.674574,6.240960,11.554790,0,16.257774,4.850109,6.544370,12.489251,-1.47799,0.10070,3.27681
0.016,0.000000,0,0,0,0.000000,5.418652,-5.504395,5.603780,4.921274,17.684324,6.239868,11.544834,0,16.247194,4.850674,6.544995,12.505898,-1.47944,0.09635,3.27712
0.017,0.000000,0,0,0,0.000000,5.424166,-5.144849,5.597623,4.919009,17.694389,6.238753,11.534973,0,16.236473,4.851163,6.545734,12.521788,-1.47869,0.09680,3.27714
0.018,0.000000,0,0,0,0.000000,5.430073,-4.738959,5.591260,4.916719,17.704819,6.237610,11.525223,0,16.225592,4.851565,6.546608,12.536794,-1.47831,0.10474,3.27684
0.019,0.000000,0,0,0,0.000000,5.436420,-4.333069,5.584898,4.914428,17.715250,6.236466,11.515471,0,16.214710,4.851966,6.547481,12.551799,-1.47521,0.09367,3.27671
0.020,0.000000,0,0,0,0.000000,5.443140,-3.927179,5.578536,4.912138,17.725681,6.235323,11.505721,0,16.203827,4.852368,6.548355,12.566805,-1.48243,0.10422,3.27678
0.021,0.000000,0,0,0,0.000000,5.450299,-3.490870,5.573733,4.909771,17.736174,6.234195,11.496022,0,16.193037,4.852692,6.549411,12.581543,-1.47789,0.11826,3.27665
