"Time","v3 L COP","66 RDS cle","64 R marks","67 LDS cle","v2 R COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","29 HRx (cm)","65 L marks","32 FLx (cm)","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","3 Platform","2 Trdml","1 Synch"
0.000,0.000000,0,0,0,0.000000,4.391098,-6.501294,4.675295,3.844877,14.882144,5.047853,12.185852,0,17.217094,3.826504,5.386154,10.708248,-1.40723,0.10231,3.27603
0.001,0.000000,0,0,0,0.000000,4.384968,-6.578862,4.667850,3.845265,14.869184,5.041514,12.174768,0,17.205738,3.826284,5.386302,10.697719,-1.40130,0.09520,3.27633
0.002,0.000000,0,0,0,0.000000,4.378946,-6.656430,4.660406,3.845654,14.856226,5.035176,12.163684,0,17.194382,3.826065,5.386449,10.687188,-1.39070,0.11355,3.27661
0.003,0.000000,0,0,0,0.000000,4.373042,-6.733998,4.652962,3.846042,14.843266,5.028837,12.152600,0,17.183025,3.825845,5.386597,10.676659,-1.38382,0.11122,3.27684
0.004,0.000000,0,0,0,0.000000,4.367290,-6.798004,4.645718,3.846498,14.830448,5.022462,12.141441,0,17.147329,3.825548,5.386878,10.665999,-1.37314,0.10745,3.27724
0.005,0.000000,0,0,0,0.000000,4.361707,-6.841495,4.638777,3.847057,14.817843,5.016032,12.130170,0,17.074816,3.825135,5.387360,10.655145,-1.35347,0.12599,3.27793
0.006,0.000000,0,0,0,0.000000,4.356341,-6.884986,4.631836,3.847615,14.805238,5.009602,12.118899,0,17.002302,3.824721,5.387843,10.644290,-1.34161,0.09690,3.27823
0.007,0.000000,0,0,0,0.000000,4.351214,-6.928478,4.624896,3.848174,14.792633,5.003172,12.107628,0,16.929790,3.824307,5.388325,10.633435,-1.32831,0.08909,3.27793
0.008,0.000000,0,0,0,0.000000,4.346354,-6.952375,4.618145,3.848860,14.780033,4.996521,12.096528,0,16.856916,3.824011,5.388852,10.622874,-1.31970,0.10960,3.27750
0.009,0.000000,0,0,0,0.000000,4.341784,-6.946636,4.611681,3.849737,14.767442,4.989536,12.085688,0,16.783497,3.823895,5.389447,10.612757,-1.30795,0.10338,3.27689
0.010,0.000000,0,0,0,0.000000,4.337518,-6.940897,4.605217,3.850615,14.754850,4.982552,12.074847,0,16.710077,3.823778,5.390043,10.602640,-1.29490,0.11800,3.27652
0.011,0.000000,0,0,0,0.000000,4.333583,-6.935157,4.598753,3.851492,14.742258,4.975567,12.064007,0,16.636660,3.823662,5.390638,10.592523,-1.28106,0.10771,3.27652
0.012,0.000000,0,0,0,0.000000,4.329952,-6.895797,4.591995,3.852364,14.729765,4.968592,12.053201,0,16.563080,3.823722,5.391320,10.582441,-1.25691,0.10954,3.27658
0.013,0.000000,0,0,0,0.000000,4.326655,-6.805583,4.584792,3.853226,14.717419,4.961630,12.042448,0,16.489262,3.824049,5.392134,10.572414,-1.24227,0.13183,3.27673
0.014,0.000000,0,0,0,0.000000,4.323643,-6.715369,4.577590,3.854088,14.705073,4.954669,12.031695,0,16.415442,3.824375,5.392948,10.562387,-1.22745,0.11006,3.27697
0.015,0.000000,0,0,0,0.000000,4.320943,-6.625154,4.570386,3.854951,14.692727,4.947708,12.020943,0,16.341623,3.824702,5.393762,10.552360,-1.21207,0.10511,3.27735
