"Time","64 R marks","v2 R COP","66 RDS cle","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","34 FRx (cm)","33 FLy (cm)","29 HRx (cm)","v3 L COP","67 LDS cle","65 L marks","32 FLx (cm)","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","3 Platform","2 Trdml","1 Synch"
0.000,0,0.000000,0,6.329740,-2.713993,6.414703,12.394081,6.604036,6.890024,0.000000,0,0,11.323037,5.478384,6.841574,6.379789,1.48203,0.09345,3.27669
0.001,0,0.000000,0,6.328822,-2.578420,6.412214,12.424841,6.604055,6.878817,0.000000,0,0,11.311184,5.480604,6.840076,6.406100,1.48452,0.08826,3.27692
0.002,0,0.000000,0,6.328250,-2.442847,6.409725,12.455602,6.604075,6.867610,0.000000,0,0,11.299332,5.482823,6.838579,6.432412,1.48316,0.10199,3.27657
0.003,0,0.000000,0,6.327743,-2.307273,6.407236,12.486362,6.604094,6.856404,0.000000,0,0,11.287478,5.485043,6.837081,6.458723,1.48264,0.09988,3.27604
0.004,0,0.000000,0,6.327551,-2.182646,6.405253,12.514081,6.603871,6.845420,0.000000,0,0,11.276114,5.487217,6.835011,6.485669,1.48332,0.08756,3.27637
0.005,0,0.000000,0,6.327418,-2.061401,6.403427,12.540860,6.603572,6.834506,0.000000,0,0,11.264901,5.489377,6.832764,6.512812,1.48492,0.10763,3.27698
0.006,0,0.000000,0,6.327559,-1.940155,6.401601,12.567639,6.603274,6.823592,0.000000,0,0,11.253689,5.491537,6.830518,6.539954,1.48355,0.11149,3.27713
0.007,0,0.000000,0,6.327751,-1.818909,6.399775,12.594419,6.602975,6.812678,0.000000,0,0,11.242476,5.493697,6.828271,6.567096,1.48475,0.08395,3.27713
0.008,0,0.000000,0,6.328183,-1.715801,6.398103,12.618494,6.602700,6.801944,0.000000,0,0,11.231722,5.495884,6.821691,6.626042,1.48779,0.09200,3.27673
0.009,0,0.000000,0,6.328659,-1.618295,6.396480,12.641733,6.602431,6.791265,0.000000,0,0,11.221110,5.498080,6.813771,6.694813,1.48442,0.11029,3.27619
0.010,0,0.000000,0,6.329354,-1.520789,6.394856,12.664973,6.602163,6.780587,0.000000,0,0,11.210498,5.500276,6.805852,6.763584,1.48397,0.10108,3.27629
0.011,0,0.000000,0,6.330089,-1.423283,6.393232,12.688212,6.601894,6.769909,0.000000,0,0,11.199886,5.502471,6.797933,6.832354,1.48473,0.10244,3.27660
0.012,0,0.000000,0,6.331003,-1.349473,6.392098,12.709201,6.602129,6.759756,0.000000,0,0,11.189913,5.504350,6.789792,6.899706,1.48188,0.11104,3.27661
0.013,0,0.000000,0,6.331950,-1.282981,6.391116,12.729495,6.602518,6.749766,0.000000,0,0,11.180136,5.506130,6.781581,6.966620,1.48481,0.10449,3.27654
0.014,0,0.000000,0,6.333018,-1.216490,6.390133,12.749788,6.602908,6.739776,0.000000,0,0,11.170359,5.507910,6.773371,7.033535,1.48309,0.07812,3.27675
0.015,0,0.000000,0,6.334109,-1.149998,6.389151,12.770082,6.603297,6.729785,0.000000,0,0,11.160582,5.509691,6.765161,7.100448,1.48366,0.10566,3.27706
0.016,0,0.000000,0,6.335283,-1.110184,6.388230,12.788909,6.603827,6.719764,0.000000,0,0,11.150414,5.511510,6.762427,7.139044,1.48386,0.10993,3.27678
0.017,0,0.000000,0,6.336472,-1.078611,6.387329,12.807283,6.604400,6.709733,0.000000,0,0,11.140125,5.513342,6.761386,7.168891,1.48271,0.09283,3.27633
0.018,0,0.000000,0,6.337736,-1.047038,6.386427,12.825658,6.604973,6.699702,0.000000,0,0,11.129836,5.515173,6.760345,7.198739,1.48417,0.09758,3.27650
0.019,0,0.000000,0,6.339014,-1.015465,6.385526,12.844032,6.605546,6.689672,0.000000,0,0,11.119547,5.517005,6.759303,7.228587,1.48411,0.11472,3.27688
0.020,0,0.000000,0,6.340356,-0.992652,6.384518,12.860200,6.605998,6.679802,0.000000,0,0,11.109319,5.518896,6.759217,7.258741,1.48351,0.10782,3.27709
0.021,0,0.000000,0,6.341710,-0.972546,6.383478,12.875687,6.606412,6.669984,0.000000,0,0,11.099109,5.520806,6.759428,7.288990,1.48359,0.10715,3.27725
0.022,0,0.000000,0,6.343091,-0.952439,6.382438,12.891172,6.606826,6.660165,0.000000,0,0,11.088899,5.522716,6.759637,7.319239,1.48380,0.10898,3.27711
0.023,0,0.000000,0,6.344478,-0.932333,6.381397,12.906659,6.607240,6.650346,0.000000,0,0,11.078689,5.524626,6.759847,7.349488,1.48412,0.09506,3.27688
0.024,0,0.000000,0,6.345855,-0.915402,6.380537,12.920370,6.607861,6.640888,0.000000,0,0,11.068479,5.526681,6.761070,7.380803,1.48301,0.07893,3.27677
0.025,0,0.000000,0,6.347230,-0.899453,6.379731,12.933533,6.608546,6.631541,0.000000,0,0,11.058269,5.528780,6.762605,7.412447,1.48438,0.10750,3.27669
0.026,0,0.000000,0,6.348598,-0.883504,6.378926,12.946695,6.609231,6.622194,0.000000,0,0,11.048059,5.530879,6.764140,7.444092,1.48452,0.11465,3.27673
0.027,0,0.000000,0,6.349964,-0.867555,6.378120,12.959858,6.609916,6.612847,0.000000,0,0,11.037848,5.532979,6.765675,7.475736,1.48384,0.08773,3.27681
0.028,0,0.000000,0,6.351353,-0.837043,6.377112,12.970974,6.610592,6.603608,0.000000,0,0,11.027719,5.534785,6.767719,7.508248,1.48348,0.10497,3.27671
0.029,0,0.000000,0,6.352747,-0.802032,6.376041,12.981458,6.611266,6.594403,0.000000,0,0,11.017614,5.536502,6.769921,7.541028,1.48270,0.11766,3.27656
0.030,0,0.000000,0,6.354172,-0.767022,6.374969,12.991941,6.611939,6.585198,0.000000,0,0,11.007510,5.538218,6.772122,7.573807,1.48359,0.10633,3.27675
0.031,0,0.000000,0,6.355604,-0.732012,6.373899,13.002426,6.612613,6.575993,0.000000,0,0,10.997406,5.539935,6.774323,7.606586,1.48662,0.10534,3.27706
0.032,0,0.000000,0,6.357034,-0.688993,6.373137,13.010404,6.613134,6.567378,0.000000,0,0,10.987265,5.541833,6.776939,7.640332,1.48170,0.10380,3.27690
0.033,0,0.000000,0,6.358464,-0.643499,6.372471,13.017609,6.613609,6.558945,0.000000,0,0,10.977112,5.543787,6.779684,7.674376,1.48414,0.08806,3.27659
0.034,0,0.000000,0,6.359840,-0.598006,6.371805,13.024813,6.614083,6.550511,0.000000,0,0,10.966958,5.545742,6.782428,7.708421,1.48422,0.08329,3.27669
0.035,0,0.000000,0,6.361206,-0.552513,6.371139,13.032017,6.614557,6.542078,0.000000,0,0,10.956805,5.547697,6.785172,7.742465,1.48427,0.11162,3.27692
0.036,0,0.000000,0,6.362467,-0.492129,6.370659,13.036565,6.614961,6.533499,0.000000,0,0,10.946255,5.549592,6.788280,7.777009,1.48354,0.11795,3.27744
0.037,0,0.000000,0,6.363709,-0.427145,6.370238,13.040293,6.615342,6.524875,0.000000,0,0,10.935583,5.551471,6.791502,7.811708,1.48378,0.08943,3.27805
0.038,1,2.278346,0,6.364805,-0.362161,6.369816,13.044021,6.615723,6.516250,0.000000,0,0,10.924911,5.553349,6.794724,7.846407,1.48380,0.08820,3.27803
