"Time","67 LDS cle","65 L mark","64 R mark","37a CoMy (cm)","v3 L COP","v2 R COP","37 CoMy (cm)","v1 xCoM","32 FLx (cm)","27 HLx (cm)","66 RDS cle","34 FRx (cm)","33 FLy (cm)","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,-3.174735,0.000000,0.000000,3.823520,3.687528,16.423946,11.386396,0,14.200740,4.263442,2.979851,12.713796,4.412114,0.00018,0.10226,3.27624
0.001,0,0,0,-3.119421,0.000000,0.000000,3.820232,3.686369,16.430420,11.377209,0,14.190539,4.261214,2.971561,12.729724,4.411675,-0.00002,0.08229,3.27678
0.002,0,0,0,-3.064106,0.000000,0.000000,3.816944,3.685274,16.436892,11.368021,0,14.180339,4.258986,2.963271,12.745653,4.411235,-0.00002,0.08159,3.27730
0.003,0,0,0,-3.008792,0.000000,0.000000,3.813656,3.684560,16.443365,11.358833,0,14.170138,4.256757,2.954980,12.761581,4.410796,0.00002,0.11124,3.27768
0.004,0,0,0,-2.952969,0.000000,0.000000,3.810398,3.683918,16.449865,11.349621,0,14.159943,4.254523,2.946589,12.777567,4.410340,0.00024,0.10044,3.27802
0.005,0,0,0,-2.889446,0.000000,0.000000,3.807592,3.683714,16.456779,11.340023,0,14.149826,4.252200,2.936656,12.794404,4.409630,-0.00004,0.09703,3.27748
0.006,0,0,0,-2.825924,0.000000,0.000000,3.804786,3.683541,16.463696,11.330425,0,14.139709,4.249877,2.926722,12.811241,4.408920,0.00018,0.08489,3.27698
0.007,0,0,0,-2.762401,0.000000,0.000000,3.801980,3.683558,16.470610,11.320827,0,14.129591,4.247554,2.916789,12.828078,4.408209,0.00006,0.10538,3.27706
0.008,0,0,0,-2.699736,0.000000,0.000000,3.799203,3.683559,16.477669,11.311246,0,14.119502,4.245285,2.906763,12.844798,4.407492,0.00006,0.11112,3.27713
0.009,0,0,0,-2.650037,0.000000,0.000000,3.796855,3.683460,16.486910,11.301928,0,14.109849,4.243827,2.895328,12.859750,4.406657,0.00006,0.09953,3.27721
0.010,0,0,0,-2.600338,0.000000,0.000000,3.794508,3.683329,16.496151,11.292610,0,14.100195,4.242370,2.883893,12.874701,4.405823,0.00000,0.08299,3.27726
0.011,0,0,0,-2.550639,0.000000,0.000000,3.792160,3.683008,16.505392,11.283292,0,14.090541,4.240912,2.872458,12.889653,4.404988,0.00028,0.12210,3.27688
0.012,0,0,0,-2.501725,0.000000,0.000000,3.789810,3.682649,16.514614,11.273941,0,14.080900,4.239442,2.861053,12.904526,4.404163,-0.00018,0.11415,3.27656
0.013,0,0,0,-2.464702,0.000000,0.000000,3.787429,3.682055,16.523577,11.264099,0,14.071458,4.237795,2.850105,12.918201,4.403467,-0.00002,0.08489,3.27724
0.014,0,0,0,-2.427679,0.000000,0.000000,3.785047,3.681408,16.532537,11.254257,0,14.062016,4.236147,2.839158,12.931878,4.402772,0.00009,0.10023,3.27788
0.015,0,0,0,-2.390656,0.000000,0.000000,3.782665,3.680441,16.541498,11.244414,0,14.052572,4.234500,2.828210,12.945554,4.402077,0.00009,0.12310,3.27757
0.016,0,0,0,-2.354901,0.000000,0.000000,3.780283,3.679407,16.550453,11.234564,0,14.043154,4.232859,2.817486,12.959111,4.401393,0.00009,0.10399,3.27726
0.017,0,0,0,-2.338335,0.000000,0.000000,3.777892,3.677974,16.559324,11.224586,0,14.034101,4.231303,2.810129,12.970884,4.400893,0.00010,0.08571,3.27688
0.018,0,0,0,-2.321768,0.000000,0.000000,3.775500,3.676476,16.568195,11.214609,0,14.025046,4.229747,2.802773,12.982657,4.400392,0.00011,0.12505,3.27654
0.019,0,0,0,-2.305202,0.000000,0.000000,3.773108,3.674582,16.577066,11.204632,0,14.015993,4.228191,2.795416,12.994431,4.399891,0.00009,0.11513,3.27700
0.020,0,0,0,-2.289988,0.000000,0.000000,3.770730,3.672631,16.586050,11.194603,0,14.006927,4.226582,2.788343,13.006016,4.399397,0.00009,0.08673,3.27746
0.021,0,0,0,-2.295231,0.000000,0.000000,3.768553,3.670338,16.596762,11.183800,0,13.997667,4.224164,2.785554,13.014766,4.399014,-0.00009,0.10604,3.27792
0.022,0,0,0,-2.300473,0.000000,0.000000,3.766375,3.668015,16.607473,11.172997,0,13.988407,4.221746,2.782765,13.023516,4.398630,0.00009,0.12702,3.27828
0.023,0,0,0,-2.305716,0.000000,0.000000,3.764198,3.665521,16.618185,11.162193,0,13.979148,4.219328,2.779977,13.032266,4.398247,0.00009,0.10751,3.27699
0.024,0,0,0,-2.311354,0.000000,0.000000,3.762025,3.663022,16.628918,11.151325,0,13.969887,4.216869,2.777336,13.040805,4.397856,-0.00002,0.08846,3.27579
0.025,0,0,0,-2.322981,0.000000,0.000000,3.759930,3.660500,16.639977,11.139463,0,13.960610,4.213783,2.776938,13.046156,4.397355,0.00009,0.11989,3.27648
0.026,0,0,0,-2.334608,0.000000,0.000000,3.757835,3.657959,16.651035,11.127602,0,13.951333,4.210698,2.776541,13.051507,4.396853,0.00009,0.11615,3.27714
0.027,0,0,0,-2.346234,0.000000,0.000000,3.755739,3.655305,16.662094,11.115740,0,13.942057,4.207612,2.776144,13.056859,4.396352,0.00009,0.10286,3.27737
0.028,0,0,0,-2.358243,0.000000,0.000000,3.753621,3.652607,16.673180,11.103859,0,13.932829,4.204510,2.775905,13.062072,4.395833,-0.00009,0.07948,3.27757
0.029,0,0,0,-2.376038,0.000000,0.000000,3.751153,3.649640,16.684654,11.091696,0,13.924346,4.201161,2.778066,13.065187,4.395035,0.00009,0.11576,3.27719
0.030,0,0,0,-2.393832,0.000000,0.000000,3.748686,3.646604,16.696129,11.079533,0,13.915862,4.197813,2.780228,13.068303,4.394238,-0.00018,0.11526,3.27685
0.031,0,0,0,-2.411627,0.000000,0.000000,3.746219,3.643151,16.707603,11.067369,0,13.907379,4.194465,2.782390,13.071419,4.393441,-0.00009,0.09248,3.27731
0.032,0,0,0,-2.430064,0.000000,0.000000,3.743731,3.639622,16.719053,11.055243,0,13.899000,4.191135,2.784598,13.074354,4.392653,0.00024,0.11080,3.27774
0.033,0,0,0,-2.458226,0.000000,0.000000,3.740921,3.635632,16.730122,11.043682,0,13.892205,4.188087,2.787497,13.074575,4.392013,0.00006,0.12425,3.27782
0.034,0,0,0,-2.486388,0.000000,0.000000,3.738111,3.631634,16.741190,11.032122,0,13.885410,4.185039,2.790397,13.074796,4.391373,-0.00024,0.10198,3.27783
0.035,0,0,0,-2.514550,0.000000,0.000000,3.735301,3.627595,16.752258,11.020561,0,13.878615,4.181991,2.793297,13.075017,4.390732,0.00006,0.08726,3.27669
0.036,0,0,0,-2.543047,0.000000,0.000000,3.732527,3.623612,16.763201,11.009027,0,13.871943,4.178930,2.796084,13.075059,4.390089,0.00024,0.12679,3.27566
0.037,0,0,0,-2.576618,0.000000,0.000000,3.730295,3.619967,16.772251,10.997877,0,13.867127,4.175683,2.797174,13.072392,4.389386,-0.00004,0.11821,3.27665
0.038,0,0,0,-2.610189,0.000000,0.000000,3.728064,3.616317,16.781303,10.986727,0,13.862312,4.172436,2.798263,13.069725,4.388683,0.00022,0.10454,3.27756
0.039,0,0,0,-2.643760,0.000000,0.000000,3.725832,3.612627,16.790354,10.975577,0,13.857496,4.169188,2.799353,13.067058,4.387980,0.00009,0.08630,3.27711
0.040,0,0,0,-2.678473,0.000000,0.000000,3.723585,3.608847,16.799294,10.964466,0,13.852920,4.165878,2.800356,13.064200,4.387304,0.00006,0.11857,3.27670
0.041,0,0,0,-2.730454,0.000000,0.000000,3.721108,3.604530,16.806557,10.953945,0,13.851950,4.161609,2.800051,13.058460,4.387027,-0.00005,0.11730,3.27715
0.042,0,0,0,-2.782436,0.000000,0.000000,3.718631,3.600112,16.813820,10.943424,0,13.850979,4.157339,2.799747,13.052720,4.386751,0.00009,0.10324,3.27758
