"Time","67 LDS cle","65 L mark","64 R mark","37a CoMy (cm)","v3 L COP","v2 R COP","37 CoMy (cm)","v1 xCoM","32 FLx (cm)","27 HLx (cm)","66 RDS cle","34 FRx (cm)","33 FLy (cm)","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,-3.410870,0.000000,0.000000,4.215605,4.069086,17.390421,13.173738,0,18.051813,4.622544,3.409331,14.821216,4.925172,1.48450,0.10725,3.27672
0.001,0,0,0,-3.370170,0.000000,0.000000,4.212214,4.067595,17.380524,13.192837,0,18.083206,4.622268,3.408890,14.809715,4.929284,1.48535,0.09190,3.27655
0.002,0,0,0,-3.329470,0.000000,0.000000,4.208822,4.066154,17.370625,13.211935,0,18.114601,4.621991,3.408448,14.798214,4.933396,1.48453,0.10777,3.27640
0.003,0,0,0,-3.281327,0.000000,0.000000,4.205540,4.064905,17.360210,13.233298,0,18.139492,4.622119,3.407021,14.786934,4.937043,1.48352,0.10656,3.27710
0.004,0,0,0,-3.231438,0.000000,0.000000,4.202284,4.063680,17.349674,13.255193,0,18.162859,4.622342,3.405363,14.775704,4.940580,1.48419,0.10186,3.27802
0.005,0,0,0,-3.181549,0.000000,0.000000,4.199028,4.062629,17.339140,13.277086,0,18.186226,4.622564,3.403704,14.764476,4.944118,1.48416,0.08450,3.27832
0.006,0,0,0,-3.131660,0.000000,0.000000,4.195771,4.061600,17.328604,13.298981,0,18.209593,4.622787,3.402046,14.753246,4.947655,1.48445,0.11208,3.27847
0.007,0,0,0,-3.074673,0.000000,0.000000,4.192614,4.060782,17.318192,13.336861,0,18.227182,4.622779,3.400903,14.742147,4.916050,1.48555,0.10685,3.27783
0.008,0,0,0,-3.016022,0.000000,0.000000,4.189479,4.059991,17.307806,13.378491,0,18.243414,4.622716,3.399882,14.731079,4.876202,1.48466,0.08096,3.27699
0.009,0,0,0,-2.957371,0.000000,0.000000,4.186345,4.059478,17.297421,13.420121,0,18.259647,4.622653,3.398860,14.720011,4.836354,1.48343,0.08225,3.27695
0.010,0,0,0,-2.898721,0.000000,0.000000,4.183210,4.059000,17.287037,13.461751,0,18.275879,4.622591,3.397839,14.708942,4.796506,1.48329,0.11301,3.27710
0.011,0,0,0,-2.839812,0.000000,0.000000,4.180500,4.058822,17.277061,13.502786,0,18.287033,4.622544,3.397359,14.698374,4.756530,1.48392,0.10937,3.27725
0.012,0,0,0,-2.780843,0.000000,0.000000,4.177889,4.058681,17.267181,13.543681,0,18.296997,4.622500,3.397007,14.687922,4.716524,1.48329,0.08276,3.27740
