"Time","v3 L COP","67 LDS cle","66 RDS cle","v2 R COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","30 HRy (cm)","29 HRx (cm)","m4 LDS cle","32 FLx (cm)","28 HLy (cm)","27 HLx (cm)","3 Platform","2 Trdml","1 Synch"
0.000,0.000000,0,0,0.000000,4.179904,-0.992088,4.227824,3.649420,14.724722,5.477197,3.053165,11.988589,0,13.684684,4.779950,9.783990,-0.00009,0.11980,3.27645
0.001,0.000000,0,0,0.000000,4.190272,-0.779096,4.227290,3.650354,14.798965,5.477265,3.051829,11.977557,0,13.674507,4.776845,9.821267,0.00003,0.08201,3.27668
0.002,0.000000,0,0,0.000000,4.199621,-0.566104,4.226756,3.651289,14.873210,5.477334,3.050493,11.966526,0,13.664331,4.773739,9.858544,0.00027,0.06881,3.27683
0.003,0.000000,0,0,0.000000,4.208873,-0.354882,4.226241,3.652329,14.947328,5.477386,3.049172,11.955486,0,13.654163,4.770716,9.895623,0.00027,0.11120,3.27698
0.004,0.000000,0,0,0.000000,4.217432,-0.186162,4.226167,3.655912,15.018423,5.477041,3.048193,11.944251,0,13.644206,4.769678,9.927956,-0.00012,0.10496,3.27721
0.005,0.000000,0,0,0.000000,4.225906,-0.017441,4.226092,3.659496,15.089519,5.476696,3.047215,11.933017,0,13.634249,4.768640,9.960287,0.00003,0.09259,3.27743
0.006,0.000000,0,0,0.000000,4.233758,0.151280,4.226018,3.663079,15.160614,5.476351,3.046237,11.921782,0,13.624291,4.767601,9.992620,-0.00015,0.06477,3.27712
0.007,0.000000,0,0,0.000000,4.241534,0.318552,4.225973,3.666805,15.231467,5.476007,3.045282,11.910572,0,13.614338,4.766601,10.024837,0.00003,0.11966,3.27683
0.008,0.000000,0,0,0.000000,4.248759,0.451035,4.226613,3.673937,15.296511,5.475681,3.044891,11.899970,0,13.604494,4.766500,10.054340,0.00003,0.11880,3.27706
0.009,0.000000,0,0,0.000000,4.255960,0.583519,4.227253,3.681069,15.361554,5.475355,3.044500,11.889368,0,13.594651,4.766398,10.083843,-0.00012,0.09512,3.27728
0.010,0.000000,0,0,0.000000,4.262988,0.716003,4.227893,3.688202,15.426598,5.475029,3.044109,11.878766,0,13.584807,4.766296,10.113346,0.00003,0.08938,3.27713
0.011,0.000000,0,0,0.000000,4.270040,0.848039,4.228559,3.695402,15.491368,5.474709,3.043725,11.868168,0,13.574954,4.766230,10.142775,0.00019,0.09949,3.27697
0.012,0.000000,0,0,0.000000,4.277267,0.969324,4.229846,3.704225,15.549601,5.474495,3.043499,11.857645,0,13.564877,4.766996,10.170409,-0.00003,0.11763,3.27674
0.013,0.000000,0,0,0.000000,4.284491,1.090610,4.231133,3.713048,15.607832,5.474282,3.043272,11.847122,0,13.554798,4.767762,10.198043,0.00019,0.09671,3.27653
0.014,0.000000,0,0,0.000000,4.291703,1.211895,4.232420,3.721871,15.666063,5.474069,3.043046,11.836599,0,13.544721,4.768528,10.225677,0.00000,0.09125,3.27676
0.015,0.000000,0,0,0.000000,4.298878,1.332712,4.233716,3.730687,15.723957,5.473852,3.042827,11.826070,0,13.534643,4.769328,10.253257,0.00000,0.08113,3.27698
0.016,0.000000,0,0,0.000000,4.305793,1.442288,4.235213,3.739342,15.773742,5.473540,3.042780,11.815363,0,13.524576,4.770907,10.279540,0.00000,0.10948,3.27706
