"Time","v3 L COP","67 LDS cle","66 RDS cle","v2 R COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","30 HRy (cm)","29 HRx (cm)","m4 LDS cle","32 FLx (cm)","28 HLy (cm)","27 HLx (cm)","3 Platform","2 Trdml","1 Synch"
0.000,0.000000,0,0,0.000000,6.289283,-1.629471,6.369244,5.576756,17.196991,6.873668,5.764983,11.675279,0,15.963961,7.450518,11.416894,1.48348,0.11081,3.27674
0.001,0.000000,0,0,0.000000,6.289330,-1.598080,6.367530,5.580599,17.199776,6.873369,5.764825,11.663231,0,15.952511,7.445598,11.458523,1.48623,0.11532,3.27667
0.002,0.000000,0,0,0.000000,6.289690,-1.554122,6.365969,5.584529,17.202555,6.873169,5.765084,11.651626,0,15.941439,7.440005,11.498394,1.48424,0.09366,3.27721
0.003,0.000000,0,0,0.000000,6.290210,-1.510164,6.364408,5.588459,17.205332,6.872969,5.765343,11.640020,0,15.930367,7.434411,11.538264,1.48456,0.08138,3.27752
0.004,0.000000,0,0,0.000000,6.290993,-1.466205,6.362847,5.592389,17.208111,6.872770,5.765602,11.628415,0,15.919294,7.428818,11.578135,1.48431,0.11398,3.27729
0.005,0.000000,0,0,0.000000,6.291914,-1.419657,6.361355,5.596154,17.210886,6.872414,5.765855,11.616741,0,15.908104,7.422881,11.616176,1.48325,0.10819,3.27713
0.006,0.000000,0,0,0.000000,6.293064,-1.366889,6.360026,5.599520,17.213652,6.871681,5.766094,11.604902,0,15.896632,7.416121,11.649823,1.48351,0.09185,3.27713
0.007,0.000000,0,0,0.000000,6.294285,-1.314122,6.358697,5.602887,17.216419,6.870949,5.766333,11.593063,0,15.885159,7.409361,11.683471,1.48297,0.07356,3.27724
0.008,0.000000,0,0,0.000000,6.295623,-1.261354,6.357368,5.606253,17.219187,6.870217,5.766572,11.581224,0,15.873688,7.402601,11.717119,1.48293,0.10091,3.27762
0.009,0.000000,0,0,0.000000,6.296955,-1.210402,6.356124,5.609549,17.221912,6.869593,5.766821,11.569577,0,15.862234,7.395526,11.748857,1.48474,0.09489,3.27763
0.010,0.000000,0,0,0.000000,6.298276,-1.163809,6.355082,5.612673,17.224545,6.869231,5.767095,11.558391,0,15.850824,7.387694,11.776011,1.48307,0.09086,3.27672
0.011,0.000000,0,0,0.000000,6.299538,-1.117215,6.354039,5.615798,17.227175,6.868868,5.767367,11.547204,0,15.839415,7.379863,11.803166,1.48411,0.07194,3.27617
0.012,0.000000,0,0,0.000000,6.300702,-1.070622,6.352996,5.618922,17.229805,6.868505,5.767641,11.536017,0,15.828005,7.372032,11.830320,1.48464,0.11908,3.27655
0.013,0.000000,0,0,0.000000,6.301774,-1.027142,6.351988,5.621864,17.232592,6.868219,5.767816,11.524794,0,15.816628,7.363777,11.855891,1.48452,0.09978,3.27680
0.014,0.000000,0,0,0.000000,6.302695,-0.991138,6.351063,5.624370,17.235748,6.868117,5.767757,11.513481,0,15.805330,7.354504,11.877662,1.48505,0.09503,3.27673
0.015,0.000000,0,0,0.000000,6.303556,-0.955134,6.350137,5.626876,17.238907,6.868015,5.767699,11.502169,0,15.794032,7.345230,11.899432,1.48242,0.08969,3.27652
0.016,0.000000,0,0,0.000000,6.304318,-0.919131,6.349211,5.629382,17.242064,6.867913,5.767641,11.490856,0,15.782735,7.335957,11.921203,1.48539,0.11459,3.27599
0.017,0.000000,0,0,0.000000,6.305054,-0.885103,6.348315,5.631952,17.245604,6.867892,5.767546,11.479827,0,15.771482,7.326838,11.942329,1.48458,0.09529,3.27584
0.018,0.000000,0,0,0.000000,6.305748,-0.855819,6.347491,5.634679,17.250059,6.868063,5.767365,11.469481,0,15.760335,7.318090,11.961911,1.48405,0.08257,3.27668
0.019,0.000000,0,0,0.000000,6.306381,-0.826536,6.346667,5.637406,17.254515,6.868235,5.767183,11.459133,0,15.749189,7.309342,11.981493,1.48386,0.08471,3.27715
0.020,0.000000,0,0,0.000000,6.306917,-0.797253,6.345843,5.640133,17.258972,6.868407,5.767002,11.448787,0,15.738043,7.300594,12.001075,1.48312,0.11658,3.27669
0.021,0.000000,0,0,0.000000,6.307355,-0.771458,6.345061,5.642877,17.263556,6.868631,5.766737,11.438699,0,15.726774,7.291832,12.020349,1.48412,0.10361,3.27639
0.022,0.000000,0,0,0.000000,6.307630,-0.754038,6.344379,5.645660,17.268452,6.868979,5.766274,11.429235,0,15.715211,7.283036,12.038885,1.48388,0.08704,3.27647
0.023,0.000000,0,0,0.000000,6.307831,-0.736619,6.343698,5.648444,17.273346,6.869327,5.765811,11.419769,0,15.703648,7.274239,12.057421,1.48430,0.09103,3.27659
0.024,0.000000,0,0,0.000000,6.307913,-0.719199,6.343016,5.651227,17.278240,6.869675,5.765348,11.410305,0,15.692084,7.265443,12.075957,1.48700,0.12232,3.27681
0.025,0.000000,0,0,0.000000,6.307963,-0.702762,6.342330,5.653797,17.283573,6.869963,5.764916,11.400857,0,15.680584,7.256808,12.094136,1.48600,0.11690,3.27693
0.026,0.000000,0,0,0.000000,6.307960,-0.688683,6.341631,5.655854,17.289957,6.870106,5.764560,11.391452,0,15.669233,7.248563,12.111459,1.48372,0.08339,3.27678
0.027,0.000000,0,0,0.000000,6.307952,-0.674604,6.340933,5.657911,17.296339,6.870250,5.764204,11.382046,0,15.657884,7.240318,12.128780,1.48429,0.08105,3.27667
0.028,0.000000,0,0,0.000000,6.307937,-0.660525,6.340235,5.659968,17.302723,6.870393,5.763848,11.372641,0,15.646533,7.232073,12.146103,1.48533,0.10468,3.27667
0.029,0.000000,0,0,0.000000,6.307922,-0.648224,6.339592,5.661828,17.309406,6.870405,5.763564,11.363042,0,15.635186,7.223807,12.162783,1.48587,0.11874,3.27672
