"Time","v3 L COP","67 LDS cle","66 RDS cle","v2 R COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","30 HRy (cm)","29 HRx (cm)","m4 LDS cle","32 FLx (cm)","28 HLy (cm)","27 HLx (cm)","3 Platform","2 Trdml","1 Synch"
0.000,0.000000,0,0,0.000000,4.638420,6.538742,4.319353,3.687338,10.785465,5.186579,3.143638,6.357060,0,12.894078,5.624134,6.174910,0.74496,0.11710,3.27690
0.001,0.000000,0,0,0.000000,4.653862,6.714971,4.326072,3.689611,10.777601,5.200245,3.148557,6.352481,0,12.920954,5.624806,6.165655,0.77756,0.10847,3.27676
0.002,0.000000,0,0,0.000000,4.669606,6.891199,4.332791,3.691884,10.769737,5.213912,3.153476,6.347901,0,12.947829,5.625480,6.156400,0.80933,0.09282,3.27691
0.003,0.000000,0,0,0.000000,4.685383,7.066876,4.339807,3.694256,10.762478,5.227190,3.159237,6.344402,0,12.975319,5.626300,6.146639,0.83435,0.10627,3.27706
0.004,0.000000,0,0,0.000000,4.701177,7.242151,4.347040,3.696700,10.755659,5.240188,3.165613,6.341692,0,13.003258,5.627228,6.136510,0.85382,0.12181,3.27722
0.005,0.000000,0,0,0.000000,4.716984,7.417427,4.354274,3.699144,10.748841,5.253184,3.171989,6.338983,0,13.031197,5.628156,6.126381,0.87531,0.10595,3.27728
0.006,0.000000,0,0,0.000000,4.732798,7.592701,4.361507,3.701588,10.742023,5.266181,3.178365,6.336273,0,13.059135,5.629085,6.116252,0.89545,0.08056,3.27728
0.007,0.000000,0,0,0.000000,4.748687,7.754843,4.369378,3.704037,10.735239,5.278481,3.185758,6.335165,0,13.085917,5.630202,6.105961,0.91068,0.09363,3.27724
0.008,0.000000,0,0,0.000000,4.764615,7.907396,4.377713,3.706491,10.728479,5.290273,3.193893,6.335226,0,13.111852,5.631459,6.095552,0.94705,0.11084,3.27716
0.009,0.000000,0,0,0.000000,4.780382,8.059950,4.386048,3.708944,10.721719,5.302065,3.202028,6.335288,0,13.137787,5.632716,6.085143,0.97757,0.09207,3.27713
0.010,0.000000,0,0,0.000000,4.796065,8.212502,4.394383,3.711397,10.714959,5.313857,3.210163,6.335349,0,13.163722,5.633973,6.074733,0.99472,0.07352,3.27713
0.011,0.000000,0,0,0.000000,4.811340,8.348792,4.402939,3.714228,10.707612,5.324954,3.219162,6.339366,0,13.187567,5.635436,6.064101,1.01517,0.08554,3.27696
0.012,0.000000,0,0,0.000000,4.826403,8.473207,4.411656,3.717335,10.699835,5.335544,3.228790,6.346272,0,13.209886,5.637049,6.053307,1.03342,0.11242,3.27665
0.013,0.000000,0,0,0.000000,4.841146,8.597621,4.420373,3.720442,10.692059,5.346134,3.238419,6.353178,0,13.232204,5.638663,6.042512,1.05063,0.09993,3.27626
0.014,0.000000,0,0,0.000000,4.855725,8.722036,4.429090,3.723549,10.684281,5.356724,3.248048,6.360083,0,13.254523,5.640277,6.031718,1.06723,0.07541,3.27580
0.015,0.000000,0,0,0.000000,4.870131,8.837143,4.437894,3.726801,10.676108,5.366376,3.258976,6.372734,0,13.275007,5.642351,6.021120,1.08646,0.09537,3.27591
0.016,0.000000,0,0,0.000000,4.884447,8.945455,4.446761,3.730159,10.667645,5.375344,3.270853,6.389579,0,13.294153,5.644762,6.010665,1.11447,0.12072,3.27644
0.017,0.000000,0,0,0.000000,4.898577,9.053766,4.455628,3.733517,10.659182,5.384312,3.282729,6.406424,0,13.313298,5.647172,6.000211,1.13852,0.10402,3.27672
0.018,0.000000,0,0,0.000000,4.912611,9.162077,4.464496,3.736876,10.650718,5.393279,3.294605,6.423269,0,13.332443,5.649583,5.989757,1.15414,0.08998,3.27679
0.019,0.000000,0,0,0.000000,4.926463,9.262109,4.473581,3.739830,10.642140,5.401170,3.308717,6.447589,0,13.349126,5.652147,5.979393,1.17160,0.10122,3.27713
0.020,0.000000,0,0,0.000000,4.940219,9.356095,4.482827,3.742488,10.633480,5.408276,3.324459,6.477367,0,13.364011,5.654823,5.969095,1.18750,0.11317,3.27766
0.021,0.000000,0,0,0.000000,4.954079,9.450083,4.492073,3.745147,10.624820,5.415382,3.340202,6.507145,0,13.378896,5.657500,5.958798,1.20203,0.08982,3.27737
0.022,0.000000,0,0,0.000000,4.967993,9.544069,4.501319,3.747805,10.616158,5.422487,3.355945,6.536923,0,13.393781,5.660176,5.948500,1.21817,0.08583,3.27646
0.023,0.000000,0,0,0.000000,4.982218,9.631850,4.511086,3.750391,10.607230,5.428787,3.372011,6.573627,0,13.406149,5.663019,5.938187,1.24121,0.10409,3.27611
0.024,0.000000,0,0,0.000000,4.996604,9.715100,4.521232,3.752925,10.598104,5.434499,3.388314,6.615387,0,13.416677,5.665984,5.927861,1.25876,0.09747,3.27618
0.025,0.000000,0,0,0.000000,5.010786,9.798351,4.531378,3.755458,10.588980,5.440210,3.404617,6.657147,0,13.427207,5.668949,5.917535,1.27332,0.09208,3.27635
0.026,0.000000,0,0,0.000000,5.024862,9.881601,4.541524,3.757992,10.579855,5.445921,3.420920,6.698908,0,13.437737,5.671914,5.907209,1.29102,0.10217,3.27657
