"Time","v2 R COP","49 RDS cle","47 R marks","46 HLr swoff","45 FLr swoff","44 miry (cm)","43 mirx (cm)","41 CoMx (cm)","40 FRy (cm)","39a FRx (cm)","39 FRx (cm)","38 FLy (cm)","35a HRx (cm)","35 HRx (cm)","v3 L COP","37a FLx (cm)","42a CoMy (cm)","v1 xCoM","42 CoMy (cm)","52 HLl swoff","51 HLr swoff","50 LDS cle","48 L marks","37 FLx (cm)","36 HRy (cm)","34 HLy (cm)","33a HLx (cm)","33 HLx (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0.000000,1,0,0,0,7.048409,0.341350,13.146821,4.827269,8.841887,16.898457,5.988965,-10.331620,13.055558,0.000000,-1.692756,2.023114,7.012484,6.920592,0,0,1,0,13.888843,3.705213,6.898314,-6.290467,13.573238,153.248245,0,64.338524,48.128544,62.553024,8.607727,17.315819,7.968318,13.575068,8.037529,12.850174,8.347856,12.357540,9.305208,13.881749,9.746110,12.343708,10.589865,13.142799,0,0.09067,-0.10685,-0.01965,0.00335,0.00970,-0.01229,0.00568,0.00460,0.00015,0.11746,3.27753
0.001,0.000000,1,0,0,0,7.048275,0.338377,13.147645,4.822083,8.503203,16.906874,5.989205,-10.322133,13.045298,0.000000,-0.973740,1.738445,7.006466,6.923094,0,0,1,0,13.890598,3.704817,6.901001,-7.414710,13.558399,152.573334,0,64.460564,47.807945,62.697281,8.609864,17.332294,7.970304,13.565286,8.039544,12.838929,8.356901,12.348021,9.299624,13.881081,9.746519,12.344803,10.589255,13.145150,0,0.05970,-0.14260,-0.00941,-0.00817,0.00470,-0.00836,0.00568,0.00010,-0.00015,0.11579,3.27730
0.002,0.000000,1,0,0,0,7.048141,0.335405,13.148470,4.816899,8.164519,16.915289,5.989445,-10.312646,13.035036,0.000000,-0.254724,1.453775,6.997756,6.925597,0,0,1,0,13.892354,3.704420,6.903690,-8.538953,13.543559,151.898422,0,64.582603,47.487350,62.841534,8.612001,17.348772,7.972289,13.555503,8.041558,12.827683,8.365947,12.338501,9.294041,13.880413,9.746928,12.345898,10.588646,13.147500,0,0.02846,-0.10504,-0.02033,0.00246,0.00897,-0.01407,0.00314,0.00503,0.00008,0.11275,3.27721
0.003,0.000000,1,0,0,0,7.048008,0.332432,13.149294,4.811714,7.825836,16.923706,5.989685,-10.303159,13.024776,0.000000,0.464291,1.169106,6.984001,6.928099,0,0,1,0,13.894110,3.704023,6.906378,-9.663196,13.528719,151.223495,0,64.704643,47.166752,62.985790,8.614139,17.365248,7.974274,13.545720,8.043573,12.816439,8.374992,12.328981,9.288456,13.879745,9.747338,12.346992,10.588037,13.149851,0,-0.01082,-0.05739,-0.02161,0.00303,0.00857,-0.01236,0.00510,0.00304,0.00008,0.11169,3.27751
0.004,0.000000,1,0,0,0,7.047843,0.331355,13.205431,4.808125,7.488766,16.931690,5.989725,-10.295076,13.014542,0.000000,1.178956,0.850579,6.966387,6.928720,0,0,1,0,13.896046,3.702299,6.908746,-10.685417,13.513879,150.591507,0,64.819504,46.830006,63.152828,8.615379,17.383438,7.975809,13.535480,8.046286,12.804573,8.385257,12.319022,9.282586,13.879243,9.748384,12.348577,10.587353,13.152347,0,-0.05046,-0.00641,-0.02114,0.00489,0.00885,-0.01261,0.00624,0.00128,0.00008,0.11463,3.27772
0.005,0.000000,1,0,0,0,7.047576,0.336213,13.434821,4.809538,7.156748,16.938316,5.989141,-10.291396,13.004395,0.000000,1.879991,0.426000,6.941545,6.923446,0,0,1,0,13.898546,3.696418,6.910114,-11.388082,13.499036,150.093979,0,64.911873,46.442673,63.391228,8.613809,17.406992,7.975932,13.523809,8.051185,12.790763,8.399335,12.307683,9.275819,13.879257,9.751422,12.351698,10.586439,13.155296,0,-0.08369,0.04114,-0.02076,0.00366,0.00843,-0.01240,0.00623,0.00278,-0.00008,0.11642,3.27764
0.006,0.000000,1,0,0,0,7.047309,0.341072,13.664212,4.810951,6.824730,16.944944,5.988556,-10.287716,12.994247,0.000000,2.581026,0.001421,6.916981,6.918172,0,0,1,0,13.901047,3.690537,6.911481,-12.090745,13.484194,149.596451,0,65.004242,46.055336,63.629627,8.612239,17.430548,7.976056,13.512138,8.056085,12.776954,8.413414,12.296344,9.269053,13.879272,9.754460,12.354817,10.585526,13.158246,0,-0.10444,0.07879,-0.02096,-0.00331,0.01027,-0.01444,0.00747,0.00087,0.00015,0.11601,3.27749
0.007,0.000000,1,0,0,0,7.047043,0.345931,13.893602,4.812364,6.492713,16.951571,5.987971,-10.284035,12.984100,0.000000,3.282061,-0.423158,6.892937,6.912898,0,0,1,0,13.903547,3.684656,6.912848,-12.793409,13.469352,149.098923,0,65.096611,45.668003,63.868031,8.610669,17.454102,7.976179,13.500467,8.060984,12.763144,8.427492,12.285005,9.262285,13.879287,9.757499,12.357938,10.584612,13.161196,0,-0.11572,0.10390,-0.02465,0.00157,0.00873,-0.01169,0.00512,0.00240,-0.00008,0.11430,3.27711
0.008,0.000000,1,0,0,0,7.046901,0.348886,14.048434,4.812618,6.163157,16.957972,5.987945,-10.282065,12.973929,0.000000,3.987468,-0.845166,6.872264,6.907725,0,0,1,0,13.906575,3.679758,6.914034,-13.405571,13.454545,148.638077,0,65.171310,45.305027,64.137154,8.601881,17.491819,7.975585,13.489262,8.065438,12.749856,8.441113,12.274067,9.254934,13.879429,9.760562,12.361475,10.584476,13.165100,0,-0.11122,0.11200,-0.02057,0.00455,0.00895,-0.01284,0.00455,0.00663,-0.00015,0.11133,3.27684
0.009,0.000000,1,0,0,0,7.047151,0.345878,13.969730,4.809242,5.841312,16.963657,5.989668,-10.285453,12.963683,0.000000,4.706568,-1.259123,6.857907,6.902865,0,0,1,0,13.911258,3.677936,6.914649,-13.734256,13.439852,148.292206,0,65.190651,45.018337,64.502518,8.570485,17.573895,7.972744,13.479513,8.068500,12.738202,8.453304,12.264385,9.245750,13.879967,9.763705,12.366317,10.586779,13.171997,0,-0.09538,0.10293,-0.01921,-0.00337,0.00811,-0.01284,0.00472,0.00208,0.00000,0.11437,3.27692
0.010,0.000000,1,0,0,0,7.047400,0.342869,13.891027,4.805866,5.519466,16.969345,5.991391,-10.288840,12.953438,0.000000,5.425668,-1.673080,6.837838,6.898005,0,0,1,0,13.915939,3.676114,6.915265,-14.062941,13.425159,147.946320,0,65.209999,44.731651,64.867889,8.539089,17.655972,7.969903,13.469765,8.071561,12.726548,8.465494,12.254703,9.236567,13.880506,9.766848,12.371159,10.589081,13.178893,0,-0.06868,0.07669,-0.00998,0.00408,0.00995,-0.00365,0.00825,-0.01093,0.00015,0.11885,3.27694
0.011,0.000000,1,0,0,0,7.047649,0.339861,13.812325,4.802490,5.197621,16.975031,5.993114,-10.292228,12.943192,0.000000,6.144769,-2.087036,6.807068,6.893146,0,0,1,0,13.920622,3.674293,6.915880,-14.391625,13.410465,147.600433,0,65.229340,44.444962,65.233253,8.507693,17.738049,7.967062,13.460016,8.074623,12.714895,8.477685,12.245021,9.227383,13.881044,9.769990,12.376000,10.591383,13.185790,0,-0.03835,0.04012,-0.02015,0.00120,0.00858,-0.01493,0.00245,0.00485,0.00009,0.11633,3.27679
