"Time","v3 L COP","v2 R COP","49 RDS cle","47 R marks","39 FRx (cm)","35 HRx (cm)","v1 xCoM","42 CoMy (cm)","50 LDS cle","48 L marks","37 FLx (cm)","33 HLx (cm)","3 Platform"
0.000,0.000000,0.000000,0,0,13.239556,10.526927,6.566264,6.241627,0,0,13.626802,12.381662,1.47430
0.001,0.000000,0.000000,0,0,13.275847,10.516439,6.558879,6.248754,0,0,13.614538,12.318930,1.47369
0.002,0.000000,0.000000,0,0,13.312138,10.505952,6.550612,6.255880,0,0,13.602274,12.256197,1.47507
0.003,0.000000,0.000000,0,0,13.348514,10.495549,6.541685,6.262481,0,0,13.590000,12.192766,1.47452
0.004,0.000000,0.000000,0,0,13.385058,10.485317,6.531918,6.268033,0,0,13.577709,12.127944,1.47382
0.005,0.000000,0.000000,0,0,13.421603,10.475084,6.521559,6.273585,0,0,13.565418,12.063122,1.47470
0.006,0.000000,0.000000,0,0,13.458149,10.464851,6.510446,6.279137,0,0,13.553127,11.998300,1.47519
0.007,0.000000,0.000000,0,0,13.494569,10.454562,6.498812,6.284219,0,0,13.540689,11.949135,1.47403
0.008,0.000000,0.000000,0,0,13.530741,10.444162,6.486517,6.288361,0,0,13.527955,11.931190,1.47366
0.009,0.000000,0.000000,0,0,13.566913,10.433762,6.473754,6.292504,0,0,13.515223,11.913246,1.47604
0.010,0.000000,0.000000,0,0,13.603084,10.423361,6.460396,6.296647,0,0,13.502489,11.895302,1.47629
0.011,0.000000,0.000000,0,0,13.639252,10.412824,6.446603,6.300319,0,0,13.489826,11.861201,1.47272
0.012,0.000000,0.000000,0,0,13.675413,10.402014,6.432257,6.303055,0,0,13.477303,11.794885,1.47455
0.013,0.000000,0.000000,0,0,13.711574,10.391204,6.417462,6.305791,0,0,13.464779,11.728568,1.47604
0.014,0.000000,0.000000,0,0,13.747734,10.380393,6.402096,6.308527,0,0,13.452256,11.662251,1.47247
0.015,0.000000,0.000000,0,0,13.783957,10.369454,6.386243,6.310728,0,0,13.439890,11.595993,1.47281
0.016,0.000000,0.000000,0,0,13.820301,10.358257,6.369771,6.311861,0,0,13.427839,11.529852,1.47568
0.017,0.000000,0.000000,0,0,13.856646,10.347060,6.352745,6.312993,0,0,13.415788,11.463712,1.47360
0.018,0.000000,0.000000,0,0,13.892991,10.335863,6.335012,6.314125,0,0,13.403736,11.397571,1.47305
0.019,0.000000,0.000000,0,0,13.929413,10.324549,6.316681,6.314592,0,0,13.391666,11.331299,1.47391
0.020,0.000000,0.000000,0,0,13.965991,10.313000,6.297588,6.313734,0,0,13.379559,11.264764,1.47461
0.021,0.000000,0.000000,0,0,14.002568,10.301451,6.278010,6.312875,0,0,13.367451,11.198229,1.47516
0.022,0.000000,0.000000,0,0,14.039145,10.289902,6.257815,6.312017,0,0,13.355343,11.131695,1.47372
0.023,0.000000,0.000000,0,0,14.075807,10.278361,6.237301,6.310598,0,0,13.343260,11.065192,1.47476
0.024,0.000000,0.000000,0,0,14.112633,10.266836,6.216380,6.308062,0,0,13.331226,10.998755,1.47327
0.025,0.000000,0.000000,0,0,14.149460,10.255311,6.195331,6.305526,0,0,13.319192,10.932319,1.47705
0.026,0.000000,0.000000,0,0,14.186286,10.243786,6.174119,6.302989,0,0,13.307158,10.865881,1.47409
0.027,0.000000,0.000000,0,0,14.223018,10.232499,6.152966,6.299933,0,0,13.295395,10.799399,1.47305
0.028,0.000000,0.000000,0,0,14.259562,10.221690,6.131889,6.295839,0,0,13.284174,10.732827,1.47479
0.029,0.000000,0.000000,0,0,14.296104,10.210880,6.111016,6.291745,0,0,13.272953,10.666255,1.47403
0.030,0.000000,0.000000,0,0,14.332647,10.200071,6.090403,6.287651,0,0,13.261732,10.599684,1.47308
0.031,0.000000,0.000000,0,0,14.368984,10.189565,6.070120,6.282937,0,0,13.250939,10.532953,1.47305
0.032,0.000000,0.000000,0,0,14.404908,10.179662,6.050258,6.276986,0,0,13.241001,10.465907,1.47461
0.033,0.000000,0.000000,0,0,14.440833,10.169759,6.030833,6.271035,0,0,13.231063,10.398861,1.47485
0.034,0.000000,0.000000,0,0,14.476758,10.159857,6.011962,6.265084,0,0,13.221125,10.331816,1.47415
0.035,0.000000,0.000000,0,0,14.512071,10.150549,5.993600,6.258712,0,0,13.212049,10.264456,1.47415
