"Time","v2 R COP","49 RDS cle","47 R marks","46 HLr swoff","45 FLr swoff","44 miry (cm)","43 mirx (cm)","41 CoMx (cm)","40 FRy (cm)","39a FRx (cm)","39 FRx (cm)","38 FLy (cm)","35a HRx (cm)","35 HRx (cm)","v3 L COP","37a FLx (cm)","42a CoMy (cm)","v1 xCoM","42 CoMy (cm)","52 HLl swoff","51 HLr swoff","50 LDS cle","48 L marks","37 FLx (cm)","36 HRy (cm)","34 HLy (cm)","33a HLx (cm)","33 HLx (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0.000000,0,0,0,0,7.132278,0.464573,17.166794,3.570898,24.463099,17.854925,6.348878,-9.526272,16.883591,0.000000,5.376169,-7.983105,4.900559,5.260514,0,0,0,0,18.690914,3.512237,6.546288,-7.468758,15.293201,175.347290,0,37.433125,49.862328,57.551594,8.227109,19.697845,8.233298,17.760223,8.182655,17.074400,8.188733,16.260612,9.272218,17.697992,9.628156,16.138086,10.391227,16.909245,0,-0.01648,-0.01453,-0.02116,0.00427,0.00822,-0.01449,0.00559,0.00439,-0.03070,0.11198,3.27759
0.001,0.000000,0,0,0,0,7.136166,0.463715,17.174948,3.568782,24.822296,17.880417,6.347285,-9.414553,16.873962,0.000000,5.406409,-7.901734,4.895931,5.251872,0,0,0,0,18.704531,3.512574,6.552900,-7.198987,15.285530,175.106995,0,37.588093,49.828552,57.458229,8.231166,19.700300,8.234571,17.754402,8.183633,17.078650,8.191931,16.260241,9.275444,17.697599,9.630431,16.137476,10.392607,16.909304,0,-0.01812,-0.01337,-0.02116,0.00224,0.00812,-0.01241,0.00554,0.00310,-0.00590,0.11275,3.27698
0.002,0.000000,0,0,0,0,7.140052,0.462857,17.183102,3.566665,25.181494,17.905910,6.345692,-9.302834,16.864334,0.000000,5.436648,-7.820364,4.891380,5.243231,0,0,0,0,18.718147,3.512912,6.559512,-6.929216,15.277858,174.866699,0,37.743057,49.794777,57.364864,8.235223,19.702755,8.235844,17.748579,8.184609,17.082899,8.195128,16.259871,9.278669,17.697206,9.632707,16.136868,10.393986,16.909361,0,-0.01801,-0.01400,-0.02145,0.00377,0.00835,-0.01344,0.00582,0.00253,0.01820,0.11833,3.27637
0.003,0.000000,0,0,0,0,7.142905,0.465721,17.186506,3.566566,25.221529,17.931278,6.344285,-9.203216,16.855635,0.000000,5.239155,-7.709778,4.887685,5.235138,0,0,0,0,18.720879,3.508649,6.562609,-6.631401,15.271544,174.367462,0,37.421268,49.686840,57.670925,8.241152,19.705814,8.237884,17.740665,8.183736,17.077700,8.197757,16.246971,9.267295,17.694439,9.633330,16.137022,10.394738,16.913359,0,-0.01874,-0.01340,-0.02713,-0.00247,0.00904,-0.01223,0.00488,0.00259,0.04460,0.11771,3.27705
0.004,0.000000,0,0,0,0,7.145732,0.468678,17.189793,3.566517,25.253716,17.956644,6.342883,-9.103894,16.846958,0.000000,5.036063,-7.598474,4.884083,5.227059,0,0,0,0,18.723341,3.504273,6.565619,-6.332896,15.265264,173.861862,0,37.087757,49.577076,57.986809,8.247127,19.708889,8.239944,17.732698,8.182817,17.072268,8.200371,16.233767,9.255562,17.691612,9.633913,16.137196,10.395474,16.917452,0,-0.01862,-0.01468,-0.01840,0.00499,0.00907,-0.01358,0.00648,0.00477,0.06891,0.11467,3.27773
0.005,0.000000,0,0,0,0,7.148559,0.471634,17.193079,3.566468,25.285902,17.982008,6.341480,-9.004573,16.838282,0.000000,4.832970,-7.487169,4.881515,5.218979,0,0,0,0,18.725805,3.499897,6.568629,-6.034391,15.258984,173.356262,0,36.754246,49.467312,58.302689,8.253101,19.711964,8.242002,17.724733,8.181898,17.066837,8.202986,16.220560,9.243829,17.688786,9.634496,16.137371,10.396212,16.921545,0,-0.01678,-0.01412,-0.02191,0.00187,0.00712,-0.01307,0.00309,0.00154,0.11800,0.11173,3.27774
0.006,0.000000,0,0,0,0,7.151386,0.474590,17.196365,3.566419,25.318089,18.007374,6.340078,-8.905252,16.829605,0.000000,4.629877,-7.375865,4.879052,5.210900,0,0,0,0,18.728268,3.495521,6.571640,-5.735886,15.252703,172.850662,0,36.420734,49.357552,58.618572,8.259076,19.715036,8.244061,17.716766,8.180979,17.061405,8.205600,16.207354,9.232096,17.685961,9.635078,16.137545,10.396948,16.925638,0,-0.01940,-0.01266,-0.01899,0.00269,0.00909,-0.01238,0.00702,0.00032,0.14821,0.11431,3.27774
0.007,0.000000,0,0,0,0,7.157804,0.476140,17.198889,3.563743,25.328983,18.032665,6.344646,-8.839603,16.821140,0.000000,4.417127,-7.229259,4.877760,5.203591,0,0,0,0,18.731333,3.495699,6.574551,-5.428664,15.247679,172.979156,0,35.730507,49.409176,58.959957,8.292528,19.720186,8.246617,17.708326,8.182587,17.045471,8.204985,16.192705,9.217299,17.680779,9.636256,16.136871,10.396319,16.930124,0,-0.01996,-0.01236,-0.02153,0.00340,0.00869,-0.01296,0.00540,0.00415,0.17530,0.11583,3.27759
0.008,0.000000,0,0,0,0,7.164311,0.477655,17.201393,3.561002,25.339355,18.057957,6.349362,-8.774783,16.812679,0.000000,4.204140,-7.081785,4.876564,5.196301,0,0,0,0,18.734411,3.495990,6.577460,-5.121229,15.242686,173.123230,0,35.031506,49.464775,59.301971,8.326656,19.725388,8.249186,17.699875,8.184256,17.029276,8.204289,16.178020,9.202425,17.675541,9.637449,16.136177,10.395657,16.934620,0,-0.01828,-0.01360,-0.02304,0.00216,0.00856,-0.01274,0.00561,0.00215,0.20186,0.11575,3.27744
0.009,0.000000,0,0,0,0,7.170818,0.479170,17.203897,3.558261,25.349726,18.083246,6.354077,-8.709963,16.804218,0.000000,3.991152,-6.934310,4.876425,5.189012,0,0,0,0,18.737490,3.496279,6.580369,-4.813793,15.237694,173.267303,0,34.332504,49.520370,59.643982,8.360785,19.730589,8.251754,17.691423,8.185925,17.013083,8.203595,16.163338,9.187552,17.670301,9.638641,16.135483,10.394994,16.939116,0,-0.01680,-0.01394,-0.01963,0.00363,0.00821,-0.01306,0.00540,0.00248,0.22558,0.11496,3.27736
0.010,0.000000,0,0,0,0,7.177325,0.480685,17.206402,3.555521,25.360096,18.108538,6.358793,-8.645143,16.795757,0.000000,3.778165,-6.786836,4.876366,5.181722,0,0,0,0,18.740568,3.496570,6.583278,-4.506357,15.232701,173.411377,0,33.633503,49.575966,59.985996,8.394913,19.735790,8.254321,17.682970,8.187595,16.996889,8.202900,16.148653,9.172679,17.665064,9.639834,16.134789,10.394332,16.943609,0,-0.01695,-0.01328,-0.02229,-0.00205,0.00886,-0.01116,0.00574,0.00202,0.25347,0.11040,3.27728
0.011,0.000000,0,0,0,0,7.183177,0.482435,17.211571,3.987898,25.376411,18.133644,6.363644,-8.600664,16.786995,0.000000,3.539630,-6.611799,4.877198,5.175123,0,0,0,0,18.743652,3.500553,6.585457,-4.208263,15.228680,173.789917,0,33.337997,49.578873,59.794430,8.377298,19.736908,8.261821,17.676903,8.195881,16.997761,8.205760,16.154100,9.177482,17.669268,9.642755,16.138416,10.396230,16.949579,0,-0.01650,-0.01266,-0.01996,0.00414,0.00822,-0.01290,0.00602,0.00286,0.27480,0.11090,3.27668
0.012,0.000000,0,0,0,0,7.189012,0.484191,17.216805,4.430974,25.392872,18.158745,6.368498,-8.556686,16.778223,0.000000,3.300466,-6.436085,4.878103,5.168540,0,0,0,0,18.746737,3.504626,6.587619,-3.910399,15.224682,174.174225,0,33.052418,49.580486,59.589737,8.358411,19.737926,8.269442,17.670893,8.204329,16.999050,8.208707,16.160042,9.182769,17.673704,9.645717,16.142151,10.398191,16.955585,0,-0.01723,-0.01285,-0.02153,0.00234,0.00768,-0.01207,0.00561,0.00143,0.32094,0.11636,3.27607
0.013,0.000000,0,0,0,0,7.194848,0.485946,17.222038,4.874052,25.409334,18.183847,6.373353,-8.512708,16.769451,0.000000,3.061302,-6.260370,4.879824,5.161958,0,0,0,0,18.749821,3.508700,6.589781,-3.612535,15.220684,174.558533,0,32.766834,49.582096,59.385048,8.339524,19.738945,8.277062,17.664883,8.212778,17.000341,8.211655,16.165985,9.188055,17.678141,9.648679,16.145884,10.400153,16.961592,0,-0.01844,-0.01381,-0.02058,0.00294,0.00760,-0.01212,0.00451,0.00173,0.35251,0.11608,3.27667
0.014,0.000000,0,0,0,0,7.200683,0.487702,17.227272,5.317128,25.425795,18.208948,6.378207,-8.468730,16.760679,0.000000,2.822139,-6.084656,4.881614,5.155375,0,0,0,0,18.752905,3.512774,6.591943,-3.314670,15.216687,174.942841,0,32.481255,49.583710,59.180359,8.320637,19.739964,8.284683,17.658875,8.221226,17.001633,8.214602,16.171926,9.193342,17.682577,9.651641,16.149618,10.402115,16.967596,0,-0.01922,-0.01271,-0.02064,0.00347,0.00834,-0.01280,0.00485,0.00279,0.37613,0.11349,3.27728
0.015,0.000000,0,0,0,0,7.201750,0.489694,17.230469,5.260984,25.451311,18.234623,6.378308,-8.434650,16.752277,0.000000,2.769918,-5.891006,4.884171,5.149610,0,0,0,0,18.755783,3.514037,6.589251,-3.033633,15.213962,175.281235,0,32.604198,49.511055,58.691631,8.305005,19.751238,8.286272,17.649149,8.225698,16.995846,8.217491,16.173046,9.202513,17.679552,9.652432,16.144188,10.401683,16.965929,0,-0.01937,-0.01251,-0.01960,0.00466,0.00851,-0.01303,0.00740,0.00267,0.40129,0.10984,3.27728
0.016,0.000000,0,0,0,0,7.202700,0.491692,17.233614,5.192564,25.477051,18.260309,6.378292,-8.400815,16.743885,0.000000,2.722294,-5.696917,4.886792,5.143865,0,0,0,0,18.758657,3.515230,6.586440,-2.753009,15.211267,175.618500,0,32.737186,49.436573,58.195915,8.289454,19.762762,8.287712,17.639334,8.230073,16.989885,8.220379,16.174047,9.211779,17.676342,9.653170,16.138533,10.401192,16.964071,0,-0.01909,-0.01240,-0.02084,0.00352,0.00820,-0.01265,0.00458,0.00400,0.42562,0.11020,3.27728
