"Time","40 FRy (cm)","38 FLy (cm)","36 HRy (cm)","34 HLy (cm)","v2 R COP","m3 RDS cle","m1 R marks","49 RDS cle","39 FRx (cm)","35 HRx (cm)","v3 L COP","50 LDS cle","m4 LDS cle","m2 L marks","37 FLx (cm)","33 HLx (cm)","3 Platform","42 CoMy (cm)","v1 xCoM"
0.000,4.748001,6.989106,4.220281,6.852379,0.000000,0,0,0,17.815687,15.500449,0.000000,0,0,0,18.158461,15.960263,0.24994,5.697281,5.685291
0.001,4.748741,6.990795,4.219662,6.859798,0.000000,0,0,0,17.806456,15.506159,0.000000,0,0,0,18.176819,15.939852,0.20172,5.696552,5.678852
0.002,4.749481,6.992484,4.219042,6.867216,0.000000,0,0,0,17.797226,15.511868,0.000000,0,0,0,18.195177,15.919439,0.17761,5.695823,5.672181
0.003,4.750220,6.994172,4.218423,6.874635,0.000000,0,0,0,17.787996,15.517578,0.000000,0,0,0,18.213533,15.899028,0.15106,5.695094,5.665483
0.004,4.749025,6.999086,4.219789,6.881701,0.000000,0,0,0,17.779852,15.525060,0.000000,0,0,0,18.213614,15.878800,0.12482,5.694019,5.658662
0.005,4.747327,7.004837,4.221671,6.888675,0.000000,0,0,0,17.771988,15.533002,0.000000,0,0,0,18.208952,15.858621,0.09705,5.692854,5.651826
0.006,4.745630,7.010587,4.223552,6.895648,0.000000,0,0,0,17.764124,15.540944,0.000000,0,0,0,18.204290,15.838441,0.07080,5.691689,5.644765
0.007,4.743932,7.016338,4.225434,6.902623,0.000000,0,0,0,17.756260,15.548885,0.000000,0,0,0,18.199629,15.818261,0.01877,5.690525,5.637679
0.008,4.741618,7.016891,4.224144,6.909460,0.000000,0,0,0,17.752014,15.557432,0.000000,0,0,0,18.195292,15.798438,-0.00717,5.688958,5.630225
0.009,4.739143,7.016096,4.222031,6.916262,0.000000,0,0,0,17.748707,15.566135,0.000000,0,0,0,18.191038,15.778707,-0.03098,5.687287,5.622731
0.010,4.736669,7.015301,4.219918,6.923064,0.000000,0,0,0,17.745399,15.574840,0.000000,0,0,0,18.186785,15.758976,-0.04990,5.685617,5.614810
0.011,4.734194,7.014506,4.217805,6.929866,0.000000,0,0,0,17.742090,15.583543,0.000000,0,0,0,18.182531,15.739245,-0.08453,5.683946,5.606841
0.012,4.731504,7.014795,4.214994,6.936660,0.000000,0,0,0,17.743170,15.592100,0.000000,0,0,0,18.178291,15.719921,-0.10773,5.681849,5.598423
0.013,4.728758,7.015365,4.212002,6.943452,0.000000,0,0,0,17.745386,15.600619,0.000000,0,0,0,18.174053,15.700703,-0.16144,5.679640,5.589954
0.014,4.726012,7.015935,4.209009,6.950244,0.000000,0,0,0,17.747602,15.609138,0.000000,0,0,0,18.169815,15.681484,-0.18570,5.677433,5.581065
0.015,4.723266,7.016505,4.206017,6.957036,0.000000,0,0,0,17.749819,15.617658,0.000000,0,0,0,18.165577,15.662266,-0.21225,5.675224,5.572130
