"Time","v2 R COP","49 RDS cle","47 R marks","46 sw offset","45 sw onset","44 miry (cm)","43 mirx (cm)","42a CoMy (cm)","42 CoMy (cm)","41 CoMx (cm)","39a FRx (cm)","v1 xCoM","39 FRx (cm)","35a HRx (cm)","35 HRx (cm)","v3 L COP","37a FLx (cm)","50 LDS cle","48 L marks","37 FLx (cm)","33 HLx (cm)","40 FRy (cm)","38 FLy (cm)","36 HRy (cm)","34 HLy (cm)","33a HLx (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24a toex (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","4 GM","5 Ip","6 BF","7 VL","8 St","9 TA","10 Gs","11 Gr","3 Platform","2 Trdml","1 Synch"
0.000,0.000000,1,0,0,0,7.062134,0.316503,-2.619559,6.293476,14.250123,-10.839183,6.179985,16.594246,-9.000899,12.031199,0.000000,-1.456778,1,0,15.480186,12.374284,5.615536,7.165026,4.591204,6.985911,-3.809313,160.323334,0,22.641756,72.861687,78.413116,8.146479,17.015270,8.025414,-8.125213,12.690832,8.109689,12.038685,8.407873,11.453663,8.278439,13.148726,9.643801,12.839233,9.665248,13.876300,0,0.00078,0.00058,0.00089,0.00130,0.00071,0.00074,0.00088,0.00066,0.00007,0.10482,3.27638
0.001,0.000000,1,0,0,0,7.061686,0.317120,-2.718060,6.290756,14.249803,-10.847572,6.173011,16.583328,-8.985051,12.022258,0.000000,-1.119401,1,0,15.478763,12.368312,5.614701,7.165007,4.590195,6.984510,-3.797740,159.851883,0,22.922676,73.036766,78.433556,8.138684,17.132933,8.027110,-8.893738,12.689038,8.108796,12.035298,8.408145,11.452954,8.281161,13.148199,9.647007,12.840907,9.667177,13.879228,0,0.00090,0.00059,0.00088,0.00133,0.00071,0.00073,0.00087,0.00066,-0.00007,0.12197,3.27650
0.002,0.000000,1,0,0,0,7.060751,0.315018,-2.807531,6.287832,14.250925,-10.849122,6.166119,16.572233,-8.973687,12.013268,0.000000,-0.742283,1,0,15.478232,12.361506,5.613978,7.164939,4.589168,6.983120,-3.745869,159.192902,0,23.360868,73.352119,78.506355,8.137391,17.112545,8.028596,-9.795830,12.686875,8.106852,12.029044,8.408579,11.450057,8.285026,13.145548,9.651915,12.843017,9.669799,13.882153,0,0.00096,0.00062,0.00092,0.00128,0.00068,0.00071,0.00085,0.00066,0.00001,0.12767,3.27711
0.003,0.000000,1,0,0,0,7.059816,0.312917,-2.897003,6.284907,14.252048,-10.850672,6.159319,16.561138,-8.962322,12.004279,0.000000,-0.365164,1,0,15.477701,12.354700,5.613256,7.164871,4.588140,6.981730,-3.693998,158.533920,0,23.799063,73.667480,78.579163,8.136097,17.092157,8.030081,-10.697923,12.684711,8.104907,12.022789,8.409012,11.447161,8.288889,13.142898,9.656821,12.845126,9.672421,13.885078,0,0.00099,0.00066,0.00092,0.00115,0.00066,0.00071,0.00084,0.00068,-0.00023,0.11766,3.27747
0.004,0.000000,1,0,0,0,7.058882,0.310815,-2.986474,6.281983,14.253170,-10.852221,6.152594,16.550043,-8.950957,11.995290,0.000000,0.011954,1,0,15.477171,12.347895,5.612534,7.164804,4.587113,6.980340,-3.642127,157.874939,0,24.237255,73.982834,78.651970,8.134804,17.071770,8.031567,-11.600015,12.682549,8.102962,12.016534,8.409446,11.444263,8.292752,13.140247,9.661729,12.847237,9.675043,13.888003,0,0.00099,0.00067,0.00092,0.00116,0.00066,0.00072,0.00085,0.00069,0.00007,0.10440,3.27755
0.005,0.000000,1,0,0,0,7.057732,0.310650,-3.069597,6.278919,14.254848,-10.849328,6.145944,16.539064,-8.939445,11.986350,0.000000,0.429140,1,0,15.477110,12.340347,5.611820,7.164649,4.586034,6.980912,-3.548028,157.377365,0,24.672691,74.270737,78.742775,8.133586,17.052830,8.031387,-12.538047,12.678706,8.100871,12.009460,8.408541,11.442293,8.295569,13.138528,9.665381,12.849391,9.677400,13.889975,0,0.00100,0.00066,0.00091,0.00113,0.00064,0.00072,0.00086,0.00069,-0.00008,0.09578,3.27738
0.006,0.000000,1,0,0,0,7.056306,0.312969,-3.144575,6.275674,14.257239,-10.840735,6.139355,16.528234,-8.927743,11.977474,0.000000,0.897737,1,0,15.477651,12.331849,5.611117,7.164384,4.584888,6.984001,-3.399747,157.086914,0,25.104591,74.523422,78.856667,8.132465,17.035748,8.029073,-13.522194,12.672711,8.098590,12.001337,8.405918,11.441512,8.297042,13.138003,9.667423,12.851603,9.679416,13.890721,0,0.00101,0.00065,0.00093,0.00099,0.00063,0.00071,0.00084,0.00068,-0.00023,0.10303,3.27692
0.007,0.000000,1,0,0,0,7.054880,0.315289,-3.219553,6.272429,14.259631,-10.832142,6.132863,16.517403,-8.916040,11.968598,0.000000,1.366334,1,0,15.478192,12.323350,5.610415,7.164119,4.583742,6.987090,-3.251465,156.796448,0,25.536489,74.776108,78.970558,8.131345,17.018665,8.026759,-14.506341,12.666716,8.096310,11.993215,8.403296,11.440730,8.298515,13.137480,9.669465,12.853815,9.681432,13.891469,0,0.00104,0.00063,0.00093,0.00097,0.00062,0.00071,0.00084,0.00067,0.00001,0.12272,3.27699
0.008,0.000000,1,0,0,0,7.053454,0.317608,-3.294531,6.269185,14.262022,-10.823549,6.126448,16.506573,-8.904338,11.959723,0.000000,1.834931,1,0,15.478733,12.314852,5.609712,7.163854,4.582596,6.990179,-3.103184,156.505997,0,25.968388,75.028793,79.084450,8.130224,17.001581,8.024445,-15.490488,12.660720,8.094029,11.985091,8.400673,11.439949,8.299989,13.136955,9.671507,12.856027,9.683448,13.892216,0,0.00106,0.00063,0.00093,0.00103,0.00058,0.00074,0.00088,0.00068,-0.00008,0.12746,3.27768
0.009,0.000000,1,0,0,0,7.053045,0.317544,-3.362000,6.265822,14.265790,-10.811480,6.120161,16.495768,-8.891913,11.950834,0.000000,2.357751,1,0,15.480039,12.315651,5.608991,7.163468,4.581390,6.991346,-3.114119,156.868332,0,26.397375,75.377174,79.218719,8.125272,17.077919,8.020007,-16.245575,12.635225,8.092688,11.978508,8.398795,11.439355,8.304198,13.136686,9.676407,12.859181,9.688178,13.894074,0,0.00110,0.00063,0.00093,0.00107,0.00058,0.00076,0.00089,0.00068,0.00000,0.12068,3.27773
0.010,0.000000,1,0,0,0,7.053942,0.314423,-3.419837,6.262306,14.271326,-10.794950,6.113976,16.484997,-8.878562,11.941930,0.000000,2.950147,1,0,15.482326,12.328379,5.608244,7.162930,4.580108,6.990047,-3.329346,158.068283,0,26.822624,75.848358,79.379128,8.115403,17.274122,8.012844,-16.706751,12.584712,8.092551,11.973902,8.397871,11.439002,8.311918,13.136746,9.684976,12.863544,9.696390,13.897359,0,0.00112,0.00066,0.00096,0.00106,0.00057,0.00076,0.00087,0.00070,0.00000,0.10553,3.27704
0.011,0.000000,1,0,0,0,7.054839,0.311302,-3.477673,6.258791,14.276862,-10.778419,6.107955,16.474224,-8.865211,11.933026,0.000000,3.542543,1,0,15.484612,12.341106,5.607499,7.162392,4.578826,6.988750,-3.544574,159.268234,0,27.247873,76.319542,79.539528,8.105534,17.470327,8.005682,-17.167927,12.534199,8.092415,11.969295,8.396948,11.438649,8.319638,13.136806,9.693544,12.867908,9.704602,13.900643,0,0.00115,0.00066,0.00095,0.00109,0.00057,0.00076,0.00088,0.00069,-0.00032,0.09469,3.27685
0.012,0.000000,1,0,0,0,7.055735,0.308180,-3.535509,6.255275,14.282398,-10.761889,6.102064,16.463453,-8.851859,11.924122,0.000000,4.134939,1,0,15.486898,12.353834,5.606752,7.161853,4.577544,6.987451,-3.759801,160.468170,0,27.673122,76.790726,79.699936,8.095665,17.666531,7.998520,-17.629103,12.483685,8.092278,11.964688,8.396024,11.438296,8.327358,13.136867,9.702113,12.872272,9.712814,13.903928,0,0.00112,0.00069,0.00096,0.00108,0.00058,0.00074,0.00090,0.00071,0.00008,0.10598,3.27723
0.013,0.000000,1,0,0,0,7.055558,0.310369,-3.583666,6.251664,14.287386,-10.741181,6.096372,16.452711,-8.831714,11.915223,0.000000,4.788585,1,0,15.490635,12.356667,5.606067,7.161452,4.576315,6.985980,-4.152664,161.144836,0,28.089987,77.192162,79.860641,8.091426,17.780273,7.994166,-17.788744,12.449074,8.091658,11.960444,8.394957,11.438132,8.334003,13.137020,9.709417,12.875813,9.720469,13.907405,0,0.00112,0.00071,0.00096,0.00108,0.00058,0.00075,0.00094,0.00072,0.00009,0.12929,3.27744
0.014,0.000000,1,0,0,0,7.054004,0.319371,-3.619401,6.247930,14.291672,-10.715114,6.090842,16.442005,-8.802850,11.906332,0.000000,5.520823,1,0,15.496234,12.346802,5.605460,7.161226,4.575156,6.984287,-4.773451,161.150055,0,28.496090,77.504089,80.021721,8.094411,17.788206,7.993415,-17.561487,12.434863,8.090413,11.956666,8.393705,11.438211,8.339270,13.137294,9.715097,12.878301,9.727407,13.911127,0,0.00110,0.00073,0.00096,0.00109,0.00060,0.00074,0.00098,0.00072,0.00000,0.12714,3.27744
