"Time","v1 xCoM","v2 R COP","49 RDS cle","47 R marks","42a CoMy (cm)","42 CoMy (cm)","39 FRx (cm)","38 FLy (cm)","35 HRx (cm)","v3 L COP","50 LDS cle","48 L marks","37 FLx (cm)","36 HRy (cm)","34 HLy (cm)","33 HLx (cm)","3 Platform"
0.000,6.179985,0.000000,1,0,-2.619559,6.293476,16.594246,7.172911,12.031199,0.000000,1,0,15.480186,4.589698,7.024590,12.374284,0.00007
0.001,6.173011,0.000000,1,0,-2.718060,6.290756,16.583328,7.173201,12.022258,0.000000,1,0,15.478763,4.588183,7.021317,12.368312,-0.00007
0.002,6.166119,0.000000,1,0,-2.807531,6.287832,16.572233,7.172623,12.013268,0.000000,1,0,15.478232,4.585939,7.017106,12.361506,0.00001
0.003,6.159319,0.000000,1,0,-2.897003,6.284907,16.561138,7.172045,12.004279,0.000000,1,0,15.477701,4.583695,7.012894,12.354700,-0.00023
0.004,6.152594,0.000000,1,0,-2.986474,6.281983,16.550043,7.171467,11.995290,0.000000,1,0,15.477171,4.581451,7.008683,12.347895,0.00007
0.005,6.145944,0.000000,1,0,-3.069597,6.278919,16.539064,7.170573,11.986350,0.000000,1,0,15.477110,4.579938,7.005227,12.340347,-0.00008
0.006,6.139355,0.000000,1,0,-3.144575,6.275674,16.528234,7.169273,11.977474,0.000000,1,0,15.477651,4.579362,7.002740,12.331849,-0.00023
0.007,6.132863,0.000000,1,0,-3.219553,6.272429,16.517403,7.167973,11.968598,0.000000,1,0,15.478192,4.578786,7.000253,12.323350,0.00001
0.008,6.126448,0.000000,1,0,-3.294531,6.269185,16.506573,7.166672,11.959723,0.000000,1,0,15.478733,4.578210,6.997766,12.314852,-0.00008
0.009,6.120161,0.000000,1,0,-3.362000,6.265822,16.495768,7.165281,11.950834,0.000000,1,0,15.480039,4.577061,6.996602,12.315651,0.00000
0.010,6.113976,0.000000,1,0,-3.419837,6.262306,16.484997,7.163773,11.941930,0.000000,1,0,15.482326,4.575175,6.997134,12.328379,0.00000
0.011,6.107955,0.000000,1,0,-3.477673,6.258791,16.474224,7.162264,11.933026,0.000000,1,0,15.484612,4.573289,6.997666,12.341106,-0.00032
0.012,6.102064,0.000000,1,0,-3.535509,6.255275,16.463453,7.160756,11.924122,0.000000,1,0,15.486898,4.571404,6.998198,12.353834,0.00008
0.013,6.096372,0.000000,1,0,-3.583666,6.251664,16.452711,7.159914,11.915223,0.000000,1,0,15.490635,4.569162,6.996984,12.356667,0.00009
0.014,6.090842,0.000000,1,0,-3.619401,6.247930,16.442005,7.159930,11.906332,0.000000,1,0,15.496234,4.566466,6.993529,12.346802,0.00000
0.015,6.085557,0.000000,1,0,-3.655137,6.244195,16.431301,7.159946,11.897441,0.000000,1,0,15.501833,4.563770,6.990076,12.336936,0.00008
0.016,6.080472,0.000000,1,0,-3.690872,6.240460,16.420595,7.159962,11.888550,0.000000,1,0,15.507432,4.561074,6.986621,12.327071,0.00016
0.017,6.075680,0.000000,1,0,-3.714400,6.236660,16.409920,7.159957,11.879712,0.000000,1,0,15.514380,4.559793,6.983529,12.317031,0.00007
0.018,6.071125,0.000000,1,0,-3.722266,6.232778,16.399281,7.159926,11.870945,0.000000,1,0,15.523061,4.560328,6.980901,12.306767,-0.00008
0.019,6.066899,0.000000,1,0,-3.730131,6.228895,16.388641,7.159895,11.862178,0.000000,1,0,15.531741,4.560863,6.978273,12.296504,0.00023
0.020,6.062938,0.000000,1,0,-3.737996,6.225012,16.378002,7.159864,11.853411,0.000000,1,0,15.540422,4.561397,6.975646,12.286241,0.00008
0.021,6.059339,0.000000,1,0,-3.732637,6.221128,16.367393,7.159782,11.844773,0.000000,1,0,15.550576,4.561448,6.971972,12.275730,0.00000
0.022,6.056029,0.000000,1,0,-3.710310,6.217241,16.356827,7.159635,11.836303,0.000000,1,0,15.562622,4.560879,6.966956,12.264903,-0.00007
0.023,6.053106,0.000000,1,0,-3.687984,6.213354,16.346260,7.159488,11.827832,0.000000,1,0,15.574668,4.560310,6.961939,12.254075,0.00007
0.024,6.050494,0.000000,1,0,-3.665657,6.209466,16.335693,7.159341,11.819363,0.000000,1,0,15.586714,4.559741,6.956923,12.243248,0.00008
0.025,6.048273,0.000000,1,0,-3.632596,6.205692,16.325270,7.159150,11.811034,0.000000,1,0,15.600806,4.559382,6.953798,12.232221,0.00007
0.026,6.046367,0.000000,1,0,-3.585761,6.202063,16.315031,7.158902,11.802888,0.000000,1,0,15.617524,4.559294,6.953100,12.220938,0.00000
0.027,6.044764,0.000000,1,0,-3.538927,6.198432,16.304790,7.158653,11.794742,0.000000,1,0,15.634242,4.559206,6.952402,12.209654,0.00000
0.028,6.043405,0.000000,1,0,-3.492093,6.194803,16.294550,7.158405,11.786595,0.000000,1,0,15.650960,4.559117,6.951705,12.198371,0.00023
0.029,6.042242,0.000000,1,0,-3.440552,6.191293,16.284410,7.157802,11.778743,0.000000,1,0,15.669757,4.559045,6.950089,12.187062,-0.00002
