"Time","v2 R COP","49 RDS cle","47 R marks","46 sw offset","45 sw onset","44 miry (cm)","43 mirx (cm)","42a CoMy (cm)","42 CoMy (cm)","41 CoMx (cm)","39a FRx (cm)","v1 xCoM","39 FRx (cm)","35a HRx (cm)","35 HRx (cm)","v3 L COP","37a FLx (cm)","50 LDS cle","48 L marks","37 FLx (cm)","33 HLx (cm)","40 FRy (cm)","38 FLy (cm)","36 HRy (cm)","34 HLy (cm)","33a HLx (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24a toex (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","4 GM","5 Ip","6 BF","7 VL","8 St","9 TA","10 Gs","11 Gr","3 Platform","2 Trdml","1 Synch"
0.000,0.000000,0,0,0,0,7.226813,0.533448,6.516448,6.481132,12.448967,28.520971,6.763556,13.543258,-1.217026,11.222188,0.000000,-9.227620,0,0,14.886360,7.778794,5.284261,7.153697,5.424333,6.955980,21.289038,161.983734,0,38.182331,67.346802,47.683266,8.253064,13.278008,8.197566,-7.805108,11.614150,8.224863,10.988442,8.474379,10.315489,8.995095,11.933400,10.059665,11.024373,10.028567,11.996095,0,0.00078,0.00082,0.00082,0.00172,0.00060,0.00085,0.00132,0.00068,1.47156,0.09482,3.27755
0.001,0.000000,0,0,0,0,7.227691,0.534943,6.354447,6.487669,12.459248,29.535080,6.762938,13.571727,-1.794490,11.220607,0.000000,-9.259742,0,0,14.876906,7.788031,5.290104,7.152094,5.430642,6.956861,19.650829,161.616272,0,37.830044,67.136528,48.420040,8.268411,13.253634,8.197434,-8.695478,11.614150,8.223645,10.977895,8.476765,10.304822,8.980028,11.928480,10.051122,11.027024,10.025903,11.990729,0,0.00077,0.00080,0.00082,0.00165,0.00061,0.00087,0.00136,0.00068,1.47308,0.09043,3.27701
0.002,0.000000,0,0,0,0,7.227414,0.536491,6.192637,6.493886,12.467828,30.475485,6.762168,13.602482,-2.374252,11.217991,0.000000,-9.282492,0,0,14.867494,7.798513,5.296596,7.150726,5.436317,6.957839,18.046782,161.899490,0,37.367661,66.949089,48.933079,8.266705,13.680520,8.194114,-9.310679,11.606500,8.224789,10.966878,8.481047,10.290378,8.967293,11.919158,10.044813,11.025439,10.021432,11.986332,0,0.00075,0.00077,0.00082,0.00160,0.00059,0.00087,0.00136,0.00067,1.47104,0.08742,3.27722
0.003,0.000000,0,0,0,0,7.226442,0.538071,6.030942,6.499908,12.475384,31.371477,6.761346,13.634612,-2.955397,11.214750,0.000000,-9.299593,0,0,14.858108,7.809748,5.303477,7.149500,5.441610,6.958878,16.463316,162.574783,0,36.838940,66.775406,49.311298,8.254725,14.379318,8.188872,-9.760072,11.594238,8.227356,10.955578,8.486471,10.273657,8.955961,11.907184,10.039852,11.021301,10.015873,11.982518,0,0.00074,0.00076,0.00082,0.00157,0.00061,0.00082,0.00133,0.00068,1.47235,0.08559,3.27783
0.004,0.000000,0,0,0,0,7.225470,0.539650,5.869247,6.505931,12.482940,32.267467,6.760315,13.666743,-3.536542,11.211510,0.000000,-9.316695,0,0,14.848722,7.820982,5.310358,7.148274,5.446903,6.959916,14.879852,163.250076,0,36.310223,66.601730,49.689518,8.242743,15.078116,8.183630,-10.209464,11.581978,8.229922,10.944278,8.491895,10.256937,8.944631,11.895208,10.034890,11.017162,10.010314,11.978703,0,0.00075,0.00078,0.00082,0.00174,0.00060,0.00083,0.00134,0.00066,1.47192,0.08222,3.27780
0.005,0.000000,0,0,0,0,7.224497,0.541230,5.707552,6.511954,12.490496,33.163460,6.759210,13.698874,-4.117688,11.208269,0.000000,-9.333797,0,0,14.839335,7.832216,5.317239,7.147048,5.452196,6.960955,13.296388,163.925385,0,35.781502,66.428047,50.067738,8.230762,15.776916,8.178389,-10.658856,11.569717,8.232489,10.932977,8.497318,10.240216,8.933299,11.883234,10.029928,11.013024,10.004756,11.974890,0,0.00078,0.00079,0.00086,0.00188,0.00062,0.00079,0.00131,0.00064,1.47083,0.07779,3.27742
0.006,0.000000,0,0,0,0,7.225132,0.540803,5.544756,6.517554,12.498748,34.011173,6.757812,13.733025,-4.672798,11.204116,0.000000,-9.349126,0,0,14.830141,7.845175,5.324417,7.145957,5.456195,6.961673,13.055711,164.021927,0,35.474281,66.249222,50.580143,8.226688,16.043119,8.174240,-10.960429,11.559333,8.233616,10.920516,8.504333,10.225747,8.921008,11.873599,10.025006,11.012889,10.000198,11.973645,0,0.00079,0.00080,0.00089,0.00188,0.00061,0.00080,0.00135,0.00062,1.47125,0.07424,3.27743
0.007,0.000000,0,0,0,0,7.226734,0.539167,5.381295,6.522900,12.507419,34.829792,6.756310,13.768391,-5.212220,11.199412,0.000000,-9.363386,0,0,14.821064,7.859173,5.331775,7.144947,5.459416,6.962198,13.624150,163.769760,0,35.300526,66.067284,51.173405,8.227377,16.048658,8.170752,-11.172932,11.550079,8.233875,10.907354,8.512305,10.212634,8.908138,11.865374,10.020107,11.015166,9.996245,11.973949,0,0.00081,0.00081,0.00090,0.00197,0.00061,0.00081,0.00141,0.00063,1.47137,0.08092,3.27766
0.008,0.000000,0,0,0,0,7.228337,0.537531,5.217834,6.528245,12.516090,35.648415,6.754500,13.803758,-5.751642,11.194710,0.000000,-9.377646,0,0,14.811986,7.873170,5.339132,7.143936,5.462636,6.962723,14.192590,163.517578,0,35.126770,65.885345,51.766663,8.228065,16.054195,8.167262,-11.385434,11.540825,8.234135,10.894194,8.520277,10.199520,8.895267,11.857147,10.015209,11.017443,9.992292,11.974254,0,0.00083,0.00082,0.00089,0.00203,0.00061,0.00080,0.00136,0.00062,1.47116,0.08801,3.27774
0.009,0.000000,0,0,0,0,7.229939,0.535895,5.054374,6.533591,12.524761,36.467033,6.752583,13.839124,-6.291064,11.190006,0.000000,-9.391907,0,0,14.802908,7.887168,5.346490,7.142926,5.465857,6.963249,14.761029,163.265396,0,34.953014,65.703407,52.359924,8.228754,16.059734,8.163774,-11.597937,11.531571,8.234394,10.881033,8.528250,10.186407,8.882398,11.848922,10.010310,11.019720,9.988339,11.974558,0,0.00084,0.00079,0.00088,0.00192,0.00060,0.00080,0.00137,0.00062,1.47238,0.09153,3.27774
