"Time","v2 R COP","49 RDS cle","47 R marks","42a CoMy (cm)","42 CoMy (cm)","v1 xCoM","39 FRx (cm)","35 HRx (cm)","v3 L COP","50 LDS cle","48 L marks","37 FLx (cm)","40 FRy (cm)","38 FLy (cm)","36 HRy (cm)","34 HLy (cm)","33 HLx (cm)","3 Platform"
0.000,0.000000,0,0,-1.644934,6.518631,6.447395,13.427485,6.719944,0.000000,0,0,9.418166,6.024578,9.429027,4.827535,7.178516,6.087895,1.47413
0.001,0.000000,0,0,-1.719346,6.516830,6.442477,13.445713,6.711987,0.000000,0,0,9.408617,6.029785,9.428897,4.827287,7.173716,6.091918,1.46947
0.002,0.000000,0,0,-1.793757,6.515030,6.437508,13.463943,6.704030,0.000000,0,0,9.399068,6.034992,9.428767,4.827039,7.168915,6.095942,1.47354
0.003,0.000000,0,0,-1.868169,6.513230,6.432402,13.482171,6.696073,0.000000,0,0,9.389519,6.040199,9.428638,4.826791,7.164114,6.099966,1.47286
0.004,0.000000,0,0,-1.942851,6.511394,6.427256,13.500371,6.688133,0.000000,0,0,9.380042,6.045467,9.405182,4.826529,7.159201,6.104166,1.47330
0.005,0.000000,0,0,-2.018996,6.509357,6.422005,13.518414,6.680286,0.000000,0,0,9.370955,6.051068,9.255525,4.826190,7.153675,6.109322,1.47344
0.006,0.000000,0,0,-2.095140,6.507321,6.416713,13.536456,6.672441,0.000000,0,0,9.361868,6.056668,9.105867,4.825851,7.148148,6.114477,1.47411
0.007,0.000000,0,0,-2.171285,6.505285,6.411314,13.554499,6.664594,0.000000,0,0,9.352780,6.062269,8.956210,4.825512,7.142622,6.119633,1.47328
0.008,0.000000,0,0,-2.246870,6.503190,6.405877,13.572341,6.656794,0.000000,0,0,9.361113,6.068014,8.806549,4.825229,7.137046,6.125001,1.47716
0.009,0.000000,0,0,-2.319424,6.500777,6.400338,13.589107,6.649241,0.000000,0,0,9.463690,6.074542,8.656868,4.825243,7.131203,6.131516,1.47289
0.010,0.000000,0,0,-2.391978,6.498364,6.394791,13.605872,6.641689,0.000000,0,0,9.566267,6.081069,8.507188,4.825258,7.125360,6.138032,1.47285
0.011,0.000000,0,0,-2.464531,6.495951,6.389222,13.622638,6.634136,0.000000,0,0,9.668844,6.087596,8.357507,4.825272,7.119516,6.144547,1.47265
0.012,0.000000,0,0,-2.535569,6.493489,6.383677,13.639092,6.626578,0.000000,0,0,9.771307,6.094209,8.207829,4.825282,7.113642,6.151151,1.47214
