"Time","v1 xCoM","v2 R COP","49 RDS cle","47 R marks","42a CoMy (cm)","42 CoMy (cm)","39 FRx (cm)","38 FLy (cm)","35 HRx (cm)","v3 L COP","50 LDS cle","48 L marks","37 FLx (cm)","36 HRy (cm)","34 HLy (cm)","33 HLx (cm)","3 Platform"
0.000,6.763556,0.000000,0,0,6.516448,6.481132,13.543258,7.140963,11.222188,0.000000,0,0,14.886360,5.463828,7.001152,7.778794,1.47156
0.001,6.762938,0.000000,0,0,6.354447,6.487669,13.571727,7.141032,11.220607,0.000000,0,0,14.876906,5.465816,7.005760,7.788031,1.47308
0.002,6.762168,0.000000,0,0,6.192637,6.493886,13.602482,7.141320,11.217991,0.000000,0,0,14.867494,5.467125,7.012193,7.798513,1.47104
0.003,6.761346,0.000000,0,0,6.030942,6.499908,13.634612,7.141739,11.214750,0.000000,0,0,14.858108,5.468025,7.019727,7.809748,1.47235
0.004,6.760315,0.000000,0,0,5.869247,6.505931,13.666743,7.142159,11.211510,0.000000,0,0,14.848722,5.468924,7.027260,7.820982,1.47192
0.005,6.759210,0.000000,0,0,5.707552,6.511954,13.698874,7.142578,11.208269,0.000000,0,0,14.839335,5.469822,7.034794,7.832216,1.47083
0.006,6.757812,0.000000,0,0,5.544756,6.517554,13.733025,7.143161,11.204116,0.000000,0,0,14.830141,5.471266,7.035984,7.845175,1.47125
0.007,6.756310,0.000000,0,0,5.381295,6.522900,13.768391,7.143844,11.199412,0.000000,0,0,14.821064,5.473038,7.033352,7.859173,1.47137
0.008,6.754500,0.000000,0,0,5.217834,6.528245,13.803758,7.144527,11.194710,0.000000,0,0,14.811986,5.474809,7.030721,7.873170,1.47116
0.009,6.752583,0.000000,0,0,5.054374,6.533591,13.839124,7.145210,11.190006,0.000000,0,0,14.802908,5.476581,7.028089,7.887168,1.47238
0.010,6.750367,0.000000,0,0,4.889616,6.538491,13.876426,7.145963,11.183591,0.000000,0,0,14.793543,5.477222,7.020916,7.902447,1.47113
0.011,6.748045,0.000000,0,0,4.724076,6.543123,13.914894,7.146758,11.176145,0.000000,0,0,14.784003,5.477183,7.011007,7.918497,1.47369
0.012,6.745437,0.000000,0,0,4.558537,6.547754,13.953362,7.147553,11.168697,0.000000,0,0,14.774465,5.477143,7.001098,7.934547,1.47174
0.013,6.742727,0.000000,0,0,4.392997,6.552385,13.991831,7.148348,11.161250,0.000000,0,0,14.764926,5.477103,6.991189,7.950598,1.47006
0.014,6.739729,0.000000,0,0,4.223895,6.556651,14.032155,7.147879,11.151171,0.000000,0,0,14.755407,5.476943,6.983150,7.968240,1.47086
0.015,6.736630,0.000000,0,0,4.052646,6.560697,14.073598,7.146648,11.139504,0.000000,0,0,14.745900,5.476711,6.976240,7.986841,1.47195
0.016,6.733171,0.000000,0,0,3.881397,6.564743,14.115041,7.145418,11.127838,0.000000,0,0,14.736393,5.476478,6.969330,8.005443,1.47192
0.017,6.729586,0.000000,0,0,3.710148,6.568789,14.156484,7.144187,11.116173,0.000000,0,0,14.726886,5.476245,6.962420,8.024043,1.47223
0.018,6.725574,0.000000,0,0,3.534085,6.572375,14.199632,7.139968,11.105494,0.000000,0,0,14.717274,5.474800,6.962545,8.043921,1.47198
0.019,6.721414,0.000000,0,0,3.355122,6.575685,14.243808,7.133949,11.095412,0.000000,0,0,14.707597,5.472624,6.966911,8.064566,1.47137
0.020,6.716880,0.000000,0,0,3.176159,6.578994,14.287985,7.127931,11.085330,0.000000,0,0,14.697921,5.470447,6.971277,8.085212,1.47183
0.021,6.712216,0.000000,0,0,2.997196,6.582303,14.332161,7.121912,11.075248,0.000000,0,0,14.688245,5.468271,6.975643,8.105857,1.47058
0.022,6.707251,0.000000,0,0,2.815754,6.585173,14.378078,7.117066,11.065459,0.000000,0,0,14.678500,5.467418,7.004071,8.127183,1.47232
0.023,6.702179,0.000000,0,0,2.632817,6.587778,14.425046,7.112929,11.055848,0.000000,0,0,14.668715,5.467361,7.046998,8.148918,1.47086
0.024,6.696782,0.000000,0,0,2.449880,6.590382,14.472013,7.108791,11.046236,0.000000,0,0,14.658930,5.467305,7.089925,8.170653,1.47318
0.025,6.691269,0.000000,0,0,2.266944,6.592987,14.518980,7.104654,11.036625,0.000000,0,0,14.649145,5.467249,7.132853,8.192389,1.47110
0.026,6.685388,0.000000,0,0,2.080791,6.595131,14.567041,7.104824,11.026839,0.000000,0,0,14.639338,5.469284,7.117466,8.214513,1.47223
0.027,6.679378,0.000000,0,0,1.892702,6.596996,14.615763,7.107590,11.016950,0.000000,0,0,14.629517,5.472579,7.066942,8.236873,1.47299
0.028,6.673009,0.000000,0,0,1.704612,6.598862,14.664483,7.110355,11.007060,0.000000,0,0,14.619697,5.475874,7.016418,8.259233,1.47275
0.029,6.666515,0.000000,0,0,1.516522,6.600728,14.713204,7.113121,10.997170,0.000000,0,0,14.609876,5.479170,6.965893,8.281591,1.47263
0.030,6.659706,0.000000,0,0,1.330240,6.602030,14.762669,7.114924,10.986984,0.000000,0,0,14.599881,5.481658,6.944465,8.304849,1.47211
0.031,6.652787,0.000000,0,0,1.145049,6.602992,14.812581,7.116147,10.976620,0.000000,0,0,14.589782,5.483660,6.940568,8.328647,1.47232
0.032,6.645683,0.000000,0,0,0.959857,6.603954,14.862494,7.117370,10.966255,0.000000,0,0,14.579682,5.485662,6.936671,8.352445,1.47183
0.033,6.638514,0.000000,0,0,0.774666,6.604916,14.912405,7.118592,10.955891,0.000000,0,0,14.569584,5.487664,6.932775,8.376243,1.47232
0.034,6.631282,0.000000,0,0,0.594030,6.605513,14.963028,7.120260,10.945650,0.000000,0,0,14.559324,5.489637,6.924336,8.400580,1.47086
0.035,6.624028,0.000000,0,0,0.416140,6.605891,15.014078,7.122197,10.935484,0.000000,0,0,14.548969,5.491594,6.913161,8.425244,1.47156
0.036,6.616678,0.000000,0,0,0.238250,6.606269,15.065128,7.124134,10.925318,0.000000,0,0,14.538614,5.493550,6.901986,8.449907,1.47037
0.037,6.609295,0.000000,0,0,0.060360,6.606647,15.116179,7.126070,10.915151,0.000000,0,0,14.528259,5.495506,6.890811,8.474570,1.47342
0.038,6.601764,0.000000,0,0,-0.110530,6.606534,15.167820,7.124327,10.904906,0.000000,0,0,14.517778,5.494875,6.882523,8.499963,1.47333
0.039,6.594181,0.000000,0,0,-0.277202,6.606126,15.219819,7.120365,10.894615,0.000000,0,0,14.507222,5.492685,6.875975,8.525793,1.47391
0.040,6.586539,0.000000,0,0,-0.443874,6.605718,15.271818,7.116404,10.884323,0.000000,0,0,14.496666,5.490495,6.869426,8.551624,1.47083
0.041,6.578878,0.000000,0,0,-0.610546,6.605309,15.323817,7.112442,10.874032,0.000000,0,0,14.486110,5.488305,6.862878,8.577456,1.47107
0.042,6.571273,0.000000,0,0,-0.765948,6.604483,15.375404,7.110695,10.863887,0.000000,0,0,14.475548,5.488382,6.850492,8.603826,1.47235
0.043,6.563689,0.000000,0,0,-0.914560,6.603404,15.426743,7.110281,10.853830,0.000000,0,0,14.464982,5.489826,6.834590,8.630521,1.47296
0.044,6.556196,0.000000,0,0,-1.063172,6.602325,15.478082,7.109868,10.843774,0.000000,0,0,14.454416,5.491270,6.818687,8.657215,1.46820
0.045,6.548737,0.000000,0,0,-1.211784,6.601246,15.529421,7.109454,10.833717,0.000000,0,0,14.443851,5.492714,6.802785,8.683910,1.47211
0.046,6.541387,0.000000,0,0,-1.347950,6.599830,15.579007,7.109771,10.823638,0.000000,0,0,14.433287,5.489942,6.796212,8.755484,1.47174
0.047,6.534077,0.000000,0,0,-1.476616,6.598211,15.627537,7.110529,10.813544,0.000000,0,0,14.422723,5.484629,6.795259,8.854099,1.47217
0.048,6.526924,0.000000,0,0,-1.605283,6.596592,15.676066,7.111286,10.803451,0.000000,0,0,14.412158,5.479316,6.794308,8.952715,1.47214
0.049,6.519826,0.000000,0,0,-1.733949,6.594973,15.724596,7.112044,10.793357,0.000000,0,0,14.401594,5.474002,6.793355,9.051331,1.47192
0.050,6.512938,0.000000,0,0,-1.847731,6.593056,15.770294,7.112303,10.783342,0.000000,0,0,14.391233,5.471879,6.788812,9.148618,1.47049
0.051,6.506122,0.000000,0,0,-1.952543,6.590959,15.814284,7.112261,10.773376,0.000000,0,0,14.380996,5.471679,6.782104,9.245105,1.47232
0.052,6.499545,0.000000,0,0,-2.057355,6.588862,15.858275,7.112220,10.763409,0.000000,0,0,14.370758,5.471478,6.775396,9.341591,1.47122
0.053,6.493051,0.000000,0,0,-2.162168,6.586765,15.902267,7.112178,10.753442,0.000000,0,0,14.360520,5.471277,6.768689,9.438078,1.47250
0.054,6.486819,0.000000,0,0,-2.251015,6.584426,15.943587,7.111460,10.743499,0.000000,0,0,14.350122,5.471723,6.768742,9.532858,1.47433
0.055,6.480680,0.000000,0,0,-2.330242,6.581940,15.983299,7.110335,10.733572,0.000000,0,0,14.339627,5.472559,6.772869,9.626609,1.47009
0.056,6.474834,0.000000,0,0,-2.409469,6.579454,16.023010,7.109210,10.723644,0.000000,0,0,14.329132,5.473396,6.776996,9.720361,1.47153
0.057,6.469093,0.000000,0,0,-2.488696,6.576968,16.062723,7.108084,10.713717,0.000000,0,0,14.318637,5.474232,6.781124,9.814112,1.47095
0.058,6.463676,0.000000,0,0,-2.552405,6.574347,16.099701,7.109064,10.703827,0.000000,0,0,14.308200,5.475975,6.779257,9.843141,1.47174
0.059,6.458373,0.000000,0,0,-2.606765,6.571644,16.135035,7.111312,10.693960,0.000000,0,0,14.297797,5.478263,6.773779,9.833171,1.47107
0.060,6.453396,0.000000,0,0,-2.661124,6.568942,16.170368,7.113560,10.684093,0.000000,0,0,14.287395,5.480552,6.768301,9.823200,1.47110
0.061,6.448535,0.000000,0,0,-2.715484,6.566239,16.205702,7.115808,10.674226,0.000000,0,0,14.276992,5.482840,6.762823,9.813231,1.47144
0.062,6.444008,0.000000,0,0,-2.752556,6.563383,16.238871,7.115206,10.664412,0.000000,0,0,14.266572,5.483609,6.755567,9.825744,1.47150
0.063,6.439599,0.000000,0,0,-2.779212,6.560434,16.270735,7.112886,10.654631,0.000000,0,0,14.256140,5.483462,6.747238,9.851804,1.47311
0.064,6.435596,0.000000,0,0,-2.805867,6.557486,16.302601,7.110567,10.644850,0.000000,0,0,14.245708,5.483315,6.738910,9.877865,1.47101
0.065,6.431735,0.000000,0,0,-2.832523,6.554537,16.334465,7.108247,10.635068,0.000000,0,0,14.235277,5.483168,6.730582,9.903925,1.47192
0.066,6.428357,0.000000,0,0,-2.840912,6.551590,16.364618,7.107535,10.625681,0.000000,0,0,14.224946,5.484531,6.722677,9.929571,1.47058
0.067,6.425150,0.000000,0,0,-2.838295,6.548644,16.393738,7.107792,10.616532,0.000000,0,0,14.214677,5.486804,6.715027,9.954968,1.47134
0.068,6.422439,0.000000,0,0,-2.835677,6.545697,16.422857,7.108048,10.607383,0.000000,0,0,14.204407,5.489077,6.707376,9.980365,1.47229
0.069,6.419902,0.000000,0,0,-2.833059,6.542750,16.451977,7.108305,10.598233,0.000000,0,0,14.194137,5.491350,6.699726,10.005762,1.47226
0.070,6.417862,0.000000,0,0,-2.811233,6.539823,16.479513,7.108491,10.589405,0.000000,0,0,14.183769,5.490325,6.694299,10.030715,1.47235
0.071,6.415998,0.000000,0,0,-2.777832,6.536907,16.506098,7.108635,10.580771,0.000000,0,0,14.173344,5.487313,6.690213,10.055401,1.47110
0.072,6.414657,0.000000,0,0,-2.744431,6.533991,16.532682,7.108780,10.572137,0.000000,0,0,14.162918,5.484301,6.686126,10.080087,1.47165
0.073,6.413501,0.000000,0,0,-2.711030,6.531075,16.559265,7.108924,10.563502,0.000000,0,0,14.152493,5.481288,6.682039,10.104773,1.47305
0.074,6.412887,0.000000,0,0,-2.660551,6.528293,16.584433,7.108208,10.555062,0.000000,0,0,14.142147,5.480549,6.684732,10.129068,1.47141
0.075,6.412462,0.000000,0,0,-2.599782,6.525590,16.608747,7.106974,10.546740,0.000000,0,0,14.131850,5.481181,6.691510,10.153129,1.47153
0.076,6.412508,0.000000,0,0,-2.539012,6.522888,16.633060,7.105740,10.538417,0.000000,0,0,14.121552,5.481812,6.698288,10.177190,1.47247
0.077,6.412717,0.000000,0,0,-2.478243,6.520185,16.657375,7.104505,10.530093,0.000000,0,0,14.111256,5.482443,6.705067,10.201250,1.47153
0.078,6.413311,0.000000,0,0,-2.406473,6.517676,16.679613,7.104714,10.521986,0.000000,0,0,14.101204,5.482068,6.780873,10.225129,1.47400
0.079,6.414038,0.000000,0,0,-2.328076,6.515283,16.700600,7.105794,10.514008,0.000000,0,0,14.091301,5.481087,6.898274,10.248899,1.46851
0.080,6.415130,0.000000,0,0,-2.249678,6.512890,16.721588,7.106873,10.506030,0.000000,0,0,14.081398,5.480106,7.015675,10.272670,1.46982
0.081,6.416350,0.000000,0,0,-2.171281,6.510497,16.742575,7.107953,10.498052,0.000000,0,0,14.071494,5.479125,7.133076,10.296440,1.47226
0.082,6.417906,0.000000,0,0,-2.088323,6.508412,16.761593,7.108302,10.490454,0.000000,0,0,14.061585,5.479655,7.178556,10.319934,1.47345
0.083,6.419581,0.000000,0,0,-2.002616,6.506513,16.779423,7.108211,10.483085,0.000000,0,0,14.051672,5.481096,7.180701,10.343261,1.47211
0.084,6.421440,0.000000,0,0,-1.916910,6.504614,16.797255,7.108119,10.475715,0.000000,0,0,14.041759,5.482537,7.182845,10.366588,1.47198
