"Time","v2 R COP","49 RDS cle","47 R marks","46 sw offset","45 sw onset","44 miry (cm)","43 mirx (cm)","42a CoMy (cm)","42 CoMy (cm)","41 CoMx (cm)","39a FRx (cm)","v1 xCoM","39 FRx (cm)","35a HRx (cm)","35 HRx (cm)","v3 L COP","37a FLx (cm)","50 LDS cle","48 L marks","37 FLx (cm)","33 HLx (cm)","40 FRy (cm)","38 FLy (cm)","36 HRy (cm)","34 HLy (cm)","33a HLx (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24a toex (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","4 GM","5 Ip","6 BF","7 VL","8 St","9 TA","10 Gs","11 Gr","3 Platform","2 Trdml","1 Synch"
0.000,0.000000,0,0,0,0,7.232425,0.482810,-0.187364,6.634748,14.423188,14.284433,6.626738,17.626713,-11.344423,12.826564,0.000000,-10.375822,0,0,16.974237,11.144283,5.418826,7.276423,5.385122,7.191471,-9.245534,150.602356,0,44.676804,65.486656,52.113140,8.619454,18.455664,8.205997,-9.046885,13.184847,8.332799,12.473420,8.762173,11.952628,8.915447,13.645697,10.131683,12.952353,9.993923,13.908320,0,0.00097,0.00066,0.00080,0.00140,0.00061,0.00065,0.00083,0.00068,1.23656,0.12137,3.27732
0.001,0.000000,0,0,0,0,7.230775,0.483187,-0.233237,6.634524,14.418512,13.022325,6.624553,17.639929,-11.378229,12.815131,0.000000,-10.426268,0,0,16.964077,11.135957,5.416497,7.276321,5.383841,7.190542,-8.962720,150.544556,0,44.630009,65.538086,52.333344,8.580642,18.454470,8.203590,-9.065207,13.177869,8.331026,12.462223,8.762069,11.940311,8.912522,13.633632,10.130530,12.943410,9.993819,13.900772,0,0.00103,0.00068,0.00078,0.00138,0.00062,0.00065,0.00082,0.00067,1.22404,0.12022,3.27769
0.002,0.000000,0,0,0,0,7.229125,0.483563,-0.279110,6.634300,14.413836,11.760217,6.622269,17.653145,-11.412035,12.803698,0.000000,-10.476713,0,0,16.953918,11.127630,5.414168,7.276220,5.382558,7.189613,-8.679906,150.486755,0,44.583210,65.589516,52.553551,8.541829,18.453274,8.201184,-9.083529,13.170891,8.329253,12.451026,8.761965,11.927995,8.909598,13.621567,10.129377,12.934466,9.993716,13.893224,0,0.00105,0.00068,0.00081,0.00137,0.00064,0.00075,0.00083,0.00067,1.20569,0.12067,3.27754
0.003,0.000000,0,0,0,0,7.228089,0.484069,-0.323226,6.633991,14.409864,10.519697,6.619982,17.664745,-11.442922,12.792235,0.000000,-10.531536,0,0,16.943621,11.119544,5.411361,7.276103,5.381306,7.188603,-8.419637,150.373413,0,44.589661,65.651260,52.769878,8.499671,18.441910,8.198399,-9.116028,13.162861,8.327016,12.439303,8.761643,11.915908,8.906367,13.609734,10.128064,12.926044,9.993180,13.886071,0,0.00103,0.00070,0.00077,0.00135,0.00065,0.00077,0.00084,0.00067,1.19321,0.11975,3.27739
0.004,0.000000,0,0,0,0,7.228573,0.484894,-0.362997,6.633469,14.407637,9.332552,6.617692,17.672354,-11.466589,12.780702,0.000000,-10.597180,0,0,16.932987,11.112049,5.407371,7.275947,5.380126,7.187391,-8.215103,150.122757,0,44.727737,65.738518,52.976627,8.449241,18.405409,8.194677,-9.183575,13.152233,8.323631,12.426282,8.760785,11.904387,8.902380,13.598470,10.126357,12.918911,9.991572,13.879898,0,0.00104,0.00067,0.00076,0.00128,0.00064,0.00085,0.00082,0.00066,1.17605,0.11811,3.27723
0.005,0.000000,0,0,0,0,7.229057,0.485718,-0.402769,6.632946,14.405409,8.145406,6.615434,17.679962,-11.490257,12.769168,0.000000,-10.662825,0,0,16.922354,11.104554,5.403381,7.275791,5.378946,7.186179,-8.010571,149.872101,0,44.865818,65.825775,53.183376,8.398811,18.368906,8.190955,-9.251122,13.141605,8.320246,12.413260,8.759927,11.892866,8.898393,13.587207,10.124650,12.911778,9.989964,13.873725,0,0.00108,0.00066,0.00076,0.00125,0.00064,0.00089,0.00080,0.00067,1.16016,0.11132,3.27715
0.006,0.000000,0,0,0,0,7.229541,0.486542,-0.442540,6.632424,14.403180,6.958261,6.613225,17.687571,-11.513926,12.757634,0.000000,-10.728470,0,0,16.911720,11.097059,5.399392,7.275635,5.377766,7.184967,-7.806037,149.621445,0,45.003895,65.913040,53.390125,8.348381,18.332403,8.187234,-9.318668,13.130978,8.316861,12.400239,8.759069,11.881346,8.894405,13.575944,10.122943,12.904645,9.988357,13.867553,0,0.00106,0.00067,0.00074,0.00125,0.00062,0.00089,0.00080,0.00069,1.14565,0.10562,3.27723
0.007,0.000000,0,0,0,0,7.229864,0.486767,-0.480358,6.631886,14.401558,5.820199,6.611070,17.693853,-11.536633,12.746101,0.000000,-10.795430,0,0,16.900984,11.089653,5.395117,7.275406,5.376556,7.183773,-7.630245,149.442276,0,45.132195,65.950905,53.585907,8.308202,18.305477,8.183535,-9.417094,13.120208,8.314313,12.387719,8.758672,11.870734,8.890629,13.565600,10.120960,12.897557,9.986973,13.861555,0,0.00108,0.00073,0.00075,0.00123,0.00062,0.00094,0.00079,0.00069,1.11249,0.09798,3.27745
0.008,0.000000,0,0,0,0,7.229792,0.485509,-0.513349,6.631309,14.401432,4.803482,6.608994,17.696859,-11.556962,12.734572,0.000000,-10.865644,0,0,16.889996,11.082463,5.390137,7.274995,5.375273,7.182625,-7.525510,149.439850,0,45.236313,65.866676,53.754574,8.293364,18.302223,8.179891,-9.591858,13.109088,8.313831,12.376441,8.759415,11.862369,8.887373,13.557530,10.118297,12.890581,9.986140,13.855991,0,0.00127,0.00078,0.00078,0.00125,0.00062,0.00102,0.00080,0.00070,1.09573,0.08628,3.27798
0.009,0.000000,0,0,0,0,7.229720,0.484251,-0.546341,6.630731,14.401307,3.786766,6.606968,17.699863,-11.577292,12.723043,0.000000,-10.935859,0,0,16.879007,11.075274,5.385157,7.274585,5.373990,7.181478,-7.420774,149.437408,0,45.340431,65.782448,53.923241,8.278524,18.298971,8.176248,-9.766622,13.097967,8.313350,12.365164,8.760157,11.854004,8.884117,13.549459,10.115632,12.883605,9.985308,13.850428,0,0.00134,0.00082,0.00080,0.00116,0.00062,0.00105,0.00079,0.00070,1.07776,0.08037,3.27825
