"Time","v1 xCoM","v2 R COP","49 RDS cle","47 R marks","42a CoMy (cm)","42 CoMy (cm)","39 FRx (cm)","38 FLy (cm)","35 HRx (cm)","v3 L COP","50 LDS cle","48 L marks","37 FLx (cm)","36 HRy (cm)","34 HLy (cm)","33 HLx (cm)","3 Platform"
0.000,6.626738,0.000000,0,0,-0.187364,6.634748,17.626713,7.282114,12.826564,0.000000,0,0,16.974237,5.394658,7.203388,11.144283,1.23656
0.001,6.624553,0.000000,0,0,-0.233237,6.634524,17.639929,7.281177,12.815131,0.000000,0,0,16.964077,5.394121,7.199983,11.135957,1.22404
0.002,6.622269,0.000000,0,0,-0.279110,6.634300,17.653145,7.280240,12.803698,0.000000,0,0,16.953918,5.393583,7.196579,11.127630,1.20569
0.003,6.619982,0.000000,0,0,-0.323226,6.633991,17.664745,7.279737,12.792235,0.000000,0,0,16.943621,5.393219,7.192866,11.119544,1.19321
0.004,6.617692,0.000000,0,0,-0.362997,6.633469,17.672354,7.280308,12.780702,0.000000,0,0,16.932987,5.393280,7.188392,11.112049,1.17605
0.005,6.615434,0.000000,0,0,-0.402769,6.632946,17.679962,7.280879,12.769168,0.000000,0,0,16.922354,5.393341,7.183918,11.104554,1.16016
0.006,6.613225,0.000000,0,0,-0.442540,6.632424,17.687571,7.281450,12.757634,0.000000,0,0,16.911720,5.393403,7.179443,11.097059,1.14565
0.007,6.611070,0.000000,0,0,-0.480358,6.631886,17.693853,7.281826,12.746101,0.000000,0,0,16.900984,5.393373,7.176524,11.089653,1.11249
0.008,6.608994,0.000000,0,0,-0.513349,6.631309,17.696859,7.281721,12.734572,0.000000,0,0,16.889996,5.393122,7.177450,11.082463,1.09573
0.009,6.606968,0.000000,0,0,-0.546341,6.630731,17.699863,7.281615,12.723043,0.000000,0,0,16.879007,5.392871,7.178375,11.075274,1.07776
0.010,6.605017,0.000000,0,0,-0.579332,6.630153,17.702869,7.281510,12.711514,0.000000,0,0,16.868019,5.392620,7.179301,11.068085,1.06119
0.011,6.603107,0.000000,0,0,-0.610578,6.629559,17.704887,7.281399,12.699965,0.000000,0,0,16.856943,5.390997,7.180441,11.060987,1.04304
0.012,6.601257,0.000000,0,0,-0.637509,6.628924,17.704466,7.281275,12.688371,0.000000,0,0,16.845648,5.385983,7.182113,11.054120,1.02386
0.013,6.599442,0.000000,0,0,-0.664440,6.628288,17.704042,7.281151,12.676776,0.000000,0,0,16.834354,5.380969,7.183785,11.047253,1.00489
0.014,6.597679,0.000000,0,0,-0.691372,6.627653,17.703621,7.281027,12.665181,0.000000,0,0,16.823059,5.375955,7.185457,11.040385,0.96664
0.015,6.595940,0.000000,0,0,-0.717276,6.626997,17.702406,7.281209,12.653518,0.000000,0,0,16.811728,5.372127,7.187006,11.033447,0.94733
0.016,6.594237,0.000000,0,0,-0.740641,6.626289,17.699232,7.282151,12.641685,0.000000,0,0,16.800301,5.371232,7.188253,11.026334,0.92563
0.017,6.592522,0.000000,0,0,-0.764006,6.625581,17.696058,7.283092,12.629853,0.000000,0,0,16.788874,5.370337,7.189499,11.019220,0.90454
0.018,6.590788,0.000000,0,0,-0.787371,6.624873,17.692886,7.284033,12.618022,0.000000,0,0,16.777447,5.369442,7.190746,11.012107,0.88681
0.019,6.589013,0.000000,0,0,-0.810238,6.624106,17.689106,7.284649,12.606196,0.000000,0,0,16.765985,5.367840,7.190926,11.004972,0.86491
0.020,6.587174,0.000000,0,0,-0.831875,6.623195,17.683825,7.284461,12.594389,0.000000,0,0,16.754442,5.364489,7.188468,10.997788,0.84413
0.021,6.585329,0.000000,0,0,-0.853511,6.622284,17.678543,7.284274,12.582582,0.000000,0,0,16.742899,5.361138,7.186011,10.990604,0.80248
0.022,6.583472,0.000000,0,0,-0.875148,6.621373,17.673262,7.284086,12.570773,0.000000,0,0,16.731356,5.357787,7.183553,10.983420,0.77917
0.023,6.581656,0.000000,0,0,-0.895156,6.620437,17.667364,7.283100,12.558867,0.000000,0,0,16.719753,5.354536,7.180217,10.976227,0.75825
0.024,6.579900,0.000000,0,0,-0.911137,6.619440,17.659937,7.280142,12.546720,0.000000,0,0,16.708006,5.351532,7.174709,10.969008,0.73198
0.025,6.578192,0.000000,0,0,-0.927119,6.618443,17.652512,7.277184,12.534571,0.000000,0,0,16.696257,5.348529,7.169200,10.961791,0.71165
0.026,6.576556,0.000000,0,0,-0.943100,6.617446,17.645086,7.274225,12.522423,0.000000,0,0,16.684509,5.345526,7.163692,10.954573,0.68994
0.027,6.574964,0.000000,0,0,-0.958121,6.616463,17.637180,7.271329,12.510304,0.000000,0,0,16.672760,5.342414,7.158038,10.947263,0.66483
0.028,6.573436,0.000000,0,0,-0.970767,6.615515,17.628086,7.268586,12.498261,0.000000,0,0,16.661009,5.339035,7.152024,10.939726,0.62032
