"Time","40 FRy (cm)","38 FLy (cm)","36 HRy (cm)","34 HLy (cm)","47 RDS cle","45 R marks","42a CoMy (cm)","v2 R COP","v3 L COP","48 LDS cle","46 L marks","42 CoMy (cm)","v1 xCoM","3 Platform"
0.000,4.533491,6.087149,4.130219,6.006341,1,0,5.542337,0.000000,0.000000,1,0,4.566424,4.813549,0.00015
0.001,4.475941,6.103342,4.108523,6.021077,1,0,5.467730,0.000000,0.000000,1,0,4.571927,4.816262,0.00030
0.002,4.418391,6.119536,4.086828,6.035813,1,0,5.393122,0.000000,0.000000,1,0,4.577431,4.818394,0.00015
0.003,4.360841,6.135730,4.065132,6.050550,1,0,5.318514,0.000000,0.000000,1,0,4.582934,4.820143,0.00015
0.004,4.303411,6.151847,4.043456,6.065450,1,0,5.223792,0.000000,0.000000,1,0,4.588316,4.821314,0.00001
0.005,4.246105,6.167888,4.021800,6.080517,1,0,5.108631,0.000000,0.000000,1,0,4.593576,4.822102,-0.00015
0.006,4.188798,6.183928,4.000144,6.095584,1,0,4.993470,0.000000,0.000000,1,0,4.598836,4.822173,0.00000
0.007,4.131492,6.199969,3.978488,6.110651,1,0,4.878308,0.000000,0.000000,1,0,4.604096,4.821771,0.00000
0.008,4.104609,6.215806,3.956865,6.125722,1,0,4.739246,0.000000,0.000000,1,0,4.609100,4.820517,0.00015
0.009,4.108642,6.231437,3.935276,6.140797,1,0,4.575897,0.000000,0.000000,1,0,4.613843,4.818700,0.00015
0.010,4.112674,6.247067,3.913687,6.155872,1,0,4.412548,0.000000,0.000000,1,0,4.618587,4.816103,0.00000
0.011,4.116706,6.262698,3.892097,6.170947,1,0,4.249199,0.000000,0.000000,1,0,4.623330,4.812988,0.00030
0.012,4.120694,6.278201,3.870669,6.186061,1,0,4.066947,0.000000,0.000000,1,0,4.627766,4.809201,-0.00030
0.013,4.124638,6.293574,3.849404,6.201217,1,0,3.865485,0.000000,0.000000,1,0,4.631890,4.804969,-0.00000
0.014,4.128582,6.308948,3.828139,6.216372,1,0,3.664024,0.000000,0.000000,1,0,4.636014,4.800064,-0.00015
0.015,4.132526,6.324321,3.806874,6.231527,1,0,3.462563,0.000000,0.000000,1,0,4.640138,4.794712,0.00001
0.016,4.135842,6.339455,3.785728,6.246365,1,0,3.253752,0.000000,0.000000,1,0,4.643586,4.788696,0.00030
0.017,4.138519,6.354344,3.764704,6.260880,1,0,3.037471,0.000000,0.000000,1,0,4.646347,4.782240,-0.00015
0.018,4.141196,6.369235,3.743680,6.275396,1,0,2.821191,0.000000,0.000000,1,0,4.649107,4.775329,-0.00000
0.019,4.143873,6.384124,3.722656,6.289912,1,0,2.604910,0.000000,0.000000,1,0,4.651869,4.768115,0.00015
0.020,4.145945,6.398779,3.710544,6.303893,1,0,2.390293,0.000000,0.000000,1,0,4.654181,4.760688,0.00015
0.021,4.147404,6.413197,3.707487,6.317331,1,0,2.177365,0.000000,0.000000,1,0,4.656036,4.753121,0.00015
0.022,4.148862,6.427614,3.704431,6.330769,1,0,1.964437,0.000000,0.000000,1,0,4.657892,4.745484,-0.00015
0.023,4.150321,6.442031,3.701374,6.344207,1,0,1.751510,0.000000,0.000000,1,0,4.659747,4.737802,0.00000
0.024,4.150552,6.456208,3.697884,6.357242,1,0,1.546377,0.000000,0.000000,1,0,4.661287,4.730151,0.00015
0.025,4.149537,6.470141,3.693953,6.369868,1,0,1.349165,0.000000,0.000000,1,0,4.662508,4.722520,-0.00015
0.026,4.148521,6.484074,3.690022,6.382494,1,0,1.151953,0.000000,0.000000,1,0,4.663727,4.714960,-0.00029
0.027,4.147505,6.498007,3.686091,6.395121,1,0,0.954741,0.000000,0.000000,1,0,4.664948,4.707447,0.00000
0.028,4.145001,6.511629,3.681617,6.407306,1,0,0.764604,0.000000,0.000000,1,0,4.665895,4.699997,-0.00030
0.029,4.140984,6.524935,3.676591,6.419043,1,0,0.581655,0.000000,0.000000,1,0,4.666565,4.692589,0.00000
0.030,4.136966,6.538242,3.671566,6.430780,1,0,0.398706,0.000000,0.000000,1,0,4.667235,4.685103,0.00015
0.031,4.132948,6.551548,3.666540,6.442517,1,0,0.215757,0.000000,0.000000,1,0,4.667905,4.677565,0.00014
0.032,4.127963,6.564507,3.661042,6.453814,1,0,0.042516,0.000000,0.000000,1,0,4.668004,4.669846,0.00014
0.033,4.121992,6.577113,3.655062,6.464663,1,0,-0.120860,0.000000,0.000000,1,0,4.667521,4.662007,0.00015
0.034,4.116022,6.589720,3.649083,6.475511,1,0,-0.284237,0.000000,0.000000,1,0,4.667039,4.654252,-0.00016
0.035,4.110051,6.602326,3.643104,6.486360,1,0,-0.447613,0.000000,0.000000,1,0,4.666556,4.646553,0.00015
0.036,4.122139,6.614454,3.635578,6.494261,1,0,-0.594445,0.000000,0.000000,1,0,4.665860,4.639243,-0.00000
0.037,4.152577,6.626094,3.626480,6.499167,1,0,-0.724465,0.000000,0.000000,1,0,4.664947,4.632190,-0.00015
0.038,4.183014,6.637735,3.617383,6.504073,1,0,-0.854485,0.000000,0.000000,1,0,4.664033,4.625515,-0.00000
0.039,4.213452,6.649376,3.608285,6.508979,1,0,-0.984505,0.000000,0.000000,1,0,4.663120,4.619090,-0.00000
0.040,4.243560,6.660435,3.599099,6.513080,1,0,-1.092601,0.000000,0.000000,1,0,4.661891,4.612994,0.00045
0.041,4.273333,6.670902,3.589823,6.516361,1,0,-1.178419,0.000000,0.000000,1,0,4.660342,4.607116,-0.00015
0.042,4.303106,6.681368,3.580546,6.519643,1,0,-1.264238,0.000000,0.000000,1,0,4.658792,4.601788,-0.00015
0.043,4.332879,6.691835,3.571270,6.522924,1,0,-1.350056,0.000000,0.000000,1,0,4.657243,4.596823,-0.00015
0.044,4.362611,6.701999,3.567066,6.525262,1,0,-1.409440,0.000000,0.000000,1,0,4.655653,4.592633,0.00000
0.045,4.392303,6.711856,3.568017,6.526641,1,0,-1.441965,0.000000,0.000000,1,0,4.654018,4.588954,0.00001
0.046,4.421994,6.721712,3.568967,6.528021,1,0,-1.474489,0.000000,0.000000,1,0,4.652385,4.585925,0.00000
0.047,4.451685,6.731568,3.569918,6.529400,1,0,-1.507013,0.000000,0.000000,1,0,4.650751,4.583324,-0.00015
0.048,4.491361,6.741334,3.570964,6.529789,1,0,-1.520015,0.000000,0.000000,1,0,4.649109,4.581194,0.00000
0.049,4.541181,6.751008,3.572106,6.529174,1,0,-1.513181,0.000000,0.000000,1,0,4.647459,4.579375,0.00016
0.050,4.591002,6.760681,3.573249,6.528558,1,0,-1.506346,0.000000,0.000000,1,0,4.645808,4.578071,0.00000
0.051,4.640822,6.770354,3.574391,6.527942,1,0,-1.499511,0.000000,0.000000,1,0,4.644158,4.577107,0.00000
0.052,4.690848,6.779583,3.575476,6.526294,1,0,-1.472225,0.000000,0.000000,1,0,4.642552,4.576747,-0.00000
0.053,4.741083,6.788362,3.576502,6.523597,1,0,-1.424156,0.000000,0.000000,1,0,4.640991,4.576786,0.00016
0.054,4.791319,6.797141,3.577528,6.520900,1,0,-1.376087,0.000000,0.000000,1,0,4.639430,4.577415,0.00014
0.055,4.841554,6.805919,3.578554,6.518203,1,0,-1.328019,0.000000,0.000000,1,0,4.637869,4.578433,0.00000
0.056,4.891767,6.811923,3.579583,6.514212,1,0,-1.262974,0.000000,0.000000,1,0,4.636440,4.579996,-0.00031
0.057,4.941955,6.815107,3.580615,6.508904,1,0,-1.180680,0.000000,0.000000,1,0,4.635145,4.581918,-0.00016
0.058,4.992144,6.818292,3.581646,6.503597,1,0,-1.098386,0.000000,0.000000,1,0,4.633850,4.584329,0.00015
0.059,5.042333,6.821477,3.582679,6.498290,1,0,-1.016092,0.000000,0.000000,1,0,4.632555,4.587064,-0.00015
0.060,5.061976,6.823825,3.583653,6.492532,1,0,-0.922662,0.000000,0.000000,1,0,4.631450,4.590224,0.00000
0.061,5.050583,6.825324,3.584569,6.486317,1,0,-0.817917,0.000000,0.000000,1,0,4.630538,4.593666,0.00030
0.062,5.039189,6.826822,3.585485,6.480102,1,0,-0.713171,0.000000,0.000000,1,0,4.629625,4.597447,-0.00015
0.063,5.027795,6.828321,3.586401,6.473887,1,0,-0.608426,0.000000,0.000000,1,0,4.628713,4.601454,0.00015
0.064,5.016632,6.828660,3.587310,6.468694,1,0,-0.501781,0.000000,0.000000,1,0,4.628095,4.605703,0.00030
0.065,5.005704,6.827824,3.588211,6.464540,1,0,-0.393207,0.000000,0.000000,1,0,4.627777,4.610111,0.00014
0.066,4.994775,6.826987,3.589112,6.460387,1,0,-0.284632,0.000000,0.000000,1,0,4.627458,4.614640,-0.00015
0.067,4.983847,6.826150,3.590014,6.456233,1,0,-0.176057,0.000000,0.000000,1,0,4.627140,4.619248,-0.00015
0.068,4.973911,6.824566,3.590899,6.451859,1,0,-0.076281,0.000000,0.000000,1,0,4.627146,4.623837,-0.00001
0.069,4.964983,6.822224,3.591770,6.447262,1,0,0.014554,0.000000,0.000000,1,0,4.627481,4.628412,0.00030
0.070,4.956055,6.819881,3.592640,6.442664,1,0,0.105389,0.000000,0.000000,1,0,4.627818,4.632778,0.00015
0.071,4.947127,6.817539,3.593510,6.438066,1,0,0.196224,0.000000,0.000000,1,0,4.628154,4.637006,-0.00015
0.072,4.938898,6.814370,3.594268,6.431473,1,0,0.270641,0.000000,0.000000,1,0,4.628573,4.640833,0.00015
0.073,4.931377,6.810360,3.594912,6.422851,1,0,0.328376,0.000000,0.000000,1,0,4.629077,4.644395,-0.00014
0.074,4.923857,6.806351,3.595556,6.414229,1,0,0.386110,0.000000,0.000000,1,0,4.629581,4.647428,0.00015
0.075,4.916337,6.802342,3.596200,6.405608,1,0,0.443845,0.000000,0.000000,1,0,4.630085,4.650112,-0.00015
0.076,4.908811,6.792312,3.596881,6.398691,1,0,0.477662,0.000000,0.000000,1,0,4.630638,4.652169,0.00015
0.077,4.901279,6.776164,3.597601,6.393506,1,0,0.487177,0.000000,0.000000,1,0,4.631241,4.653812,-0.00015
0.078,4.893748,6.760016,3.598320,6.388320,1,0,0.496691,0.000000,0.000000,1,0,4.631845,4.654785,-0.00015
0.079,4.886217,6.743868,3.599040,6.383135,1,0,0.506205,0.000000,0.000000,1,0,4.632448,4.655314,-0.00000
0.080,4.878784,6.727481,3.599823,6.377426,1,0,0.487029,0.000000,0.000000,1,0,4.633112,4.655128,-0.00015
0.081,4.871450,6.710851,3.600670,6.371184,1,0,0.438700,0.000000,0.000000,1,0,4.633840,4.654470,-0.00015
0.082,4.864118,6.694221,3.601517,6.364943,1,0,0.390370,0.000000,0.000000,1,0,4.634566,4.652976,0.00000
0.083,4.856784,6.677591,3.602365,6.358702,1,0,0.342041,0.000000,0.000000,1,0,4.635293,4.650930,-0.00015
0.084,4.849771,6.660802,3.603142,6.351497,1,0,0.260397,0.000000,0.000000,1,0,4.635931,4.647920,-0.00015
0.085,4.843081,6.643853,3.603849,6.343313,1,0,0.144900,0.000000,0.000000,1,0,4.636477,4.644272,0.00030
