"Time","44 miry (cm)","43 mirx (cm)","42 CoMy (cm)","41 CoMx (cm)","40 FRy (cm)","39 FRx (cm)","38 FLy (cm)","36 HRy (cm)","35 HRx (cm)","37 FLx (cm)","34 HLy (cm)","33 HLx (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,7.445699,1.225671,6.390099,12.757820,5.005952,14.374201,4.954962,5.190437,11.396295,9.044699,4.993745,7.109372,164.384995,0,21.229980,65.090866,64.294418,8.357618,15.118265,8.698119,12.265287,8.953437,11.859859,9.227101,10.942636,9.356017,12.536546,10.573776,11.846633,4.946379,7.941181,0,-0.02162,-0.01308,-0.02528,0.00369,0.00741,-0.01224,0.01103,0.00080,0.00039,0.03539,3.27736
0.001,7.445519,1.225642,6.392265,12.758151,5.005460,14.370117,4.951427,5.091247,11.405798,9.101468,4.988070,7.028155,166.831863,0,21.961626,65.416252,65.095757,8.360057,15.110956,8.703225,12.294003,8.938584,11.875594,9.204393,10.962848,9.364168,12.553641,10.572231,11.847164,4.936802,7.933833,0,-0.01770,-0.01221,-0.02198,0.00140,0.00854,-0.01340,0.00261,0.00368,0.00000,0.07805,3.27713
0.002,7.445341,1.225612,6.394433,12.758482,5.004968,14.366033,4.947891,4.992056,11.415302,9.158237,4.982394,6.946938,169.278732,0,22.693272,65.741646,65.897087,8.362495,15.103647,8.708331,12.322720,8.923731,11.891329,9.181685,10.983059,9.372318,12.570736,10.570687,11.847696,4.927225,7.926486,0,-0.01817,-0.01303,-0.01755,0.00453,0.00885,-0.01321,0.00333,0.00301,-0.00020,0.03859,3.27728
0.003,7.445162,1.225583,6.396599,12.758813,5.004476,14.361949,4.944355,4.892866,11.424807,9.215006,4.976718,6.865721,171.725601,0,23.424917,66.067039,66.698425,8.364933,15.096339,8.713437,12.351436,8.908878,11.907063,9.158978,11.003271,9.380469,12.587831,10.569142,11.848228,4.917648,7.919138,0,-0.01438,-0.01187,-0.01776,0.00266,0.00719,-0.01353,0.00589,0.00377,-0.00003,0.07956,3.27743
0.004,7.446725,1.224929,6.397682,12.759815,5.002400,14.357719,4.933053,4.882870,11.434135,9.272007,4.964274,6.784595,172.836533,0,23.559355,66.931190,67.043228,8.365186,15.091185,8.716658,12.376247,8.895348,11.924012,9.128555,11.016962,9.382615,12.595637,10.567083,11.849401,4.913014,7.915092,0,-0.01921,-0.01230,-0.01257,0.00471,0.00538,-0.01459,0.00675,0.00196,0.00007,0.03914,3.27736
0.005,7.448338,1.224258,6.398734,12.760837,5.000278,14.353485,4.921528,4.875443,11.443459,9.329016,4.951636,6.703470,173.908966,0,23.676588,67.810867,67.374878,8.365376,15.086092,8.719825,12.400946,8.881856,11.940996,9.097912,11.030466,9.384588,12.603176,10.565009,11.850595,4.908524,7.911140,0,-0.01903,-0.01414,-0.01111,0.00247,0.00835,-0.01336,0.00599,0.00248,-0.00007,0.07907,3.27728
0.006,7.449951,1.223587,6.399785,12.761857,4.998157,14.349251,4.910004,4.868016,11.452782,9.386024,4.938998,6.622346,174.981415,0,23.793819,68.690544,67.706535,8.365565,15.080999,8.722991,12.425645,8.868363,11.957980,9.067267,11.043969,9.386560,12.610715,10.562935,11.851787,4.904032,7.907189,0,-0.01888,-0.01245,-0.01945,0.00768,0.00791,-0.01236,0.00482,0.00248,-0.00015,0.03934,3.27728
0.007,7.451563,1.222915,6.400836,12.762878,4.996036,14.345016,4.898479,4.860589,11.462105,9.443031,4.926359,6.541222,176.053848,0,23.911053,69.570221,68.038185,8.365754,15.075908,8.726157,12.450344,8.854871,11.974964,9.036624,11.057473,9.388534,12.618254,10.560861,11.852980,4.899541,7.903238,0,-0.01622,-0.01282,-0.02088,-0.05955,0.00934,-0.01312,0.00800,0.00355,0.00003,0.07420,3.27728
0.008,7.451394,1.223700,6.401133,12.764093,4.995265,14.340891,4.890529,4.962404,11.471295,9.500401,4.921091,6.460461,176.125656,0,24.725636,69.873314,88.363152,8.365273,15.071770,8.729402,12.470536,8.837961,12.000270,9.012872,11.084884,9.397298,12.636939,10.556984,11.853586,6.918053,7.465533,0,-0.01784,-0.01068,-0.02654,-0.03493,0.00873,-0.01396,0.00520,0.00219,-0.00003,0.04159,3.27743
0.009,7.451172,1.224526,6.401406,12.765314,4.994533,14.336768,4.882682,5.067366,11.480482,9.557780,4.916034,6.379710,176.168625,0,25.560307,70.159798,109.264061,8.364771,15.067659,8.732648,12.490599,8.820952,12.025816,8.989318,11.112695,9.406257,12.655946,10.553055,11.854177,8.994842,7.015333,0,-0.01802,-0.01849,-0.02228,0.01165,0.00949,-0.01383,0.00361,0.00330,-0.00024,0.05236,3.27759
