"Time","v1 xCoM","47 R marks","44 miry (cm)","43 mirx (cm)","41 CoMx (cm)","40 FRy (cm)","39a FRx (cm)","m1 R marks","39 FRx (cm)","38 FLy (cm)","35a HRx (cm)","35 HRx (cm)","37a FLx (cm)","42a CoMy (cm)","42 CoMy (cm)","m2 L marks","48 L marks","37 FLx (cm)","36 HRy (cm)","34 HLy (cm)","33a HLx (cm)","33 HLx (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,,0,7.048260,0.341863,14.095403,4.328016,26.084208,0,15.135773,5.995163,-11.398417,13.872060,-10.805571,0.602128,5.371063,0,0,14.592988,3.661801,6.722014,25.146523,12.355075,164.967545,0,72.484497,60.845161,49.811192,8.223744,15.390016,7.977191,14.408806,7.966262,13.748725,8.143597,13.041632,9.676752,13.984563,9.744807,12.386015,10.638422,13.208502,0,-0.01205,-0.01483,-0.02164,0.00961,0.00850,-0.01227,0.00615,0.00342,0.00000,0.11657,3.27695
0.001,,0,7.048020,0.340837,14.105199,4.345066,26.360996,0,15.162304,5.995200,-11.386844,13.860750,-10.795831,0.964778,5.370608,0,0,14.582188,3.656441,6.740919,25.467840,12.381422,164.419250,0,72.374420,60.593788,49.902721,8.244613,15.482862,7.981334,14.395216,7.966805,13.739980,8.147463,13.031428,9.675066,13.983262,9.745426,12.384816,10.638741,13.206771,0,-0.01933,-0.01343,-0.02274,0.00183,0.00804,-0.01236,0.00455,0.00180,-0.00015,0.11484,3.27756
0.002,,0,7.047780,0.339812,14.114994,4.362115,26.637785,0,15.188836,5.995237,-11.375271,13.849440,-10.786090,1.327427,5.370152,0,0,14.571386,3.651081,6.759825,25.789160,12.407770,163.870956,0,72.264351,60.342415,49.994251,8.265481,15.575710,7.985477,14.381627,7.967348,13.731235,8.151328,13.021224,9.673379,13.981962,9.746045,12.383617,10.639060,13.205040,0,-5.00000,2.10007,-0.00673,0.01602,0.01025,-0.01035,0.02591,-0.02237,0.00160,0.11139,3.27854
0.003,,0,7.047540,0.338787,14.124790,4.379164,26.914574,0,15.215367,5.995274,-11.363698,13.838129,-10.776350,1.690077,5.369697,0,0,14.560585,3.645721,6.778730,26.110477,12.434118,163.322662,0,72.154282,60.091042,50.085781,8.286350,15.668558,7.989621,14.368038,7.967891,13.722489,8.155193,13.011020,9.671693,13.980661,9.746664,12.382419,10.639379,13.203310,0,4.99985,-5.00000,-0.02254,0.00153,0.00989,-0.01425,0.00391,0.00739,0.00092,0.11258,3.27953
0.004,,0,7.046715,0.336349,14.113383,4.395145,27.175158,0,15.242844,5.992593,-11.360330,13.826825,-10.760524,2.180030,5.369989,0,0,14.549761,3.645256,6.801047,25.957518,12.460197,163.321594,0,71.746078,59.823074,50.419678,8.310492,15.735916,7.989461,14.356429,7.968515,13.709699,8.156857,12.997997,9.664993,13.980261,9.745933,12.382344,10.638666,13.199833,0,1.10919,-0.72836,-0.01891,0.00336,0.01004,-0.01096,0.00519,0.00134,0.00038,0.11760,3.27847
0.005,,0,7.045855,0.333828,14.100718,4.411063,27.434780,0,15.270375,5.989752,-11.357450,13.815520,-10.744336,2.677535,5.370326,0,0,14.538936,3.645082,6.823567,25.776424,12.486260,163.352982,0,71.320190,59.554127,50.767952,8.334827,15.801763,7.989047,14.344937,7.969144,13.696669,8.158392,12.984808,9.657996,13.979914,9.745121,12.382336,10.637893,13.196252,0,-0.69673,1.62540,-0.01991,0.00549,0.00871,-0.01093,0.00636,0.00214,0.00000,0.11675,3.27733
0.006,,0,7.044995,0.331306,14.088054,4.426981,27.694403,0,15.297907,5.986911,-11.354568,13.804216,-10.728148,3.175040,5.370663,0,0,14.528111,3.644907,6.846087,25.595329,12.512323,163.384369,0,70.894295,59.285175,51.116226,8.359163,15.867609,7.988632,14.333447,7.969772,13.683638,8.159925,12.971619,9.651000,13.979567,9.744309,12.382327,10.637119,13.192671,0,-1.56828,0.68182,-0.02170,0.00427,0.00896,-0.01230,0.00562,0.00311,0.00015,0.11331,3.27721
0.007,,0,7.044136,0.328785,14.075390,4.442899,27.954025,0,15.325438,5.984070,-11.351687,13.792912,-10.711961,3.672545,5.370999,0,0,14.517285,3.644733,6.868608,25.414236,12.538386,163.415756,0,70.468407,59.016224,51.464497,8.383499,15.933455,7.988217,14.321955,7.970401,13.670608,8.161460,12.958428,9.644003,13.979218,9.743498,12.382318,10.636346,13.189090,0,-0.47818,-0.02353,-0.02127,0.00122,0.00981,-0.01227,0.00449,0.00348,0.00008,0.11119,3.27713
0.008,,0,7.042945,0.328313,14.078103,4.457511,28.197706,0,15.353731,5.983246,-11.350762,13.781578,-10.691806,4.152950,5.371442,0,0,14.506590,3.649541,6.877447,25.126549,12.564225,163.706787,0,69.725883,58.902477,52.003468,8.409842,15.973351,7.988029,14.310175,7.971785,13.655860,8.161082,12.942868,9.632739,13.978822,9.745609,12.382981,10.635964,13.185867,0,0.01961,-0.04044,-0.01982,0.00443,0.00896,-0.01251,0.00609,0.00223,-0.00008,0.11314,3.27735
0.009,,0,7.041735,0.327963,14.081728,4.472045,28.440441,0,15.382069,5.982542,-11.349953,13.770242,-10.671416,4.632340,5.371890,0,0,14.495903,3.654644,6.885474,24.832541,12.590052,164.013229,0,68.964577,58.797935,52.553749,8.436305,16.011709,7.987854,14.298379,7.973213,13.641011,8.160591,12.927166,9.621222,13.978421,9.747893,12.383684,10.635607,13.182666,0,0.02100,-0.03552,-0.02277,0.00336,0.00914,-0.01172,0.00630,0.00467,0.00000,0.11470,3.27758
