"Time","17 Hipy (cm)","25 toey (cm)"
0.000,9.643801,8.025414
0.001,9.647007,8.027110
0.002,9.651915,8.028596
0.003,9.656821,8.030081
0.004,9.661729,8.031567
0.005,9.665381,8.031387
0.006,9.667423,8.029073
0.007,9.669465,8.026759
0.008,9.671507,8.024445
0.009,9.676407,8.020007
0.010,9.684976,8.012844
0.011,9.693544,8.005682
0.012,9.702113,7.998520
0.013,9.709417,7.994166
0.014,9.715097,7.993415
0.015,9.720778,7.992665
0.016,9.726459,7.991914
0.017,9.731928,7.991903
0.018,9.737127,7.992842
0.019,9.742327,7.993780
0.020,9.747526,7.994718
0.021,9.752608,7.996151
0.022,9.757542,7.998220
0.023,9.762474,8.000288
0.024,9.767406,8.002357
0.025,9.772933,8.004383
0.026,9.779220,8.006357
0.027,9.785507,8.008330
0.028,9.791795,8.010304
0.029,9.797973,8.013126
0.030,9.804011,8.017037
0.031,9.810050,8.020948
0.032,9.816089,8.024859
0.033,9.822415,8.027729
0.034,9.829110,8.029261
0.035,9.835805,8.030793
0.036,9.842500,8.032325
0.037,9.847390,8.033767
0.038,9.849965,8.035091
0.039,9.852540,8.036417
0.040,9.855115,8.037743
0.041,9.858475,8.041717
0.042,9.862841,8.049088
0.043,9.867207,8.056459
0.044,9.871572,8.063831
0.045,9.876731,8.069967
0.046,9.882908,8.074518
0.047,9.889086,8.079070
0.048,9.895263,8.083621
0.049,9.900608,8.091360
0.050,9.904887,8.103189
0.051,9.909165,8.115017
0.052,9.913445,8.126845
0.053,9.917733,8.126607
0.054,9.922036,8.110884
0.055,9.926338,8.095160
0.056,9.930641,8.079438
0.057,9.935383,8.070071
0.058,9.940689,8.068859
0.059,9.945996,8.067648
0.060,9.951303,8.066437
0.061,9.957884,8.064944
0.062,9.966102,8.063091
0.063,9.974319,8.061239
0.064,9.982537,8.059386
0.065,9.988064,8.070684
0.066,9.990135,8.098858
0.067,9.992208,8.127031
0.068,9.994280,8.155205
0.069,10.000348,8.162173
0.070,10.011545,8.141936
0.071,10.022741,8.121698
0.072,10.033938,8.101460
0.073,10.043615,8.111957
0.074,10.051343,8.161888
0.075,10.059072,8.211819
0.076,10.066799,8.261750
0.077,10.073857,8.303054
0.078,10.080056,8.333289
0.079,10.086254,8.363524
0.080,10.092453,8.393760
0.081,10.100178,8.411886
0.082,10.109859,8.414475
0.083,10.119542,8.417065
0.084,10.129224,8.419654
0.085,10.143608,8.420387
0.086,10.164024,8.418740
0.087,10.184441,8.417092
0.088,10.204857,8.415445
0.089,10.219847,8.418200
0.090,10.227874,8.426605
0.091,10.235901,8.435011
0.092,10.243929,8.443416
0.093,10.251331,8.450773
0.094,10.257935,8.456788
0.095,10.264537,8.462803
0.096,10.271139,8.468818
0.097,10.279171,8.475341
0.098,10.289036,8.482516
0.099,10.298901,8.489691
0.100,10.308766,8.496866
0.101,10.318218,8.500371
0.102,10.327143,8.499168
0.103,10.336066,8.497965
0.104,10.344990,8.496762
0.105,10.350867,8.494618
0.106,10.352836,8.491266
0.107,10.354805,8.487915
0.108,10.356773,8.484563
0.109,10.363196,8.472709
0.110,10.375334,8.449944
0.111,10.387471,8.427178
0.112,10.399609,8.404413
0.113,10.408354,8.368198
0.114,10.412745,8.314729
0.115,10.417136,8.261258
0.116,10.421527,8.207788
0.117,10.421646,8.160557
0.118,10.416283,8.121330
0.119,10.410919,8.082105
0.120,10.405557,8.042879
0.121,10.400460,8.019801
0.122,10.395708,8.017444
0.123,10.390956,8.015086
0.124,10.386204,8.012728
0.125,10.380898,8.012750
0.126,10.374885,8.015822
0.127,10.368870,8.018896
0.128,10.362856,8.021970
0.129,10.357273,8.024563
0.130,10.352243,8.026540
0.131,10.347215,8.028516
0.132,10.342185,8.030493
0.133,10.337825,8.032254
0.134,10.334323,8.033738
0.135,10.330822,8.035223
0.136,10.327320,8.036707
0.137,10.324254,8.037461
0.138,10.321745,8.037278
0.139,10.319237,8.037095
0.140,10.316728,8.036912
0.141,10.314404,8.038639
0.142,10.312316,8.042817
0.143,10.310228,8.046994
0.144,10.308141,8.051172
0.145,10.305035,8.054841
0.146,10.300621,8.057856
0.147,10.296206,8.060871
0.148,10.291793,8.063886
0.149,10.288534,8.066739
0.150,10.286758,8.069384
0.151,10.284983,8.072029
0.152,10.283207,8.074674
0.153,10.280741,8.077983
0.154,10.277389,8.082144
0.155,10.274036,8.086305
0.156,10.270684,8.090466
0.157,10.264067,8.094970
0.158,10.253260,8.099915
0.159,10.242453,8.104858
0.160,10.231646,8.109803
0.161,10.222697,8.113083
0.162,10.216134,8.114226
0.163,10.209571,8.115370
0.164,10.203009,8.116512
0.165,10.195223,8.117785
0.166,10.185867,8.119225
0.167,10.176513,8.120663
0.168,10.167158,8.122102
0.169,10.158617,8.122239
0.170,10.151119,8.120707
0.171,10.143622,8.119174
0.172,10.136125,8.117640
0.173,10.128905,8.115882
0.174,10.122044,8.113834
0.175,10.115182,8.111786
0.176,10.108320,8.109737
0.177,10.102379,8.107324
0.178,10.097618,8.104441
