"Time","17 Hipy (cm)","25 toey (cm)"
0.000,10.131683,8.205997
0.001,10.130530,8.203590
0.002,10.129377,8.201184
0.003,10.128064,8.198399
0.004,10.126357,8.194677
0.005,10.124650,8.190955
0.006,10.122943,8.187234
0.007,10.120960,8.183535
0.008,10.118297,8.179891
0.009,10.115632,8.176248
0.010,10.112968,8.172604
0.011,10.110398,8.170058
0.012,10.108059,8.170228
0.013,10.105721,8.170397
0.014,10.103381,8.170567
0.015,10.100480,8.170611
0.016,10.096190,8.170349
0.017,10.091900,8.170088
0.018,10.087609,8.169826
0.019,10.082856,8.168567
0.020,10.076961,8.164841
0.021,10.071064,8.161115
0.022,10.065167,8.157389
0.023,10.059683,8.152419
0.024,10.055214,8.144374
0.025,10.050745,8.136330
0.026,10.046276,8.128284
0.027,10.041543,8.121187
0.028,10.036157,8.116431
0.029,10.030769,8.111675
0.030,10.025383,8.106919
0.031,10.020108,8.101816
0.032,10.015112,8.095858
0.033,10.010116,8.089898
0.034,10.005118,8.083940
0.035,10.000523,8.078428
0.036,9.996916,8.074024
0.037,9.993309,8.069619
0.038,9.989703,8.065215
0.039,9.985744,8.060388
0.040,9.980912,8.054511
0.041,9.976081,8.048635
0.042,9.971250,8.042760
0.043,9.966821,8.038032
0.044,9.963385,8.036141
0.045,9.959949,8.034250
0.046,9.956514,8.032360
0.047,9.953716,8.029214
0.048,9.952495,8.022964
0.049,9.951273,8.016714
0.050,9.950051,8.010464
0.051,9.948513,8.004893
0.052,9.946191,8.001004
0.053,9.943870,7.997115
0.054,9.941547,7.993226
0.055,9.938664,7.989146
0.056,9.934392,7.984597
0.057,9.930120,7.980047
0.058,9.925848,7.975498
0.059,9.920816,7.970764
0.060,9.913911,7.965573
0.061,9.907004,7.960382
0.062,9.900099,7.955191
0.063,9.893430,7.950750
0.064,9.887345,7.948164
0.065,9.881261,7.945578
0.066,9.875176,7.942992
0.067,9.869176,7.940449
0.068,9.863380,7.938013
0.069,9.857585,7.935577
0.070,9.851789,7.933141
0.071,9.847550,7.931826
0.072,9.847161,7.933283
0.073,9.846771,7.934740
0.074,9.846382,7.936197
0.075,9.845922,7.937450
0.076,9.845292,7.938203
0.077,9.844661,7.938955
0.078,9.844030,7.939707
0.079,9.843210,7.941241
0.080,9.841923,7.944708
0.081,9.840635,7.948176
0.082,9.839348,7.951643
0.083,9.838463,7.954180
0.084,9.838574,7.954419
0.085,9.838685,7.954658
0.086,9.838796,7.954897
0.087,9.838323,7.955841
0.088,9.836407,7.958526
0.089,9.834490,7.961211
0.090,9.832574,7.963897
0.091,9.831211,7.965638
0.092,9.831219,7.965043
0.093,9.831226,7.964447
0.094,9.831234,7.963852
0.095,9.831453,7.963658
0.096,9.832193,7.964457
0.097,9.832934,7.965256
0.098,9.833675,7.966054
