"Time","17 Hipy (cm)","25 toey (cm)"
0.000,11.374799,9.297506
0.001,11.348460,9.253456
0.002,11.322121,9.209406
0.003,11.295334,9.165354
0.004,11.266194,9.121296
0.005,11.237055,9.077238
0.006,11.207914,9.033180
0.007,11.178450,8.989222
0.008,11.147278,8.945785
0.009,11.116106,8.902348
0.010,11.084934,8.858911
0.011,11.053474,8.815654
0.012,11.020502,8.773346
0.013,10.987530,8.731037
0.014,10.954557,8.688729
0.015,10.921641,8.647489
0.016,10.889019,8.611855
0.017,10.856397,8.576220
0.018,10.823775,8.540585
0.019,10.791326,8.506979
0.020,10.759780,8.484023
0.021,10.728234,8.461067
0.022,10.696689,8.438111
0.023,10.665204,8.416209
0.024,10.634041,8.399837
0.025,10.602879,8.383464
0.026,10.571715,8.367090
0.027,10.540819,8.351671
0.028,10.511321,8.341259
0.029,10.481823,8.330847
0.030,10.452325,8.320434
0.031,10.423326,8.311501
0.032,10.396953,8.310334
0.033,10.370578,8.309168
0.034,10.344204,8.308002
0.035,10.318478,8.307153
0.036,10.296157,8.307972
0.037,10.273835,8.308790
0.038,10.251514,8.309609
0.039,10.229836,8.310398
0.040,10.211535,8.311030
0.041,10.193234,8.311663
0.042,10.174933,8.312294
0.043,10.157171,8.312926
0.044,10.142237,8.313557
0.045,10.127301,8.314187
0.046,10.112367,8.314818
0.047,10.097877,8.315417
0.048,10.085726,8.315855
0.049,10.073574,8.316292
0.050,10.061422,8.316729
0.051,10.049706,8.317140
0.052,10.040270,8.317414
0.053,10.030834,8.317689
0.054,10.021399,8.317964
0.055,10.012273,8.318214
0.056,10.004769,8.318336
0.057,9.997266,8.318460
0.058,9.989761,8.318582
0.059,9.982540,8.318657
0.060,9.976800,8.318481
0.061,9.971060,8.318306
0.062,9.965320,8.318130
0.063,9.959896,8.317157
0.064,9.956132,8.311994
0.065,9.952368,8.306831
0.066,9.948604,8.301668
0.067,9.945081,8.296546
0.068,9.942819,8.291633
0.069,9.940557,8.286720
0.070,9.938294,8.281807
0.071,9.936226,8.277529
0.072,9.935174,8.276584
0.073,9.934121,8.275638
0.074,9.933068,8.274693
0.075,9.932151,8.273867
0.076,9.931943,8.273667
0.077,9.931736,8.273468
0.078,9.931528,8.273269
0.079,9.931402,8.273041
0.080,9.931706,8.272662
0.081,9.932012,8.272283
0.082,9.932316,8.271903
0.083,9.932663,8.271561
0.084,9.933232,8.271411
0.085,9.933802,8.271260
0.086,9.934371,8.271111
0.087,9.934993,8.270967
0.088,9.935896,8.270853
0.089,9.936798,8.270739
0.090,9.937700,8.270625
0.091,9.938670,8.270524
0.092,9.939995,8.270489
0.093,9.941319,8.270453
0.094,9.942644,8.270417
0.095,9.944061,8.270417
0.096,9.945965,8.270605
0.097,9.947868,8.270792
0.098,9.949772,8.270980
0.099,9.951771,8.271213
0.100,9.954275,8.271684
0.101,9.956779,8.272156
0.102,9.959283,8.272627
0.103,9.961841,8.273155
0.104,9.964683,8.273985
0.105,9.967525,8.274815
0.106,9.970367,8.275644
0.107,9.973196,8.276516
0.108,9.975947,8.277604
0.109,9.978699,8.278693
0.110,9.981450,8.279781
0.111,9.984240,8.280854
0.112,9.987233,8.281845
0.113,9.990227,8.282836
0.114,9.993219,8.283827
0.115,9.996283,8.284767
0.116,9.999709,8.285440
0.117,10.003136,8.286114
0.118,10.006562,8.286787
0.119,10.010064,8.287434
0.120,10.013966,8.287938
0.121,10.017866,8.288444
0.122,10.021768,8.288948
0.123,10.025702,8.289436
0.124,10.029816,8.289835
0.125,10.033929,8.290233
0.126,10.038042,8.290631
0.127,10.042157,8.291039
0.128,10.046281,8.291491
0.129,10.050404,8.291943
0.130,10.054527,8.292396
0.131,10.058620,8.292964
0.132,10.062555,8.294147
0.133,10.066490,8.295330
0.134,10.070425,8.296513
0.135,10.074231,8.297712
0.136,10.077357,8.299000
0.137,10.080483,8.300288
0.138,10.083610,8.301576
0.139,10.086572,8.302862
0.140,10.088668,8.304141
0.141,10.090765,8.305420
0.142,10.092861,8.306699
0.143,10.094833,8.307979
0.144,10.096152,8.309259
0.145,10.097470,8.310540
0.146,10.098789,8.311821
0.147,10.100034,8.313092
0.148,10.100893,8.314315
0.149,10.101752,8.315537
0.150,10.102611,8.316760
0.151,10.103445,8.317935
0.152,10.104145,8.318856
0.153,10.104846,8.319778
0.154,10.105546,8.320700
0.155,10.106225,8.321589
0.156,10.106790,8.322312
0.157,10.107355,8.323035
0.158,10.107920,8.323758
0.159,10.108468,8.324579
0.160,10.108928,8.325916
0.161,10.109387,8.327252
0.162,10.109847,8.328589
0.163,10.110296,8.329972
0.164,10.110687,8.331601
0.165,10.111079,8.333230
0.166,10.111471,8.334858
0.167,10.111901,8.336601
0.168,10.112534,8.338945
0.169,10.113166,8.341289
0.170,10.113798,8.343633
0.171,10.114515,8.345984
0.172,10.115679,8.348379
0.173,10.116841,8.350774
0.174,10.118005,8.353169
0.175,10.119267,8.355485
0.176,10.121047,8.357387
0.177,10.122828,8.359288
0.178,10.124609,8.361190
0.179,10.126565,8.363186
0.180,10.129437,8.365677
0.181,10.132310,8.368168
0.182,10.135183,8.370660
0.183,10.138223,8.373158
0.184,10.142136,8.375694
0.185,10.146049,8.378230
0.186,10.149961,8.380766
0.187,10.153981,8.383309
0.188,10.158562,8.385887
0.189,10.163142,8.388466
0.190,10.167723,8.391045
0.191,10.172441,8.393617
0.192,10.177884,8.396159
0.193,10.183328,8.398701
0.194,10.188770,8.401242
0.195,10.194281,8.403675
0.196,10.200146,8.405537
0.197,10.206011,8.407397
0.198,10.211876,8.409259
0.199,10.217859,8.411147
0.200,10.224466,8.413181
0.201,10.231073,8.415215
0.202,10.237680,8.417249
0.203,10.244331,8.419153
0.204,10.251210,8.420381
0.205,10.258089,8.421608
0.206,10.264967,8.422836
0.207,10.271901,8.423988
0.208,10.279124,8.424743
0.209,10.286348,8.425497
0.210,10.293571,8.426251
0.211,10.300776,8.426895
0.212,10.307878,8.426955
0.213,10.314981,8.427016
0.214,10.322083,8.427076
0.215,10.329164,8.427045
0.216,10.336131,8.426535
0.217,10.343100,8.426024
0.218,10.350067,8.425514
0.219,10.356978,8.424951
0.220,10.363593,8.424109
0.221,10.370208,8.423267
0.222,10.376822,8.422425
0.223,10.383318,8.421561
0.224,10.389190,8.420574
