"Time","17 Hipy (cm)","25 toey (cm)"
0.000,10.642230,8.653465
0.001,10.648417,8.658657
0.002,10.653873,8.663608
0.003,10.659329,8.668558
0.004,10.664785,8.673509
0.005,10.669900,8.678450
0.006,10.673746,8.683352
0.007,10.677591,8.688253
0.008,10.681437,8.693155
0.009,10.685030,8.698164
0.010,10.687677,8.703567
0.011,10.690326,8.708970
0.012,10.692973,8.714373
0.013,10.695392,8.720276
0.014,10.696959,8.728043
0.015,10.698526,8.735808
0.016,10.700093,8.743575
0.017,10.701569,8.751536
0.018,10.702704,8.760222
0.019,10.703839,8.768909
0.020,10.704974,8.777595
0.021,10.705994,8.786432
0.022,10.706585,8.795832
0.023,10.707176,8.805231
0.024,10.707767,8.814631
0.025,10.708295,8.823894
0.026,10.708582,8.832645
0.027,10.708868,8.841397
0.028,10.709155,8.850149
0.029,10.709348,8.858776
0.030,10.709191,8.866943
0.031,10.709035,8.875110
0.032,10.708879,8.883276
0.033,10.708633,8.891334
0.034,10.708056,8.898987
0.035,10.707479,8.906639
0.036,10.706903,8.914292
0.037,10.706326,8.921919
0.038,10.705750,8.929451
0.039,10.705175,8.936983
0.040,10.704599,8.944515
0.041,10.704147,8.952084
0.042,10.704159,8.959785
0.043,10.704170,8.967487
0.044,10.704182,8.975189
0.045,10.704254,8.982725
0.046,10.704556,8.989644
0.047,10.704859,8.996563
0.048,10.705160,9.003482
0.049,10.705452,9.010218
0.050,10.705702,9.016274
0.051,10.705953,9.022331
0.052,10.706203,9.028388
0.053,10.706404,9.034215
0.054,10.706419,9.039186
0.055,10.706434,9.044159
0.056,10.706450,9.049130
0.057,10.706405,9.053324
0.058,10.706139,9.054626
0.059,10.705873,9.055926
0.060,10.705607,9.057228
0.061,10.705206,9.058063
0.062,10.704296,9.057160
0.063,10.703387,9.056258
0.064,10.702477,9.055356
0.065,10.701434,9.053986
0.066,10.699892,9.050872
0.067,10.698350,9.047757
0.068,10.696808,9.044643
0.069,10.695124,9.040846
0.070,10.692912,9.034507
0.071,10.690701,9.028168
0.072,10.688489,9.021830
0.073,10.686214,9.014778
0.074,10.683703,9.005080
0.075,10.681192,8.995382
0.076,10.678682,8.985684
0.077,10.676005,8.974943
0.078,10.672713,8.960322
0.079,10.669421,8.945701
0.080,10.666129,8.931080
0.081,10.662721,8.916414
0.082,10.658879,8.901582
0.083,10.655038,8.886749
0.084,10.651196,8.871917
0.085,10.647038,8.856926
0.086,10.641708,8.841346
0.087,10.636378,8.825767
0.088,10.631047,8.810187
0.089,10.625447,8.794455
0.090,10.618845,8.778152
0.091,10.612242,8.761848
0.092,10.605639,8.745546
0.093,10.598953,8.729199
0.094,10.591958,8.712692
0.095,10.584962,8.696185
0.096,10.577967,8.679678
0.097,10.570901,8.663144
0.098,10.563571,8.646513
0.099,10.556241,8.629882
0.100,10.548911,8.613252
0.101,10.541507,8.596766
0.102,10.533830,8.580822
0.103,10.526153,8.564878
0.104,10.518476,8.548934
0.105,10.510810,8.533202
0.106,10.503186,8.518260
0.107,10.495562,8.503318
0.108,10.487938,8.488376
0.109,10.480357,8.473695
0.110,10.472938,8.459983
0.111,10.465518,8.446271
0.112,10.458098,8.432559
0.113,10.450669,8.419446
0.114,10.443206,8.408562
0.115,10.435742,8.397676
0.116,10.428280,8.386792
0.117,10.420819,8.376607
0.118,10.413372,8.369023
0.119,10.405925,8.361441
0.120,10.398478,8.353857
0.121,10.391130,8.347362
0.122,10.384153,8.344910
0.123,10.377175,8.342458
0.124,10.370198,8.340006
0.125,10.363220,8.337631
0.126,10.356238,8.335544
0.127,10.349256,8.333456
0.128,10.342274,8.331369
0.129,10.335394,8.329341
0.130,10.328896,8.327534
0.131,10.322396,8.325727
0.132,10.315898,8.323919
0.133,10.309525,8.322184
0.134,10.303617,8.320712
0.135,10.297709,8.319240
0.136,10.291800,8.317768
0.137,10.285898,8.316298
0.138,10.280016,8.314836
0.139,10.274134,8.313373
0.140,10.268251,8.311910
0.141,10.262385,8.310487
0.142,10.256578,8.309213
0.143,10.250772,8.307939
0.144,10.244966,8.306665
0.145,10.239182,8.305573
0.146,10.233479,8.305155
0.147,10.227778,8.304738
0.148,10.222077,8.304320
0.149,10.216361,8.303949
0.150,10.210591,8.303753
0.151,10.204822,8.303556
0.152,10.199052,8.303360
0.153,10.193259,8.303134
0.154,10.187387,8.302799
0.155,10.181513,8.302464
0.156,10.175640,8.302130
0.157,10.169780,8.301762
0.158,10.163968,8.301268
0.159,10.158157,8.300774
0.160,10.152346,8.300279
0.161,10.146402,8.299867
0.162,10.139967,8.299758
0.163,10.133533,8.299648
0.164,10.127097,8.299540
0.165,10.120622,8.299478
0.166,10.113997,8.299592
0.167,10.107373,8.299706
0.168,10.100749,8.299821
0.169,10.094121,8.299975
0.170,10.087479,8.300280
0.171,10.080837,8.300584
0.172,10.074195,8.300888
0.173,10.067502,8.301199
0.174,10.060617,8.301531
0.175,10.053734,8.301864
0.176,10.046849,8.302196
0.177,10.039930,8.302512
0.178,10.032882,8.302769
0.179,10.025834,8.303024
0.180,10.018785,8.303281
0.181,10.011732,8.303619
0.182,10.004659,8.304261
