"Time","38 FLy (cm)","52 LDS cle","v2 L COP","v3 xCoM","v1 R COP","51 RDS cle","40 FRy (cm)","36 HRy (cm)","34 HLy (cm)","42a CoMy (cm)","42 CoMy (cm)","3 Platform","2 Trdml","50 L marks","49 R marks","48 lHL swon","47 lFL swoff","46 rHL swon","45 rFL swoff","44 miry (cm)","43 mirx (cm)","41 CoMx (cm)","39 FRx (cm)","35 HRx (cm)","37 FLx (cm)","33a HLx (cm)","33 HLx (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 St","9 TA","8 Gs","7 VL","6 BF","5 Ip","4 GM","1 Synch"
0.000,5.814064,1,0.000000,5.440471,0.000000,1,4.246327,4.335799,6.510726,0.614441,5.407811,-1.48773,0.10457,0,0,0,0,0,0,7.522055,0.961709,15.803778,18.306889,12.071552,16.300253,35.112820,14.334339,103.100624,0,121.881721,100.648224,100.388107,8.968694,19.631390,8.604176,12.245565,8.998514,11.756404,9.976272,12.228036,10.168582,14.017729,11.763591,14.143681,11.883902,15.313293,0,0.00135,0.00099,0.00189,0.00295,0.00087,0.00097,0.00120,0.00067,3.21528
0.001,5.811358,1,0.000000,5.446461,0.000000,1,4.251359,4.336103,6.497524,0.715929,5.408544,-1.48552,0.10330,0,0,0,0,0,0,7.523654,0.960831,15.820792,18.322906,12.087337,16.310371,34.317173,14.369776,102.893486,0,123.201836,101.012344,100.550407,8.963211,19.671385,8.605629,12.242956,9.010337,11.751426,9.978295,12.242589,10.175638,14.031713,11.770205,14.163314,11.889930,15.335341,0,0.00139,0.00100,0.00194,0.00303,0.00088,0.00097,0.00118,0.00067,3.21505
0.002,5.808703,1,0.000000,5.453701,0.000000,1,4.250065,4.339038,6.487975,0.834498,5.409724,-1.48720,0.10183,0,0,0,0,0,0,7.525134,0.958887,15.833392,18.337458,12.104712,16.322870,33.455009,14.403125,102.781746,0,124.599365,101.428032,100.630249,8.951292,19.700109,8.608977,12.242956,9.020489,11.747475,9.976463,12.256882,10.181488,14.045106,11.775644,14.181422,11.893439,15.352663,0,0.00138,0.00103,0.00193,0.00301,0.00091,0.00095,0.00118,0.00068,3.21520
0.003,5.806049,1,0.000000,5.461104,0.000000,1,4.248771,4.341972,6.478426,0.953066,5.410904,-1.48819,0.10130,0,0,0,0,0,0,7.526615,0.956942,15.845992,18.352009,12.122087,16.335369,32.592850,14.436473,102.670013,0,125.996895,101.843712,100.710083,8.939373,19.728832,8.612326,12.242956,9.030641,11.743524,9.974632,12.271174,10.187338,14.058498,11.781082,14.199530,11.896949,15.369986,0,0.00140,0.00103,0.00193,0.00314,0.00090,0.00095,0.00117,0.00069,3.21533
0.004,5.803394,1,0.000000,5.468993,0.000000,1,4.247478,4.344907,6.468877,1.071635,5.412084,-1.48582,0.10101,0,0,0,0,0,0,7.528095,0.954998,15.858592,18.366560,12.139462,16.347868,31.730686,14.469822,102.558281,0,127.394424,102.259392,100.789925,8.927454,19.757557,8.615674,12.242956,9.040792,11.739573,9.972800,12.285467,10.193188,14.071891,11.786521,14.217638,11.900458,15.387307,0,0.00143,0.00102,0.00224,0.00317,0.00091,0.00092,0.00119,0.00069,3.21533
0.005,5.800744,1,0.000000,5.476840,0.000000,1,4.248516,4.347820,6.459787,1.195730,5.413208,-1.48567,0.10003,0,0,0,0,0,0,7.527980,0.950973,15.870628,18.380274,12.157855,16.362209,30.843449,14.501449,102.710030,0,128.612244,102.786041,100.884338,8.908462,19.786600,8.617325,12.242956,9.047314,11.741173,9.970216,12.301922,10.199876,14.087153,11.792593,14.239266,11.903522,15.406188,0,0.00144,0.00105,0.00229,0.00319,0.00101,0.00096,0.00119,0.00068,3.21520
0.006,5.798098,1,0.000000,5.484564,0.000000,1,4.252749,4.350702,6.451327,1.327394,5.414252,-1.48788,0.10106,0,0,0,0,0,0,7.525679,0.944099,15.881892,18.392838,12.177642,16.379072,29.921867,14.530718,103.222664,0,129.583923,103.464676,100.998718,8.879781,19.816086,8.616650,12.242956,9.048863,11.750376,9.966600,12.321339,10.207714,14.104979,11.799533,14.265717,11.905978,15.427201,0,0.00143,0.00111,0.00226,0.00308,0.00101,0.00105,0.00112,0.00069,3.21436
0.007,5.795453,1,0.000000,5.492492,0.000000,1,4.256983,4.353585,6.442867,1.459058,5.415298,-1.48560,0.10271,0,0,0,0,0,0,7.523378,0.937226,15.893157,18.405403,12.197429,16.395937,29.000284,14.559987,103.735306,0,130.555603,104.143318,101.113098,8.851100,19.845570,8.615974,12.242956,9.050413,11.759580,9.962985,12.340755,10.215552,14.122804,11.806473,14.292167,11.908433,15.448215,0,0.00135,0.00104,0.00212,0.00290,0.00098,0.00103,0.00114,0.00069,3.21376
0.008,5.792807,1,0.000000,5.501032,0.000000,1,4.261216,4.356467,6.434407,1.590722,5.416342,-1.48727,0.10292,0,0,0,0,0,0,7.521077,0.930352,15.904422,18.417967,12.217216,16.412800,28.078703,14.589256,104.247940,0,131.527283,104.821953,101.227478,8.822419,19.875053,8.615299,12.242956,9.051963,11.768783,9.959369,12.360171,10.223391,14.140629,11.813413,14.318617,11.910888,15.469229,0,0.00138,0.00104,0.00213,0.00295,0.00099,0.00101,0.00112,0.00069,3.21445
0.009,5.790171,1,0.000000,5.510036,0.000000,1,4.270457,4.356263,6.432304,1.745721,5.417477,-1.48712,0.10171,0,0,0,0,0,0,7.518457,0.925459,15.916936,18.429825,12.238047,16.432005,27.156084,14.616990,104.695259,0,132.498550,105.251488,101.125488,8.793307,19.897949,8.616155,12.242956,9.054151,11.779571,9.957614,12.383416,10.231375,14.162452,11.821071,14.343670,11.914027,15.493971,0,0.00144,0.00104,0.00216,0.00311,0.00100,0.00100,0.00113,0.00068,3.21504
0.010,5.787548,1,0.000000,5.520433,0.000000,1,4.286557,4.351831,6.438910,1.932681,5.418735,-1.48705,0.10256,0,0,0,0,0,0,7.515401,0.923277,15.931162,18.440712,12.260307,16.454420,26.232048,14.642623,105.053116,0,133.469254,105.339836,100.727158,8.763607,19.911818,8.619106,12.242956,9.057212,11.792529,9.958407,12.411903,10.239559,14.189753,11.829713,14.366808,11.918105,15.523819,0,0.00148,0.00110,0.00219,0.00327,0.00109,0.00105,0.00107,0.00069,3.21512
0.011,5.784925,1,0.000000,5.531332,0.000000,1,4.302658,4.347399,6.445515,2.119641,5.419993,-1.48979,0.10335,0,0,0,0,0,0,7.512344,0.921096,15.945389,18.451599,12.282568,16.476833,25.308012,14.668255,105.410973,0,134.439972,105.428185,100.328827,8.733906,19.925688,8.622057,12.242956,9.060274,11.805488,9.959201,12.440391,10.247745,14.217052,11.838355,14.389946,11.922183,15.553667,0,0.00152,0.00109,0.00220,0.00334,0.00113,0.00104,0.00104,0.00069,3.21517
0.012,5.782301,1,0.000000,5.543737,0.000000,1,4.318758,4.342967,6.452120,2.306601,5.421251,-1.48849,0.10264,0,0,0,0,0,0,7.509288,0.918915,15.959615,18.462486,12.304829,16.499249,24.383976,14.693888,105.768829,0,135.410675,105.516533,99.930496,8.704205,19.939558,8.625009,12.242956,9.063335,11.818446,9.959994,12.468878,10.255929,14.244353,11.846996,14.413084,11.926261,15.583516,0,0.00158,0.00108,0.00222,0.00350,0.00113,0.00105,0.00099,0.00068,3.21509
0.013,5.779631,1,0.000000,5.556564,0.000000,1,4.329990,4.341390,6.453648,2.500336,5.423431,-1.48697,0.10135,0,0,0,0,0,0,7.510378,0.917541,15.972268,18.472395,12.328118,16.523920,23.464626,14.717955,106.841080,0,136.317322,105.567482,99.562897,8.684626,19.938974,8.627604,12.242956,9.070505,11.834817,9.962810,12.499272,10.264403,14.273822,11.855861,14.438899,11.930432,15.610115,0,0.00166,0.00109,0.00226,0.00359,0.00112,0.00105,0.00101,0.00067,3.21514
0.014,5.776896,1,0.000000,5.570656,0.000000,1,4.334556,4.343724,6.448222,2.703352,5.426873,-1.48750,0.10190,0,0,0,0,0,0,7.517147,0.917272,15.982769,18.480967,12.352816,16.551685,22.551691,14.739877,108.891815,0,137.136230,105.567215,99.237404,8.678909,19.918596,8.629709,12.242956,9.083300,11.855860,9.968393,12.532279,10.273273,14.306259,11.865029,14.468380,11.934730,15.632263,0,0.00168,0.00107,0.00226,0.00376,0.00099,0.00104,0.00096,0.00060,3.21582
