"Time","52 LDS cle","v2 L COP","v3 xCoM","v1 R COP","51 RDS cle","40 FRy (cm)","36 HRy (cm)","38 FLy (cm)","34 HLy (cm)","42a CoMy (cm)","42 CoMy (cm)","3 Platform","2 Trdml"
0.000,1,0.000000,5.440471,0.000000,1,4.246327,4.335799,5.966642,6.510726,0.614441,5.407811,-1.48773,0.10457
0.001,1,0.000000,5.446461,0.000000,1,4.251359,4.336103,5.970414,6.497524,0.715929,5.408544,-1.48552,0.10330
0.002,1,0.000000,5.453701,0.000000,1,4.250065,4.339038,5.974064,6.487975,0.834498,5.409724,-1.48720,0.10183
0.003,1,0.000000,5.461104,0.000000,1,4.248771,4.341972,5.977714,6.478426,0.953066,5.410904,-1.48819,0.10130
0.004,1,0.000000,5.468993,0.000000,1,4.247478,4.344907,5.981364,6.468877,1.071635,5.412084,-1.48582,0.10101
0.005,1,0.000000,5.476840,0.000000,1,4.248516,4.347820,5.984529,6.459787,1.195730,5.413208,-1.48567,0.10003
0.006,1,0.000000,5.484564,0.000000,1,4.252749,4.350702,5.987032,6.451327,1.327394,5.414252,-1.48788,0.10106
0.007,1,0.000000,5.492492,0.000000,1,4.256983,4.353585,5.989534,6.442867,1.459058,5.415298,-1.48560,0.10271
0.008,1,0.000000,5.501032,0.000000,1,4.261216,4.356467,5.992037,6.434407,1.590722,5.416342,-1.48727,0.10292
0.009,1,0.000000,5.510036,0.000000,1,4.270457,4.356263,5.993851,6.432304,1.745721,5.417477,-1.48712,0.10171
0.010,1,0.000000,5.520433,0.000000,1,4.286557,4.351831,5.994723,6.438910,1.932681,5.418735,-1.48705,0.10256
0.011,1,0.000000,5.531332,0.000000,1,4.302658,4.347399,5.995595,6.445515,2.119641,5.419993,-1.48979,0.10335
0.012,1,0.000000,5.543737,0.000000,1,4.318758,4.342967,5.996467,6.452120,2.306601,5.421251,-1.48849,0.10264
0.013,1,0.000000,5.556564,0.000000,1,4.329990,4.341390,5.996508,6.453648,2.500336,5.423431,-1.48697,0.10135
0.014,1,0.000000,5.570656,0.000000,1,4.334556,4.343724,5.995411,6.448222,2.703352,5.426873,-1.48750,0.10190
0.015,1,0.000000,5.584858,0.000000,1,4.339121,4.346057,5.994313,6.442796,2.906368,5.430316,-1.48643,0.10240
0.016,1,0.000000,5.599391,0.000000,1,4.343686,4.348391,5.993216,6.437370,3.109384,5.433759,-1.48735,0.10163
0.017,1,0.000000,5.613795,0.000000,1,4.345561,4.349268,5.991296,6.432515,3.310206,5.437201,-1.48628,0.10039
0.018,1,0.000000,5.627808,0.000000,1,4.343750,4.348149,5.988249,6.428442,3.508024,5.440643,-1.48758,0.10068
0.019,1,0.000000,5.641807,0.000000,1,4.341939,4.347031,5.985202,6.424369,3.705842,5.444086,-1.48697,0.10066
0.020,1,0.000000,5.655762,0.000000,1,4.340129,4.345912,5.982155,6.420296,3.903660,5.447528,-1.48804,0.09979
0.021,1,0.000000,5.669750,0.000000,1,4.339281,4.348825,5.978470,6.417768,4.087646,5.451509,-1.48712,0.09873
0.022,1,0.000000,5.683839,0.000000,1,4.339751,4.357261,5.973912,6.417357,4.252686,5.456229,-1.48781,0.09881
0.023,1,0.000000,5.697590,0.000000,1,4.340221,4.365696,5.969353,6.416945,4.417726,5.460948,-1.48781,0.09863
0.024,1,0.000000,5.710323,0.000000,1,4.340692,4.374132,5.964795,6.416534,4.582767,5.465668,-1.48903,0.09762
0.025,1,0.000000,5.722414,0.000000,1,4.341441,4.381927,5.959325,6.414857,4.712308,5.470534,-1.48796,0.09667
0.026,1,0.000000,5.732580,0.000000,1,4.342574,4.388846,5.952607,6.411446,4.793229,5.475600,-1.49261,0.09703
0.027,1,0.000000,5.742270,0.000000,1,4.343706,4.395765,5.945889,6.408035,4.874150,5.480666,-1.48682,0.09718
0.028,1,0.000000,5.750532,0.000000,1,4.344839,4.402684,5.939171,6.404624,4.955071,5.485732,-1.48735,0.09649
0.029,1,0.000000,5.758459,0.000000,1,4.346144,4.405201,5.932351,6.402879,5.006099,5.490963,-1.48788,0.09792
0.030,1,0.000000,5.765378,0.000000,1,4.347687,4.401691,5.925391,6.403414,5.016185,5.496418,-1.48544,0.10015
0.031,1,0.000000,5.771740,0.000000,1,4.349230,4.398180,5.918432,6.403950,5.026270,5.501873,-1.48796,0.10088
0.032,1,0.000000,5.776433,0.000000,1,4.350773,4.394670,5.911472,6.404485,5.036356,5.507328,-1.48598,0.10038
0.033,1,0.000000,5.780360,0.000000,1,4.352306,4.392462,5.904437,6.402641,5.001757,5.512820,-1.48605,0.10207
0.034,1,0.000000,5.781991,0.000000,1,4.353825,4.392037,5.897299,6.397539,4.905955,5.518363,-1.48613,0.10373
0.035,1,0.000000,5.782898,0.000000,1,4.355344,4.391613,5.890162,6.392436,4.810153,5.523907,-1.48567,0.10361
0.036,1,0.000000,5.781636,0.000000,1,4.356863,4.391189,5.883024,6.387334,4.714351,5.529450,-1.48621,0.10277
0.037,1,0.000000,5.779760,0.000000,1,4.358169,4.390045,5.875703,6.383957,4.588141,5.534550,-1.48689,0.10350
0.038,1,0.000000,5.776041,0.000000,1,4.359180,4.387916,5.868131,6.382945,4.420285,5.539040,-1.48773,0.10373
0.039,1,0.000000,5.771872,0.000000,1,4.360192,4.385787,5.860559,6.381932,4.252429,5.543530,-1.48880,0.10266
0.040,1,0.000000,5.766352,0.000000,1,4.361204,4.383659,5.852988,6.380919,4.084572,5.548019,-1.48811,0.10128
0.041,1,0.000000,5.760486,0.000000,1,4.362042,4.381462,5.845402,6.379717,3.897650,5.552167,-1.48613,0.10103
0.042,1,0.000000,5.753578,0.000000,1,4.362642,4.379170,5.837797,6.378254,3.684616,5.555846,-1.48720,0.10031
0.043,1,0.000000,5.746204,0.000000,1,4.363241,4.376879,5.830191,6.376791,3.471581,5.559525,-1.48796,0.09884
0.044,1,0.000000,5.737431,0.000000,1,4.363841,4.374588,5.822586,6.375328,3.258547,5.563203,-1.48682,0.09894
0.045,1,0.000000,5.728124,0.000000,1,4.364251,4.375548,5.815078,6.373800,3.025457,5.566373,-1.48689,0.10137
0.046,1,0.000000,5.717213,0.000000,1,4.364401,4.380962,5.807704,6.372183,2.764898,5.568847,-1.48712,0.10219
0.047,1,0.000000,5.705990,0.000000,1,4.364551,4.386377,5.800331,6.370565,2.504339,5.571321,-1.48880,0.10159
0.048,1,0.000000,5.693836,0.000000,1,4.364701,4.391791,5.792956,6.368948,2.243779,5.573794,-1.48643,0.10311
0.049,1,0.000000,5.681537,0.000000,1,4.366476,4.395100,5.785707,6.368869,1.973406,5.576007,-1.48796,0.10492
0.050,1,0.000000,5.668804,0.000000,1,4.370475,4.395523,5.778630,6.370897,1.689591,5.577862,-1.48766,0.10492
0.051,1,0.000000,5.655743,0.000000,1,4.374474,4.395947,5.771553,6.372924,1.405776,5.579718,-1.48834,0.10404
0.052,1,0.000000,5.641696,0.000000,1,4.378473,4.396370,5.764475,6.374952,1.121961,5.581573,-1.48834,0.10455
0.053,1,0.000000,5.627124,0.000000,1,4.379395,4.392803,5.757415,6.376688,0.815579,5.583039,-1.48880,0.10445
0.054,1,0.000000,5.610979,0.000000,1,4.376100,4.383768,5.750377,6.378025,0.478286,5.583973,-1.48857,0.10314
0.055,1,0.000000,5.594285,0.000000,1,4.372806,4.374734,5.743339,6.379362,0.140993,5.584907,-1.49216,0.10156
0.056,1,0.000000,5.575945,0.000000,1,4.369511,4.365699,5.736301,6.380699,-0.196300,5.585841,-1.48705,0.10099
0.057,1,0.000000,5.557120,0.000000,1,4.368242,4.357191,5.729221,6.382066,-0.542625,5.585712,-1.48598,0.10100
0.058,1,0.000000,5.536837,0.000000,1,4.369746,4.349401,5.722083,6.383474,-0.901324,5.584128,-1.48827,0.10044
0.059,1,0.000000,5.516291,0.000000,1,4.371249,4.341612,5.714945,6.384882,-1.260022,5.582544,-1.48766,0.10218
0.060,1,0.000000,5.494960,0.000000,1,4.372753,4.333823,5.707807,6.386290,-1.618720,5.580960,-1.48682,0.10477
0.061,1,0.000000,5.473558,0.000000,1,4.374899,4.325302,5.700487,6.387916,-1.979657,5.579061,-1.48842,0.10527
0.062,1,0.000000,5.451945,0.000000,1,4.377926,4.315779,5.692919,6.389839,-2.343660,5.576731,-1.48705,0.10461
0.063,1,0.000000,5.430254,0.000000,1,4.380952,4.306256,5.685351,6.391762,-2.707663,5.574400,-1.48758,0.10547
0.064,1,0.000000,5.408330,0.000000,1,4.383979,4.296734,5.677783,6.393685,-3.071666,5.572069,-1.48598,0.10589
