"Time","38 FLy (cm)","52 LDS cle","v2 L COP","v3 xCoM","v1 R COP","51 RDS cle","40 FRy (cm)","36 HRy (cm)","34 HLy (cm)","42a CoMy (cm)","42 CoMy (cm)","3 Platform","2 Trdml","50 L marks","49 R marks","48 lHL swon","47 lFL swoff","46 rHL swon","45 rFL swoff","44 miry (cm)","43 mirx (cm)","41 CoMx (cm)","39 FRx (cm)","35 HRx (cm)","37 FLx (cm)","33a HLx (cm)","33 HLx (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 St","9 TA","8 Gs","7 VL","6 BF","5 Ip","4 GM","1 Synch"
0.000,5.772243,0,0.000000,5.130252,0.000000,0,4.187726,3.652791,6.248295,-0.539004,5.159179,1.47644,0.09963,0,0,0,0,0,0,7.661636,1.130031,17.874233,19.108786,16.475845,19.628885,-8.913733,16.288061,176.347443,0,55.786381,80.131424,70.532341,8.841421,20.261003,9.023410,17.186798,9.233099,16.737284,9.485807,16.039295,10.540027,17.497835,11.656696,16.352438,12.110866,17.272963,0,0.00715,0.00074,0.00077,0.00157,0.00060,0.00066,0.00139,0.00068,3.20821
0.001,5.771562,0,0.000000,5.128026,0.000000,0,4.188501,3.652187,6.248762,-0.568397,5.158668,1.47385,0.09898,0,0,0,0,0,0,7.664074,1.129683,17.874630,19.099892,16.506918,19.651640,-8.913754,16.279222,177.486725,0,56.166134,80.098633,70.136093,8.842746,20.247114,9.017127,17.215172,9.218286,16.786352,9.474424,16.066910,10.545715,17.512777,11.648013,16.353739,12.107635,17.272600,0,0.00603,0.00072,0.00078,0.00160,0.00061,0.00066,0.00140,0.00066,3.20874
0.002,5.770882,0,0.000000,5.126068,0.000000,0,4.189276,3.651584,6.249228,-0.597790,5.158157,1.47522,0.10002,0,0,0,0,0,0,7.666512,1.129335,17.875027,19.090998,16.537991,19.674395,-8.913774,16.270384,178.626007,0,56.545887,80.065842,69.739838,8.844070,20.233225,9.010845,17.243546,9.203472,16.835421,9.463041,16.094524,10.551403,17.527718,11.639331,16.355038,12.104404,17.272236,0,0.00511,0.00071,0.00078,0.00166,0.00060,0.00066,0.00137,0.00062,3.20857
0.003,5.770201,0,0.000000,5.124200,0.000000,0,4.190051,3.650980,6.249694,-0.627182,5.157646,1.47575,0.10173,0,0,0,0,0,0,7.668949,1.128987,17.875423,19.082104,16.569063,19.697149,-8.913794,16.261545,179.765289,0,56.925640,80.033043,69.343582,8.845396,20.219336,9.004563,17.271919,9.188660,16.884489,9.451658,16.122139,10.557092,17.542660,11.630648,16.356339,12.101173,17.271873,0,0.00446,0.00070,0.00076,0.00176,0.00057,0.00067,0.00133,0.00060,3.20804
0.004,5.769464,0,0.000000,5.122533,0.000000,0,4.190584,3.654049,6.249077,-0.638966,5.156836,1.47697,0.10201,0,0,0,0,0,0,7.665907,1.125640,17.877886,19.073208,16.600025,19.716599,-8.918247,16.252676,179.810806,0,57.458920,80.224174,68.922417,8.839596,20.186060,9.001225,17.308926,9.179688,16.918203,9.436732,16.156219,10.564753,17.558008,11.622605,16.358126,12.099266,17.272842,0,0.00342,0.00071,0.00075,0.00177,0.00058,0.00066,0.00131,0.00061,3.20831
0.005,5.768723,0,0.000000,5.120934,0.000000,0,4.191096,3.657429,6.248368,-0.649260,5.156002,1.47675,0.10292,0,0,0,0,0,0,7.662402,1.122040,17.880526,19.064312,16.630978,19.735767,-8.923075,16.243803,179.763794,0,58.005188,80.434242,68.499146,8.833193,20.151144,8.998137,17.346664,9.171209,16.950617,9.421507,16.190847,10.572579,17.573391,11.614616,16.359955,12.097469,17.273924,0,0.00320,0.00072,0.00075,0.00187,0.00059,0.00068,0.00133,0.00060,3.20900
0.006,5.767982,0,0.000000,5.119723,0.000000,0,4.191609,3.660808,6.247659,-0.659554,5.155167,1.47606,0.10405,0,0,0,0,0,0,7.658897,1.118439,17.883163,19.055416,16.661930,19.754934,-8.927903,16.234932,179.716782,0,58.551456,80.644318,68.075874,8.826790,20.116230,8.995049,17.384401,9.162732,16.983030,9.406281,16.225475,10.580407,17.588776,11.606627,16.361784,12.095674,17.275007,0,0.00296,0.00072,0.00071,0.00182,0.00059,0.00068,0.00131,0.00061,3.20857
0.007,5.767241,0,0.000000,5.118642,0.000000,0,4.192122,3.664187,6.246951,-0.669849,5.154332,1.47568,0.10372,0,0,0,0,0,0,7.655392,1.114839,17.885801,19.046520,16.692883,19.774103,-8.932731,16.226059,179.669754,0,59.097721,80.854385,67.652596,8.820388,20.081314,8.991961,17.422140,9.154254,17.015444,9.391055,16.260103,10.588235,17.604158,11.598639,16.363613,12.093878,17.276089,0,0.00277,0.00071,0.00068,0.00183,0.00060,0.00069,0.00131,0.00058,3.20758
0.008,5.766492,0,0.000000,5.118043,0.000000,0,4.193192,3.664873,6.247434,-0.665880,5.153673,1.47720,0.10265,0,0,0,0,0,0,7.658463,1.120530,17.891718,19.037352,16.723442,19.790001,-8.937009,16.217091,179.520447,0,59.586197,81.708733,67.641296,8.818824,20.071150,8.985222,17.425083,9.137846,17.052456,9.365322,16.294691,10.589303,17.612953,11.592529,16.366621,12.092857,17.276369,0,0.00281,0.00074,0.00070,0.00195,0.00060,0.00069,0.00123,0.00057,3.20750
0.009,5.765743,0,0.000000,5.117605,0.000000,0,4.194308,3.665332,6.248017,-0.660704,5.153028,1.47491,0.10366,0,0,0,0,0,0,7.662089,1.127007,17.897911,19.028160,16.753967,19.805622,-8.941241,16.208115,179.362473,0,60.069782,82.617584,67.664856,8.817669,20.063080,8.978174,17.425083,9.120767,17.089855,9.338700,16.329277,10.589799,17.621191,11.586579,16.369728,12.091902,17.276581,0,0.00282,0.00074,0.00068,0.00201,0.00060,0.00070,0.00121,0.00056,3.20788
